published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-02-07,860.0,892.0,830.0,877.0,-1.79,133101.0,115823723.0,-1
2021-02-08,877.0,894.0,855.0,856.0,-2.39,98429.0,85132819.0,-1
2021-02-09,854.0,860.0,832.0,850.0,-0.7,60981.0,51543133.0,-1
2021-02-10,850.0,854.0,837.0,841.0,-1.06,40438.0,34136111.0,-1
2021-02-11,835.0,842.0,822.0,828.0,-1.55,58676.0,48849504.0,-1
2021-02-14,850.0,910.0,840.0,860.0,3.86,48436.0,41917198.0,1
2021-02-15,903.0,903.0,860.0,871.0,1.28,45459.0,39468343.0,1
2021-02-16,914.0,914.0,860.0,869.0,-0.23,33621.0,29250746.0,-1
2021-02-17,869.0,870.0,838.0,852.0,-1.96,44080.0,37327208.0,-1
2021-02-18,860.0,860.0,835.0,841.0,-1.29,35463.0,29812572.0,-1
2021-02-21,799.0,841.0,799.0,829.0,-1.43,38718.0,32170478.0,-1
2021-02-22,830.0,832.0,820.0,823.0,-0.72,25110.0,20647532.0,-1
2021-02-23,823.0,823.0,805.0,806.0,-2.07,11239.0,9067981.0,-1
2021-02-24,800.0,844.0,800.0,819.0,1.61,24746.0,20372166.0,1
2021-02-25,810.0,830.0,806.0,809.0,-1.22,31374.0,25471794.0,-1
2021-02-28,809.0,810.0,785.0,788.0,-2.6,37966.0,30122499.0,-1
2021-03-01,781.0,811.0,763.0,791.0,0.38,25488.0,20081333.0,1
2021-03-02,791.0,800.0,761.0,772.0,-2.4,24210.0,18888155.0,-1
2021-03-03,762.0,767.0,745.0,748.0,-3.11,27365.0,20537514.0,-1
2021-03-04,742.0,775.0,742.0,770.0,2.94,27492.0,21020576.0,1
2021-03-07,770.0,778.0,748.0,761.0,-1.17,16817.0,12836493.0,-1
2021-03-09,750.0,760.0,745.0,752.0,-1.18,19698.0,14784048.0,-1
2021-03-10,741.0,750.0,741.0,745.0,-0.93,12755.0,9481685.0,-1
2021-03-14,740.0,740.0,725.0,732.0,-1.74,24868.0,18199762.0,-1
2021-03-15,697.0,732.0,697.0,717.0,-2.05,18931.0,13618370.0,-1
2021-03-16,717.0,736.0,710.0,717.0,0.0,16119.0,11574164.0,0
2021-03-17,717.0,725.0,710.0,724.0,0.98,18347.0,13169199.0,1
2021-03-18,725.0,744.0,717.0,744.0,2.76,18485.0,13599335.0,1
2021-03-21,740.0,772.0,735.0,772.0,3.76,24819.0,18813286.0,1
2021-03-22,772.0,795.0,752.0,755.0,-2.2,20854.0,15898123.0,-1
2021-03-23,755.0,755.0,740.0,749.0,-0.79,15760.0,11787500.0,-1
2021-03-24,752.0,760.0,737.0,758.0,1.2,20644.0,15510478.0,1
2021-03-25,721.0,790.0,721.0,759.0,0.13,23205.0,17613071.0,1
2021-03-29,759.0,764.0,747.0,755.0,-0.53,15859.0,11928953.0,-1
2021-03-30,755.0,820.0,755.0,820.0,8.61,56791.0,44881786.0,1
2021-03-31,850.0,855.0,833.0,837.0,2.07,36033.0,30243760.0,1
2021-04-01,860.0,860.0,815.0,822.0,-1.79,32296.0,26658497.0,-1
2021-04-04,863.0,863.0,814.0,841.0,2.31,53045.0,44464415.0,1
2021-04-05,850.0,850.0,821.0,825.0,-1.9,25763.0,21395246.0,-1
2021-04-06,840.0,840.0,808.0,809.0,-1.94,28130.0,22844692.0,-1
2021-04-07,809.0,810.0,800.0,802.0,-0.87,18604.0,14927321.0,-1
2021-04-08,842.0,842.0,795.0,801.0,-0.12,18015.0,14440205.0,-1
2021-04-12,841.0,841.0,785.0,801.0,0.0,34171.0,27264975.0,0
2021-04-13,800.0,804.0,788.0,800.0,-0.12,15193.0,12118173.0,-1
2021-04-15,840.0,840.0,795.0,797.0,-0.38,22334.0,17848328.0,-1
2021-04-18,797.0,798.0,786.0,786.0,-1.38,18328.0,14489033.0,-1
2021-04-19,800.0,832.0,775.0,779.0,-0.89,14968.0,11708243.0,-1
2021-04-20,779.0,794.0,769.0,777.0,-0.26,15616.0,12176764.0,-1
2021-04-21,777.0,780.0,771.0,771.0,-0.77,15909.0,12323868.0,-1
2021-04-22,769.0,793.0,761.0,780.0,1.17,22450.0,17515044.0,1
2021-04-25,780.0,794.0,750.0,756.0,-3.08,24975.0,18961739.0,-1
2021-04-26,750.0,753.0,735.0,736.0,-2.65,28888.0,21380214.0,-1
2021-04-27,725.0,779.0,725.0,779.0,5.84,18203.0,13810622.0,1
2021-04-28,800.0,804.0,760.0,782.0,0.39,25837.0,20283069.0,1
2021-04-29,805.0,805.0,769.0,790.0,1.02,17443.0,13700531.0,1
2021-05-02,781.0,812.0,781.0,807.0,2.15,55214.0,44070246.0,1
2021-05-03,805.0,823.0,792.0,794.0,-1.61,34573.0,27899534.0,-1
2021-05-04,780.0,804.0,780.0,796.0,0.25,17638.0,14053822.0,1
2021-05-05,757.0,806.0,757.0,797.0,0.13,21153.0,16921677.0,1
2021-05-06,805.0,830.0,800.0,808.0,1.38,51426.0,41590131.0,1
2021-05-09,810.0,810.0,785.0,797.0,-1.36,16709.0,13331851.0,-1
2021-05-10,786.0,800.0,785.0,795.0,-0.25,13628.0,10834292.0,-1
2021-05-11,785.0,800.0,785.0,797.0,0.25,19089.0,15223897.0,1
2021-05-12,798.0,805.0,788.0,792.0,-0.63,11947.0,9473023.0,-1
2021-05-13,790.0,796.0,787.0,789.0,-0.38,16275.0,12839092.0,-1
2021-05-16,789.0,819.0,789.0,813.0,3.04,45765.0,36930610.0,1
2021-05-17,813.0,829.0,807.0,808.0,-0.62,34113.0,27806989.0,-1
2021-05-18,820.0,820.0,800.0,811.0,0.37,24974.0,20212843.0,1
2021-05-19,813.0,831.0,803.0,815.0,0.49,44202.0,36125163.0,1
2021-05-20,825.0,825.0,803.0,806.0,-1.1,16468.0,13276493.0,-1
2021-05-23,799.0,807.0,787.0,804.0,-0.25,26948.0,21586272.0,-1
2021-05-24,806.0,815.0,795.0,799.0,-0.62,26994.0,21629835.0,-1
2021-05-25,795.0,846.0,795.0,818.0,2.38,70620.0,58076346.0,1
2021-05-27,818.0,822.0,805.0,819.0,0.12,32410.0,26373293.0,1
2021-05-30,819.0,845.0,819.0,834.0,1.83,87587.0,73264748.0,1
2021-05-31,794.0,856.0,794.0,817.0,-2.04,62337.0,51946961.0,-1
2021-06-01,820.0,830.0,805.0,808.0,-1.1,25378.0,20632992.0,-1
2021-06-02,810.0,815.0,800.0,810.0,0.25,21948.0,17784056.0,1
2021-06-03,807.0,826.0,807.0,811.0,0.12,30447.0,24756882.0,1
2021-06-06,811.0,811.0,800.0,804.0,-0.86,37489.0,30180504.0,-1
2021-06-07,804.0,819.0,802.0,806.0,0.25,21744.0,17582242.0,1
2021-06-08,805.0,850.0,805.0,831.0,3.1,60903.0,50289554.0,1
2021-06-09,831.0,861.0,817.0,824.0,-0.84,51309.0,42859178.0,-1
2021-06-10,820.0,835.0,814.0,814.0,-1.21,31653.0,25961491.0,-1
2021-06-13,810.0,841.0,810.0,815.0,0.12,42605.0,35042376.0,1
2021-06-14,815.0,830.0,812.0,822.0,0.86,36571.0,30063674.0,1
2021-06-15,850.0,850.0,817.0,817.0,-0.61,35913.0,29523694.0,-1
2021-06-16,802.0,825.0,800.0,805.0,-1.47,35768.0,28876142.0,-1
2021-06-17,805.0,820.0,805.0,806.0,0.12,22147.0,17921256.0,1
2021-06-20,806.0,814.0,792.0,793.0,-1.61,26508.0,21182599.0,-1
2021-06-21,800.0,800.0,770.0,770.0,-2.9,27905.0,21841112.0,-1
2021-06-22,775.0,795.0,768.0,792.0,2.86,19510.0,15260060.0,1
2021-06-23,792.0,798.0,769.0,772.0,-2.53,18976.0,14728700.0,-1
2021-06-24,758.0,775.0,758.0,766.0,-0.78,13179.0,10113404.0,-1
2021-06-27,754.0,774.0,754.0,763.0,-0.39,16194.0,12360313.0,-1
2021-06-28,770.0,770.0,764.0,767.0,0.52,10549.0,8093419.0,1
2021-06-29,767.0,770.0,755.0,755.0,-1.56,12476.0,9509040.0,-1
2021-06-30,718.0,759.0,718.0,747.0,-1.06,13172.0,9795683.0,-1
2021-07-01,750.0,765.0,741.0,755.0,1.07,12732.0,9617205.0,1
2021-07-04,755.0,770.0,742.0,753.0,-0.26,10023.0,7540466.0,-1
2021-07-05,750.0,750.0,742.0,742.0,-1.46,8365.0,6234292.0,-1
2021-07-06,743.0,745.0,732.0,735.0,-0.94,14160.0,10431276.0,-1
2021-07-07,725.0,735.0,721.0,727.0,-1.09,10940.0,7979430.0,-1
2021-07-08,720.0,738.0,720.0,736.0,1.24,12157.0,8854286.0,1
2021-07-11,726.0,772.0,726.0,771.0,4.76,12233.0,9335480.0,1
2021-07-12,775.0,779.0,752.0,758.0,-1.69,10926.0,8355304.0,-1
2021-07-13,752.0,760.0,746.0,759.0,0.13,4983.0,3762620.0,1
2021-07-14,750.0,765.0,745.0,754.0,-0.66,5268.0,3971023.0,-1
2021-07-15,762.0,765.0,750.0,754.0,0.0,10609.0,7990267.0,0
2021-07-18,759.9,780.0,759.9,780.0,3.45,15782.0,12110617.5,1
2021-07-19,783.1,795.0,775.0,785.0,0.64,13519.0,10604013.5,1
