published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-25,190.00,189.00,185.00,187.00,0.00,1030.00,192990.00,0
2011-03-27,187.00,188.00,181.00,181.00,0.00,1820.00,336480.00,0
2011-03-28,181.00,180.00,177.00,179.00,0.00,1370.00,245080.00,0
2011-03-29,179.00,180.00,180.00,180.00,0.00,60.00,10800.00,0
2011-03-30,180.00,183.00,180.00,180.00,0.00,230.00,41460.00,0
2011-03-31,180.00,194.00,182.00,194.00,0.00,970.00,183940.00,0
2011-04-04,194.00,196.00,194.00,196.00,0.00,520.00,101680.00,0
2011-04-05,196.00,197.00,184.00,184.00,0.00,2060.00,400670.00,0
2011-04-06,184.00,185.00,179.00,181.00,0.00,840.00,152930.00,0
2011-04-07,181.00,184.00,176.00,180.00,0.00,1920.00,348000.00,0
2011-04-10,180.00,180.00,176.00,176.00,0.00,1110.00,199280.00,0
2011-04-11,176.00,178.00,175.00,176.00,0.00,530.00,93310.00,0
2011-04-17,176.00,174.00,170.00,170.00,0.00,750.00,129190.00,0
2011-04-18,170.00,173.00,168.00,173.00,0.00,650.00,109950.00,0
2011-04-19,173.00,172.00,168.00,172.00,0.00,640.00,108560.00,0
2011-04-20,172.00,174.00,166.00,170.00,0.00,910.00,154740.00,0
2011-04-21,170.00,173.00,168.00,169.00,0.00,940.00,160220.00,0
2011-04-25,169.00,170.00,164.00,164.00,0.00,150.00,24720.00,0
2011-04-27,164.00,166.00,162.00,162.00,0.00,330.00,53700.00,0
2011-04-28,162.00,169.00,160.00,169.00,0.00,450.00,74240.00,0
2011-05-02,169.00,169.00,157.00,163.00,0.00,670.00,108600.00,0
2011-05-03,163.00,162.00,148.00,151.00,0.00,980.00,149750.00,0
2011-05-04,151.00,162.00,154.00,162.00,0.00,550.00,86650.00,0
2011-05-05,162.00,162.00,159.00,162.00,0.00,80.00,12780.00,0
2011-05-08,162.00,169.00,163.00,166.00,0.00,390.00,64200.00,0
2011-05-10,166.00,166.00,155.00,159.00,0.00,1590.00,252310.00,0
2011-05-11,159.00,162.00,160.00,161.00,0.00,470.00,75750.00,0
2011-05-12,161.00,160.00,152.00,156.00,0.00,580.00,90680.00,0
2011-05-15,156.00,156.00,150.00,155.00,0.00,1060.00,163130.00,0
2011-05-16,155.00,158.00,152.00,158.00,0.00,410.00,63180.00,0
2011-05-18,158.00,159.00,155.00,158.00,0.00,310.00,48680.00,0
2011-05-19,158.00,157.00,154.00,155.00,0.00,360.00,55820.00,0
2011-05-22,155.00,154.00,151.00,151.00,0.00,180.00,27420.00,0
2011-05-23,151.00,151.00,151.00,151.00,0.00,10.00,1510.00,0
2011-05-24,151.00,159.00,151.00,159.00,0.00,460.00,72700.00,0
2011-05-25,159.00,159.00,154.00,156.00,0.00,650.00,102190.00,0
2011-05-26,156.00,160.00,155.00,160.00,0.00,2230.00,348110.00,0
2011-05-30,160.00,160.00,157.00,157.00,0.00,80.00,12620.00,0
2011-05-31,157.00,163.00,160.00,163.00,0.00,390.00,63000.00,0
2011-06-01,163.00,160.00,148.00,150.00,0.00,500.00,76050.00,0
2011-06-02,150.00,151.00,147.00,151.00,0.00,430.00,64360.00,0
2011-06-05,151.00,150.00,149.00,150.00,0.00,120.00,17940.00,0
2011-06-06,150.00,153.00,150.00,153.00,0.00,220.00,33540.00,0
2011-06-07,153.00,150.00,144.00,144.00,0.00,1300.00,190020.00,0
2011-06-08,144.00,142.00,134.00,135.00,0.00,1710.00,233300.00,0
2011-06-09,135.00,145.00,137.00,145.00,0.00,520.00,72580.00,0
2011-06-12,145.00,145.00,143.00,143.00,0.00,1440.00,208740.00,0
2011-06-13,143.00,142.00,140.00,140.00,0.00,240.00,33680.00,0
2011-06-15,140.00,140.00,140.00,140.00,0.00,240.00,33600.00,0
2011-06-16,140.00,139.00,134.00,138.00,0.00,960.00,132890.00,0
2011-06-19,138.00,142.00,140.00,142.00,0.00,3100.00,434160.00,0
2011-06-20,138.00,142.00,140.00,142.00,0.00,3100.00,434160.00,0
2011-06-21,156.00,171.00,159.00,171.00,0.00,190.00,31830.00,0
2011-06-23,171.00,188.00,174.00,188.00,0.00,930.00,173100.00,0
2011-06-26,188.00,191.00,191.00,191.00,0.00,20.00,3820.00,0
2011-06-29,191.00,182.00,182.00,182.00,0.00,80.00,14560.00,0
2011-06-30,182.00,173.00,164.00,164.00,0.00,1420.00,242180.00,0
2011-07-04,164.00,156.00,150.00,154.00,0.00,330.00,50360.00,0
2011-07-05,154.00,156.00,151.00,156.00,0.00,370.00,56990.00,0
2011-07-06,156.00,156.00,153.00,153.00,0.00,760.00,118410.00,0
2011-07-07,153.00,153.00,153.00,153.00,0.00,60.00,9180.00,0
2011-07-10,153.00,168.00,150.00,168.00,0.00,850.00,132700.00,0
2011-07-11,168.00,168.00,168.00,168.00,0.00,20.00,3360.00,0
2011-07-12,168.00,165.00,165.00,165.00,0.00,290.00,47850.00,0
2011-07-13,165.00,177.00,167.00,174.00,0.00,560.00,96080.00,0
2011-07-14,174.00,171.00,171.00,171.00,0.00,50.00,8550.00,0
2011-07-17,171.00,174.00,174.00,174.00,0.00,160.00,27840.00,0
2011-07-18,174.00,177.00,171.00,171.00,0.00,280.00,48580.00,0
2011-07-19,171.00,168.00,162.00,162.00,0.00,520.00,86040.00,0
2011-07-20,162.00,163.00,158.00,161.00,0.00,1100.00,176710.00,0
2011-07-21,161.00,158.00,155.00,158.00,0.00,400.00,62120.00,0
2011-07-24,158.00,165.00,159.00,160.00,0.00,1060.00,169850.00,0
2011-07-25,160.00,160.00,151.00,151.00,0.00,1140.00,175860.00,0
2011-07-26,151.00,151.00,151.00,151.00,0.00,40.00,6040.00,0
2011-07-27,151.00,152.00,150.00,150.00,0.00,270.00,40530.00,0
2011-07-28,150.00,153.00,149.00,153.00,0.00,1610.00,240850.00,0
2011-07-31,153.00,159.00,150.00,159.00,0.00,820.00,124610.00,0
2011-08-01,159.00,158.00,156.00,157.00,0.00,810.00,127730.00,0
2011-08-02,157.00,166.00,157.00,166.00,0.00,360.00,58590.00,0
2011-08-03,166.00,171.00,165.00,170.00,0.00,1060.00,178200.00,0
2011-08-04,170.00,170.00,164.00,164.00,0.00,830.00,140260.00,0
2011-08-07,164.00,161.00,158.00,161.00,0.00,550.00,87440.00,0
2011-08-08,161.00,161.00,161.00,161.00,0.00,20.00,3220.00,0
2011-08-09,161.00,164.00,161.00,161.00,0.00,1490.00,244090.00,0
2011-08-10,161.00,164.00,163.00,164.00,0.00,110.00,18010.00,0
2011-08-11,164.00,161.00,154.00,155.00,0.00,1980.00,310540.00,0
2011-08-15,155.00,158.00,155.00,155.00,0.00,60.00,9450.00,0
2011-08-17,155.00,156.00,153.00,154.00,0.00,480.00,74330.00,0
2011-08-18,154.00,155.00,151.00,155.00,0.00,140.00,21380.00,0
2011-08-22,155.00,157.00,151.00,157.00,0.00,380.00,58650.00,0
2011-08-23,157.00,157.00,151.00,151.00,0.00,1410.00,218510.00,0
2011-08-24,151.00,151.00,148.00,148.00,0.00,300.00,44720.00,0
2011-08-28,148.00,150.00,146.00,150.00,0.00,480.00,71170.00,0
2011-08-29,150.00,153.00,148.00,149.00,0.00,1120.00,166490.00,0
2011-09-01,149.00,153.00,150.00,153.00,0.00,670.00,101240.00,0
2011-09-04,153.00,153.00,149.00,149.00,0.00,1190.00,180350.00,0
2011-09-05,149.00,152.00,147.00,148.00,0.00,1510.00,225560.00,0
2011-09-06,148.00,150.00,142.00,143.00,0.00,1090.00,156810.00,0
2011-09-07,143.00,141.00,139.00,140.00,0.00,340.00,47600.00,0
2011-09-08,140.00,144.00,138.00,144.00,0.00,1330.00,186210.00,0
2011-09-12,144.00,144.00,141.00,141.00,0.00,590.00,84430.00,0
2011-09-13,141.00,142.00,139.00,141.00,0.00,640.00,89830.00,0
2011-09-14,141.00,147.00,137.00,147.00,0.00,1020.00,144100.00,0
2011-09-15,147.00,145.00,141.00,141.00,0.00,160.00,22840.00,0
2011-09-18,141.00,143.00,139.00,143.00,0.00,240.00,33850.00,0
2011-09-19,143.00,147.00,141.00,147.00,0.00,750.00,107350.00,0
2011-09-20,147.00,149.00,147.00,147.00,0.00,320.00,47470.00,0
2011-09-21,147.00,146.00,143.00,146.00,0.00,400.00,58120.00,0
2011-09-22,146.00,151.00,146.00,151.00,0.00,690.00,102140.00,0
2011-09-25,151.00,150.00,148.00,150.00,0.00,300.00,44700.00,0
2011-09-26,150.00,153.00,147.00,153.00,0.00,520.00,78280.00,0
2011-09-27,153.00,155.00,153.00,153.00,0.00,150.00,23010.00,0
2011-09-29,153.00,168.00,156.00,160.00,0.00,4080.00,665840.00,0
2011-10-02,160.00,160.00,160.00,160.00,0.00,1060.00,169600.00,0
2011-10-09,160.00,164.00,160.00,164.00,0.00,40.00,6510.00,0
2011-10-10,164.00,164.00,164.00,164.00,0.00,30.00,4920.00,0
2011-10-12,164.00,168.00,162.00,167.00,0.00,290.00,47870.00,0
2011-10-13,167.00,168.00,162.00,162.00,0.00,910.00,151200.00,0
2011-10-16,162.00,165.00,160.00,164.00,0.00,1290.00,207710.00,0
2011-10-17,164.00,167.00,167.00,167.00,0.00,10.00,1670.00,0
2011-10-18,167.00,164.00,161.00,164.00,0.00,350.00,56850.00,0
2011-10-19,164.00,164.00,161.00,164.00,0.00,160.00,26120.00,0
2011-10-20,164.00,166.00,155.00,155.00,0.00,2270.00,356960.00,0
2011-10-23,155.00,160.00,155.00,159.00,0.00,5790.00,909440.00,0
2011-10-24,159.00,160.00,157.00,158.00,0.00,810.00,128600.00,0
2011-10-25,158.00,164.00,158.00,164.00,0.00,540.00,86900.00,0
2011-10-30,164.00,164.00,161.00,161.00,0.00,340.00,55640.00,0
2011-10-31,161.00,176.00,161.00,166.00,0.00,4890.00,815380.00,0
2011-11-02,166.00,172.00,169.00,172.00,0.00,20.00,3410.00,0
2011-11-03,172.00,178.00,172.00,172.00,0.00,840.00,148080.00,0
2011-11-06,172.00,175.00,169.00,172.00,0.00,750.00,128770.00,0
2011-11-08,172.00,171.00,167.00,169.00,0.00,800.00,135650.00,0
2011-11-09,169.00,170.00,168.00,168.00,0.00,690.00,116360.00,0
2011-11-10,168.00,168.00,165.00,165.00,0.00,270.00,44900.00,0
2011-11-13,165.00,167.00,162.00,164.00,0.00,160.00,26220.00,0
2011-11-14,164.00,169.00,164.00,165.00,0.00,850.00,140720.00,0
2011-11-15,165.00,165.00,162.00,162.00,0.00,2070.00,335700.00,0
2011-11-16,162.00,170.00,159.00,170.00,0.00,2190.00,362010.00,0
2011-11-17,170.00,171.00,168.00,171.00,0.00,520.00,88490.00,0
2011-11-20,171.00,171.00,166.00,166.00,0.00,700.00,117870.00,0
2011-11-21,166.00,166.00,163.00,163.00,0.00,480.00,78740.00,0
2011-11-22,163.00,163.00,160.00,162.00,0.00,2470.00,398420.00,0
2011-11-23,162.00,163.00,160.00,163.00,0.00,140.00,22550.00,0
2011-11-24,163.00,168.00,162.00,166.00,0.00,1250.00,205310.00,0
2011-11-27,166.00,163.00,162.00,163.00,0.00,760.00,123560.00,0
2011-11-28,163.00,165.00,163.00,165.00,0.00,80.00,13100.00,0
2011-12-01,169.00,166.00,163.00,165.00,0.00,410.00,67230.00,0
2011-12-04,165.00,163.00,160.00,163.00,0.00,320.00,51870.00,0
2011-12-05,163.00,166.00,160.00,166.00,0.00,270.00,43940.00,0
2011-12-06,166.00,165.00,165.00,165.00,0.00,110.00,18150.00,0
2011-12-07,165.00,167.00,167.00,167.00,0.00,30.00,5010.00,0
2011-12-08,167.00,168.00,165.00,165.00,0.00,470.00,78280.00,0
2011-12-11,165.00,167.00,163.00,163.00,0.00,690.00,114110.00,0
2011-12-12,163.00,165.00,161.00,165.00,0.00,340.00,55440.00,0
2011-12-13,165.00,166.00,162.00,164.00,0.00,770.00,126540.00,0
2011-12-14,164.00,164.00,161.00,164.00,0.00,150.00,24420.00,0
2011-12-15,164.00,169.00,165.00,169.00,0.00,450.00,75730.00,0
2011-12-19,169.00,170.00,169.00,169.00,0.00,490.00,83260.00,0
2011-12-20,169.00,173.00,165.00,173.00,0.00,420.00,70700.00,0
2011-12-21,173.00,173.00,167.00,170.00,0.00,2690.00,456910.00,0
2011-12-22,170.00,169.00,166.00,169.00,0.00,850.00,143020.00,0
