published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-19,598.0,598.0,542.0,589.0,0.0,81779.0,46328067.8,0
2023-12-20,589.0,647.8,515.0,613.9,4.23,58536.0,35432619.5,1
2023-12-21,615.0,617.0,585.0,601.8,-1.97,23695.0,14135698.2,-1
2023-12-24,610.0,620.0,573.0,590.0,-1.96,66610.0,39962240.5,-1
2023-12-27,590.0,617.0,588.3,601.0,1.86,48433.0,29242889.1,1
2023-12-28,590.0,623.7,590.0,623.7,3.78,47088.0,28614414.5,1
2024-01-01,612.0,624.0,596.1,598.0,-4.12,38801.0,23476972.8,-1
2024-01-02,598.0,598.0,575.0,575.9,-3.7,11352.0,6605156.1,-1
2024-01-03,587.0,587.0,557.3,577.0,0.19,14011.0,7953395.7,1
2024-01-04,582.4,597.0,565.0,579.0,0.35,18865.0,10824921.4,1
2024-01-07,567.5,579.0,556.7,557.0,-3.8,13668.0,7709400.6,-1
2024-01-08,557.0,588.8,556.0,578.3,3.82,13638.0,7789478.0,1
2024-01-09,580.0,596.0,565.0,569.0,-1.61,16183.0,9319918.2,-1
2024-01-10,558.0,600.0,558.0,565.0,-0.7,8167.0,4649795.3,-1
2024-01-11,555.0,577.4,553.7,568.0,0.53,17710.0,9999809.7,1
2024-01-14,565.0,575.0,560.0,564.0,-0.7,10130.0,5741639.7,-1
2024-01-16,575.0,575.2,565.0,571.0,1.24,20930.0,11913878.3,1
2024-01-17,579.5,580.0,561.2,569.0,-0.35,20555.0,11720546.7,-1
2024-01-18,558.0,580.3,558.0,568.0,-0.18,22940.0,13000376.1,-1
2024-01-21,560.0,571.0,557.6,557.6,-1.83,22047.0,12464603.8,-1
2024-01-22,547.0,568.7,547.0,547.5,-1.81,11332.0,6275144.9,-1
2024-01-23,542.0,558.4,535.0,540.0,-1.37,11015.0,5961191.6,-1
2024-01-24,530.1,561.0,529.0,529.0,-2.04,13505.0,7258711.4,-1
2024-01-25,539.0,539.5,525.0,530.0,0.19,12910.0,6821789.2,1
2024-01-28,530.0,539.5,526.0,534.0,0.75,5933.0,3151789.3,1
2024-01-29,526.2,545.0,526.2,544.0,1.87,10469.0,5614887.0,1
2024-01-30,541.0,561.8,541.0,554.0,1.84,15896.0,8793620.0,1
2024-01-31,550.0,554.0,531.0,538.0,-2.89,11111.0,6029756.0,-1
2024-02-01,528.1,535.0,525.0,525.0,-2.42,14113.0,7463508.0,-1
2024-02-04,525.0,525.0,516.1,516.1,-1.7,10730.0,5570828.2,-1
2024-02-05,510.1,535.0,510.0,524.0,1.53,8817.0,4594534.3,1
2024-02-06,530.0,534.4,515.0,525.0,0.19,9077.0,4767455.0,1
2024-02-07,533.0,535.4,525.0,529.9,0.93,11985.0,6336830.5,1
2024-02-08,521.3,535.0,521.3,526.0,-0.74,9429.0,4976215.2,-1
2024-02-11,525.0,534.0,518.0,526.0,0.0,9878.0,5192605.7,0
2024-02-12,526.0,530.0,523.0,528.1,0.4,8757.0,4612472.4,1
2024-02-13,520.0,529.0,518.0,525.0,-0.59,11201.0,5840294.8,-1
2024-02-14,514.5,528.0,514.5,523.0,-0.38,5802.0,3027037.1,-1
2024-02-15,517.2,523.0,511.0,518.0,-0.96,6932.0,3588826.9,-1
2024-02-18,508.9,530.0,508.9,514.0,-0.77,9705.0,4967724.3,-1
2024-02-20,510.0,515.0,510.0,514.0,0.0,6900.0,3535517.6,0
2024-02-21,515.0,524.0,508.0,514.0,0.0,8831.0,4544948.0,0
2024-02-22,506.5,520.0,505.0,510.0,-0.78,6806.0,3467436.4,-1
2024-02-25,508.0,519.8,499.0,501.5,-1.67,12596.0,6331039.1,-1
2024-02-26,511.5,511.5,493.0,500.0,-0.3,5715.0,2863761.7,-1
2024-02-27,490.2,510.0,490.2,492.0,-1.6,5407.0,2681505.7,-1
2024-02-28,501.0,503.0,493.2,495.0,0.61,4967.0,2458835.1,1
2024-02-29,497.2,497.2,489.0,493.0,-0.4,6715.0,3305553.6,-1
2024-03-03,493.0,496.0,480.5,491.5,-0.3,5753.0,2806814.4,-1
2024-03-04,500.0,530.6,500.0,530.6,7.96,240.0,124458.0,1
2024-03-05,540.2,540.2,498.0,507.0,-4.45,11605.0,5900130.4,-1
2024-03-06,517.1,517.1,490.0,499.0,-1.58,13104.0,6557831.0,-1
2024-03-07,499.0,510.0,494.0,506.0,1.4,5241.0,2638026.0,1
2024-03-10,512.0,515.0,503.0,513.0,1.38,10951.0,5584953.2,1
2024-03-12,520.0,555.0,520.0,550.0,7.21,37203.0,20071094.1,1
2024-03-13,555.0,566.0,545.0,550.0,0.0,21282.0,11754794.4,0
2024-03-14,550.0,553.0,529.1,531.0,-3.45,21099.0,11331253.6,-1
2024-03-17,531.0,535.0,520.5,529.0,-0.38,14765.0,7794855.8,-1
2024-03-18,528.0,530.0,520.0,526.1,-0.55,6473.0,3392099.5,-1
2024-03-19,526.0,550.0,520.6,544.0,3.4,36876.0,19882082.4,1
2024-03-20,550.0,550.0,533.0,533.0,-2.02,7493.0,4031593.7,-1
2024-03-21,524.1,538.9,524.1,532.0,-0.19,5452.0,2880307.5,-1
2024-03-25,527.0,529.0,521.1,526.0,-1.13,7041.0,3690738.7,-1
2024-03-26,525.0,536.0,518.0,523.0,-0.57,8240.0,4308441.3,-1
2024-03-27,512.9,523.0,512.9,517.9,-0.98,9426.0,4873761.6,-1
2024-03-28,510.1,528.0,510.0,517.9,0.0,6909.0,3538862.2,0
2024-03-31,510.0,518.0,508.0,509.0,-1.72,8992.0,4604259.9,-1
2024-04-01,504.0,517.0,504.0,514.0,0.98,6350.0,3227533.6,1
2024-04-02,505.4,515.9,500.1,512.0,-0.39,8781.0,4446027.6,-1
2024-04-03,512.0,519.0,510.0,515.0,0.59,5702.0,2933468.0,1
2024-04-04,510.0,515.0,508.1,511.0,-0.78,7877.0,4019795.2,-1
2024-04-07,508.0,538.0,504.0,525.0,2.74,13476.0,7005857.2,1
2024-04-09,525.0,533.0,516.0,516.0,-1.71,22833.0,11931976.9,-1
2024-04-10,516.0,521.0,512.0,512.4,-0.7,11433.0,5882754.3,-1
2024-04-14,508.1,513.0,505.0,508.0,-0.86,7178.0,3653364.9,-1
2024-04-15,500.2,510.0,500.2,508.0,0.0,5349.0,2712564.1,0
2024-04-16,505.5,508.0,500.0,505.5,-0.49,5211.0,2631286.8,-1
2024-04-18,505.5,505.5,499.0,499.3,-1.23,8680.0,4341237.4,-1
2024-04-21,490.0,509.0,490.0,509.0,1.94,5184.0,2579049.6,1
2024-04-22,518.9,518.9,495.0,501.0,-1.57,7244.0,3626358.3,-1
2024-04-24,491.0,502.0,491.0,497.0,-0.8,3807.0,1891294.8,-1
2024-04-25,491.0,497.0,491.0,495.0,-0.4,4899.0,2424485.1,-1
2024-04-28,503.0,513.0,495.0,501.8,1.37,7952.0,3976441.5,1
