published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-10-16,284.1,305.8,255.7,255.7,-10.0,23578.0,6326271.5,-1
2022-10-17,256.0,256.0,230.2,230.2,-9.97,7417.0,1710688.4,-1
2022-10-19,225.6,225.6,207.3,213.0,-7.47,46633.0,9830954.5,-1
2022-10-20,208.8,225.0,205.0,217.0,1.88,14121.0,3055821.1,1
2022-10-23,213.0,217.8,207.1,216.0,-0.46,7780.0,1660922.5,-1
2022-10-31,213.0,214.9,209.0,210.0,-2.78,11450.0,2427566.0,-1
2022-11-01,205.8,221.2,204.1,220.8,5.14,20105.0,4237046.9,1
2022-11-02,225.2,225.2,213.0,219.8,-0.45,19520.0,4280323.0,-1
2022-11-03,215.5,221.0,211.5,213.0,-3.09,8393.0,1807773.0,-1
2022-11-06,210.0,219.0,210.0,217.5,2.11,7350.0,1585612.0,1
2022-11-07,221.0,222.6,213.0,213.0,-2.07,27195.0,5938953.0,-1
2022-11-08,208.8,216.5,208.8,213.0,0.0,5581.0,1196512.5,0
2022-11-09,213.0,215.0,207.0,207.0,-2.82,7623.0,1606438.6,-1
2022-11-10,207.0,209.0,202.0,203.0,-1.93,12388.0,2528795.7,-1
2022-11-13,203.0,203.0,199.8,203.0,0.0,5337.0,1074898.8,0
2022-11-14,202.1,207.0,200.0,206.9,1.92,4600.0,934663.0,1
2022-11-15,203.0,206.5,200.0,202.0,-2.37,7171.0,1459286.1,-1
2022-11-16,202.0,209.0,200.9,203.0,0.5,8432.0,1715703.0,1
2022-11-17,203.0,212.8,203.0,206.0,1.48,11306.0,2364587.0,1
2022-11-22,202.1,211.0,202.1,204.2,-0.87,6585.0,1357139.3,-1
2022-11-23,201.3,214.5,201.3,214.4,5.0,7472.0,1526255.6,1
2022-11-24,211.0,215.0,205.0,211.0,-1.59,7005.0,1471709.5,-1
2022-11-27,207.0,215.2,207.0,212.0,0.47,7568.0,1584431.4,1
2022-11-28,208.0,216.2,208.0,211.8,-0.09,6509.0,1372940.0,-1
2022-11-29,207.8,212.0,205.2,210.0,-0.85,7070.0,1478290.5,-1
2022-11-30,210.0,214.0,206.0,208.0,-0.95,6690.0,1390918.0,-1
2022-12-01,205.0,211.0,204.8,210.9,1.39,7934.0,1653644.4,1
2022-12-04,210.0,218.4,209.0,209.1,-0.85,8006.0,1702168.8,-1
2022-12-05,209.0,211.1,202.4,204.0,-2.44,12794.0,2615164.8,-1
2022-12-06,201.0,210.0,201.0,204.5,0.25,6755.0,1387708.0,1
2022-12-07,200.8,205.0,200.8,201.5,-1.47,6620.0,1339905.2,-1
2022-12-11,201.6,201.6,198.0,198.0,-1.74,6901.0,1374769.0,-1
2022-12-12,201.9,203.5,195.0,202.0,2.02,3095.0,619057.0,1
2022-12-13,198.2,206.0,198.2,204.9,1.44,3333.0,673837.0,1
2022-12-14,208.9,208.9,199.9,204.0,-0.44,4530.0,914333.0,-1
2022-12-15,204.0,207.0,196.2,200.0,-1.96,6335.0,1263801.8,-1
2022-12-18,198.0,204.0,195.0,198.0,-1.0,6260.0,1238213.6,-1
2022-12-19,194.2,203.7,194.2,194.8,-1.62,13969.0,2733486.5,-1
2022-12-20,198.6,200.0,191.3,199.0,2.16,8085.0,1578761.5,1
2022-12-21,195.1,200.0,191.2,192.5,-3.27,4160.0,808503.0,-1
2022-12-22,190.0,196.0,190.0,196.0,1.82,3556.0,680676.1,1
2022-12-26,192.1,202.8,190.0,202.8,3.47,14025.0,2794071.0,1
2022-12-27,206.8,211.0,202.0,208.0,2.56,27582.0,5706989.0,1
2022-12-28,207.0,216.1,200.0,207.7,-0.14,22102.0,4636795.4,-1
2022-12-29,211.0,220.3,204.7,218.5,5.2,37682.0,8086387.6,1
2023-01-01,220.0,238.6,217.0,228.0,4.35,47259.0,10772533.2,1
2023-01-02,224.0,242.3,219.3,235.0,3.07,21228.0,4935750.5,1
