published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-06-04,380.0,373.0,373.0,373.0,0.0,10.0,3730.0,0
2015-06-07,373.0,382.0,373.0,374.0,0.0,3130.0,1170888.0,0
2015-06-08,374.0,370.0,359.0,360.0,0.0,794.0,287407.0,0
2015-06-09,360.0,372.0,365.0,372.0,0.0,548.0,201406.0,0
2015-06-11,372.0,366.0,366.0,366.0,0.0,10.0,3660.0,0
2015-06-23,366.0,359.0,352.0,352.0,0.0,412.0,146564.0,0
2015-06-24,352.0,359.0,345.0,345.0,0.0,600.0,209814.0,0
2015-06-29,345.0,379.0,345.0,379.0,0.0,2733.0,1009836.0,0
2015-06-30,379.0,405.0,385.0,405.0,0.0,5305.0,2093579.0,0
2015-07-01,405.0,421.0,405.0,408.0,0.0,3482.0,1444820.0,0
2015-07-02,408.0,407.0,379.0,379.0,0.0,634.0,249184.0,0
2015-07-06,379.0,381.0,378.0,381.0,0.0,732.0,277687.0,0
2015-07-07,381.0,375.0,375.0,375.0,0.0,155.0,58125.0,0
2015-07-08,375.0,368.0,368.0,368.0,0.0,61.0,22448.0,0
2015-07-09,368.0,375.0,375.0,375.0,0.0,200.0,75000.0,0
2015-07-12,375.0,375.0,368.0,368.0,0.0,530.0,195850.0,0
2015-07-13,368.0,367.0,355.0,367.0,0.0,2385.0,850662.0,0
2015-07-14,367.0,360.0,360.0,360.0,0.0,310.0,111600.0,0
2015-07-15,360.0,365.0,350.0,365.0,0.0,4147.0,1468835.0,0
2015-07-16,365.0,365.0,350.0,350.0,0.0,3017.0,1063434.0,0
2015-07-22,350.0,350.0,339.0,345.0,0.0,990.0,338039.0,0
2015-07-23,345.0,346.0,345.0,345.0,0.0,385.0,132925.0,0
2015-07-26,345.0,358.0,351.0,358.0,0.0,23.0,8143.0,0
2015-07-27,358.0,365.0,360.0,360.0,0.0,257.0,92830.0,0
2015-07-28,360.0,355.0,345.0,345.0,0.0,1313.0,453205.0,0
