published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-12,136.0,136.0,136.0,136.0,nan,60.0,8160.0,0
2011-05-19,136.0,135.0,135.0,135.0,-0.74,21840.0,2948400.0,0
2011-05-22,135.0,135.0,135.0,135.0,0.0,280.0,37800.0,0
2011-05-23,135.0,135.0,135.0,135.0,0.0,2800.0,378000.0,0
2011-06-02,135.0,135.0,135.0,135.0,0.0,400.0,54000.0,0
2011-09-06,135.0,133.0,133.0,133.0,-1.48,20.0,2660.0,0
2011-10-19,133.0,131.0,131.0,131.0,-1.50,3890.0,509590.0,0
2012-01-16,131.0,129.0,129.0,129.0,-1.53,160.0,20640.0,0
2012-01-22,129.0,129.0,129.0,129.0,0.0,4800.0,619200.0,0
2012-01-31,129.0,127.0,127.0,127.0,-1.55,20.0,2540.0,0
2012-03-01,127.0,129.0,129.0,129.0,1.57,1000.0,129000.0,0
2012-03-04,129.0,133.0,131.0,133.0,3.10,1950.0,257410.0,0
2012-03-05,133.0,137.0,135.0,137.0,3.01,2000.0,272000.0,0
2012-03-06,137.0,143.0,139.0,143.0,4.38,2280.0,322920.0,0
2012-03-12,143.0,145.0,145.0,145.0,1.40,480.0,69600.0,0
2012-03-18,145.0,143.0,143.0,143.0,-1.38,1090.0,155870.0,0
2012-03-27,143.0,141.0,139.0,139.0,-2.80,2170.0,301650.0,0
2012-03-28,139.0,139.0,139.0,139.0,0.0,1260.0,175140.0,0
2012-04-01,139.0,137.0,135.0,135.0,-2.88,4810.0,649370.0,0
2012-04-08,135.0,133.0,131.0,131.0,-2.96,5210.0,682530.0,0
2012-04-12,131.0,129.0,127.0,127.0,-3.05,4600.0,584220.0,0
2012-05-20,127.0,129.0,129.0,129.0,1.57,700.0,90300.0,0
2012-05-29,129.0,127.0,125.0,125.0,-3.10,4010.0,501270.0,0
2012-05-30,125.0,125.0,125.0,125.0,0.0,800.0,100000.0,0
2012-06-17,125.0,125.0,125.0,125.0,0.0,200.0,25000.0,0
2014-04-21,125.0,125.0,125.0,125.0,0.0,120.0,15000.0,0
2014-04-22,125.0,123.0,123.0,123.0,-1.60,140.0,17220.0,0
2014-04-23,123.0,121.0,121.0,121.0,-1.63,120.0,14520.0,0
2014-05-28,121.0,119.0,117.0,117.0,-3.31,140.0,16420.0,0
2014-06-01,117.0,115.0,115.0,115.0,-1.71,20.0,2300.0,0
2014-06-03,115.0,113.0,113.0,113.0,-1.74,120.0,13560.0,0
2014-06-05,113.0,111.0,111.0,111.0,-1.77,560.0,62160.0,0
2014-06-18,111.0,113.0,113.0,113.0,1.80,120.0,13560.0,0
2014-07-06,113.0,111.0,111.0,111.0,-1.77,480.0,53280.0,0
2014-07-15,111.0,109.0,109.0,109.0,-1.80,200.0,21800.0,0
2014-07-16,109.0,111.0,110.0,110.0,0.92,240.0,26560.0,0
2014-07-17,110.0,115.0,112.0,115.0,4.55,400.0,45400.0,0
2014-07-30,115.0,119.0,104.0,112.0,-2.61,115560.0,12353780.0,0
2014-08-03,112.0,116.0,112.0,116.0,3.57,14280.0,1628320.0,0
