published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-08,10.0,10.0,9.81,9.81,0.0,200.0,1981.0,0
2023-06-11,9.62,9.62,9.62,9.62,-1.94,161.0,1548.82,-1
2023-06-12,9.43,9.43,8.65,8.65,-10.08,2200.0,19241.0,-1
2023-06-13,8.65,8.65,7.78,8.31,-3.93,21100.0,166071.0,-1
2023-06-14,8.45,8.47,8.31,8.31,0.0,7800.0,65692.0,0
2023-06-15,8.15,8.15,8.05,8.05,-3.13,2600.0,21110.0,-1
2023-06-18,7.9,8.35,7.9,8.25,2.48,8700.0,71904.0,1
2023-06-19,8.11,8.37,8.11,8.25,0.0,2700.0,22122.0,0
2023-06-20,8.25,8.25,8.22,8.25,0.0,600.0,4944.0,0
2023-06-21,8.15,8.25,8.15,8.2,-0.61,600.0,4915.0,-1
2023-06-22,8.2,8.2,8.06,8.19,-0.12,900.0,7312.0,-1
2023-06-25,8.19,8.4,8.19,8.26,0.85,29900.0,250963.0,1
2023-06-26,8.1,8.39,8.1,8.27,0.12,6400.0,52861.0,1
2023-06-27,8.2,8.51,8.2,8.51,2.9,14200.0,117649.0,1
2023-06-28,8.34,8.6,8.34,8.6,1.06,2200.0,18755.0,1
2023-07-02,8.45,8.72,8.45,8.72,1.4,24400.0,210266.0,1
2023-07-03,8.7,8.7,8.56,8.56,-1.83,900.0,7718.0,-1
2023-07-04,8.42,8.55,8.4,8.55,-0.12,6500.0,54775.0,-1
2023-07-05,8.4,8.55,8.4,8.55,0.0,6800.0,57135.0,0
2023-07-06,8.4,8.5,8.4,8.5,-0.58,1700.0,14341.0,-1
2023-07-09,8.35,8.5,8.35,8.5,0.0,1800.0,15074.0,0
2023-07-10,8.4,8.45,8.4,8.4,-1.18,61000.0,513450.0,-1
2023-07-11,8.4,8.56,8.15,8.15,-2.98,119400.0,983104.0,-1
2023-07-12,8.3,8.76,8.16,8.59,5.4,126400.0,1060920.0,1
2023-07-13,8.76,9.44,8.59,9.15,6.52,34900.0,312474.0,1
2023-07-16,9.33,10.06,8.97,9.9,8.2,102900.0,1005202.7,1
2023-07-17,9.71,9.9,9.71,9.71,-1.92,312800.0,3094326.0,-1
2023-07-19,9.52,9.52,9.52,9.52,-1.96,1000.0,9520.0,-1
2023-07-23,9.33,9.33,9.12,9.3,-2.31,11300.0,105332.0,-1
2023-08-02,9.12,9.12,8.37,8.37,-10.0,8100.0,69052.1,-1
2023-08-03,8.21,8.37,8.21,8.34,-0.36,2300.0,19064.0,-1
2023-08-06,8.2,8.26,8.15,8.15,-2.28,4700.0,38645.0,-1
2023-08-07,8.15,8.15,8.1,8.12,-0.37,1200.0,9753.0,-1
2023-08-08,7.98,8.16,7.91,7.93,-2.34,36400.0,291992.0,-1
2023-08-09,7.89,8.05,7.89,8.05,1.51,1800.0,14322.0,1
2023-08-10,7.91,8.11,7.91,8.11,0.75,5400.0,43730.0,1
2023-08-13,8.02,8.11,8.02,8.11,0.0,2300.0,18492.0,0
