published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-05,249.3,274.2,249.3,274.2,9.99,1610.0,440365.6,1
2023-07-06,279.6,301.6,279.6,301.6,9.99,24638.0,7428062.8,1
2023-07-09,307.6,331.7,307.6,331.7,9.98,16525.0,5478942.1,1
2023-07-10,338.3,364.8,332.5,364.8,9.98,32047.0,11550826.1,1
2023-07-11,372.0,401.2,365.0,401.2,9.98,10100.0,4016220.0,1
2023-07-12,401.0,415.0,361.1,361.1,-10.0,38727.0,14186587.3,-1
2023-07-13,360.0,363.0,333.2,357.0,-1.14,18418.0,6528373.1,-1
2023-07-16,357.0,364.0,350.1,353.2,-1.06,11229.0,3961376.5,-1
2023-07-17,346.2,358.0,346.2,354.0,0.23,8094.0,2864496.0,1
2023-07-18,361.0,361.0,351.0,355.9,0.54,6348.0,2246927.0,1
2023-07-19,351.0,360.0,345.1,356.0,0.03,9470.0,3380191.4,1
2023-07-20,349.0,373.0,348.9,370.0,3.93,8862.0,3216819.0,1
2023-07-23,377.4,394.0,364.0,393.0,6.22,19522.0,7562376.6,1
2023-07-24,394.0,410.0,387.0,387.1,-1.5,14517.0,5774490.2,-1
2023-07-25,387.1,396.7,382.5,392.0,1.27,7470.0,2930691.0,1
2023-07-26,388.1,414.0,385.1,399.1,1.81,28481.0,11525108.3,1
2023-07-27,393.0,407.0,393.0,399.0,-0.03,8170.0,3266926.0,-1
2023-07-30,393.0,399.0,375.0,379.0,-5.01,11435.0,4404189.0,-1
2023-07-31,379.0,389.6,370.0,370.0,-2.37,7720.0,2917521.5,-1
2023-08-01,364.2,377.4,363.0,369.0,-0.27,6236.0,2295201.4,-1
2023-08-02,370.0,376.0,356.0,368.9,-0.03,4650.0,1692880.0,-1
2023-08-03,366.0,387.0,363.0,364.0,-1.33,6635.0,2439168.7,-1
2023-08-06,370.0,370.0,348.6,360.0,-1.1,12912.0,4622432.2,-1
2023-08-07,352.8,369.0,352.8,363.8,1.06,6726.0,2435925.8,1
2023-08-08,363.0,367.0,352.0,357.7,-1.68,6007.0,2145235.9,-1
2023-08-09,350.6,361.9,342.1,360.0,0.64,4207.0,1468118.8,1
2023-08-10,353.0,360.0,346.2,355.0,-1.39,6112.0,2145246.8,-1
2023-08-13,348.0,357.0,348.0,357.0,0.56,8525.0,2985533.0,1
2023-08-14,351.0,355.0,345.2,348.0,-2.52,2112.0,740709.0,-1
2023-08-15,345.0,350.8,331.0,336.0,-3.45,5590.0,1902883.2,-1
2023-08-16,330.1,345.0,330.0,339.0,0.89,5525.0,1845754.5,1
2023-08-17,332.4,345.7,332.4,344.0,1.47,2902.0,980610.5,1
2023-08-20,337.2,340.0,326.0,327.1,-4.91,4500.0,1486155.0,-1
2023-08-21,322.0,328.0,316.2,322.0,-1.56,5200.0,1662882.6,-1
2023-08-22,315.6,326.4,310.2,325.0,0.93,3427.0,1075250.4,1
2023-08-23,318.5,336.0,312.2,336.0,3.38,2529.0,822921.8,1
2023-08-24,334.0,340.0,307.4,310.0,-7.74,11928.0,3779191.0,-1
2023-08-27,304.1,316.2,296.2,316.2,2.0,9355.0,2805571.4,1
2023-08-28,310.0,326.0,297.8,315.0,-0.38,2010.0,625616.0,-1
2023-08-29,308.7,321.0,303.5,310.0,-1.59,1425.0,437409.0,-1
2023-08-30,315.0,315.0,298.0,300.0,-3.23,3166.0,953793.0,-1
2023-09-03,300.0,310.0,290.3,305.0,1.67,1730.0,514995.0,1
2023-09-04,299.0,308.0,295.0,308.0,0.98,4992.0,1500470.0,1
2023-09-05,301.9,306.0,296.1,306.0,-0.65,1680.0,506004.0,-1
2023-09-07,299.9,301.0,294.1,298.2,-2.55,630.0,187622.0,-1
2023-09-10,298.2,312.0,295.1,305.0,2.28,1616.0,490720.6,1
2023-09-11,305.0,316.2,303.5,312.3,2.39,4324.0,1351644.0,1
2023-09-12,312.2,314.2,302.0,310.0,-0.74,1729.0,532789.0,-1
2023-09-13,303.8,324.0,303.8,324.0,4.52,4234.0,1336635.6,1
2023-09-17,317.6,319.0,306.0,312.0,-3.7,4946.0,1546154.8,-1
2023-09-18,305.9,318.4,305.9,317.9,1.89,1830.0,575603.0,1
2023-09-19,324.0,333.0,308.3,329.9,3.77,2855.0,923471.0,1
2023-09-21,336.4,358.0,324.0,344.9,4.55,6367.0,2175155.3,1
2023-09-24,345.0,364.0,332.1,349.0,1.19,9444.0,3284312.8,1
2023-09-25,342.1,371.0,338.0,367.0,5.16,12733.0,4576246.6,1
2023-09-26,374.0,380.0,360.4,374.8,2.13,9825.0,3622675.4,1
2023-09-27,372.0,378.0,347.2,365.0,-2.61,5521.0,1985468.3,-1
2023-10-01,365.0,371.9,342.0,349.0,-4.38,8086.0,2821026.1,-1
2023-10-02,342.2,360.0,330.1,356.0,2.01,6471.0,2256515.6,1
2023-10-03,354.0,379.0,343.0,369.9,3.9,17451.0,6440763.9,1
2023-10-04,366.0,386.9,366.0,384.6,3.97,15114.0,5734567.9,1
2023-10-05,391.9,392.2,372.9,375.0,-2.5,4215.0,1591244.5,-1
2023-10-08,382.0,382.0,358.0,360.0,-4.0,7913.0,2872592.0,-1
2023-10-09,353.2,371.7,353.2,363.0,0.83,7701.0,2793416.0,1
2023-10-10,370.0,376.9,342.4,343.1,-5.48,11406.0,3977459.6,-1
2023-10-11,344.0,357.5,336.5,350.0,2.01,6690.0,2317995.0,1
2023-10-12,357.0,363.8,335.0,339.0,-3.14,5980.0,2047021.0,-1
2023-10-16,332.3,338.6,329.3,335.0,-1.18,6140.0,2040176.5,-1
2023-10-17,335.0,345.9,330.0,334.2,-0.24,2881.0,962167.6,-1
2023-10-18,328.1,349.7,328.1,345.8,3.47,5332.0,1805494.2,1
2023-10-19,338.9,344.4,332.1,344.4,-0.4,2481.0,839708.8,-1
2023-10-29,337.6,340.0,328.0,337.9,-1.89,2080.0,691245.6,-1
2023-10-30,332.0,339.0,326.6,333.0,-1.45,1600.0,532242.0,-1
2023-10-31,326.4,331.5,321.0,329.0,-1.2,1071.0,347841.0,-1
2023-11-01,324.0,353.9,316.6,353.9,7.57,4590.0,1512378.7,1
2023-11-02,346.9,346.9,322.2,327.5,-7.46,3210.0,1054417.9,-1
2023-11-05,324.0,327.0,318.2,327.0,-0.15,1105.0,356793.0,-1
2023-11-06,333.0,333.9,321.0,333.9,2.11,1835.0,606714.5,1
2023-11-07,340.5,340.5,324.1,333.0,-0.27,783.0,261322.0,-1
2023-11-08,336.0,336.0,324.0,332.9,-0.03,1240.0,407082.0,-1
2023-11-09,339.0,339.0,325.7,334.5,0.48,2161.0,713213.2,1
2023-11-20,334.5,339.8,325.0,334.3,-0.06,2256.0,747760.5,-1
2023-11-21,340.0,340.0,320.0,334.4,0.03,1210.0,391277.0,1
2023-11-22,340.0,340.0,322.2,332.0,-0.72,2760.0,905986.0,-1
2023-11-23,325.4,356.7,319.0,344.0,3.61,3996.0,1334198.4,1
2023-11-26,337.2,378.0,331.0,378.0,9.88,26925.0,9935557.4,1
2023-11-27,378.0,407.0,370.6,399.0,5.56,35925.0,14282333.4,1
2023-11-28,395.0,402.9,387.3,398.0,-0.25,13436.0,5327290.0,-1
2023-11-29,390.2,422.0,378.0,380.0,-4.52,19349.0,7499722.0,-1
2023-11-30,372.5,377.0,365.0,374.9,-1.34,7610.0,2811676.5,-1
2023-12-03,367.5,379.4,360.6,368.7,-1.65,4501.0,1659079.7,-1
2023-12-04,361.5,398.0,361.5,373.1,1.19,6351.0,2397212.5,1
2023-12-05,365.7,381.0,365.7,376.3,0.86,5843.0,2160107.7,1
2023-12-06,382.9,382.9,364.1,372.0,-1.14,5845.0,2193142.0,-1
2023-12-07,379.0,379.0,364.8,374.5,0.67,7573.0,2811631.2,1
2023-12-10,381.9,390.0,381.9,389.5,4.01,4305.0,1668366.5,1
2023-12-11,397.2,397.2,370.1,379.5,-2.57,17255.0,6547074.0,-1
2023-12-12,372.0,390.0,367.3,385.9,1.69,9167.0,3447693.6,1
2023-12-13,378.2,399.3,375.0,389.0,0.8,12626.0,4879344.5,1
2023-12-14,382.0,395.7,376.3,389.0,0.0,8472.0,3281958.6,0
2023-12-17,382.0,427.9,382.0,427.9,10.0,37980.0,15781185.5,1
2023-12-18,427.9,442.0,410.0,428.0,0.02,11160.0,4749669.0,1
2023-12-19,425.0,436.5,409.9,436.5,1.99,12154.0,5102462.6,1
2023-12-20,430.1,440.0,414.2,440.0,0.8,20746.0,8849718.8,1
2023-12-21,431.2,436.0,415.0,415.0,-5.68,11895.0,5039069.7,-1
2023-12-24,407.1,432.0,407.1,427.0,2.89,14471.0,6104961.0,1
2023-12-27,435.5,435.5,415.1,420.0,-1.64,14062.0,5974255.0,-1
2023-12-28,417.1,427.5,412.1,420.1,0.02,9398.0,3936358.5,1
2024-01-01,420.0,435.0,411.8,411.8,-1.98,16251.0,6880786.6,-1
2024-01-02,411.8,416.0,399.9,403.0,-2.14,12673.0,5155215.5,-1
2024-01-03,403.0,414.0,403.0,414.0,2.73,5683.0,2329030.0,1
2024-01-04,422.0,454.0,414.1,439.0,6.04,31533.0,13759078.2,1
2024-01-07,447.7,450.8,416.5,422.0,-3.87,40592.0,17519031.8,-1
2024-01-08,415.0,446.0,415.0,442.9,4.95,20506.0,8946317.3,1
2024-01-09,435.0,477.9,435.0,459.0,3.64,41854.0,19125675.2,1
2024-01-10,451.0,468.1,446.0,450.0,-1.96,10877.0,4917359.6,-1
2024-01-11,445.0,459.0,444.0,454.9,1.09,15540.0,6992437.2,1
2024-01-14,463.8,498.7,457.0,492.0,8.16,26988.0,12861765.9,1
2024-01-16,501.8,503.0,482.0,483.0,-1.83,19717.0,9666301.8,-1
2024-01-17,492.5,494.5,445.0,460.0,-4.76,22516.0,10519944.3,-1
2024-01-18,469.2,469.2,429.3,440.0,-4.35,16499.0,7339925.8,-1
2024-01-21,448.0,466.0,447.2,449.0,2.05,19825.0,9053707.7,1
2024-01-22,455.0,458.0,432.0,437.0,-2.67,9239.0,4068591.1,-1
2024-01-23,440.0,446.0,430.2,444.0,1.6,6841.0,3011406.0,1
2024-01-24,452.0,453.2,435.8,437.0,-1.58,12224.0,5402023.5,-1
