published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-31,319.0,350.9,319.0,322.1,0.97,97653.0,32789341.3,1
2022-09-01,322.0,322.0,298.1,308.0,-4.38,31303.0,9534637.6,-1
2022-09-02,308.0,313.0,298.4,308.9,0.29,8910.0,2709357.0,1
2022-09-04,310.0,322.0,302.7,310.0,0.36,15867.0,4885445.3,1
2022-09-05,305.1,312.0,304.0,307.0,-0.97,13743.0,4227495.1,-1
2022-09-06,303.0,307.0,299.0,299.0,-2.61,12826.0,3870205.1,-1
2022-09-07,293.2,296.0,287.3,296.0,-1.0,9955.0,2901040.8,-1
2022-09-08,296.0,310.0,287.0,303.0,2.36,13203.0,3946593.5,1
2022-09-11,297.0,309.0,293.0,298.0,-1.65,8300.0,2469996.0,-1
2022-09-12,297.0,297.0,284.2,291.0,-2.35,11426.0,3330455.0,-1
2022-09-13,291.0,299.8,285.0,295.1,1.41,6500.0,1902710.0,1
2022-09-14,289.2,304.0,289.2,300.0,1.66,14405.0,4309966.0,1
2022-09-15,294.0,302.1,279.0,284.0,-5.33,16379.0,4690389.2,-1
2022-09-16,278.4,278.4,263.7,274.0,-3.52,10641.0,2860098.1,-1
2022-09-18,268.6,278.0,249.9,254.0,-7.3,22806.0,5872715.5,-1
2022-09-20,249.0,249.0,235.0,239.9,-5.55,8516.0,2033806.2,-1
2022-09-21,244.6,244.6,232.4,232.4,-3.13,5731.0,1359473.9,-1
2022-09-22,232.4,232.5,225.2,230.0,-1.03,8612.0,1960000.7,-1
2022-09-25,225.4,225.4,217.0,224.0,-2.61,6236.0,1366947.6,-1
2022-09-27,224.0,242.0,216.7,231.0,3.13,4490.0,1016435.0,1
2022-09-28,226.4,240.3,209.0,217.0,-6.06,5269.0,1162605.0,-1
2022-09-29,215.1,225.7,215.1,220.9,1.8,1820.0,401408.0,1
2022-10-09,220.0,229.0,216.0,226.0,2.31,3347.0,749813.2,1
2022-10-10,221.5,225.0,216.0,216.1,-4.38,5525.0,1211820.5,-1
2022-10-11,216.0,224.0,212.1,224.0,3.66,2855.0,609047.5,1
2022-10-12,219.6,224.0,209.0,220.5,-1.56,3706.0,804073.1,-1
2022-10-13,216.1,224.0,212.8,215.2,-2.4,4501.0,974384.1,-1
2022-10-16,212.0,222.0,212.0,222.0,3.16,5782.0,1247468.6,1
2022-10-17,218.0,222.3,214.0,218.0,-1.8,3480.0,754879.0,-1
2022-10-19,213.7,216.0,210.0,210.4,-3.49,5745.0,1219205.3,-1
2022-10-20,206.2,214.0,203.1,210.0,-0.19,4795.0,992030.0,-1
2022-10-23,206.0,211.1,204.0,210.0,0.0,2980.0,619044.0,0
2022-10-31,206.0,211.1,206.0,207.0,-1.43,3090.0,640014.0,-1
2022-11-01,203.3,219.9,203.3,217.1,4.88,7940.0,1682310.0,1
2022-11-02,215.0,221.4,211.5,220.0,1.34,4035.0,877813.0,1
2022-11-03,220.0,227.6,215.0,219.0,-0.45,9907.0,2186959.4,-1
2022-11-06,223.0,227.0,211.0,227.0,3.65,6887.0,1517877.7,1
2022-11-07,222.5,234.0,219.0,223.0,-1.76,13987.0,3149150.0,-1
2022-11-08,220.0,223.9,218.0,223.0,0.0,5053.0,1111271.4,0
2022-11-09,220.0,220.0,211.8,213.0,-4.48,3187.0,686072.5,-1
2022-11-10,210.0,210.5,205.0,206.0,-3.29,5084.0,1052469.5,-1
2022-11-13,206.0,210.0,203.1,206.0,0.0,3170.0,650835.0,0
2022-11-14,202.0,214.9,202.0,214.9,4.32,4634.0,955833.0,1
2022-11-15,210.7,213.0,200.0,207.0,-3.68,12238.0,2518272.1,-1
2022-11-16,205.0,215.0,203.0,214.0,3.38,4122.0,862838.4,1
2022-11-17,210.0,218.0,210.0,217.0,1.4,7249.0,1554747.3,1
2022-11-22,213.0,221.0,205.0,214.0,-1.38,11898.0,2493710.3,-1
2022-11-23,209.8,210.0,206.0,209.9,-1.92,1615.0,335218.0,-1
2022-11-24,206.0,212.0,206.0,209.0,-0.43,2511.0,523622.3,-1
2022-11-27,205.1,215.2,205.1,213.0,1.91,11132.0,2341293.5,1
2022-11-28,212.0,217.2,207.3,213.0,0.0,5350.0,1125409.0,0
2022-11-29,208.8,211.9,208.0,211.8,-0.56,4270.0,895215.0,-1
2022-11-30,207.7,213.0,207.7,212.0,0.09,2200.0,462677.0,1
2022-12-01,216.2,217.2,208.3,211.0,-0.47,6485.0,1382876.0,-1
2022-12-04,210.0,217.0,208.1,214.0,1.42,11536.0,2463065.7,1
2022-12-05,210.0,217.9,208.0,211.8,-1.03,4759.0,1004003.0,-1
2022-12-06,210.0,212.9,207.7,212.9,0.52,5597.0,1173195.6,1
2022-12-07,217.1,217.1,206.2,208.0,-2.3,2910.0,603818.6,-1
2022-12-11,204.1,208.0,201.2,205.0,-1.44,9442.0,1917874.4,-1
2022-12-12,201.2,210.0,201.2,207.0,0.98,4140.0,851535.0,1
2022-12-13,210.9,211.0,203.0,207.9,0.43,1130.0,232889.0,1
2022-12-14,207.9,208.0,204.0,205.0,-1.39,5389.0,1107641.7,-1
2022-12-15,202.0,205.0,202.0,205.0,0.0,4137.0,845035.9,0
2022-12-18,201.0,202.5,197.2,200.0,-2.44,6020.0,1202132.0,-1
2022-12-19,198.0,200.0,194.1,200.0,0.0,4260.0,840369.0,0
2022-12-20,196.0,204.0,196.0,200.8,0.4,5670.0,1136353.0,1
2022-12-21,196.9,200.3,193.2,198.0,-1.39,3170.0,624268.0,-1
2022-12-22,198.5,199.8,191.6,199.8,0.91,2490.0,487196.0,1
2022-12-26,196.0,208.8,196.0,207.0,3.6,7353.0,1508760.0,1
2022-12-27,208.0,222.3,208.0,220.0,6.28,33037.0,7084442.1,1
2022-12-28,224.4,224.4,212.1,218.9,-0.5,11505.0,2483099.0,-1
2022-12-29,223.2,237.6,210.3,237.6,8.54,17926.0,3971564.6,1
2023-01-01,238.0,241.4,223.6,230.0,-3.2,38315.0,8818721.1,-1
2023-01-02,226.0,235.6,221.0,235.6,2.43,13861.0,3172755.2,1
2023-01-03,240.3,240.3,226.4,231.0,-1.95,14031.0,3238102.5,-1
2023-01-04,231.0,247.0,224.5,247.0,6.93,28218.0,6745244.9,1
