published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-07-24,428.00,470.00,436.00,470.00,0.00,216.00,100607.00,0
2014-07-30,470.00,488.00,479.00,488.00,0.00,105.00,51141.00,0
2014-07-31,488.00,497.00,497.00,497.00,0.00,19.00,9443.00,0
2014-08-03,497.00,541.00,521.00,541.00,0.00,52.00,27422.00,0
2014-08-04,541.00,595.00,551.00,595.00,0.00,88.00,51150.00,0
2014-08-05,595.00,642.00,606.00,642.00,0.00,44.00,27456.00,0
2014-08-06,642.00,706.00,654.00,706.00,0.00,1816.00,1279652.00,0
2014-08-07,706.00,765.00,706.00,750.00,0.00,29164.00,21297738.00,0
2014-08-12,750.00,779.00,740.00,775.00,0.00,12376.00,9437840.00,0
2014-08-13,775.00,780.00,755.00,772.00,0.00,11270.00,8629110.00,0
2014-08-14,772.00,764.00,745.00,751.00,0.00,7896.00,5982425.00,0
2014-08-18,751.00,751.00,700.00,710.00,0.00,6394.00,4693764.00,0
2014-08-19,710.00,722.00,700.00,719.00,0.00,5855.00,4176914.00,0
2014-08-20,719.00,715.00,688.00,701.00,0.00,4859.00,3419529.00,0
2014-08-21,701.00,689.00,645.00,689.00,0.00,4349.00,2911504.00,0
2014-08-24,689.00,699.00,657.00,670.00,0.00,3226.00,2205419.00,0
2014-08-25,670.00,670.00,605.00,620.00,0.00,2945.00,1839716.00,0
2014-08-26,620.00,644.00,610.00,622.00,0.00,4164.00,2619518.00,0
2014-08-27,622.00,670.00,632.00,660.00,0.00,3426.00,2243079.00,0
2014-08-28,660.00,691.00,660.00,681.00,0.00,2421.00,1648758.00,0
2014-08-31,681.00,690.00,644.00,658.00,0.00,3734.00,2512513.00,0
2014-09-01,658.00,655.00,605.00,647.00,0.00,3783.00,2355721.00,0
2014-09-03,647.00,655.00,598.00,635.00,0.00,2737.00,1741989.00,0
2014-09-04,635.00,625.00,600.00,624.00,0.00,3897.00,2400094.00,0
2014-09-07,624.00,622.00,580.00,585.00,0.00,1096.00,650191.00,0
2014-09-09,585.00,615.00,574.00,606.00,0.00,2883.00,1736448.00,0
2014-09-10,606.00,630.00,593.00,605.00,0.00,7050.00,4265443.00,0
2014-09-11,605.00,602.00,569.00,602.00,0.00,1977.00,1162448.00,0
2014-09-14,602.00,600.00,570.00,583.00,0.00,2158.00,1268510.00,0
2014-09-15,583.00,600.00,565.00,575.00,0.00,1266.00,737506.00,0
2014-09-16,575.00,603.00,576.00,594.00,0.00,1370.00,803797.00,0
2014-09-17,594.00,594.00,580.00,582.00,0.00,2786.00,1633017.00,0
2014-09-18,582.00,580.00,563.00,577.00,0.00,1181.00,672775.00,0
2014-09-21,577.00,575.00,546.00,550.00,0.00,3171.00,1764970.00,0
2014-09-22,550.00,605.00,544.00,560.00,0.00,2743.00,1516421.00,0
2014-09-23,560.00,592.00,505.00,580.00,0.00,2286.00,1301216.00,0
2014-09-24,580.00,575.00,555.00,565.00,0.00,1805.00,1019458.00,0
2014-09-28,565.00,570.00,514.00,545.00,0.00,2120.00,1158557.00,0
2014-09-29,545.00,595.00,546.00,586.00,0.00,2490.00,1445277.00,0
2014-09-30,586.00,603.00,580.00,585.00,0.00,3547.00,2096651.00,0
2014-10-08,585.00,607.00,579.00,583.00,0.00,1479.00,871952.00,0
2014-10-09,583.00,594.00,574.00,580.00,0.00,2171.00,1258273.00,0
2014-10-12,580.00,585.00,575.00,580.00,0.00,2731.00,1582800.00,0
2014-10-13,580.00,577.00,555.00,562.00,0.00,2384.00,1352752.00,0
2014-10-14,562.00,580.00,562.00,580.00,0.00,2238.00,1267357.00,0
2014-10-15,580.00,590.00,571.00,583.00,0.00,10544.00,6124667.00,0
2014-10-16,583.00,585.00,570.00,575.00,0.00,977.00,565738.00,0
2014-10-19,575.00,584.00,580.00,584.00,0.00,64.00,37200.00,0
2014-10-21,584.00,581.00,570.00,575.00,0.00,2964.00,1705666.00,0
2014-10-22,575.00,590.00,567.00,579.00,0.00,3075.00,1769390.00,0
2014-10-26,579.00,585.00,569.00,580.00,0.00,2762.00,1596206.00,0
2014-10-27,580.00,591.00,580.00,585.00,0.00,6961.00,4084743.00,0
2014-10-28,585.00,584.00,568.00,575.00,0.00,8981.00,5171062.00,0
2014-10-30,575.00,577.00,555.00,560.00,0.00,15328.00,8678147.00,0
2014-11-02,509.00,509.00,499.00,501.00,0.00,209.00,104726.00,0
2014-11-03,501.00,491.00,482.00,485.00,0.00,92.00,44875.00,0
2014-11-04,485.00,510.00,494.00,510.00,0.00,351.00,175288.00,0
2014-11-05,510.00,533.00,500.00,520.00,0.00,1448.00,736573.00,0
2014-11-06,520.00,529.00,517.00,520.00,0.00,942.00,489935.00,0
2014-11-09,520.00,520.00,510.00,510.00,0.00,159.00,81222.00,0
2014-11-10,510.00,510.00,495.00,497.00,0.00,534.00,267121.00,0
2014-11-11,497.00,500.00,495.00,500.00,0.00,384.00,191370.00,0
2014-11-12,500.00,505.00,486.00,486.00,0.00,904.00,453821.00,0
2014-11-13,486.00,495.00,490.00,495.00,0.00,254.00,124913.00,0
2014-11-16,495.00,490.00,486.00,486.00,0.00,22.00,10736.00,0
2014-11-17,486.00,486.00,466.00,472.00,0.00,279.00,131479.00,0
2014-11-18,472.00,470.00,456.00,456.00,0.00,240.00,110257.00,0
2014-11-19,456.00,473.00,450.00,464.00,0.00,392.00,178996.00,0
2014-11-20,464.00,475.00,470.00,473.00,0.00,1968.00,929580.00,0
2014-11-23,473.00,488.00,460.00,460.00,0.00,1393.00,649586.00,0
2014-11-24,460.00,453.00,453.00,453.00,0.00,10.00,4530.00,0
2014-11-25,453.00,457.00,453.00,457.00,0.00,46.00,20956.00,0
2014-11-30,457.00,456.00,455.00,455.00,0.00,20.00,9110.00,0
2014-12-01,455.00,456.00,451.00,455.00,0.00,63.00,28631.00,0
2014-12-02,455.00,455.00,455.00,455.00,0.00,34.00,15470.00,0
2014-12-03,455.00,482.00,457.00,460.00,0.00,1378.00,647909.00,0
2014-12-04,460.00,470.00,462.00,463.00,0.00,1680.00,783020.00,0
