published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-08-11,210.00,219.00,207.00,214.00,0.00,217982.00,45959468.00,0
2019-08-12,212.00,216.00,210.00,212.00,-0.93,120516.00,25688270.00,-1
2019-08-13,212.00,215.00,210.00,211.00,-0.47,67725.00,14345573.00,-1
2019-08-14,209.00,212.00,207.00,208.00,-1.42,75889.00,15871479.00,-1
2019-08-15,204.00,212.00,204.00,210.00,0.96,42895.00,8952760.00,1
2019-08-18,210.00,211.00,205.00,205.00,-2.38,82602.00,17052528.00,-1
2019-08-19,205.00,208.00,200.00,206.00,0.49,105338.00,21516356.00,1
2019-08-20,206.00,207.00,200.00,207.00,0.49,81600.00,16560280.00,1
2019-08-21,203.00,204.00,200.00,200.00,-3.38,47080.00,9448315.00,-1
2019-08-22,200.00,203.00,200.00,200.00,0.00,31447.00,6318507.00,0
2019-08-25,200.00,202.00,192.00,195.00,-2.50,55104.00,10742252.00,-1
2019-08-26,195.00,195.00,187.00,187.00,-4.10,45230.00,8546790.00,-1
2019-08-27,187.00,195.00,185.00,191.00,2.14,27836.00,5290598.00,1
2019-08-28,188.00,190.00,184.00,185.00,-3.14,15595.00,2896715.00,-1
2019-08-29,182.00,187.00,182.00,185.00,0.00,31482.00,5802952.00,0
2019-09-01,185.00,185.00,174.00,174.00,-5.95,39290.00,7034340.00,-1
2019-09-02,172.00,174.00,170.00,173.00,-0.57,32525.00,5584080.00,-1
2019-09-03,173.00,179.00,167.00,179.00,3.47,31313.00,5396414.00,1
2019-09-04,181.00,181.00,172.00,177.00,-1.12,25040.00,4403430.00,-1
2019-09-05,177.00,177.00,171.00,173.00,-2.26,31245.00,5414465.00,-1
2019-09-08,173.00,176.00,168.00,168.00,-2.89,19940.00,3393376.00,-1
2019-09-09,170.00,170.00,166.00,166.00,-1.19,22735.00,3803325.00,-1
2019-09-10,166.00,170.00,160.00,161.00,-3.01,45858.00,7449020.00,-1
2019-09-11,161.00,164.00,160.00,161.00,0.00,20610.00,3318470.00,0
2019-09-12,158.00,162.00,158.00,158.00,-1.86,28131.00,4486298.00,-1
2019-09-15,158.00,159.00,152.00,154.00,-2.53,56655.00,8812910.00,-1
2019-09-16,152.00,159.00,151.00,155.00,0.65,38818.00,6026696.00,1
2019-09-17,155.00,170.00,153.00,167.00,7.74,73396.00,11517294.00,1
2019-09-18,168.00,172.00,162.00,169.00,1.20,78420.00,13065398.00,1
2019-09-19,168.00,169.00,164.00,165.00,-2.37,27410.00,4554790.00,-1
2019-09-22,163.00,163.00,155.00,155.00,-6.06,32550.00,5104320.00,-1
2019-09-23,155.00,161.00,153.00,154.00,-0.65,27512.00,4285448.00,-1
2019-09-24,153.00,156.00,153.00,155.00,0.65,14940.00,2311310.00,1
2019-09-25,153.00,159.00,153.00,157.00,1.29,23697.00,3716505.00,1
2019-09-26,155.00,161.00,155.00,157.00,0.00,29355.00,4626660.00,0
2019-09-29,155.00,161.00,155.00,156.00,-0.64,25010.00,3919780.00,-1
2019-09-30,156.00,161.00,156.00,160.00,2.56,10185.00,1607130.00,1
2019-10-01,160.00,161.00,158.00,159.00,-0.63,14012.00,2233706.00,-1
2019-10-02,159.00,162.00,157.00,158.00,-0.63,14100.00,2249340.00,-1
2019-10-03,161.00,161.00,158.00,160.00,1.27,18535.00,2961030.00,1
2019-10-10,158.00,162.00,158.00,161.00,0.63,5720.00,921630.00,1
2019-10-14,163.00,163.00,158.00,158.00,-1.86,6600.00,1045780.00,-1
2019-10-15,160.00,161.00,159.00,159.00,0.63,8600.00,1374390.00,1
2019-10-16,159.00,163.00,159.00,161.00,1.26,15173.00,2449539.00,1
2019-10-17,161.00,167.00,158.00,167.00,3.73,17962.00,2937949.00,1
2019-10-20,167.00,167.00,161.00,166.00,-0.60,20430.00,3342590.00,-1
2019-10-21,166.00,166.00,163.00,165.00,-0.60,12250.00,2014510.00,-1
2019-10-22,165.00,174.00,163.00,169.00,2.42,22444.00,3751298.00,1
2019-10-23,169.00,180.00,167.00,174.00,2.96,26193.00,4571307.00,1
2019-10-24,175.00,182.00,172.00,180.00,3.45,63175.00,11303825.00,1
2019-10-31,181.00,184.00,172.00,175.00,-2.78,22420.00,3936640.00,-1
2019-11-03,175.00,177.00,170.00,171.00,-2.29,23491.00,4061574.00,-1
2019-11-04,171.00,174.00,169.00,172.00,0.58,14780.00,2515120.00,1
2019-11-05,171.00,173.00,170.00,171.00,-0.58,10196.00,1746556.00,-1
2019-11-06,170.00,173.00,170.00,172.00,0.58,13085.00,2243640.00,1
2019-11-07,172.00,172.00,169.00,171.00,-0.58,9850.00,1672980.00,-1
2019-11-10,170.00,172.00,167.00,172.00,0.58,23095.00,3906770.00,1
2019-11-11,175.00,176.00,168.00,170.00,-1.16,23960.00,4057100.00,-1
2019-11-12,167.00,170.00,167.00,168.00,-1.18,16365.00,2748740.00,-1
2019-11-13,167.00,169.00,166.00,167.00,-0.60,14885.00,2484780.00,-1
2019-11-14,167.00,170.00,166.00,169.00,1.20,29211.00,4913870.00,1
2019-11-17,169.00,169.00,166.00,166.00,-1.78,23170.00,3873810.00,-1
2019-11-18,165.00,166.00,162.00,166.00,0.00,13089.00,2147357.00,0
2019-11-19,164.00,165.00,163.00,163.00,-1.81,9551.00,1562793.00,-1
2019-11-20,162.00,169.00,162.00,164.00,0.61,11875.00,1949300.00,1
2019-11-21,164.00,166.00,162.00,166.00,1.22,16819.00,2752744.00,1
2019-11-24,167.00,167.00,162.00,163.00,-1.81,5791.00,946537.00,-1
2019-11-25,162.00,164.00,162.00,163.00,0.00,15870.00,2583480.00,0
2019-11-26,163.00,163.00,162.00,162.00,-0.61,14800.00,2400450.00,-1
2019-11-27,162.00,166.00,161.00,164.00,1.23,9754.00,1592634.00,1
2019-11-28,165.00,166.00,163.00,163.00,-0.61,8200.00,1340790.00,-1
2019-12-01,163.00,165.00,163.00,164.00,0.61,9217.00,1514268.00,1
2019-12-02,166.00,169.00,164.00,166.00,1.22,17920.00,2990640.00,1
2019-12-03,167.00,171.00,166.00,169.00,1.81,22080.00,3732970.00,1
2019-12-04,169.00,175.00,169.00,172.00,1.78,18185.00,3136410.00,1
2019-12-05,172.00,175.00,170.00,173.00,0.58,15070.00,2594060.00,1
2019-12-08,170.00,172.00,169.00,171.00,-1.16,10250.00,1741670.00,-1
2019-12-09,171.00,177.00,170.00,172.00,0.58,18712.00,3252804.00,1
2019-12-10,174.00,177.00,171.00,171.00,-0.58,18560.00,3206250.00,-1
2019-12-11,170.00,176.00,170.00,173.00,1.17,11020.00,1901390.00,1
2019-12-12,172.00,185.00,172.00,179.00,3.47,32795.00,5817265.00,1
2019-12-15,180.00,182.00,174.00,176.00,-1.68,23055.00,4079590.00,-1
2019-12-16,173.00,177.00,171.00,172.00,-2.27,13736.00,2377766.00,-1
2019-12-17,169.00,178.00,169.00,172.00,0.00,14180.00,2446090.00,0
2019-12-18,173.00,173.00,170.00,171.00,-0.58,10250.00,1755170.00,-1
2019-12-19,171.00,174.00,170.00,173.00,1.17,8010.00,1365520.00,1
2019-12-22,170.00,173.00,170.00,172.00,-0.58,20610.00,3521300.00,-1
2019-12-23,172.00,178.00,170.00,175.00,1.74,30561.00,5251281.00,1
2019-12-24,176.00,179.00,168.00,171.00,-2.29,14638.00,2534946.00,-1
2019-12-25,171.00,173.00,171.00,172.00,0.58,5130.00,881380.00,1
2019-12-26,172.00,175.00,170.00,171.00,-0.58,20065.00,3448380.00,-1
2019-12-29,172.00,173.00,167.00,169.00,-1.17,28610.00,4839360.00,-1
2019-12-30,170.00,170.00,168.00,168.00,-0.59,8759.00,1482171.00,-1
2019-12-31,168.00,170.00,167.00,170.00,1.19,10890.00,1831680.00,1
2020-01-01,170.00,171.00,167.00,169.00,-0.59,22030.00,3711910.00,-1
2020-01-02,169.00,171.00,168.00,168.00,-0.59,11515.00,1944840.00,-1
2020-01-05,165.00,172.00,165.00,169.00,0.60,20910.00,3560250.00,1
2020-01-06,169.00,175.00,168.00,169.00,0.00,17250.00,2940850.00,0
2020-01-07,172.00,176.00,169.00,174.00,2.96,31644.00,5427022.00,1
2020-01-08,175.00,175.00,168.00,170.00,-2.30,37322.00,6336533.00,-1
2020-01-09,170.00,173.00,168.00,168.00,-1.18,30700.00,5188750.00,-1
2020-01-12,170.00,175.00,168.00,172.00,2.38,26900.00,4605930.00,1
2020-01-13,172.00,183.00,172.00,183.00,6.40,78955.00,14028490.00,1
2020-01-14,180.00,180.00,171.00,174.00,-4.92,48478.00,8459366.00,-1
2020-01-15,175.00,181.00,173.00,175.00,0.57,41940.00,7400470.00,1
2020-01-16,175.00,180.00,175.00,176.00,0.57,59895.00,10588145.00,1
2020-01-19,176.00,188.00,173.00,178.00,1.14,80225.00,14357000.00,1
2020-01-20,180.00,181.00,174.00,174.00,-2.25,30529.00,5394379.00,-1
2020-01-21,176.00,177.00,171.00,173.00,-0.57,33962.00,5871192.00,-1
2020-01-22,175.00,175.00,169.00,171.00,-1.16,27860.00,4760880.00,-1
2020-01-23,170.00,173.00,167.00,168.00,-1.75,33110.00,5596180.00,-1
2020-01-26,166.00,169.00,166.00,166.00,-1.19,21180.00,3545330.00,-1
2020-01-27,165.00,174.00,165.00,173.00,4.22,15197.00,2579215.00,1
2020-01-28,170.00,172.00,166.00,166.00,-4.05,23380.00,3931986.00,-1
2020-01-29,165.00,170.00,165.00,165.00,-0.60,25950.00,4310620.00,-1
2020-01-30,164.00,168.00,164.00,164.00,-0.61,36248.00,6003892.00,-1
