published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-15,694.5,694.5,637.8,637.8,0.0,9881.0,6332414.3,0
2022-08-16,625.1,658.9,580.0,628.0,-1.54,658249.0,408247888.9,-1
2022-08-17,615.5,659.0,615.5,644.0,2.55,286860.0,184311898.0,1
2022-08-18,650.0,650.0,629.0,632.0,-1.86,163459.0,104358855.6,-1
2022-08-21,632.0,632.0,611.0,612.0,-3.16,199022.0,122850968.2,-1
2022-08-22,612.0,618.9,603.0,609.8,-0.36,139622.0,85035696.0,-1
2022-08-23,600.0,625.0,600.0,615.0,0.85,124029.0,76597740.4,1
2022-08-24,610.0,630.0,610.0,616.0,0.16,91124.0,56467680.6,1
2022-08-25,616.0,622.0,596.0,600.0,-2.6,155520.0,94128992.0,-1
2022-08-26,594.0,599.7,587.0,591.0,-1.5,99335.0,58713287.8,-1
2022-08-28,588.0,598.0,575.1,575.1,-2.69,102012.0,59429134.5,-1
2022-08-29,563.6,584.0,563.6,578.8,0.64,61415.0,35460656.9,1
2022-08-30,567.3,589.5,567.3,575.0,-0.66,51489.0,29906610.6,-1
2022-08-31,572.0,580.0,559.0,579.0,0.7,113471.0,64024318.5,1
2022-09-01,570.0,581.0,566.2,579.0,0.0,72644.0,41663797.4,0
2022-09-02,570.0,581.0,562.0,564.0,-2.59,39637.0,22617714.5,-1
2022-09-04,574.9,597.9,568.0,588.0,4.26,152736.0,89100864.9,1
2022-09-05,591.1,614.0,591.1,607.0,3.23,164610.0,99694721.6,1
2022-09-06,619.0,619.0,581.0,584.0,-3.79,152914.0,91170147.0,-1
2022-09-07,595.6,595.6,573.0,573.5,-1.8,52789.0,30454236.5,-1
2022-09-08,581.9,585.4,570.0,576.0,0.44,76993.0,44481419.4,1
2022-09-11,587.5,587.5,563.0,566.0,-1.74,48347.0,27564129.0,-1
2022-09-12,577.3,577.3,558.0,560.4,-0.99,49812.0,27958957.5,-1
2022-09-13,567.0,577.0,560.0,564.0,0.64,99180.0,56310673.7,1
2022-09-14,575.2,580.0,566.0,577.0,2.3,64873.0,37217910.8,1
2022-09-15,568.0,576.8,544.0,550.0,-4.68,209781.0,116489654.6,-1
2022-09-16,539.0,540.1,522.2,537.0,-2.36,79516.0,42332677.0,-1
2022-09-18,531.0,541.0,515.0,516.0,-3.91,70375.0,36862359.9,-1
2022-09-20,515.0,515.0,505.0,506.0,-1.94,105117.0,53513749.6,-1
2022-09-21,506.0,518.0,505.0,509.1,0.61,47176.0,24148743.3,1
2022-09-22,509.0,514.0,499.8,501.0,-1.59,31428.0,15796398.4,-1
2022-09-25,500.0,500.0,484.0,484.0,-3.39,71307.0,34982000.7,-1
2022-09-27,493.0,498.0,481.7,486.0,0.41,58438.0,28531447.5,1
2022-09-28,490.0,495.7,478.0,480.9,-1.05,42076.0,20415319.6,-1
2022-09-29,476.0,495.0,476.0,479.9,-0.21,45853.0,22088175.2,-1
2022-10-09,489.0,489.0,480.0,487.0,1.48,23702.0,11505789.5,1
2022-10-10,490.0,496.0,471.5,474.7,-2.53,33002.0,15840354.8,-1
2022-10-11,474.0,474.0,460.5,462.0,-2.68,44518.0,20703872.4,-1
2022-10-12,471.0,471.0,457.0,460.0,-0.43,43841.0,20263986.3,-1
2022-10-13,461.0,470.0,461.0,464.0,0.87,61098.0,28366863.3,1
2022-10-16,473.2,473.2,457.1,458.0,-1.29,60380.0,27814171.7,-1
2022-10-17,455.0,466.9,455.0,459.8,0.39,49256.0,22699803.7,1
2022-10-19,456.0,458.0,445.2,446.0,-3.0,51769.0,23319857.3,-1
2022-10-20,446.0,452.3,439.5,443.0,-0.67,23599.0,10473131.5,-1
2022-10-23,451.8,451.8,437.0,443.5,0.11,32802.0,14499218.2,1
2022-10-31,450.0,450.0,432.2,437.0,-1.47,26273.0,11485045.3,-1
2022-11-01,445.7,468.0,427.4,458.8,4.99,110101.0,50039290.5,1
2022-11-02,467.9,470.0,453.0,458.5,-0.07,112547.0,51995858.7,-1
2022-11-03,450.0,465.0,445.0,445.1,-2.92,57287.0,25936002.0,-1
2022-11-06,453.9,465.9,445.0,464.0,4.25,67835.0,31143508.2,1
2022-11-07,468.9,499.0,464.0,479.0,3.23,198293.0,96004355.0,1
2022-11-08,481.0,492.0,481.0,483.0,0.84,90122.0,43782562.8,1
2022-11-09,492.6,492.6,468.0,470.0,-2.69,102291.0,48569281.2,-1
2022-11-10,470.0,475.0,454.0,458.0,-2.55,71691.0,33097594.2,-1
2022-11-13,455.4,465.0,450.1,454.1,-0.85,39744.0,18220876.6,-1
2022-11-14,453.0,470.0,453.0,469.0,3.28,48455.0,22536454.4,1
2022-11-15,478.0,479.0,456.0,458.0,-2.35,40267.0,18661143.9,-1
2022-11-16,450.1,488.0,450.1,482.9,5.44,127015.0,60338630.0,1
2022-11-17,486.0,522.2,486.0,512.0,6.03,282016.0,143915972.3,1
2022-11-22,515.0,526.0,511.2,513.0,0.2,167496.0,86763934.1,1
2022-12-05,523.2,538.0,494.8,497.9,-2.94,599465.0,308357044.6,-1
2022-12-06,495.0,505.0,484.3,498.0,0.02,101349.0,50207274.4,1
2022-12-07,507.9,507.9,493.2,494.1,-0.78,66788.0,33275505.9,-1
2022-12-11,500.0,500.0,483.0,484.2,-2.0,65916.0,32028038.7,-1
2022-12-12,490.0,491.9,480.2,490.0,1.2,71118.0,34667764.7,1
2022-12-13,490.0,493.0,480.2,490.0,0.0,49287.0,24082189.5,0
2022-12-14,490.1,490.1,479.0,479.3,-2.18,52314.0,25272409.2,-1
2022-12-15,472.1,483.0,468.3,469.0,-2.15,48479.0,22915553.5,-1
2022-12-18,471.0,471.0,449.0,450.0,-4.05,119323.0,54313095.7,-1
2022-12-19,450.0,459.0,442.0,452.0,0.44,50430.0,22759040.9,1
2022-12-20,459.9,461.0,454.0,458.0,1.33,36428.0,16675265.0,1
2022-12-21,467.1,467.1,442.0,445.0,-2.84,62074.0,27896478.8,-1
2022-12-22,450.0,453.9,441.0,444.0,-0.22,37757.0,16771518.3,-1
2022-12-26,452.0,478.0,452.0,477.0,7.43,155849.0,72617407.6,1
2022-12-27,485.0,495.0,479.0,480.6,0.75,136545.0,66299103.0,1
2022-12-28,490.2,490.2,470.5,477.0,-0.75,167904.0,80491648.8,-1
2022-12-29,485.9,499.8,473.0,497.0,4.19,205678.0,101427013.7,1
2023-01-01,506.9,510.0,490.0,495.0,-0.4,155841.0,78184178.5,-1
2023-01-02,494.5,506.0,488.1,497.9,0.59,119911.0,59782721.4,1
2023-01-03,500.0,505.0,489.0,489.0,-1.79,130291.0,64763747.7,-1
2023-01-04,495.0,507.6,490.0,504.0,3.07,114051.0,57016578.6,1
2023-01-05,514.0,545.0,502.0,543.7,7.88,409621.0,214108487.7,1
2023-01-08,553.0,577.0,539.0,565.0,3.92,281085.0,157105395.3,1
2023-01-09,575.0,607.0,561.2,600.0,6.19,351141.0,206817458.7,1
2023-01-10,610.0,612.0,568.5,571.2,-4.8,307923.0,181533281.0,-1
2023-01-12,575.0,596.7,548.0,548.5,-3.97,315487.0,178310822.6,-1
2023-01-17,559.4,580.0,549.0,574.0,4.65,158993.0,90402615.9,1
2023-01-18,585.0,619.0,585.0,594.0,3.48,598772.0,357854539.7,1
2023-01-19,594.0,600.0,582.0,584.0,-1.68,209267.0,123227868.5,-1
2023-01-23,586.0,587.0,565.0,565.0,-3.25,198035.0,113322737.0,-1
2023-01-24,565.0,571.0,558.0,568.0,0.53,127000.0,71747596.8,1
2023-01-25,575.0,584.0,567.1,574.9,1.21,108879.0,62791565.9,1
