published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-29,300.0,330.0,300.0,330.0,10.0,190.0,61210.0,1
2026-03-30,335.5,363.0,335.5,363.0,10.0,150.0,53481.0,1
2026-03-31,370.0,399.3,370.0,399.3,10.0,170.0,66864.0,1
2026-04-01,400.5,439.2,400.5,439.2,9.99,150.0,64371.0,1
2026-04-02,445.0,483.1,445.0,483.1,10.0,270.0,129055.0,1
2026-04-05,492.7,531.4,492.7,531.4,10.0,440.0,232864.0,1
2026-04-06,542.0,584.5,542.0,584.5,9.99,430.0,250291.0,1
2026-04-07,596.1,642.9,596.1,642.9,9.99,510.0,326730.0,1
2026-04-08,655.7,707.1,655.7,707.1,9.99,830.0,585632.0,1
2026-04-09,721.2,777.8,721.2,777.8,10.0,1200.0,931406.0,1
2026-04-10,793.3,855.5,793.3,855.5,9.99,1290.0,1102068.0,1
2026-04-13,872.6,941.0,872.6,941.0,9.99,1960.0,1841999.0,1
2026-04-15,959.8,1035.1,959.8,1035.1,10.0,2500.0,2585900.0,1
2026-04-16,1055.0,1138.6,1055.0,1138.6,10.0,3660.0,4165214.0,1
2026-04-17,1116.1,1252.4,1116.1,1252.4,9.99,12230.0,15312116.0,1
2026-04-20,1315.0,1440.2,1207.0,1390.0,10.99,140360.0,185875315.8,1
2026-04-21,1455.0,1592.3,1310.0,1400.0,0.72,62780.0,91310426.5,1
2026-04-22,1428.0,1430.0,1265.0,1352.0,-3.43,71250.0,93203007.0,-1
2026-04-23,1352.0,1431.7,1260.2,1279.9,-5.33,88355.0,115359676.3,-1
2026-04-24,1279.9,1340.0,1242.0,1321.1,3.22,46369.0,60479679.3,1
2026-04-27,1321.1,1354.0,1275.0,1276.0,-3.41,43856.0,57379996.6,-1
2026-04-28,1270.0,1290.0,1145.0,1145.0,-10.27,54167.0,66392969.1,-1
2026-04-29,1145.0,1202.2,1100.0,1131.0,-1.22,51593.0,59629831.0,-1
2026-04-30,1131.0,1175.0,1080.1,1150.0,1.68,34662.0,38873294.9,1
2026-05-04,1150.0,1180.0,1118.0,1131.0,-1.65,35656.0,40706168.0,-1
2026-05-05,1140.0,1160.0,1110.6,1145.0,1.24,44625.0,50862101.6,1
2026-05-06,1150.0,1214.6,1125.0,1175.0,2.62,31627.0,36918138.3,1
2026-05-07,1175.0,1175.0,1130.1,1160.0,-1.28,20584.0,23714134.7,-1
2026-05-08,1118.0,1199.9,1118.0,1170.0,0.86,34019.0,40169731.4,1
2026-05-11,1228.5,1228.5,1168.0,1168.0,-0.17,17610.0,20800160.5,-1
2026-05-12,1198.0,1198.0,1105.0,1108.0,-5.14,22120.0,24949871.4,-1
2026-05-13,1095.0,1095.0,1045.0,1054.0,-4.87,24683.0,26545867.6,-1
2026-05-14,1070.0,1070.0,975.0,1004.0,-4.74,24421.0,24551774.2,-1
2026-05-15,1004.0,1030.0,985.0,997.0,-0.7,15358.0,15382192.0,-1
2026-05-18,978.0,1026.9,978.0,1000.0,0.3,12055.0,12112652.8,1
2026-05-19,1000.0,1030.0,985.1,986.5,-1.35,11571.0,11503999.4,-1
2026-05-20,975.0,1017.0,975.0,1010.0,2.38,10983.0,10984990.0,1
2026-05-21,1000.1,1025.0,979.4,999.0,-1.09,20255.0,20228265.8,-1
2026-05-22,985.0,1027.0,975.0,1026.9,2.79,12636.0,12777060.4,1
2026-05-25,1026.0,1098.0,1026.0,1080.2,5.19,28764.0,31092342.8,1
2026-05-26,1080.0,1105.0,1058.0,1080.0,-0.02,25424.0,27344209.3,-1
2026-05-27,1027.1,1085.0,1027.1,1075.0,-0.46,12266.0,13113942.0,-1
2026-06-01,1075.0,1099.0,1007.0,1025.0,-4.65,18907.0,19594313.0,-1
2026-06-02,1020.0,1029.0,974.1,1010.0,-1.46,21448.0,21586353.3,-1
2026-06-03,1000.0,1015.0,980.0,990.0,-1.98,18986.0,18925811.9,-1
2026-06-04,982.2,1003.6,951.6,965.0,-2.53,15794.0,15475069.5,-1
2026-06-05,965.0,970.0,919.6,928.0,-3.83,25466.0,23836033.8,-1
2026-06-08,970.0,970.0,890.3,899.0,-3.13,14681.0,13217728.6,-1
2026-06-09,882.3,910.0,875.1,910.0,1.22,16963.0,15110058.4,1
2026-06-10,910.0,955.0,910.0,947.9,4.16,10719.0,10052781.4,1
2026-06-11,995.2,995.2,900.3,925.0,-2.42,9729.0,9019405.7,-1
2026-06-12,901.0,922.0,900.1,922.0,-0.32,6556.0,5965006.5,-1
2026-06-15,920.0,945.0,904.7,924.0,0.22,8698.0,8021791.5,1
2026-06-16,937.9,937.9,903.2,906.3,-1.92,6077.0,5522419.0,-1
2026-06-17,905.0,920.0,895.0,903.8,-0.28,7163.0,6477527.8,-1
2026-06-18,901.1,908.9,892.0,905.0,0.13,4634.0,4163263.0,1
2026-06-19,894.7,915.0,894.7,910.0,0.55,6632.0,6009545.2,1
2026-06-22,910.0,930.0,910.0,923.6,1.49,8263.0,7588232.3,1
2026-06-23,900.1,905.0,889.0,890.0,-3.64,8594.0,7697850.7,-1
2026-06-24,880.0,898.0,857.0,887.0,-0.34,10346.0,9024431.4,-1
2026-06-25,887.0,887.0,861.0,870.1,-1.91,5387.0,4694360.5,-1
2026-06-26,862.0,874.5,853.5,870.0,-0.01,3663.0,3162288.5,-1
2026-06-29,870.0,870.0,840.0,867.0,-0.34,5587.0,4751232.0,-1
2026-06-30,842.1,858.0,841.0,851.0,-1.85,11107.0,9441642.9,-1
2026-07-01,830.0,880.0,830.0,860.1,1.07,4141.0,3560202.0,1
2026-07-02,848.0,864.5,845.0,858.0,-0.24,4228.0,3596899.3,1
2026-07-03,850.0,869.1,839.0,860.0,0.23,7183.0,6197531.0,1
2026-07-06,850.0,885.8,835.1,845.0,-1.74,4841.0,4121850.5,-1
2026-07-07,830.0,850.0,830.0,840.0,-0.59,3582.0,3003799.0,1
2026-07-08,860.0,860.0,801.0,809.0,-3.69,7238.0,5915565.2,-1
2026-07-09,800.0,823.0,768.0,768.0,-5.07,5453.0,4277265.2,-1
2026-07-10,768.0,790.0,751.1,755.0,-1.69,5519.0,4252488.1,-1
2026-07-13,738.0,756.0,735.0,735.0,-2.65,15101.0,11162251.0,-1
