published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-03-01,153.0,156.0,156.0,156.0,nan,120.0,18720.0,0
2015-03-04,156.0,159.0,156.0,156.0,0.0,2940.0,458943.0,0
2015-03-09,156.0,165.0,159.0,165.0,5.77,150.0,24300.0,0
2015-03-10,165.0,163.0,162.0,163.0,-1.21,12500.0,2027500.0,0
2015-03-11,163.0,166.0,166.0,166.0,1.84,540.0,89640.0,0
2015-03-15,166.0,182.0,169.0,182.0,9.64,1000.0,181270.0,0
2015-03-16,182.0,200.0,179.0,179.0,-1.65,10500.0,1909950.0,0
2015-03-17,179.0,180.0,180.0,180.0,0.56,500.0,90000.0,0
2015-03-18,180.0,177.0,177.0,177.0,-1.67,1210.0,214170.0,0
2015-03-19,177.0,174.0,174.0,174.0,-1.69,500.0,87000.0,0
2015-03-25,174.0,171.0,171.0,171.0,-1.72,50.0,8550.0,0
2015-04-01,171.0,168.0,165.0,165.0,-3.51,100.0,16650.0,0
2015-04-08,165.0,162.0,162.0,162.0,-1.82,200.0,32400.0,0
2015-06-07,162.0,165.0,162.0,162.0,0.0,520.0,84300.0,0
2015-06-08,162.0,165.0,162.0,162.0,0.0,520.0,84300.0,0
2015-06-08,162.0,165.0,162.0,162.0,0.0,520.0,84300.0,0
2015-06-08,162.0,165.0,162.0,162.0,0.0,520.0,84300.0,0
2015-06-09,162.0,165.0,165.0,165.0,1.85,20.0,3300.0,0
2015-06-18,165.0,168.0,168.0,168.0,1.82,20.0,3360.0,0
2015-06-23,168.0,171.0,171.0,171.0,1.79,20.0,3420.0,0
2015-07-26,171.0,183.0,174.0,183.0,7.02,160.0,28680.0,0
2015-07-27,183.0,180.0,180.0,180.0,-1.64,1000.0,180000.0,0
2015-07-28,180.0,180.0,180.0,180.0,0.0,5640.0,1015200.0,0
2015-07-29,180.0,182.0,182.0,182.0,1.11,100.0,18200.0,0
2015-08-16,182.0,182.0,179.0,182.0,0.0,150.0,27150.0,0
2015-08-20,182.0,179.0,176.0,176.0,-3.30,40.0,7100.0,0
2015-08-24,176.0,180.0,176.0,176.0,0.0,1600.0,286600.0,0
2015-08-25,176.0,173.0,159.0,159.0,-9.66,4139.0,664996.0,0
2015-08-26,159.0,168.0,162.0,166.0,4.40,1020.0,168130.0,0
2015-08-27,166.0,171.0,165.0,171.0,3.01,8810.0,1475560.0,0
2015-08-31,171.0,172.0,169.0,172.0,0.58,1700.0,291300.0,0
2015-09-01,172.0,172.0,170.0,172.0,0.0,3600.0,614200.0,0
2015-09-02,172.0,169.0,166.0,166.0,-3.49,3360.0,561850.0,0
2015-09-06,166.0,163.0,161.0,161.0,-3.01,330.0,53330.0,0
2015-09-07,161.0,161.0,158.0,161.0,0.0,330.0,52740.0,0
2015-09-08,161.0,164.0,164.0,164.0,1.86,360.0,59040.0,0
2015-09-09,164.0,171.0,167.0,171.0,4.27,620.0,104000.0,0
2015-09-14,171.0,171.0,168.0,171.0,0.0,2000.0,339000.0,0
2015-09-15,171.0,174.0,174.0,174.0,1.75,100.0,17400.0,0
2015-09-17,174.0,190.0,175.0,190.0,9.20,4350.0,813450.0,0
2015-09-22,190.0,188.0,188.0,188.0,-1.05,20.0,3760.0,0
2015-09-23,188.0,189.0,189.0,189.0,0.53,2280.0,430920.0,0
2015-09-24,189.0,186.0,183.0,183.0,-3.17,200.0,37050.0,0
2015-10-01,183.0,183.0,183.0,183.0,0.0,210.0,38430.0,0
2015-10-06,183.0,180.0,180.0,180.0,-1.64,1000.0,180000.0,0
2015-10-08,180.0,177.0,174.0,174.0,-3.33,150.0,26250.0,0
2015-10-15,174.0,171.0,168.0,168.0,-3.45,190.0,32130.0,0
2015-11-01,168.0,165.0,162.0,162.0,-3.57,600.0,97500.0,0
2015-11-18,162.0,165.0,161.0,162.0,0.0,3100.0,502000.0,0
2015-11-19,162.0,159.0,156.0,156.0,-3.70,2970.0,466230.0,0
2015-11-22,156.0,159.0,159.0,159.0,1.92,500.0,79500.0,0
2015-11-24,159.0,156.0,156.0,156.0,-1.89,3000.0,468000.0,0
2015-11-26,156.0,159.0,159.0,159.0,1.92,270.0,42930.0,0
2015-11-30,159.0,156.0,156.0,156.0,-1.89,1000.0,156000.0,0
2015-12-01,156.0,154.0,154.0,154.0,-1.28,1000.0,154000.0,0
2015-12-09,154.0,157.0,157.0,157.0,1.95,500.0,78500.0,0
2015-12-17,157.0,160.0,160.0,160.0,1.91,2280.0,364800.0,0
2015-12-21,160.0,161.0,161.0,161.0,0.62,540.0,86940.0,0
2015-12-24,161.0,170.0,164.0,170.0,5.59,1350.0,225840.0,0
2016-01-04,170.0,170.0,170.0,170.0,0.0,1000.0,170000.0,0
2016-01-05,170.0,173.0,173.0,173.0,1.76,100.0,17300.0,0
2016-01-06,173.0,179.0,176.0,179.0,3.47,420.0,74550.0,0
2016-01-13,179.0,176.0,176.0,176.0,-1.68,100.0,17600.0,0
2016-01-14,176.0,173.0,173.0,173.0,-1.70,440.0,76120.0,0
2016-01-31,173.0,176.0,176.0,176.0,1.73,100.0,17600.0,0
2016-02-01,176.0,191.0,179.0,191.0,8.52,250.0,45800.0,0
2016-02-03,191.0,210.0,194.0,210.0,9.95,60.0,12130.0,0
2016-02-04,210.0,231.0,214.0,231.0,10.00,7449.0,1720269.0,0
2016-02-07,231.0,239.0,235.0,235.0,1.73,5100.0,1199200.0,0
2016-02-08,235.0,240.0,231.0,237.0,0.85,1120.0,262170.0,0
2016-02-11,237.0,233.0,233.0,233.0,-1.69,300.0,69900.0,0
2016-02-14,233.0,245.0,237.0,245.0,5.15,895.0,215735.0,0
2016-02-15,245.0,249.0,231.0,240.0,-2.04,1850.0,439270.0,0
2016-02-16,240.0,237.0,232.0,232.0,-3.33,2350.0,553900.0,0
2016-02-17,232.0,231.0,224.0,230.0,-0.86,8330.0,1906980.0,0
2016-02-18,230.0,238.0,230.0,233.0,1.30,3020.0,707560.0,0
2016-02-21,233.0,236.0,233.0,236.0,1.29,3400.0,798600.0,0
2016-02-22,236.0,238.0,234.0,234.0,-0.85,1200.0,283300.0,0
2016-02-23,234.0,238.0,236.0,236.0,0.85,1300.0,308400.0,0
2016-02-24,236.0,232.0,230.0,230.0,-2.54,500.0,115400.0,0
2016-02-25,230.0,234.0,233.0,234.0,1.74,820.0,191280.0,0
2016-03-01,234.0,238.0,230.0,230.0,-1.71,1010.0,234380.0,0
2016-03-03,230.0,230.0,226.0,230.0,0.0,172.0,39483.0,0
2016-03-10,230.0,238.0,230.0,238.0,3.48,4110.0,953740.0,0
2016-03-13,238.0,242.0,240.0,242.0,1.68,800.0,192200.0,0
2016-03-14,242.0,255.0,246.0,255.0,5.37,1898.0,473820.0,0
2016-03-15,255.0,277.0,255.0,270.0,5.88,7525.0,2023175.0,0
2016-03-16,270.0,275.0,264.0,268.0,-0.74,3630.0,982230.0,0
2016-03-21,268.0,273.0,260.0,264.0,-1.49,1330.0,350090.0,0
2016-03-23,264.0,269.0,269.0,269.0,1.89,110.0,29590.0,0
2016-03-24,269.0,264.0,259.0,259.0,-3.72,300.0,78700.0,0
2016-03-27,259.0,255.0,245.0,245.0,-5.41,1390.0,350800.0,0
2016-03-28,245.0,258.0,249.0,250.0,2.04,861.0,217789.0,0
2016-03-29,250.0,255.0,250.0,255.0,2.00,1350.0,340400.0,0
2016-03-31,255.0,250.0,250.0,250.0,-1.96,50.0,12500.0,0
2016-04-05,250.0,247.0,247.0,247.0,-1.20,350.0,86450.0,0
2016-04-06,247.0,255.0,250.0,250.0,1.21,3521.0,884550.0,0
2016-04-10,250.0,255.0,255.0,255.0,2.00,300.0,76500.0,0
2016-04-12,255.0,255.0,254.0,255.0,0.0,280.0,71230.0,0
2016-04-14,255.0,270.0,260.0,269.0,5.49,1391.0,374540.0,0
2016-04-19,269.0,270.0,270.0,270.0,0.37,700.0,189000.0,0
2016-04-26,270.0,270.0,270.0,270.0,0.0,290.0,78300.0,0
2016-04-27,270.0,275.0,270.0,275.0,1.85,810.0,221700.0,0
2016-04-28,275.0,275.0,258.0,275.0,0.0,6918.0,1806964.0,0
2016-05-05,275.0,270.0,256.0,260.0,-5.45,7628.0,1993957.0,0
2016-05-08,260.0,280.0,264.0,266.0,2.31,18023.0,4869371.0,0
2016-05-09,266.0,292.0,271.0,292.0,9.77,6681.0,1937026.0,0
2016-05-10,292.0,314.0,285.0,300.0,2.74,31065.0,9258820.0,0
2016-05-11,300.0,319.0,300.0,319.0,6.33,14475.0,4488144.0,0
2016-05-12,319.0,342.0,316.0,342.0,7.21,10720.0,3471193.0,0
2016-05-15,342.0,355.0,322.0,325.0,-4.97,13618.0,4597181.0,0
2016-05-16,325.0,320.0,300.0,303.0,-6.77,14477.0,4464050.0,0
2016-05-17,303.0,330.0,288.0,318.0,4.95,13193.0,4152993.0,0
2016-05-18,318.0,324.0,305.0,314.0,-1.26,26053.0,8112240.0,0
2016-05-19,314.0,324.0,303.0,315.0,0.32,33415.0,10374606.0,0
2016-05-22,263.0,278.0,258.0,273.0,-13.33,7553.0,2028799.0,0
2016-05-23,273.0,275.0,270.0,274.0,0.37,2794.0,760674.0,0
2016-05-24,274.0,270.0,259.0,264.0,-3.65,1240.0,328360.0,0
2016-05-25,264.0,259.0,249.0,255.0,-3.41,4493.0,1145415.0,0
2016-05-26,255.0,253.0,241.0,253.0,-0.78,3278.0,806113.0,0
2016-05-29,253.0,257.0,250.0,257.0,1.58,3979.0,1005682.0,0
2016-05-30,257.0,257.0,255.0,255.0,-0.78,245.0,62565.0,0
2016-05-31,255.0,260.0,255.0,260.0,1.96,556.0,143236.0,0
2016-06-01,260.0,255.0,255.0,255.0,-1.92,1000.0,255000.0,0
2016-06-02,255.0,257.0,245.0,247.0,-3.14,1202.0,305283.0,0
2016-06-05,247.0,251.0,244.0,246.0,-0.40,1780.0,441004.0,0
2016-06-06,246.0,259.0,250.0,259.0,5.28,4488.0,1142532.0,0
2016-06-07,259.0,264.0,254.0,254.0,-1.93,1897.0,492152.0,0
2016-06-08,254.0,259.0,249.0,249.0,-1.97,2468.0,622000.0,0
2016-06-09,249.0,260.0,253.0,260.0,4.42,360.0,92735.0,0
2016-06-12,260.0,268.0,261.0,261.0,0.38,2011.0,533951.0,0
2016-06-13,261.0,269.0,260.0,269.0,3.07,1190.0,316790.0,0
2016-06-14,269.0,283.0,266.0,278.0,3.35,1912.0,519210.0,0
2016-06-15,278.0,278.0,267.0,270.0,-2.88,1839.0,503097.0,0
2016-06-16,270.0,281.0,270.0,278.0,2.96,2104.0,578894.0,0
2016-06-19,278.0,278.0,270.0,278.0,0.0,949.0,260394.0,0
2016-06-20,278.0,288.0,263.0,266.0,-4.32,1398.0,379756.0,0
2016-06-21,266.0,266.0,261.0,266.0,0.0,3754.0,988762.0,0
2016-06-22,266.0,285.0,270.0,280.0,5.26,11112.0,3062613.0,0
2016-06-23,280.0,300.0,280.0,299.0,6.79,18742.0,5472314.0,0
2016-06-26,299.0,306.0,295.0,300.0,0.33,2700.0,814250.0,0
2016-06-27,300.0,307.0,300.0,307.0,2.33,3909.0,1187604.0,0
2016-06-28,307.0,306.0,298.0,298.0,-2.93,1989.0,597356.0,0
2016-06-29,298.0,303.0,294.0,297.0,-0.34,7874.0,2350988.0,0
2016-06-30,297.0,295.0,290.0,290.0,-2.36,1548.0,452814.0,0
2016-07-03,290.0,300.0,295.0,300.0,3.45,3424.0,1023052.0,0
2016-07-04,300.0,306.0,299.0,300.0,0.0,1062.0,319988.0,0
2016-07-05,300.0,306.0,284.0,300.0,0.0,8807.0,2571787.0,0
2016-07-06,300.0,326.0,301.0,320.0,6.67,13659.0,4183247.0,0
2016-07-10,320.0,330.0,317.0,317.0,-0.94,3649.0,1182528.0,0
2016-07-11,317.0,315.0,303.0,303.0,-4.42,1500.0,457500.0,0
2016-07-12,303.0,306.0,297.0,305.0,0.66,3372.0,1012840.0,0
2016-07-13,305.0,301.0,290.0,296.0,-2.95,1894.0,559654.0,0
2016-07-14,296.0,301.0,291.0,301.0,1.69,2191.0,648731.0,0
2016-07-17,301.0,308.0,297.0,308.0,2.33,3765.0,1132507.0,0
2016-07-18,308.0,314.0,300.0,301.0,-2.27,3438.0,1043680.0,0
2016-07-19,301.0,318.0,307.0,318.0,5.65,3736.0,1169560.0,0
2016-07-20,318.0,334.0,312.0,312.0,-1.89,5340.0,1724492.0,0
2016-07-21,312.0,318.0,306.0,315.0,0.96,1663.0,517056.0,0
2016-07-25,315.0,346.0,303.0,346.0,9.84,28052.0,9442404.0,0
2016-07-26,346.0,380.0,352.0,380.0,9.83,16186.0,6065238.0,0
2016-07-27,380.0,417.0,387.0,391.0,2.89,20713.0,8360347.0,0
2016-07-28,391.0,410.0,374.0,401.0,2.56,15848.0,6269023.0,0
2016-07-31,401.0,403.0,381.0,381.0,-4.99,6594.0,2586667.0,0
2016-08-01,381.0,392.0,373.0,392.0,2.89,4700.0,1790340.0,0
2016-08-02,392.0,392.0,374.0,374.0,-4.59,1508.0,579832.0,0
2016-08-03,374.0,380.0,360.0,373.0,-0.27,3551.0,1327786.0,0
2016-08-04,373.0,376.0,354.0,354.0,-5.09,6196.0,2252894.0,0
2016-08-07,354.0,389.0,361.0,363.0,2.54,12241.0,4637734.0,0
2016-08-08,363.0,356.0,338.0,338.0,-6.89,3253.0,1118005.0,0
2016-08-10,338.0,371.0,340.0,362.0,7.10,8607.0,3038567.0,0
2016-08-11,362.0,379.0,360.0,379.0,4.70,7783.0,2876196.0,0
2016-08-14,379.0,372.0,344.0,344.0,-9.23,4659.0,1681902.0,0
2016-08-15,344.0,364.0,338.0,361.0,4.94,8505.0,2998779.0,0
2016-08-16,361.0,360.0,345.0,355.0,-1.66,2596.0,907256.0,0
2016-08-17,355.0,365.0,343.0,346.0,-2.54,3977.0,1411533.0,0
2016-08-21,346.0,360.0,335.0,345.0,-0.29,5034.0,1742696.0,0
2016-08-22,345.0,340.0,329.0,334.0,-3.19,3006.0,1013174.0,0
2016-08-23,334.0,346.0,324.0,325.0,-2.69,3940.0,1311050.0,0
2016-08-24,325.0,335.0,327.0,335.0,3.08,1690.0,560902.0,0
2016-08-28,335.0,348.0,341.0,348.0,3.88,2325.0,801085.0,0
2016-08-29,348.0,348.0,330.0,348.0,0.0,1164.0,398712.0,0
2016-08-30,348.0,365.0,348.0,360.0,3.45,7621.0,2710772.0,0
2016-08-31,360.0,361.0,354.0,354.0,-1.67,332.0,118862.0,0
2016-09-01,354.0,368.0,347.0,350.0,-1.13,3140.0,1116238.0,0
2016-09-03,350.0,373.0,343.0,370.0,5.71,4153.0,1530867.0,0
2016-09-04,350.0,373.0,343.0,370.0,0.0,4153.0,1530867.0,0
2016-09-05,370.0,377.0,370.0,370.0,0.0,1995.0,745279.0,0
2016-09-06,370.0,377.0,359.0,359.0,-2.97,1474.0,542460.0,0
2016-09-07,359.0,367.0,353.0,367.0,2.23,2729.0,974624.0,0
2016-09-08,367.0,365.0,355.0,362.0,-1.36,2186.0,783629.0,0
2016-09-11,362.0,360.0,351.0,351.0,-3.04,1417.0,499808.0,0
2016-09-12,351.0,364.0,352.0,364.0,3.70,2666.0,949552.0,0
2016-09-14,364.0,371.0,358.0,360.0,-1.10,2509.0,903832.0,0
2016-09-18,360.0,367.0,346.0,360.0,0.0,3483.0,1250660.0,0
2016-09-20,360.0,353.0,353.0,353.0,-1.94,100.0,35300.0,0
2016-09-21,353.0,352.0,342.0,352.0,-0.28,2134.0,738976.0,0
2016-09-22,352.0,360.0,355.0,360.0,2.27,2504.0,899268.0,0
2016-09-25,360.0,353.0,324.0,326.0,-9.44,1000.0,326980.0,0
