published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-09-09,346.00,374.00,346.00,374.00,10.00,230.00,85280.00,1
2020-09-10,392.00,411.00,392.00,411.00,9.89,610.00,249420.00,1
2020-09-13,423.00,452.00,423.00,452.00,9.98,810.00,363760.00,1
2020-09-14,474.00,497.00,474.00,497.00,9.96,1250.00,620830.00,1
2020-09-15,521.00,546.00,521.00,546.00,9.86,2980.00,1625380.00,1
2020-09-16,573.00,600.00,573.00,600.00,9.89,18390.00,11024880.00,1
2020-09-17,630.00,660.00,630.00,660.00,10.00,52531.00,34639320.00,1
2020-09-20,693.00,726.00,660.00,665.00,0.76,281168.00,194764516.00,1
2020-09-21,665.00,665.00,623.00,640.00,-3.76,203152.00,129855865.00,-1
2020-09-22,635.00,637.00,625.00,630.00,-1.56,112770.00,70853501.00,-1
2020-09-23,600.00,668.00,600.00,662.00,5.08,70575.00,44664106.00,1
2020-09-24,631.00,669.00,631.00,649.00,-1.96,55191.00,35961089.00,-1
2020-09-27,618.00,665.00,618.00,636.00,-2.00,43591.00,27818214.00,-1
2020-09-28,636.00,643.00,630.00,631.00,-0.79,31320.00,19761850.00,-1
2020-09-29,631.00,635.00,625.00,626.00,-0.79,30275.00,18970951.00,-1
2020-09-30,624.00,626.00,617.00,621.00,-0.80,36350.00,22544670.00,-1
2020-10-01,620.00,647.00,615.00,630.00,1.45,47051.00,29706996.00,1
2020-10-04,633.00,640.00,624.00,625.00,-0.79,44110.00,27737920.00,-1
2020-10-05,630.00,630.00,611.00,625.00,0.00,36105.00,22519652.00,0
2020-10-06,630.00,630.00,618.00,620.00,-0.80,36439.00,22607699.00,-1
2020-10-07,620.00,630.00,616.00,618.00,-0.32,26615.00,16468825.00,-1
2020-10-08,618.00,624.00,614.00,615.00,-0.49,46551.00,28695822.00,-1
2020-10-11,610.00,615.00,607.00,608.00,-1.14,29873.00,18205136.00,-1
2020-10-12,608.00,618.00,603.00,608.00,0.00,28035.00,17048705.00,0
2020-10-13,605.00,610.00,605.00,606.00,-0.33,18610.00,11290376.00,-1
2020-10-14,602.00,606.00,599.00,601.00,-0.83,28238.00,16997625.00,-1
2020-10-15,604.00,608.00,599.00,600.00,-0.17,22030.00,13231876.00,-1
2020-10-18,612.00,612.00,592.00,593.00,-1.17,19653.00,11674406.00,-1
2020-10-19,591.00,600.00,588.00,598.00,0.84,13786.00,8196557.00,1
2020-10-20,598.00,612.00,590.00,603.00,0.84,10145.00,6094500.00,1
2020-10-21,603.00,610.00,600.00,603.00,0.00,11598.00,6977358.00,0
2020-10-22,603.00,605.00,597.00,600.00,-0.50,15776.00,9448998.00,-1
2020-10-28,600.00,600.00,592.00,598.00,-0.33,22855.00,13566390.00,-1
2020-10-29,595.00,600.00,590.00,592.00,-1.00,26470.00,15681700.00,-1
2020-11-01,595.00,595.00,587.00,588.00,-0.68,28986.00,17061753.00,-1
2020-11-02,588.00,588.00,580.00,582.00,-1.02,33423.00,19475204.00,-1
2020-11-03,585.00,590.00,572.00,589.00,1.20,24904.00,14575236.00,1
2020-11-04,590.00,593.00,582.00,584.00,-0.85,17620.00,10297110.00,-1
2020-11-05,584.00,585.00,579.00,581.00,-0.51,25734.00,14939380.00,-1
2020-11-08,600.00,610.00,590.00,593.00,2.07,48860.00,29200485.00,1
2020-11-09,591.00,600.00,591.00,591.00,-0.34,28945.00,17190580.00,-1
2020-11-10,592.00,615.00,591.00,613.00,3.72,57450.00,34803806.00,1
2020-11-11,619.00,619.00,610.00,611.00,-0.33,24171.00,14813075.00,-1
2020-11-12,611.00,612.00,599.00,604.00,-1.15,29095.00,17592205.00,-1
2020-11-18,604.00,614.00,593.00,613.00,1.49,24030.00,14515045.00,1
2020-11-19,620.00,624.00,607.00,614.00,0.16,78505.00,48320147.00,1
2020-11-22,614.00,627.00,600.00,603.00,-1.79,53222.00,32498796.00,-1
2020-11-23,603.00,614.00,598.00,599.00,-0.66,30067.00,18084327.00,-1
2020-11-24,593.00,617.00,593.00,613.00,2.34,43740.00,26618265.00,1
2020-11-25,620.00,624.00,612.00,620.00,1.14,62829.00,38847811.00,1
2020-11-26,620.00,629.00,614.00,615.00,-0.81,67091.00,41634838.00,-1
2020-11-29,610.00,621.00,605.00,610.00,-0.81,36133.00,22031902.00,-1
2020-11-30,615.00,652.00,606.00,633.00,3.77,89177.00,56034295.00,1
2020-12-01,664.00,680.00,631.00,673.00,6.32,202285.00,133999885.00,1
2020-12-02,706.00,706.00,664.00,688.00,2.23,87335.00,59747980.00,1
2020-12-03,680.00,700.00,657.00,665.00,-3.34,67757.00,45596061.00,-1
2020-12-06,695.00,695.00,619.00,619.00,-6.92,59166.00,37633525.00,-1
2020-12-07,619.00,650.00,615.00,642.00,3.72,55654.00,35336401.00,1
2020-12-08,645.00,653.00,630.00,630.00,-1.87,37058.00,23723397.00,-1
2020-12-09,661.00,661.00,620.00,621.00,-1.43,28625.00,17858060.00,-1
2020-12-10,612.00,635.00,612.00,623.00,0.32,20555.00,12837585.00,1
2020-12-13,616.00,637.00,616.00,629.00,0.96,30175.00,19039981.00,1
2020-12-14,629.00,654.00,629.00,646.00,2.70,45075.00,29088353.00,1
2020-12-15,614.00,656.00,614.00,638.00,-1.24,32645.00,21006850.00,-1
2020-12-16,638.00,644.00,630.00,639.00,0.16,24292.00,15466094.00,1
2020-12-17,630.00,637.00,628.00,629.00,-1.56,26434.00,16698982.00,-1
2020-12-20,629.00,635.00,595.00,600.00,-4.61,55209.00,33674717.00,-1
2020-12-21,590.00,620.00,570.00,605.00,0.83,36626.00,21725390.00,1
2020-12-22,610.00,622.00,605.00,618.00,2.15,43722.00,26903196.00,1
2020-12-23,620.00,640.00,611.00,615.00,-0.49,27099.00,16775359.00,-1
2020-12-24,610.00,618.00,604.00,612.00,-0.49,16393.00,10014045.00,-1
2020-12-27,613.00,618.00,608.00,610.00,-0.33,18373.00,11239157.00,-1
2020-12-28,605.00,614.00,601.00,610.00,0.00,14580.00,8843404.00,0
2020-12-29,602.00,611.00,601.00,602.00,-1.31,22450.00,13552122.00,-1
2020-12-30,602.00,610.00,596.00,600.00,-0.33,26357.00,15844258.00,-1
2020-12-31,598.00,609.00,598.00,601.00,0.17,24999.00,15093648.00,1
2021-01-03,610.00,630.00,610.00,614.00,2.16,37151.00,22882272.00,1
2021-01-04,620.00,625.00,608.00,609.00,-0.81,19670.00,12086800.00,-1
2021-01-05,605.00,614.00,605.00,608.00,-0.16,20194.00,12295764.00,-1
2021-01-06,608.00,620.00,605.00,610.00,0.33,23920.00,14586985.00,1
2021-01-07,610.00,622.00,610.00,617.00,1.15,30580.00,18889225.00,1
2021-01-10,625.00,637.00,617.00,619.00,0.32,33857.00,21123257.00,1
2021-01-11,625.00,630.00,620.00,625.00,0.97,28788.00,17965508.00,1
2021-01-12,625.00,635.00,621.00,632.00,1.12,26713.00,16809393.00,1
2021-01-13,636.00,644.00,634.00,637.00,0.79,34475.00,22016667.00,1
2021-01-17,638.00,643.00,632.00,632.00,-0.78,27622.00,17549925.00,-1
2021-01-18,632.00,644.00,632.00,634.00,0.32,31038.00,19703449.00,1
2021-01-19,634.00,640.00,625.00,626.00,-1.26,29370.00,18493516.00,-1
2021-01-20,630.00,634.00,620.00,629.00,0.48,27486.00,17265115.00,1
2021-01-21,625.00,635.00,625.00,630.00,0.16,53481.00,33705587.00,1
2021-01-24,640.00,693.00,637.00,676.00,7.30,150026.00,98517728.00,1
2021-01-25,676.00,712.00,667.00,671.00,-0.74,104925.00,71483837.00,-1
2021-01-26,671.00,684.00,657.00,657.00,-2.09,42809.00,28421304.00,-1
2021-01-27,689.00,689.00,652.00,660.00,0.46,46278.00,30569522.00,1
2021-01-28,665.00,682.00,657.00,668.00,1.21,111402.00,75083922.00,1
2021-01-31,666.00,670.00,653.00,653.00,-2.25,56902.00,37582656.00,-1
2021-02-01,655.00,680.00,655.00,677.00,3.68,76053.00,51304127.00,1
2021-02-02,681.00,744.00,680.00,744.00,9.90,117975.00,85416443.00,1
2021-02-03,781.00,818.00,744.00,775.00,4.17,236202.00,184143505.00,1
2021-02-04,775.00,789.00,746.00,765.00,-1.29,84749.00,65079619.00,-1
2021-02-07,770.00,777.00,750.00,773.00,1.05,99113.00,75987271.00,1
2021-02-08,780.00,815.00,772.00,785.00,1.55,106508.00,84568991.00,1
2021-02-09,786.00,790.00,760.00,772.00,-1.66,55942.00,43206605.00,-1
2021-02-10,770.00,770.00,758.00,761.00,-1.42,41477.00,31644135.00,-1
2021-02-11,761.00,765.00,736.00,736.00,-3.29,52942.00,39649830.00,-1
