published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-09-02,10.0,10.15,9.98,10.1,0.0,16950.0,170491.8,0
2021-09-05,10.1,10.3,9.85,9.95,-1.49,40555.0,406688.0,-1
2021-09-06,9.95,10.1,9.95,10.05,1.01,30050.0,301525.5,1
2021-09-07,9.95,10.09,9.95,10.0,-0.5,9120.0,91526.0,-1
2021-09-08,10.0,10.05,9.97,10.03,0.3,14900.0,149025.52,1
2021-09-09,9.95,10.0,9.85,9.88,-1.5,63081.0,625125.19,-1
2021-09-12,9.89,10.0,9.89,9.96,0.81,21600.0,215410.0,1
2021-09-13,9.98,9.98,9.85,9.92,-0.4,21100.0,209395.96,-1
2021-09-14,9.9,10.05,9.9,9.91,-0.1,18800.0,186398.0,-1
2021-09-15,9.9,10.1,9.9,9.93,0.2,6700.0,67234.0,1
2021-09-16,9.85,10.0,9.82,9.85,-0.81,55350.0,545588.5,-1
2021-09-20,9.8,9.89,9.71,9.71,-1.42,50450.0,491267.0,-1
2021-09-21,9.6,9.8,9.5,9.61,-1.03,27650.0,268715.0,-1
2021-09-22,9.7,10.0,9.62,9.65,0.42,74300.0,721626.0,1
2021-09-23,9.47,9.88,9.47,9.7,0.52,56000.0,541549.6,1
2021-09-26,9.7,9.8,9.58,9.59,-1.13,10400.0,100460.9,-1
2021-09-27,9.5,9.69,9.32,9.5,-0.94,15600.0,146963.0,-1
2021-09-28,9.32,9.52,9.32,9.4,-1.05,21564.0,203289.5,-1
2021-09-29,9.4,9.67,9.4,9.61,2.23,16550.0,158148.5,1
2021-09-30,9.6,9.65,9.42,9.52,-0.94,12050.0,114918.5,-1
2021-10-03,9.33,9.5,9.3,9.5,-0.21,18180.0,171570.9,-1
2021-10-04,9.32,9.69,9.31,9.32,-1.89,12370.0,116027.5,-1
2021-10-05,9.3,9.61,9.25,9.51,2.04,4650.0,43923.5,1
2021-10-06,9.7,9.89,9.61,9.62,1.16,9450.0,91404.5,1
2021-10-10,9.62,9.9,9.57,9.81,1.98,9200.0,89281.0,1
2021-10-11,9.62,9.75,9.56,9.75,-0.61,3600.0,34611.0,-1
2021-10-17,9.7,10.04,9.7,10.04,2.97,12400.0,122757.0,1
2021-10-18,9.85,9.89,9.7,9.89,-1.49,13200.0,129838.0,-1
2021-10-19,9.9,9.9,9.36,9.41,-4.85,35911.0,338598.81,-1
2021-10-20,9.5,9.97,9.5,9.9,5.21,17400.0,167502.0,1
2021-10-21,10.0,10.0,9.71,9.9,0.0,4970.0,48799.7,0
2021-10-24,9.72,9.9,9.54,9.7,-2.02,25350.0,244704.21,-1
2021-10-25,9.65,9.89,9.65,9.77,0.72,10350.0,100859.0,1
2021-10-26,9.77,10.0,9.65,9.97,2.05,4600.0,45765.0,1
2021-10-27,9.79,9.9,9.78,9.82,-1.5,5700.0,55915.0,-1
2021-10-28,9.7,9.9,9.7,9.78,-0.41,19160.0,187101.5,-1
2021-10-31,9.78,9.81,9.6,9.76,-0.2,29500.0,286585.0,-1
2021-11-01,9.8,9.85,9.65,9.66,-1.02,15900.0,153921.5,-1
2021-11-02,9.66,9.8,9.6,9.6,-0.62,67700.0,653260.0,-1
2021-11-03,9.78,9.78,9.6,9.61,0.1,26600.0,256664.0,1
2021-11-08,9.5,9.7,9.5,9.69,0.83,12255.0,118735.5,1
2021-11-09,9.7,9.7,9.47,9.5,-1.96,47500.0,453306.0,-1
2021-11-11,9.36,9.6,9.36,9.48,-0.21,10650.0,100680.7,-1
2021-11-14,9.36,9.54,9.36,9.54,0.63,13080.0,123420.5,1
2021-11-15,9.54,9.72,9.2,9.55,0.1,10610.0,100223.8,1
2021-11-16,9.5,9.69,9.4,9.64,0.94,19475.0,185424.75,1
2021-11-17,9.45,9.83,9.38,9.5,-1.45,7800.0,75030.0,-1
2021-11-18,9.6,9.68,9.4,9.5,0.0,14150.0,134670.2,0
2021-11-21,9.4,9.54,9.36,9.54,0.42,10200.0,96862.0,1
2021-11-22,9.35,9.63,9.35,9.41,-1.36,6500.0,62025.0,-1
2021-11-23,9.35,9.5,9.35,9.37,-0.43,10800.0,101359.0,-1
2021-11-24,9.37,9.5,9.31,9.32,-0.53,38350.0,359083.0,-1
2021-11-25,9.33,9.48,9.3,9.32,0.0,5250.0,49130.0,0
2021-11-28,9.32,9.44,9.22,9.44,1.29,7160.0,66512.2,1
2021-11-29,9.47,9.5,9.35,9.35,-0.95,2713.0,25492.2,-1
2021-11-30,9.2,9.3,9.18,9.21,-1.5,17137.0,157612.4,-1
2021-12-01,9.21,9.35,9.17,9.35,1.52,3700.0,34211.0,1
2021-12-02,9.2,9.36,9.2,9.21,-1.5,21501.0,198140.2,-1
2021-12-05,9.11,9.12,9.0,9.03,-1.95,33117.0,300507.43,-1
2021-12-06,9.0,9.15,8.97,9.15,1.33,13800.0,124737.0,1
2021-12-07,9.0,9.2,9.0,9.19,0.44,6500.0,59289.5,1
2021-12-08,9.1,9.2,8.96,8.96,-2.5,9100.0,82592.0,-1
2021-12-09,9.12,9.13,8.99,9.03,0.78,12400.0,112699.0,1
2021-12-12,9.03,9.17,9.0,9.09,0.66,24300.0,221786.0,1
2021-12-13,9.0,9.0,8.91,8.95,-1.54,21449.0,191708.0,-1
2021-12-14,8.95,9.11,8.95,9.11,1.79,13000.0,117304.0,1
2021-12-15,9.12,9.2,9.0,9.0,-1.21,31425.0,282996.5,-1
2021-12-16,9.18,9.48,8.82,8.99,-0.11,8570.0,77676.8,-1
2021-12-20,8.82,9.12,8.82,8.94,-0.56,40501.0,360047.44,-1
2021-12-21,8.94,9.15,8.85,9.15,2.35,1725.0,15501.75,1
2021-12-22,9.0,9.15,8.8,9.15,0.0,27615.0,246657.25,0
2021-12-23,8.97,9.17,8.97,9.17,0.22,4565.0,41402.05,1
2021-12-26,8.99,9.2,8.99,9.1,-0.76,27600.0,249337.0,-1
2021-12-27,9.11,9.17,9.0,9.0,-1.1,27270.0,248514.6,-1
2021-12-28,9.0,9.18,9.0,9.0,0.0,2700.0,24514.0,0
2021-12-29,8.93,9.1,8.93,9.1,1.11,3800.0,33961.0,1
2022-01-02,8.92,9.2,8.91,8.91,-2.09,7700.0,69440.0,-1
2022-01-03,9.01,9.01,8.81,8.97,0.67,20773.0,185328.96,1
2022-01-04,8.96,9.13,8.96,9.0,0.33,4709.0,42540.17,1
2022-01-05,8.91,9.1,8.91,9.0,0.0,9292.0,83528.5,0
2022-01-06,9.18,9.54,9.18,9.35,3.89,24900.0,232711.0,1
2022-01-09,9.53,9.53,9.2,9.3,-0.53,14900.0,138839.0,-1
2022-01-10,9.4,9.48,9.25,9.43,1.4,13750.0,129465.5,1
2022-01-11,9.42,9.58,9.25,9.39,-0.42,9265.0,87217.7,-1
2022-01-12,9.26,9.38,9.16,9.16,-2.45,17700.0,163440.0,-1
2022-01-13,9.16,9.2,9.02,9.2,0.44,24450.0,221866.5,1
2022-01-16,9.02,9.4,9.0,9.3,1.09,19101.0,175787.39,1
2022-01-17,9.22,9.3,9.05,9.25,-0.54,9200.0,84991.0,-1
2022-01-18,9.25,9.28,9.1,9.28,0.32,11600.0,106966.0,1
2022-01-19,9.11,9.35,9.11,9.18,-1.08,13900.0,128962.0,-1
2022-01-20,9.1,9.33,9.02,9.33,1.63,32691.0,300698.82,1
2022-01-23,9.25,9.33,9.2,9.25,-0.86,16700.0,154082.0,-1
2022-01-24,9.07,9.3,9.07,9.09,-1.73,8008.0,73240.44,-1
2022-01-25,9.22,9.22,9.13,9.2,1.21,3700.0,34000.0,1
2022-01-26,9.15,9.2,9.1,9.1,-1.09,7400.0,67497.0,-1
2022-01-27,9.06,9.15,9.03,9.1,0.0,18335.0,166246.5,0
2022-01-30,9.1,9.5,9.04,9.04,-0.66,42700.0,393245.5,-1
2022-01-31,9.0,9.41,8.9,9.2,1.77,11076.0,102230.16,1
2022-02-01,9.02,9.2,9.02,9.16,-0.43,7900.0,72106.5,-1
2022-02-03,9.1,9.2,9.1,9.16,0.0,11570.0,105967.0,0
2022-02-06,9.0,9.16,9.0,9.1,-0.66,11050.0,100268.0,-1
2022-02-07,9.05,9.2,9.05,9.15,0.55,3600.0,32917.0,1
2022-02-08,9.05,9.44,9.05,9.15,0.0,13400.0,123803.0,0
2022-02-09,9.03,9.3,9.03,9.25,1.09,5650.0,51888.5,1
