published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-17,486.6,535.2,486.6,495.0,1.73,487186.0,245293976.2,1
2023-09-18,500.0,500.0,485.2,489.0,-1.21,192130.0,93880860.0,-1
2023-09-19,489.0,489.0,478.4,485.5,-0.72,220056.0,106442691.7,-1
2023-09-21,487.0,496.0,483.2,484.2,-0.27,286708.0,139658690.5,-1
2023-09-24,479.0,491.0,462.2,463.1,-4.36,159725.0,75416964.5,-1
2023-09-25,460.0,470.0,456.1,460.0,-0.67,142761.0,65861503.7,-1
2023-09-26,460.0,480.1,460.0,477.7,3.85,151068.0,71348296.5,1
2023-09-27,475.0,486.5,471.0,479.0,0.27,122887.0,58436676.9,1
2023-10-01,475.0,475.0,461.0,462.5,-3.44,116239.0,54062577.9,-1
2023-10-02,456.0,466.6,456.0,466.0,0.76,102400.0,47253637.0,1
2023-10-03,460.0,467.0,460.0,460.3,-1.22,80679.0,37262140.2,-1
2023-10-04,457.0,469.9,455.0,463.0,0.59,92751.0,43091944.1,1
2023-10-05,458.1,465.0,458.1,458.2,-1.04,64915.0,29885210.0,-1
2023-10-08,450.0,457.0,442.1,445.0,-2.88,124649.0,55760572.5,-1
2023-10-09,440.0,449.0,437.4,441.8,-0.72,76160.0,33632504.5,-1
2023-10-10,436.0,441.8,433.3,433.6,-1.86,57185.0,25000799.5,-1
2023-10-11,430.0,445.0,429.3,433.5,-0.02,64213.0,27888363.0,-1
2023-10-12,430.1,435.0,424.0,424.6,-2.05,64409.0,27613460.8,-1
2023-10-16,416.2,420.5,402.0,408.1,-3.89,87805.0,35829584.9,-1
2023-10-17,400.0,422.9,400.0,411.5,0.83,52689.0,21688520.0,1
2023-10-18,411.0,421.0,404.2,417.0,1.34,41100.0,17113924.0,1
2023-10-19,411.0,421.0,411.0,415.8,-0.29,28922.0,12054440.3,-1
2023-10-29,409.0,410.0,403.2,405.5,-2.48,34681.0,14032765.2,-1
2023-10-30,405.0,406.0,400.0,406.0,0.12,28848.0,11615704.6,1
2023-10-31,406.0,406.0,400.2,402.4,-0.89,25757.0,10373242.0,-1
2023-11-01,400.0,407.0,398.2,400.0,-0.6,32091.0,12884200.0,-1
2023-11-02,395.1,408.0,395.1,400.0,0.0,32962.0,13161711.4,0
2023-11-05,392.0,401.0,390.0,393.0,-1.75,25038.0,9805480.8,-1
2023-11-06,390.0,400.0,390.0,397.6,1.17,23181.0,9181625.0,1
2023-11-07,397.0,418.0,396.0,414.0,4.12,64744.0,26513995.7,1
2023-11-08,420.0,426.0,407.0,417.0,0.72,56829.0,23840277.5,1
2023-11-09,409.0,425.3,409.0,415.0,-0.48,37056.0,15481664.3,-1
2023-11-20,410.0,428.0,410.0,420.0,1.2,54125.0,22847977.1,1
2023-11-21,415.0,420.0,411.0,411.9,-1.93,43777.0,18197144.3,-1
2023-11-22,405.1,426.3,405.1,420.0,1.97,55426.0,23157685.6,1
2023-11-23,412.1,453.9,412.1,440.0,4.76,119970.0,52127714.3,1
2023-11-26,436.0,470.1,436.0,470.0,6.82,165042.0,75694512.3,1
2023-11-27,465.0,479.0,455.1,466.1,-0.83,162875.0,76065789.0,-1
2023-11-28,465.0,475.3,461.1,469.9,0.82,96760.0,45440819.0,1
2023-11-29,466.0,476.0,456.0,457.0,-2.75,68544.0,31995488.3,-1
2023-11-30,447.9,473.0,447.9,460.0,0.66,71157.0,32639394.9,1
2023-12-03,452.2,462.0,452.2,457.0,-0.65,58396.0,26629402.7,-1
2023-12-04,452.1,472.0,452.1,467.0,2.19,92194.0,42979916.5,1
2023-12-05,475.0,482.0,470.0,474.5,1.61,108588.0,51635317.7,1
2023-12-06,474.5,491.0,472.0,488.1,2.87,151676.0,73449017.5,1
2023-12-07,480.1,491.0,475.2,486.3,-0.37,163473.0,79121523.9,-1
2023-12-10,490.0,515.0,490.0,514.0,5.7,39065.0,19842653.6,1
2023-12-11,520.0,520.0,494.0,519.6,1.09,325267.0,165766860.7,1
2023-12-12,519.5,547.0,517.0,542.0,4.31,267573.0,143578143.7,1
2023-12-13,550.0,553.0,536.0,543.0,0.18,202768.0,110503832.1,1
2023-12-14,553.8,553.8,530.0,547.0,0.74,213185.0,114988791.7,1
2023-12-17,536.1,557.9,527.1,552.0,0.91,297715.0,161539726.3,1
2023-12-18,545.0,566.9,545.0,555.0,0.54,222876.0,124801851.1,1
2023-12-19,545.0,600.0,545.0,590.0,6.31,214105.0,122188899.8,1
2023-12-20,580.0,605.0,580.0,592.0,0.34,282935.0,167367961.8,1
2023-12-21,590.0,598.0,580.3,585.0,-1.18,229637.0,134365424.3,-1
2023-12-24,590.0,603.0,575.1,595.0,1.71,285552.0,169388956.0,1
2023-12-27,595.0,603.0,584.3,585.0,-1.68,213685.0,126463053.0,-1
2023-12-28,575.2,590.0,575.2,582.0,-0.51,222384.0,129809679.5,-1
2024-01-01,582.0,587.0,566.5,567.1,-2.56,172131.0,99165974.8,-1
2024-01-02,560.0,565.0,543.0,545.1,-3.88,178303.0,98716496.7,-1
2024-01-03,540.0,552.0,525.0,550.0,0.9,156218.0,84208353.5,1
2024-01-04,550.0,566.0,545.0,545.1,-0.89,208839.0,114843404.6,-1
2024-01-07,534.2,544.9,531.1,535.0,-1.85,125364.0,67228083.9,-1
2024-01-08,545.0,560.0,537.0,556.0,3.93,169677.0,93099943.4,1
2024-01-09,558.0,570.1,555.0,558.0,0.36,215326.0,121412806.0,1
2024-01-10,569.1,603.4,569.1,578.9,3.75,496040.0,288715287.9,1
2024-01-11,585.0,585.0,570.0,571.0,-1.36,167643.0,96313741.7,-1
2024-01-14,575.0,576.0,565.0,566.0,-0.88,131023.0,74568566.7,-1
2024-01-16,566.0,598.0,566.0,590.0,4.24,228431.0,133182417.0,1
2024-01-17,590.0,612.0,577.4,578.0,-2.03,198057.0,116448228.8,-1
2024-01-18,578.1,582.1,568.0,575.4,-0.45,115513.0,66398072.7,-1
2024-01-21,586.9,588.0,570.0,572.9,-0.43,160835.0,93061798.1,-1
2024-01-22,572.9,585.1,566.0,575.0,0.37,187913.0,108538595.0,1
