published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-08-28,144.0,148.0,143.0,143.0,-1.38,2740.0,397030.0,-1
2018-08-29,143.0,144.0,142.0,142.0,-0.7,1890.0,270650.0,-1
2018-08-30,141.0,146.0,141.0,146.0,2.82,190.0,27110.0,1
2018-09-02,148.0,153.0,143.0,143.0,-2.05,520.0,75170.0,-1
2018-09-03,141.0,151.0,141.0,143.0,0.0,4800.0,685810.0,0
2018-09-04,143.0,145.0,142.0,142.0,-0.7,2810.0,403150.0,-1
2018-09-05,142.0,156.0,142.0,153.0,7.75,2980.0,440480.0,1
2018-09-06,150.0,150.0,145.0,147.0,-3.92,4390.0,641020.0,-1
2018-09-09,145.0,146.0,142.0,144.0,-2.04,1310.0,188120.0,-1
2018-09-10,142.0,145.0,142.0,144.0,0.0,1300.0,187210.0,0
2018-09-11,146.0,146.0,141.0,143.0,-0.69,540.0,78030.0,-1
2018-09-12,145.0,146.0,142.0,142.0,-0.7,1610.0,231740.0,-1
2018-09-13,140.0,146.0,140.0,143.0,0.7,4120.0,592150.0,1
2018-09-16,143.0,145.0,139.0,142.0,-0.7,420.0,59750.0,-1
2018-09-17,141.0,142.0,141.0,141.0,-0.7,360.0,50770.0,-1
2018-09-18,143.0,144.0,140.0,144.0,2.13,2650.0,375160.0,1
2018-09-20,142.0,143.0,140.0,142.0,-1.39,790.0,111910.0,-1
2018-09-23,140.0,142.0,136.0,142.0,0.0,1430.0,199810.0,0
2018-09-25,141.0,141.0,138.0,138.0,-2.82,2640.0,367510.0,-1
2018-09-26,137.0,139.0,136.0,136.0,-1.45,2850.0,392160.0,-1
2018-09-27,134.0,137.0,134.0,136.0,0.0,1080.0,146670.0,0
2018-09-30,135.0,138.0,134.0,135.0,-0.74,1880.0,254940.0,-1
2018-10-01,133.0,135.0,131.0,134.0,-0.74,460.0,61620.0,-1
2018-10-02,132.0,136.0,132.0,134.0,0.0,930.0,124800.0,0
2018-10-03,134.0,135.0,129.0,130.0,-2.99,3120.0,409600.0,-1
2018-10-04,129.0,132.0,127.0,129.0,-0.77,1040.0,134230.0,-1
2018-10-07,128.0,130.0,127.0,130.0,0.78,660.0,84300.0,1
2018-10-08,129.0,132.0,129.0,130.0,0.0,670.0,87100.0,0
2018-10-09,131.0,131.0,129.0,129.0,-0.77,940.0,121750.0,-1
2018-10-10,127.0,130.0,125.0,129.0,0.0,1800.0,231630.0,0
2018-10-11,127.0,129.0,125.0,127.0,-1.55,970.0,122850.0,-1
2018-10-14,125.0,131.0,123.0,130.0,2.36,3017.0,381849.0,1
2018-10-15,129.0,132.0,127.0,128.0,-1.54,410.0,52550.0,-1
2018-10-25,126.0,126.0,118.0,121.0,-5.47,1305.0,158770.0,-1
2018-10-28,119.0,127.0,117.0,127.0,4.96,1110.0,132790.0,1
2018-10-29,125.0,125.0,115.0,117.0,-7.87,570.0,67310.0,-1
2018-10-30,118.0,122.0,116.0,118.0,0.85,870.0,102480.0,1
2018-10-31,119.0,122.0,115.0,115.0,-2.54,960.0,112530.0,-1
2018-11-01,113.0,117.0,113.0,115.0,0.0,440.0,50580.0,0
2018-11-04,117.0,117.0,108.0,113.0,-1.74,410.0,46710.0,-1
2018-11-05,115.0,115.0,112.0,113.0,0.0,300.0,34100.0,0
2018-11-06,113.0,113.0,111.0,111.0,-1.77,10.0,1110.0,-1
2018-11-11,111.0,111.0,105.0,108.0,-2.7,70.0,7480.0,-1
2018-11-12,110.0,111.0,108.0,110.0,1.85,500.0,54990.0,1
2018-11-13,108.0,112.0,104.0,109.0,-0.91,1300.0,141190.0,-1
2018-11-14,107.0,111.0,107.0,111.0,1.83,210.0,22680.0,1
2018-11-15,109.0,111.0,107.0,110.0,-0.9,370.0,40120.0,-1
2018-11-18,108.0,112.0,108.0,109.0,-0.91,370.0,40500.0,-1
2018-11-19,107.0,111.0,105.0,111.0,1.83,1370.0,148070.0,1
2018-11-20,111.0,114.0,109.0,114.0,2.7,460.0,50810.0,1
2018-11-21,112.0,112.0,110.0,111.0,-2.63,450.0,49920.0,-1
2018-11-22,109.0,114.0,107.0,114.0,2.7,531.0,58113.0,1
2018-11-25,112.0,112.0,106.0,106.0,-7.02,1460.0,155300.0,-1
2018-11-26,106.0,109.0,106.0,106.0,0.0,700.0,75840.0,0
2018-11-27,104.0,111.0,104.0,109.0,2.83,1140.0,123470.0,1
2018-11-28,107.0,113.0,107.0,109.0,0.0,1230.0,135300.0,0
2018-11-29,108.0,109.0,106.0,107.0,-1.83,380.0,41010.0,-1
2018-12-02,105.0,109.0,100.0,109.0,1.87,660.0,68710.0,1
2018-12-03,107.0,107.0,100.0,103.0,-5.5,440.0,46380.0,-1
2018-12-04,102.0,109.0,102.0,109.0,5.83,620.0,67180.0,1
2018-12-05,107.0,108.0,103.0,107.0,-1.83,450.0,48070.0,-1
2018-12-06,107.0,108.0,101.0,103.0,-3.74,790.0,82760.0,-1
2018-12-09,103.0,104.0,103.0,103.0,0.0,290.0,29880.0,0
2018-12-10,103.0,111.0,103.0,111.0,7.77,100.0,10740.0,1
2018-12-11,109.0,109.0,107.0,107.0,-3.6,740.0,79630.0,-1
2018-12-12,107.0,107.0,106.0,107.0,0.0,330.0,35290.0,0
2018-12-13,106.0,112.0,106.0,112.0,4.67,790.0,86380.0,1
2018-12-16,112.0,112.0,107.0,107.0,-4.46,1030.0,113210.0,-1
2018-12-17,107.0,112.0,107.0,110.0,2.8,170.0,18380.0,1
2018-12-18,111.0,111.0,103.0,104.0,-5.45,200.0,21040.0,-1
2018-12-19,104.0,108.0,104.0,108.0,3.85,310.0,32530.0,1
2018-12-20,106.0,109.0,101.0,109.0,0.93,416.0,43002.0,1
2018-12-23,107.0,107.0,105.0,106.0,-2.75,390.0,41270.0,-1
2018-12-24,104.0,107.0,102.0,105.0,-0.94,440.0,45770.0,-1
2018-12-25,105.0,108.0,103.0,108.0,2.86,840.0,88710.0,1
2018-12-26,106.0,108.0,105.0,106.0,-1.85,260.0,27570.0,-1
2018-12-27,107.0,112.0,107.0,110.0,3.77,5470.0,604320.0,1
2018-12-30,108.0,109.0,104.0,104.0,-5.45,190.0,20140.0,-1
2018-12-31,105.0,106.0,105.0,105.0,0.96,320.0,33620.0,1
2019-01-01,104.0,107.0,104.0,105.0,0.0,340.0,35620.0,0
2019-01-02,104.0,107.0,104.0,107.0,1.9,1250.0,131550.0,1
2019-01-03,106.0,107.0,103.0,107.0,0.0,230.0,23850.0,0
2019-01-06,106.0,106.0,104.0,105.0,-1.87,170.0,17810.0,-1
2019-01-07,105.0,107.0,103.0,107.0,1.9,1250.0,132840.0,1
2019-01-08,106.0,106.0,102.0,104.0,-2.8,170.0,17660.0,-1
2019-01-09,103.0,103.0,101.0,103.0,-0.96,170.0,17390.0,-1
2019-01-10,103.0,103.0,100.0,103.0,0.0,250.0,25510.0,0
2019-01-13,101.0,103.0,101.0,101.0,-1.94,280.0,28600.0,-1
2019-01-14,100.0,104.0,99.0,103.0,1.98,1092.0,108374.0,1
2019-01-15,102.0,104.0,102.0,103.0,0.0,130.0,13330.0,0
2019-01-16,103.0,103.0,100.0,100.0,-2.91,1020.0,102630.0,-1
2019-01-17,100.0,104.0,100.0,102.0,2.0,450.0,45920.0,1
2019-01-20,100.0,102.0,99.0,102.0,0.0,400.0,39710.0,0
2019-01-21,100.0,102.0,99.0,99.0,-2.94,760.0,76300.0,-1
2019-01-22,98.0,102.0,98.0,99.0,0.0,700.0,69850.0,0
2019-01-23,98.0,101.0,98.0,101.0,2.02,470.0,46830.0,1
2019-01-24,101.0,105.0,100.0,100.0,-0.99,1090.0,112070.0,-1
2019-01-27,100.0,101.0,99.0,99.0,-1.0,760.0,75410.0,-1
2019-01-28,99.0,100.0,98.0,99.0,0.0,1750.0,172860.0,0
2019-01-29,98.0,100.0,98.0,99.0,0.0,620.0,61330.0,0
2019-01-30,98.0,100.0,98.0,99.0,0.0,460.0,45680.0,0
2019-01-31,99.0,100.0,99.0,99.0,0.0,250.0,24870.0,0
2019-02-03,99.0,99.0,97.0,97.0,-2.02,280.0,27360.0,-1
2019-02-04,96.0,99.0,96.0,97.0,0.0,268.0,26076.0,0
2019-02-05,96.0,99.0,96.0,99.0,2.06,270.0,26180.0,1
2019-02-06,98.0,98.0,97.0,98.0,-1.01,730.0,71220.0,-1
2019-02-07,97.0,98.0,95.0,96.0,-2.04,1260.0,121980.0,-1
2019-02-10,95.0,97.0,95.0,97.0,1.04,610.0,58460.0,1
2019-02-11,96.0,100.0,96.0,100.0,3.09,460.0,44980.0,1
2019-02-12,98.0,104.0,98.0,100.0,0.0,1520.0,152270.0,0
2019-02-13,100.0,101.0,99.0,100.0,0.0,566.0,56474.0,0
2019-02-14,98.0,98.0,96.0,97.0,-3.0,1528.0,148994.0,-1
2019-02-17,97.0,100.0,97.0,97.0,0.0,411.0,40339.0,0
2019-02-18,96.0,97.0,93.0,94.0,-3.09,940.0,89160.0,-1
2019-02-19,94.0,94.0,92.0,93.0,-1.06,160.0,14830.0,-1
2019-02-20,92.0,94.0,91.0,93.0,0.0,330.0,30530.0,0
2019-02-21,92.0,93.0,91.0,91.0,-2.15,470.0,43140.0,-1
2019-02-24,90.0,90.0,88.0,89.0,-2.2,452.0,40138.0,-1
2019-02-25,88.0,88.0,86.0,88.0,-1.12,410.0,35800.0,-1
2019-02-26,87.0,87.0,86.0,86.0,-2.27,190.0,16420.0,-1
2019-02-27,87.0,91.0,87.0,89.0,3.49,870.0,78670.0,1
2019-03-03,88.0,90.0,88.0,89.0,0.0,100.0,8870.0,0
2019-03-05,89.0,90.0,88.0,89.0,0.0,430.0,38610.0,0
2019-03-06,90.0,95.0,89.0,94.0,5.62,1171.0,108000.0,1
2019-03-07,94.0,96.0,93.0,96.0,2.13,645.0,61780.0,1
2019-03-10,96.0,96.0,93.0,93.0,-3.13,310.0,29130.0,-1
2019-03-11,93.0,94.0,90.0,91.0,-2.15,460.0,42290.0,-1
2019-03-12,90.0,94.0,90.0,94.0,3.3,540.0,49670.0,1
2019-03-13,93.0,95.0,93.0,94.0,0.0,300.0,28320.0,0
2019-03-14,93.0,100.0,93.0,100.0,6.38,3430.0,334280.0,1
2019-03-17,102.0,107.0,100.0,105.0,5.0,2875.0,290650.0,1
2019-03-18,103.0,104.0,100.0,101.0,-3.81,430.0,43560.0,-1
2019-03-19,101.0,101.0,98.0,99.0,-1.98,90.0,8900.0,-1
2019-03-21,98.0,98.0,97.0,98.0,-1.01,320.0,31260.0,-1
2019-03-24,98.0,99.0,100.0,99.0,1.02,430.0,42330.0,1
2019-03-25,98.0,100.0,96.0,97.0,-2.02,1140.0,111100.0,-1
2019-03-26,97.0,97.0,94.0,95.0,-2.06,560.0,53820.0,-1
2019-03-27,94.0,98.0,93.0,97.0,2.11,630.0,59760.0,1
2019-03-28,96.0,97.0,95.0,96.0,-1.03,490.0,47050.0,-1
2019-03-31,96.0,97.0,95.0,96.0,0.0,440.0,42010.0,0
2019-04-01,96.0,97.0,95.0,95.0,-1.04,761.0,73015.0,-1
2019-04-02,94.0,95.0,93.0,93.0,-2.11,610.0,57270.0,-1
2019-04-03,92.0,94.0,91.0,93.0,0.0,280.0,25880.0,0
2019-04-04,93.0,94.0,91.0,91.0,-2.15,480.0,44140.0,-1
