published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-02-16,300.0,330.0,300.0,330.0,10.0,130.0,40150.0,1
2026-02-17,328.0,361.8,328.0,361.8,9.64,60.0,20681.0,1
2026-02-22,358.2,395.3,358.2,395.3,9.26,60.0,22590.0,1
2026-02-23,391.5,432.0,391.5,432.0,9.28,60.0,24689.0,1
2026-02-24,427.9,472.2,427.9,472.2,9.31,60.0,26986.0,1
2026-02-25,467.5,519.4,467.5,519.4,10.0,60.0,29717.0,1
2026-02-26,514.3,567.5,514.3,567.5,9.26,60.0,32431.0,1
2026-03-01,561.9,624.2,561.9,624.2,9.99,110.0,66647.0,1
2026-03-03,621.1,685.5,621.1,685.5,9.82,60.0,39173.0,1
2026-03-09,675.3,675.3,675.3,675.3,-1.49,10.0,6753.0,-1
2026-03-10,688.8,742.8,688.8,742.8,10.0,80.0,56478.0,1
2026-03-11,735.6,812.1,735.6,812.1,9.33,60.0,46401.0,1
2026-03-12,802.1,893.3,802.1,893.3,10.0,160.0,136911.0,1
2026-03-15,885.2,939.3,885.2,939.3,5.15,80.0,72599.0,1
2026-03-16,921.2,1033.2,921.2,1033.2,10.0,170.0,168970.0,1
2026-03-17,1017.8,1136.5,1017.8,1136.5,10.0,250.0,270821.0,1
2026-03-19,1120.5,1250.1,1120.5,1250.1,10.0,770.0,946644.0,1
2026-03-22,1235.0,1375.1,1235.0,1375.1,10.0,375.0,504898.5,1
2026-03-23,1361.4,1512.6,1361.4,1512.6,10.0,480.0,714243.0,1
2026-03-24,1494.4,1663.8,1494.4,1663.8,10.0,543.0,883098.4,1
2026-03-25,1697.0,1830.1,1697.0,1830.1,10.0,1020.0,1853629.0,1
2026-03-26,1821.0,2013.1,1821.0,2013.1,10.0,3368.0,6759994.8,1
2026-03-29,2009.7,2214.4,2009.7,2214.4,10.0,2225.0,4914314.0,1
2026-03-30,2203.9,2435.8,2203.9,2435.8,10.0,2297.0,5574623.6,1
2026-03-31,2430.1,2679.3,2430.1,2679.3,10.0,2107.0,5624220.1,1
2026-04-01,2678.2,2947.2,2678.2,2947.2,10.0,5120.0,15066432.5,1
2026-04-02,3006.1,3241.9,3006.1,3241.9,10.0,16025.0,51908127.5,1
2026-04-05,3306.7,3566.0,3306.7,3566.0,10.0,18487.0,65817675.0,1
2026-04-06,3637.3,3922.6,3210.0,3509.0,-1.6,326117.0,1135858154.0,-1
2026-04-07,3509.0,3650.0,3440.0,3545.0,1.03,68424.0,242162426.7,1
2026-04-08,3545.0,3899.5,3545.0,3899.5,10.0,110003.0,421668054.5,1
2026-04-09,3977.0,4289.4,3825.0,4289.4,10.0,68240.0,284147469.1,1
2026-04-10,4375.1,4718.3,4375.1,4691.0,9.36,93429.0,435952980.3,1
2026-04-13,4775.4,5049.0,4611.0,4799.0,2.3,94947.0,454439080.5,1
2026-04-15,4799.0,4896.0,4500.0,4530.0,-5.61,106020.0,494192549.0,-1
2026-04-16,4501.0,4600.0,4280.0,4366.0,-3.62,140365.0,618043448.0,-1
2026-04-17,4400.0,4730.0,4300.0,4649.1,6.48,72648.0,329523377.3,1
2026-04-20,4700.0,4700.0,4465.0,4479.0,-3.66,42038.0,190915119.0,-1
2026-04-21,4390.1,4539.9,4210.0,4290.0,-4.22,68901.0,301904728.6,-1
2026-04-22,4080.0,4326.0,4080.0,4230.0,-1.4,78442.0,327861815.3,-1
2026-04-23,4180.0,4425.0,4070.0,4320.0,2.13,70488.0,304252021.0,1
2026-04-24,4291.0,4330.0,4200.0,4220.0,-2.31,58569.0,249297973.1,-1
2026-04-27,4203.0,4346.0,4195.0,4239.0,0.45,72187.0,307455441.0,1
2026-04-28,4239.0,4270.0,3981.0,4000.0,-5.64,85116.0,346825957.0,-1
2026-04-29,4000.0,4000.0,3790.0,3810.1,-4.75,62734.0,241963117.5,-1
2026-04-30,3780.0,3989.0,3700.0,3850.2,1.05,70158.0,267568490.9,1
2026-05-04,3865.0,3949.0,3699.0,3720.0,-3.38,47038.0,179975237.0,-1
2026-05-05,3790.0,3839.9,3675.0,3750.0,0.81,33951.0,127813125.3,1
2026-05-06,3700.1,3775.0,3619.0,3689.0,-1.63,43504.0,160785695.5,-1
2026-05-07,3690.0,3724.0,3636.1,3693.0,0.11,38611.0,141584207.0,1
2026-05-08,3631.0,3800.0,3631.0,3800.0,2.9,36444.0,136460386.5,1
2026-05-11,3765.0,3920.0,3765.0,3825.0,0.66,54516.0,211119488.6,1
2026-05-12,3899.0,3940.0,3680.0,3729.0,-2.51,47727.0,180957833.0,-1
2026-05-13,3729.0,3750.0,3655.1,3724.9,-0.11,22366.0,82716573.5,-1
2026-05-14,3705.0,3787.9,3673.0,3690.0,-0.94,19134.0,70695057.7,-1
2026-05-15,3741.9,3777.9,3680.0,3706.0,0.43,23184.0,86308909.1,1
2026-05-18,3720.0,3730.0,3681.0,3690.1,-0.43,19875.0,73488998.2,-1
2026-05-19,3700.0,3749.9,3650.0,3680.0,-0.27,13524.0,49751008.3,-1
2026-05-20,3640.0,3730.0,3640.0,3700.0,0.54,21592.0,79800181.3,1
2026-05-21,3744.9,3744.9,3675.0,3715.0,0.41,11962.0,44365328.2,1
2026-05-22,3720.0,3740.0,3683.0,3730.0,0.4,26240.0,97533633.6,1
2026-05-25,3700.0,3850.0,3700.0,3825.0,2.55,37741.0,143175731.1,1
2026-05-26,3849.9,3897.0,3737.0,3780.0,-1.18,18745.0,71087869.8,-1
2026-05-27,3969.0,3969.0,3700.0,3745.0,-0.93,22770.0,85475090.4,-1
2026-06-01,3745.0,3745.0,3650.0,3670.0,-2.0,26045.0,96049883.5,-1
2026-06-02,3685.0,3695.0,3621.1,3640.0,-0.82,30424.0,110912150.4,-1
2026-06-03,3468.0,3700.0,3468.0,3652.0,0.33,25239.0,91905451.6,1
2026-06-04,3685.0,3699.0,3595.0,3631.0,-0.58,12521.0,45330601.1,-1
2026-06-05,3449.5,3648.0,3449.5,3580.0,-1.4,41801.0,150858231.7,-1
2026-06-08,3480.0,3685.0,3480.0,3598.8,0.53,28775.0,103834643.3,1
2026-06-09,3500.0,3645.0,3500.0,3590.0,-0.24,18308.0,65613620.5,-1
2026-06-10,3500.0,3638.0,3500.0,3584.0,-0.17,13911.0,49987476.4,-1
2026-06-11,3500.0,3597.0,3500.0,3570.0,-0.39,29675.0,105566327.6,-1
2026-06-12,3748.5,3748.5,3499.0,3517.9,-1.46,36704.0,129038792.9,-1
2026-06-15,3420.0,3620.0,3420.0,3460.0,-1.65,47155.0,162458794.3,-1
2026-06-16,3410.0,3443.0,3330.0,3342.0,-3.41,44416.0,150519772.4,-1
2026-06-17,3230.0,3605.0,3230.0,3399.0,1.71,55293.0,183273413.5,1
2026-06-18,3331.0,3579.0,3320.0,3350.0,-1.44,14771.0,49346632.8,-1
2026-06-19,3517.0,3517.0,3251.0,3350.0,0.0,13837.0,45992452.8,0
2026-06-22,3250.0,3448.3,3250.0,3291.0,-1.76,38904.0,128475749.3,-1
2026-06-23,3190.0,3255.2,3140.0,3199.0,-2.8,53883.0,172495939.2,-1
2026-06-24,3358.0,3358.0,3033.0,3100.0,-3.09,23942.0,73956929.4,-1
2026-06-25,3110.0,3249.0,3060.0,3200.0,3.23,38199.0,120829706.6,1
2026-06-26,3160.0,3250.0,3160.0,3248.0,1.5,31125.0,100052899.6,1
