published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-06-26,10.0,10.0,9.02,9.07,-9.3,17400.0,160725.0,-1
2025-06-29,9.0,9.0,8.82,8.83,-2.65,13090.0,116168.8,-1
2025-06-30,8.7,9.18,8.7,9.1,3.06,7150.0,62718.0,1
2025-07-01,8.95,9.28,8.95,9.2,1.1,5500.0,49865.0,1
2025-07-02,9.02,9.2,9.02,9.11,-0.98,8200.0,75051.0,-1
2025-07-03,9.11,9.54,8.96,9.32,2.31,9510.0,88000.0,1
2025-07-06,9.15,9.5,9.14,9.25,-0.75,10350.0,95031.0,-1
2025-07-07,9.43,9.6,9.4,9.42,1.84,2820.0,26642.0,1
2025-07-08,9.24,9.4,9.15,9.4,-0.21,4415.0,40912.7,-1
2025-07-09,9.22,9.22,9.18,9.19,-2.23,1400.0,12887.0,-1
2025-07-10,9.22,9.4,9.17,9.3,1.2,3400.0,31517.0,1
2025-07-13,9.3,9.4,9.15,9.17,-1.4,6820.0,62986.0,-1
2025-07-14,8.99,9.35,8.58,9.21,0.44,105840.0,931975.99,1
2025-07-15,9.31,9.9,8.85,9.37,1.74,8800.0,81886.0,1
2025-07-16,9.3,10.08,9.12,9.93,5.98,51661.0,500495.94,1
2025-07-17,9.74,9.74,9.2,9.36,-5.74,84199.0,797247.04,-1
2025-07-20,9.3,9.69,9.3,9.49,1.39,317951.0,3018402.48,1
2025-07-21,9.5,9.58,9.4,9.41,-0.84,16280.0,153513.0,-1
2025-07-22,9.23,9.79,9.23,9.75,3.61,22100.0,212536.0,1
2025-07-23,9.56,9.8,9.3,9.48,-2.77,27500.0,262160.5,-1
2025-07-24,9.4,9.89,9.23,9.89,4.32,13765.0,133425.71,1
2025-07-27,9.7,9.95,9.35,9.6,-2.93,920861.0,9060901.6,-1
2025-07-28,9.41,9.97,9.26,9.95,3.65,142107.0,1414049.38,1
2025-07-29,9.76,9.81,9.57,9.8,-1.51,121100.0,1186607.8,-1
2025-07-30,9.99,9.99,9.41,9.75,-0.51,16693.0,161086.93,-1
2025-07-31,9.6,9.85,9.6,9.79,0.41,8900.0,86846.0,1
2025-08-03,9.6,9.79,9.41,9.58,-2.15,13300.0,126744.0,-1
2025-08-04,9.5,9.75,9.25,9.75,1.77,17720.0,170440.0,1
2025-08-05,9.56,9.6,9.4,9.5,-2.56,3500.0,33208.0,-1
2025-08-06,9.31,9.53,9.15,9.24,-2.74,19600.0,182049.0,-1
2025-08-07,9.1,9.85,9.1,9.84,6.49,5200.0,48716.0,1
2025-08-11,9.7,9.7,9.32,9.33,-5.18,9400.0,89514.0,-1
2025-08-12,9.2,9.53,9.2,9.4,0.75,7050.0,65691.0,1
2025-08-13,9.35,9.4,9.22,9.3,-1.06,4110.0,38213.0,-1
2025-08-14,9.15,9.33,9.0,9.33,0.32,2730.0,24886.0,1
2025-08-17,9.15,9.57,9.15,9.43,1.07,7000.0,65388.2,1
2025-08-18,9.25,9.43,9.12,9.4,-0.32,14600.0,136244.0,-1
2025-08-19,9.22,9.44,9.22,9.26,-1.49,9890.0,92715.4,-1
2025-08-20,9.08,9.52,9.08,9.51,2.7,4550.0,42483.0,1
2025-08-21,9.33,9.33,9.0,9.11,-4.21,17320.0,158054.3,-1
2025-08-24,9.11,9.29,9.0,9.15,0.44,5650.0,52152.5,1
2025-08-25,9.0,9.36,9.0,9.18,0.33,2900.0,26730.0,1
2025-08-26,9.36,9.36,9.18,9.26,0.87,1600.0,14776.0,1
2025-08-27,9.12,9.44,8.95,9.2,-0.65,23020.0,213270.9,-1
2025-08-28,9.02,9.2,8.9,9.2,0.0,2800.0,25232.5,0
2025-08-31,9.02,9.23,8.8,9.07,-1.41,8740.0,79983.0,-1
2025-09-01,8.9,9.08,8.9,9.01,-0.66,4300.0,38845.0,-1
2025-09-02,8.86,9.48,8.86,9.26,2.77,6690.0,61436.9,1
2025-09-03,9.08,9.3,9.08,9.2,-0.65,1400.0,12874.0,-1
2025-09-04,9.02,9.2,8.97,8.97,-2.5,5900.0,53082.0,-1
2025-09-07,8.8,9.0,8.63,8.95,-0.22,11900.0,106708.0,-1
2025-09-08,9.1,9.1,8.92,8.96,0.11,1100.0,9915.0,1
2025-09-21,8.79,8.97,8.71,8.94,-0.22,1900.0,16734.0,-1
2025-09-23,8.77,9.02,8.77,8.97,0.34,4900.0,43693.0,1
2025-09-24,8.82,9.29,8.82,9.29,3.57,16330.0,148577.9,1
2025-09-25,9.15,9.15,9.01,9.05,-2.58,1500.0,13590.0,-1
2025-09-28,8.99,9.34,8.94,9.34,3.2,10400.0,94879.0,1
