published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-07-17,200.0,196.0,196.0,196.0,nan,270.0,52920.0,0
2012-07-26,196.0,193.0,193.0,193.0,-1.53,20.0,3860.0,0
2012-08-12,193.0,190.0,190.0,190.0,-1.55,500.0,95000.0,0
2012-08-19,190.0,181.0,181.0,181.0,-4.74,1320.0,238920.0,0
2012-08-26,181.0,172.0,172.0,172.0,-4.97,110.0,18920.0,0
2012-09-09,172.0,169.0,155.0,155.0,-9.88,60.0,9700.0,0
2012-09-25,155.0,152.0,147.0,147.0,-5.16,30.0,4480.0,0
2012-09-26,147.0,145.0,143.0,143.0,-2.72,70.0,10030.0,0
2012-10-02,137.0,135.0,124.0,124.0,-13.29,200.0,25460.0,0
2012-10-03,124.0,122.0,112.0,112.0,-9.68,4850.0,544740.0,0
2012-10-04,112.0,113.0,106.0,111.0,-0.89,4670.0,510650.0,0
2012-10-07,111.0,113.0,106.0,112.0,0.90,3980.0,440670.0,0
2012-10-08,112.0,114.0,110.0,114.0,1.79,2710.0,301430.0,0
2012-10-09,114.0,113.0,111.0,112.0,-1.75,2770.0,309080.0,0
2012-10-10,112.0,114.0,112.0,112.0,0.0,390.0,43880.0,0
2012-10-11,112.0,114.0,114.0,114.0,1.79,50.0,5700.0,0
2012-10-14,114.0,113.0,111.0,111.0,-2.63,2020.0,224420.0,0
2012-10-15,111.0,118.0,112.0,118.0,6.31,820.0,94570.0,0
2012-10-18,118.0,120.0,118.0,120.0,1.69,1090.0,130420.0,0
2012-10-30,120.0,119.0,118.0,119.0,-0.83,780.0,92360.0,0
2012-10-31,119.0,122.0,120.0,122.0,2.52,760.0,91740.0,0
2012-11-01,122.0,121.0,119.0,120.0,-1.64,550.0,65970.0,0
2012-11-04,120.0,122.0,118.0,120.0,0.0,660.0,79620.0,0
2012-11-05,120.0,124.0,122.0,124.0,3.33,1440.0,175860.0,0
2012-11-06,124.0,128.0,125.0,128.0,3.23,490.0,61870.0,0
2012-11-07,128.0,129.0,128.0,128.0,0.0,220.0,28280.0,0
2012-11-21,128.0,130.0,130.0,130.0,1.56,720.0,93600.0,0
2012-11-22,130.0,128.0,126.0,126.0,-3.08,470.0,59760.0,0
2012-11-25,126.0,124.0,116.0,116.0,-7.94,660.0,77840.0,0
2012-11-26,116.0,118.0,116.0,116.0,0.0,560.0,64980.0,0
2012-11-27,116.0,117.0,117.0,117.0,0.86,2530.0,296010.0,0
2012-11-28,117.0,119.0,119.0,119.0,1.71,520.0,61880.0,0
2012-11-29,119.0,117.0,117.0,117.0,-1.68,750.0,87750.0,0
2012-12-03,117.0,116.0,116.0,116.0,-0.85,80.0,9280.0,0
2012-12-04,116.0,118.0,116.0,118.0,1.72,310.0,36220.0,0
2012-12-05,118.0,118.0,117.0,117.0,-0.85,730.0,85590.0,0
2012-12-06,117.0,119.0,117.0,118.0,0.85,1180.0,138920.0,0
2012-12-09,118.0,118.0,116.0,116.0,-1.69,1430.0,166230.0,0
