published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-05-15,611.1,611.1,554.0,560.5,-6.45,53417.0,29875551.4,-1
2023-05-16,558.0,564.0,551.4,558.8,-0.3,14258.0,7947486.5,-1
2023-05-17,560.0,584.0,560.0,584.0,4.51,19381.0,11102241.6,1
2023-05-18,573.0,606.0,573.0,604.9,3.58,41447.0,24486414.3,1
2023-05-21,610.0,618.0,600.0,613.7,1.45,21127.0,12896200.9,1
2023-05-22,610.0,629.0,606.0,628.0,2.33,12030.0,7429584.2,1
2023-05-23,625.0,665.0,625.0,651.0,3.66,28344.0,18366810.7,1
2023-05-24,661.0,665.0,647.0,660.0,1.38,23153.0,15156811.0,1
2023-05-28,669.0,669.0,633.0,639.0,-3.18,33839.0,22093619.5,-1
2023-05-30,627.0,632.9,608.0,622.0,-2.66,34278.0,21165690.4,-1
2023-05-31,609.6,640.0,597.8,606.0,-2.57,49776.0,30602687.3,-1
2023-06-01,612.0,628.0,594.1,615.2,1.52,16560.0,10080849.6,1
2023-06-04,627.0,650.0,625.0,641.0,4.19,14219.0,9030157.6,1
2023-06-05,645.0,650.0,635.0,635.0,-0.94,17932.0,11491173.4,-1
2023-06-06,625.0,666.0,624.2,665.0,4.72,29713.0,19393478.0,1
2023-06-07,678.0,678.0,658.0,658.1,-1.04,31512.0,20951845.0,-1
2023-06-08,655.0,696.9,650.0,696.9,5.9,49848.0,33885291.5,1
2023-06-11,704.0,708.5,694.3,708.5,1.66,41139.0,28819649.9,1
2023-06-12,718.0,718.0,700.0,704.0,-0.64,48227.0,34027181.6,-1
2023-06-13,690.0,740.0,690.0,728.9,3.54,53143.0,38437238.3,1
2023-06-14,738.8,745.0,715.0,720.0,-1.22,44792.0,32914087.7,-1
2023-06-15,729.9,745.0,720.0,740.0,2.78,26899.0,19686562.8,1
2023-06-18,753.9,784.9,740.0,780.0,5.41,54204.0,41352391.3,1
2023-06-19,795.6,795.6,751.0,760.0,-2.56,30787.0,23586425.5,-1
2023-06-20,753.1,774.0,726.3,731.1,-3.8,32472.0,24324098.1,-1
2023-06-21,731.0,749.9,731.0,733.0,0.26,32546.0,24084132.8,1
2023-06-22,745.7,759.8,735.0,752.0,2.59,27637.0,20708648.3,1
2023-06-25,767.0,800.0,764.9,787.9,4.77,72656.0,57130982.0,1
2023-06-26,800.0,805.0,776.0,776.0,-1.51,44642.0,35150022.7,-1
2023-06-27,770.0,786.0,767.0,771.9,-0.53,29547.0,22836929.0,-1
2023-06-28,757.2,785.0,747.0,765.0,-0.89,35448.0,27312072.3,-1
2023-07-02,770.0,790.0,755.0,774.9,1.29,43506.0,33694639.2,1
2023-07-03,772.0,776.0,752.0,758.0,-2.18,67716.0,51962916.2,-1
2023-07-04,760.3,770.0,746.1,752.0,-0.79,37118.0,27935125.3,-1
2023-07-05,739.0,750.0,739.0,739.5,-1.66,34776.0,25860157.5,-1
2023-07-06,738.0,747.9,726.3,733.2,-0.85,31245.0,22992049.5,-1
2023-07-09,747.8,747.8,730.0,732.1,-0.15,51779.0,38078831.5,-1
2023-07-10,745.0,752.0,733.5,736.0,0.53,35209.0,26051130.2,1
2023-07-11,727.0,750.0,727.0,746.9,1.48,32560.0,24092709.9,1
2023-07-12,750.0,765.0,743.0,758.0,1.49,47558.0,35968831.8,1
2023-07-13,751.0,770.0,741.4,750.0,-1.06,34844.0,26400449.9,-1
2023-07-16,750.0,750.0,743.3,748.0,-0.27,16740.0,12497135.5,-1
2023-07-17,760.0,770.0,741.0,765.0,2.27,20219.0,15425563.4,1
2023-07-18,780.0,790.0,771.0,780.0,1.96,41317.0,32242437.6,1
2023-07-19,777.0,789.8,767.5,774.0,-0.77,29080.0,22605433.5,-1
2023-07-20,789.0,789.0,766.0,768.1,-0.76,14725.0,11335291.6,-1
2023-07-23,781.0,782.4,766.0,770.1,0.26,21026.0,16262587.5,1
2023-07-24,766.0,780.0,762.0,770.0,-0.01,18102.0,13927584.9,-1
2023-07-25,760.0,782.0,752.0,760.0,-1.3,17512.0,13253690.9,-1
2023-07-26,759.0,759.7,746.6,749.0,-1.45,4971.0,3731590.4,-1
2023-07-27,740.1,756.0,740.1,745.0,-0.53,30389.0,22785746.6,-1
2023-07-30,758.0,759.0,730.0,737.0,-1.07,22638.0,16586313.6,-1
2023-07-31,745.0,749.0,733.5,733.5,-0.47,12298.0,9075053.9,-1
2023-08-01,735.0,746.0,700.8,708.0,-3.48,7828.0,5628953.2,-1
2023-08-02,710.0,719.0,701.0,714.9,0.97,9203.0,6519153.6,1
2023-08-03,720.0,736.0,701.0,705.0,-1.38,14121.0,10035131.4,-1
2023-08-06,693.5,700.0,680.0,685.0,-2.84,13925.0,9593106.6,-1
2023-08-07,672.0,692.0,660.0,691.0,0.88,5675.0,3863977.0,1
2023-08-08,696.0,696.0,670.0,683.0,-1.16,6093.0,4126387.4,-1
2023-08-09,670.0,705.0,670.0,700.0,2.49,5308.0,3637938.8,1
2023-08-10,700.1,729.0,700.0,724.0,3.43,16859.0,12082864.7,1
2023-08-13,716.0,740.0,716.0,740.0,2.21,16096.0,11756449.7,1
2023-08-14,740.0,745.0,735.0,736.0,-0.54,20202.0,14925905.2,-1
2023-08-15,721.3,743.9,720.0,725.0,-1.49,11958.0,8729294.6,-1
2023-08-16,730.0,733.0,715.0,725.0,0.0,14979.0,10812860.8,0
2023-08-17,725.0,740.0,725.0,731.2,0.86,9598.0,7030213.7,1
2023-08-20,723.2,736.0,711.0,722.0,-1.26,14445.0,10472738.2,-1
2023-08-21,722.0,735.0,710.0,710.0,-1.66,6388.0,4565074.0,-1
2023-08-22,710.0,719.0,701.2,715.0,0.7,11970.0,8461355.6,1
2023-08-23,711.0,730.0,711.0,725.0,1.4,16439.0,11879813.4,1
2023-08-24,733.0,733.0,710.2,711.0,-1.93,9868.0,7114403.2,-1
2023-08-27,700.0,710.0,696.8,704.0,-0.98,5914.0,4149078.1,-1
2023-08-28,705.0,713.0,701.2,705.0,0.14,5967.0,4222523.0,1
2023-08-29,707.0,717.9,707.0,716.0,1.56,10896.0,7774552.8,1
2023-08-30,721.0,721.0,712.1,712.2,-0.53,7304.0,5238365.6,-1
2023-09-03,704.0,705.0,695.1,705.0,-1.01,14226.0,9972691.8,-1
2023-09-04,700.0,711.0,696.1,706.9,0.27,4934.0,3452204.0,1
2023-09-05,696.6,707.9,695.0,695.0,-1.68,3171.0,2212280.4,-1
2023-09-07,689.1,699.7,687.0,695.0,0.0,4103.0,2828215.9,0
2023-09-10,685.1,698.5,685.0,692.3,-0.39,3720.0,2576495.6,-1
2023-09-11,692.3,716.0,692.3,708.3,2.31,5312.0,3756098.2,1
2023-09-12,702.0,724.0,702.0,713.0,0.66,11658.0,8318291.3,1
2023-09-13,710.0,725.9,707.0,725.0,1.68,23459.0,16943292.4,1
2023-09-17,725.0,725.0,713.0,713.9,-1.53,9724.0,6962441.4,-1
2023-09-18,703.3,722.0,703.3,715.1,0.17,9023.0,6471591.7,1
2023-09-19,715.1,718.0,711.3,717.9,0.39,1982.0,1420214.3,1
2023-09-21,730.0,732.0,723.0,723.0,0.71,19402.0,14094469.5,1
2023-09-24,722.9,724.9,715.0,717.0,-0.83,5667.0,4073603.9,-1
2023-09-25,717.0,717.0,704.0,714.9,-0.29,12449.0,8843988.2,-1
2023-09-26,715.0,719.0,707.2,711.0,-0.55,4709.0,3362443.0,-1
2023-09-27,721.0,721.0,709.5,709.5,-0.21,5482.0,3899104.0,-1
2023-10-01,714.9,714.9,702.3,702.3,-1.01,9428.0,6658213.5,-1
2023-10-02,697.1,708.0,697.1,703.1,0.11,12069.0,8502543.8,1
2023-10-03,708.0,708.0,699.1,704.0,0.13,4648.0,3263397.8,1
2023-10-04,717.9,717.9,697.0,711.0,0.99,12753.0,9006036.9,1
2023-10-05,709.0,709.0,703.7,705.0,-0.84,14934.0,10541390.0,-1
2023-10-08,704.0,704.0,678.0,691.0,-1.99,14958.0,10274734.2,-1
2023-10-09,703.9,703.9,676.2,680.0,-1.59,11018.0,7506345.1,-1
2023-10-10,668.1,680.0,668.0,680.0,0.0,7162.0,4804312.8,0
2023-10-11,667.0,691.0,667.0,688.0,1.18,8857.0,6015376.8,1
2023-10-12,677.0,685.0,670.0,670.0,-2.62,12919.0,8763087.5,-1
2023-10-16,656.6,674.0,655.0,657.0,-1.94,11713.0,7734868.8,-1
2023-10-17,666.0,680.0,653.0,656.0,-0.15,7257.0,4781989.0,-1
2023-10-18,664.0,688.0,651.1,688.0,4.88,14278.0,9512768.3,1
2023-10-19,680.0,691.0,680.0,688.9,0.13,8551.0,5843423.0,1
2023-10-29,680.0,680.0,668.0,675.0,-2.02,8903.0,5984912.7,-1
2023-10-30,665.0,675.0,652.0,675.0,0.0,11435.0,7659750.5,0
2023-10-31,665.1,666.0,662.2,662.5,-1.85,3411.0,2261919.9,-1
