published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-04-12,146.00,160.00,148.00,160.00,0.00,12740.00,1943915.00,0
2012-04-15,160.00,176.00,163.00,176.00,0.00,6574.00,1152504.00,0
2012-04-16,176.00,191.00,179.00,191.00,0.00,8164.00,1548134.00,0
2012-04-17,191.00,210.00,181.00,181.00,0.00,9132.00,1785804.00,0
2012-04-18,181.00,195.00,165.00,190.00,0.00,19469.00,3558240.00,0
2012-04-19,190.00,209.00,193.00,202.00,0.00,31297.00,6184544.00,0
2012-04-22,202.00,222.00,202.00,222.00,0.00,28005.00,5964653.00,0
2012-04-24,222.00,242.00,226.00,242.00,0.00,6186.00,1440348.00,0
2012-04-25,242.00,266.00,246.00,266.00,0.00,5101.00,1332353.00,0
2012-04-26,266.00,292.00,242.00,292.00,0.00,50478.00,13663520.00,0
2012-04-29,292.00,298.00,270.00,285.00,0.00,38288.00,11022279.00,0
2012-04-30,285.00,285.00,265.00,265.00,0.00,6881.00,1881511.00,0
2012-05-02,265.00,260.00,245.00,245.00,0.00,593.00,149940.00,0
2012-05-03,245.00,265.00,249.00,265.00,0.00,11940.00,3088649.00,0
2012-05-07,265.00,291.00,270.00,291.00,0.00,10796.00,3130773.00,0
2012-05-08,291.00,307.00,290.00,296.00,0.00,38625.00,11485042.00,0
2012-05-09,296.00,291.00,271.00,276.00,0.00,25046.00,7097063.00,0
2012-05-10,276.00,278.00,253.00,270.00,0.00,15507.00,4180472.00,0
2012-05-13,270.00,265.00,243.00,243.00,0.00,18779.00,4615659.00,0
2012-05-14,243.00,239.00,225.00,225.00,0.00,7920.00,1806630.00,0
2012-05-15,225.00,237.00,225.00,237.00,0.00,21588.00,4927292.00,0
2012-05-16,237.00,260.00,241.00,260.00,0.00,1519.00,381440.00,0
2012-05-17,260.00,280.00,265.00,273.00,0.00,28384.00,7701653.00,0
2012-05-20,273.00,272.00,248.00,264.00,0.00,6948.00,1819549.00,0
2012-05-21,264.00,276.00,249.00,268.00,0.00,16475.00,4392724.00,0
2012-05-22,268.00,268.00,245.00,264.00,0.00,7398.00,1933698.00,0
2012-05-23,264.00,259.00,238.00,238.00,0.00,9377.00,2270137.00,0
2012-05-24,238.00,255.00,235.00,245.00,0.00,28346.00,6911940.00,0
2012-05-27,245.00,269.00,246.00,265.00,0.00,12866.00,3370230.00,0
2012-05-30,265.00,260.00,241.00,241.00,0.00,50.00,12510.00,0
2012-05-31,241.00,237.00,217.00,226.00,0.00,9726.00,2209664.00,0
2012-06-03,226.00,248.00,230.00,248.00,0.00,10550.00,2614379.00,0
2012-06-04,248.00,253.00,235.00,241.00,0.00,10165.00,2434686.00,0
2012-06-05,241.00,242.00,226.00,230.00,0.00,4701.00,1081119.00,0
2012-06-06,230.00,226.00,213.00,217.00,0.00,7159.00,1554452.00,0
2012-06-07,217.00,234.00,215.00,231.00,0.00,6698.00,1524169.00,0
2012-06-10,231.00,231.00,219.00,220.00,0.00,1075.00,237066.00,0
2012-06-11,220.00,239.00,218.00,224.00,0.00,12237.00,2772501.00,0
2012-06-12,224.00,222.00,215.00,222.00,0.00,9497.00,2066249.00,0
2012-06-13,222.00,225.00,217.00,225.00,0.00,1736.00,382738.00,0
2012-06-14,225.00,222.00,218.00,218.00,0.00,812.00,178594.00,0
2012-06-17,218.00,216.00,208.00,211.00,0.00,2510.00,530436.00,0
2012-06-18,211.00,215.00,208.00,215.00,0.00,2438.00,513871.00,0
2012-06-19,215.00,216.00,206.00,216.00,0.00,4180.00,870232.00,0
2012-06-20,216.00,228.00,213.00,217.00,0.00,3731.00,809806.00,0
2012-06-21,217.00,221.00,215.00,219.00,0.00,4690.00,1019341.00,0
2012-06-25,219.00,232.00,215.00,232.00,0.00,9134.00,2023025.00,0
2012-06-26,232.00,228.00,221.00,222.00,0.00,720.00,159830.00,0
2012-06-27,222.00,229.00,220.00,229.00,0.00,4074.00,907540.00,0
2012-06-28,229.00,240.00,227.00,229.00,0.00,7722.00,1784249.00,0
2012-07-01,229.00,232.00,228.00,228.00,0.00,2724.00,623602.00,0
2012-07-02,228.00,228.00,223.00,224.00,0.00,9443.00,2123876.00,0
2012-07-03,224.00,228.00,224.00,226.00,0.00,2195.00,493874.00,0
2012-07-04,226.00,231.00,225.00,225.00,0.00,2927.00,667547.00,0
2012-07-05,225.00,229.00,221.00,224.00,0.00,4384.00,975050.00,0
2012-07-08,224.00,228.00,218.00,222.00,0.00,2857.00,632302.00,0
2012-07-09,222.00,227.00,222.00,226.00,0.00,6989.00,1571460.00,0
2012-07-10,226.00,233.00,220.00,229.00,0.00,14463.00,3246200.00,0
2012-07-11,229.00,233.00,225.00,230.00,0.00,4936.00,1128367.00,0
2012-07-12,230.00,226.00,222.00,222.00,0.00,4213.00,938375.00,0
2012-07-15,222.00,225.00,215.00,225.00,0.00,69387.00,14953145.00,0
2012-07-16,225.00,225.00,225.00,225.00,0.00,907.00,204075.00,0
2012-07-17,225.00,226.00,221.00,224.00,0.00,1063.00,237734.00,0
2012-07-18,224.00,229.00,222.00,226.00,0.00,5473.00,1232990.00,0
2012-07-19,226.00,238.00,227.00,228.00,0.00,4890.00,1131556.00,0
2012-07-22,228.00,239.00,225.00,232.00,0.00,14478.00,3356521.00,0
2012-07-23,232.00,243.00,234.00,241.00,0.00,7513.00,1794386.00,0
2012-07-24,241.00,248.00,234.00,240.00,0.00,3002.00,712471.00,0
2012-07-25,240.00,240.00,230.00,232.00,0.00,4621.00,1072690.00,0
2012-07-26,232.00,234.00,231.00,234.00,0.00,2127.00,495079.00,0
2012-07-29,234.00,238.00,226.00,230.00,0.00,2380.00,547772.00,0
2012-07-30,230.00,237.00,225.00,228.00,0.00,4059.00,928600.00,0
2012-07-31,228.00,232.00,229.00,231.00,0.00,358.00,82597.00,0
2012-08-01,231.00,234.00,223.00,228.00,0.00,3265.00,743171.00,0
2012-08-05,228.00,229.00,225.00,227.00,0.00,1416.00,321722.00,0
2012-08-06,227.00,230.00,228.00,228.00,0.00,1594.00,365307.00,0
2012-08-07,228.00,225.00,220.00,224.00,0.00,3046.00,674423.00,0
2012-08-08,224.00,224.00,216.00,219.00,0.00,3604.00,792055.00,0
2012-08-12,219.00,217.00,209.00,209.00,0.00,2966.00,626276.00,0
2012-08-13,209.00,213.00,202.00,211.00,0.00,5608.00,1166224.00,0
2012-08-14,211.00,207.00,190.00,195.00,0.00,8001.00,1563935.00,0
2012-08-15,195.00,195.00,182.00,186.00,0.00,5097.00,951899.00,0
2012-08-16,186.00,195.00,186.00,194.00,0.00,1262.00,238398.00,0
2012-08-19,194.00,191.00,184.00,184.00,0.00,4011.00,748916.00,0
2012-08-21,184.00,184.00,177.00,184.00,0.00,15868.00,2829710.00,0
2012-08-22,184.00,191.00,187.00,190.00,0.00,1490.00,282175.00,0
2012-08-23,190.00,191.00,187.00,190.00,0.00,3498.00,661955.00,0
2012-08-26,190.00,191.00,185.00,185.00,0.00,2595.00,489141.00,0
2012-08-27,185.00,188.00,183.00,184.00,0.00,7617.00,1403001.00,0
2012-08-28,184.00,189.00,183.00,189.00,0.00,4139.00,764561.00,0
2012-08-29,189.00,192.00,186.00,189.00,0.00,2051.00,388500.00,0
2012-08-30,189.00,189.00,184.00,187.00,0.00,6524.00,1213026.00,0
2012-09-02,187.00,205.00,187.00,202.00,0.00,4914.00,941155.00,0
2012-09-03,202.00,206.00,199.00,202.00,0.00,6193.00,1255782.00,0
2012-09-04,202.00,202.00,188.00,194.00,0.00,5447.00,1060680.00,0
2012-09-05,194.00,197.00,194.00,196.00,0.00,1340.00,261280.00,0
2012-09-06,196.00,205.00,191.00,205.00,0.00,2311.00,458683.00,0
2012-09-09,205.00,205.00,196.00,196.00,0.00,1010.00,201925.00,0
2012-09-10,196.00,194.00,190.00,193.00,0.00,3025.00,577269.00,0
2012-09-11,193.00,195.00,192.00,195.00,0.00,850.00,164050.00,0
2012-09-12,195.00,196.00,193.00,195.00,0.00,1852.00,359909.00,0
2012-09-13,195.00,195.00,195.00,195.00,0.00,623.00,121485.00,0
2012-09-16,195.00,198.00,197.00,198.00,0.00,1150.00,226600.00,0
2012-09-17,198.00,200.00,200.00,200.00,0.00,188.00,37600.00,0
2012-09-18,200.00,205.00,200.00,205.00,0.00,7630.00,1549606.00,0
2012-09-19,205.00,202.00,200.00,201.00,0.00,2577.00,518170.00,0
2012-09-20,201.00,200.00,197.00,200.00,0.00,2256.00,446864.00,0
2012-09-23,200.00,196.00,193.00,193.00,0.00,900.00,175800.00,0
2012-09-24,193.00,193.00,187.00,190.00,0.00,3145.00,597605.00,0
2012-09-25,190.00,192.00,187.00,192.00,0.00,2231.00,422926.00,0
2012-09-26,192.00,192.00,190.00,190.00,0.00,1250.00,237600.00,0
2012-09-30,187.00,185.00,185.00,185.00,0.00,778.00,143930.00,0
2012-10-01,185.00,186.00,182.00,185.00,0.00,3703.00,683748.00,0
2012-10-01,185.00,186.00,182.00,185.00,0.00,3703.00,683748.00,0
2012-10-02,185.00,188.00,185.00,187.00,0.00,2556.00,474801.00,0
2012-10-03,187.00,188.00,185.00,187.00,0.00,1058.00,196674.00,0
2012-10-04,187.00,185.00,185.00,185.00,0.00,1857.00,343545.00,0
2012-10-07,185.00,188.00,178.00,188.00,0.00,4008.00,744074.00,0
2012-10-08,188.00,187.00,185.00,187.00,0.00,1709.00,318531.00,0
2012-10-09,187.00,190.00,186.00,186.00,0.00,1494.00,279991.00,0
2012-10-10,186.00,187.00,185.00,187.00,0.00,134.00,24958.00,0
2012-10-11,187.00,184.00,184.00,184.00,0.00,200.00,36800.00,0
2012-10-14,184.00,190.00,186.00,190.00,0.00,1730.00,322970.00,0
2012-10-15,190.00,188.00,187.00,188.00,0.00,624.00,116812.00,0
2012-10-17,188.00,194.00,191.00,194.00,0.00,1062.00,203599.00,0
2012-10-18,194.00,200.00,196.00,198.00,0.00,3325.00,656508.00,0
2012-10-30,198.00,207.00,201.00,207.00,0.00,1190.00,243766.00,0
2012-10-31,207.00,215.00,207.00,213.00,0.00,6838.00,1448797.00,0
2012-11-01,213.00,213.00,208.00,210.00,0.00,5440.00,1141229.00,0
2012-11-04,210.00,213.00,210.00,211.00,0.00,1635.00,345801.00,0
2012-11-05,211.00,223.00,215.00,219.00,0.00,6658.00,1463605.00,0
2012-11-06,219.00,220.00,217.00,218.00,0.00,3730.00,811935.00,0
2012-11-07,218.00,227.00,215.00,225.00,0.00,7613.00,1665395.00,0
2012-11-08,225.00,235.00,224.00,225.00,0.00,2682.00,621666.00,0
2012-11-11,225.00,231.00,212.00,214.00,0.00,10599.00,2325545.00,0
2012-11-12,214.00,226.00,216.00,226.00,0.00,7659.00,1697968.00,0
2012-11-18,226.00,235.00,228.00,232.00,0.00,7903.00,1827866.00,0
2012-11-20,232.00,250.00,231.00,231.00,0.00,19046.00,4568244.00,0
2012-11-21,231.00,238.00,228.00,232.00,0.00,18315.00,4277512.00,0
2012-11-22,232.00,238.00,220.00,231.00,0.00,49743.00,11319872.00,0
2012-11-25,231.00,240.00,231.00,234.00,0.00,12920.00,3016265.00,0
2012-11-26,234.00,238.00,232.00,235.00,0.00,6268.00,1476323.00,0
2012-11-27,235.00,236.00,233.00,233.00,0.00,4880.00,1145356.00,0
2012-11-28,233.00,237.00,232.00,235.00,0.00,4596.00,1072900.00,0
2012-11-29,235.00,236.00,228.00,228.00,0.00,3134.00,735023.00,0
2012-12-02,228.00,232.00,224.00,229.00,0.00,2780.00,635224.00,0
2012-12-03,229.00,231.00,227.00,231.00,0.00,1450.00,331850.00,0
2012-12-04,231.00,237.00,233.00,237.00,0.00,6184.00,1456582.00,0
2012-12-05,237.00,260.00,235.00,254.00,0.00,11124.00,2755310.00,0
2012-12-06,254.00,258.00,245.00,254.00,0.00,11226.00,2824308.00,0
2012-12-09,254.00,252.00,242.00,247.00,0.00,3156.00,780822.00,0
2012-12-10,247.00,250.00,245.00,247.00,0.00,4591.00,1135821.00,0
2012-12-11,247.00,248.00,247.00,247.00,0.00,1940.00,479810.00,0
2012-12-12,247.00,251.00,243.00,250.00,0.00,12557.00,3109068.00,0
2012-12-13,250.00,252.00,250.00,252.00,0.00,7161.00,1792042.00,0
2012-12-16,252.00,272.00,257.00,272.00,0.00,12179.00,3207438.00,0
2012-12-17,272.00,287.00,272.00,274.00,0.00,12218.00,3395026.00,0
2012-12-18,274.00,271.00,261.00,266.00,0.00,16619.00,4405201.00,0
2012-12-19,266.00,276.00,265.00,275.00,0.00,14195.00,3842720.00,0
2012-12-20,275.00,277.00,269.00,272.00,0.00,27581.00,7491270.00,0
2012-12-23,272.00,282.00,272.00,282.00,0.00,4821.00,1341291.00,0
2012-12-24,282.00,295.00,282.00,292.00,0.00,10875.00,3146594.00,0
2012-12-26,292.00,302.00,290.00,290.00,0.00,16061.00,4746805.00,0
2012-12-27,290.00,298.00,288.00,294.00,0.00,10249.00,3012518.00,0
2012-12-31,294.00,290.00,280.00,280.00,0.00,2686.00,762194.00,0
2013-01-01,280.00,281.00,272.00,273.00,0.00,6489.00,1788464.00,0
2013-01-02,273.00,280.00,270.00,279.00,0.00,4957.00,1360166.00,0
