published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-01-06,132.00,135.00,127.00,131.00,0.00,3761.00,488130.00,0
2020-01-07,129.00,134.00,127.00,134.00,2.29,8738.00,1153846.00,1
2020-01-08,132.00,135.00,130.00,134.00,0.00,9804.00,1303093.00,0
2020-01-09,134.00,138.00,131.00,132.00,-1.49,7670.00,1024760.00,-1
2020-01-12,133.00,141.00,133.00,141.00,6.82,10071.00,1383161.00,1
2020-01-13,140.00,151.00,140.00,147.00,4.26,10610.00,1537611.00,1
2020-01-14,145.00,145.00,138.00,138.00,-6.12,1610.00,226570.00,-1
2020-01-15,136.00,141.00,136.00,140.00,1.45,1668.00,231779.00,1
2020-01-16,142.00,154.00,142.00,153.00,9.29,9839.00,1478500.00,1
2020-01-19,156.00,168.00,156.00,168.00,9.80,13992.00,2307798.00,1
2020-01-20,168.00,168.00,154.00,157.00,-6.55,19326.00,3161704.00,-1
2020-01-21,155.00,156.00,151.00,151.00,-3.82,4300.00,657564.00,-1
2020-01-22,148.00,148.00,140.00,147.00,-2.65,5061.00,724189.00,-1
2020-01-23,148.00,150.00,147.00,147.00,0.00,11520.00,1706220.00,0
2020-01-26,145.00,146.00,135.00,135.00,-8.16,7001.00,956749.00,-1
2020-01-27,133.00,139.00,133.00,139.00,2.96,758.00,103792.00,1
2020-01-28,141.00,142.00,137.00,137.00,-1.44,5483.00,758489.00,-1
2020-01-29,139.00,147.00,139.00,143.00,4.38,1730.00,247795.00,1
2020-01-30,145.00,147.00,142.00,142.00,-0.70,7629.00,1101382.00,-1
2020-02-02,140.00,147.00,140.00,144.00,1.41,4049.00,589545.00,1
2020-02-03,145.00,151.00,144.00,150.00,4.17,5931.00,882829.00,1
2020-02-04,149.00,156.00,149.00,151.00,0.67,5141.00,780431.00,1
2020-02-05,150.00,150.00,144.00,144.00,-4.64,4498.00,660836.00,-1
2020-02-06,145.00,150.00,142.00,143.00,-0.69,4653.00,673172.00,-1
2020-02-09,142.00,144.00,142.00,143.00,0.00,3419.00,488887.00,0
2020-02-10,142.00,145.00,142.00,145.00,1.40,920.00,131861.00,1
2020-02-11,147.00,154.00,147.00,153.00,5.52,12921.00,1962005.00,1
2020-02-12,154.00,154.00,151.00,151.00,-1.31,712.00,107698.00,-1
2020-02-13,150.00,150.00,146.00,146.00,-3.31,3376.00,501371.00,-1
2020-02-16,146.00,146.00,140.00,144.00,-1.37,8284.00,1187433.00,-1
2020-02-17,144.00,149.00,142.00,147.00,2.08,4519.00,655505.00,1
2020-02-18,149.00,154.00,143.00,144.00,-2.04,13755.00,2014370.00,-1
2020-02-19,146.00,148.00,146.00,148.00,2.78,155.00,22695.00,1
2020-02-20,148.00,153.00,145.00,150.00,1.35,3782.00,558394.00,1
2020-02-23,153.00,156.00,147.00,153.00,2.00,4755.00,724274.00,1
2020-02-24,156.00,161.00,150.00,157.00,2.61,13915.00,2171350.00,1
2020-02-25,157.00,163.00,157.00,163.00,3.82,9592.00,1526570.00,1
2020-02-26,161.00,164.00,157.00,164.00,0.61,13727.00,2217011.00,1
2020-02-27,161.00,163.00,155.00,162.00,-1.22,3359.00,535402.00,-1
2020-03-01,163.00,163.00,160.00,160.00,-1.23,121.00,19660.00,-1
2020-03-03,157.00,157.00,148.00,151.00,-5.63,8594.00,1327730.00,-1
2020-03-04,148.00,148.00,142.00,143.00,-5.30,7813.00,1120113.00,-1
2020-03-05,142.00,143.00,140.00,140.00,-2.10,3765.00,534200.00,-1
2020-03-10,138.00,138.00,128.00,128.00,-8.57,1141.00,150048.00,-1
2020-03-11,129.00,140.00,129.00,138.00,7.81,2078.00,283759.00,1
2020-03-12,140.00,140.00,132.00,134.00,-2.90,8757.00,1190227.00,-1
2020-03-15,132.00,133.00,129.00,130.00,-2.99,4502.00,586280.00,-1
2020-03-16,128.00,133.00,126.00,129.00,-0.77,3131.00,401017.00,-1
2020-03-17,128.00,128.00,125.00,125.00,-3.10,6468.00,818634.00,-1
2020-03-18,123.00,125.00,117.00,124.00,-0.80,11875.00,1427628.00,-1
2020-03-19,122.00,122.00,114.00,114.00,-8.06,50852.00,5932619.00,-1
2020-05-12,107.00,107.00,105.00,105.00,-2.78,1404.00,147828.00,-1
2020-05-13,104.00,104.00,102.00,102.00,-2.86,130.00,13280.00,-1
2020-06-29,102.00,102.00,102.00,105.00,0.00,1400.00,146917.00,0
2020-06-30,105.00,107.00,105.00,107.00,1.90,1131.00,119359.00,1
2020-07-05,106.00,109.00,105.00,107.00,0.00,1588.00,169066.00,0
2020-07-06,107.00,114.00,106.00,110.00,2.80,1567.00,173212.00,1
2020-07-07,112.00,120.00,110.00,120.00,9.09,4448.00,524534.00,1
2020-07-08,118.00,124.00,118.00,123.00,2.50,1444.00,175117.00,1
2020-07-09,121.00,125.00,121.00,125.00,1.63,3907.00,478481.00,1
2020-07-12,123.00,128.00,123.00,126.00,0.80,1243.00,156932.00,1
2020-07-13,126.00,126.00,122.00,125.00,-0.79,1258.00,155381.00,-1
2020-07-14,127.00,127.00,119.00,121.00,-3.20,1459.00,175488.00,-1
2020-07-15,119.00,122.00,118.00,120.00,-0.83,3312.00,393624.00,-1
2020-07-16,119.00,126.00,118.00,126.00,5.00,2494.00,304253.00,1
2020-07-20,128.00,130.00,125.00,126.00,0.00,7637.00,974986.00,0
2020-07-21,124.00,130.00,124.00,126.00,0.00,3866.00,497181.00,0
2020-07-22,126.00,126.00,120.00,122.00,-3.17,7107.00,870329.00,-1
2020-07-23,120.00,124.00,120.00,122.00,0.00,2699.00,328162.00,0
2020-07-26,124.00,125.00,122.00,124.00,1.64,2545.00,315773.00,1
2020-07-27,124.00,127.00,124.00,124.00,0.00,2837.00,353770.00,0
2020-07-28,125.00,125.00,123.00,124.00,0.00,1837.00,227621.00,0
2020-07-29,123.00,124.00,121.00,122.00,-1.61,1996.00,244444.00,-1
