published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-09,10.0,10.16,9.75,10.12,0.0,124987.0,1245120.7,0
2021-06-10,10.0,11.0,9.93,10.6,4.74,213883.0,2298305.59,1
2021-06-13,10.5,10.7,10.3,10.32,-2.64,70260.0,731026.1,-1
2021-06-14,10.18,10.35,10.18,10.34,0.19,38625.0,397303.7,1
2021-06-15,10.34,10.45,10.21,10.26,-0.77,66800.0,690569.9,-1
2021-06-16,10.18,10.4,10.18,10.35,0.88,65500.0,670669.0,1
2021-06-17,10.2,10.3,10.15,10.27,-0.77,50155.0,515267.85,-1
2021-06-20,10.3,10.45,10.1,10.14,-1.27,37400.0,381588.0,-1
2021-06-21,10.0,10.1,10.0,10.06,-0.79,68200.0,687680.0,-1
2021-06-22,10.07,10.1,9.99,10.08,0.2,51197.0,514393.85,1
2021-06-23,9.99,10.11,9.99,10.05,-0.3,27809.0,280480.54,-1
2021-06-24,10.06,10.08,10.0,10.03,-0.2,40890.0,411276.8,-1
2021-06-27,10.0,10.14,9.95,10.14,1.1,22050.0,222761.5,1
2021-06-28,10.12,10.12,10.02,10.05,-0.89,12010.0,121026.0,-1
2021-06-29,10.05,10.09,9.91,10.09,0.4,9550.0,95594.5,1
2021-06-30,10.1,10.1,9.99,10.0,-0.89,9750.0,97713.0,-1
2021-07-01,10.0,10.16,9.98,10.1,1.0,53500.0,536330.0,1
2021-07-04,10.0,10.13,10.0,10.03,-0.69,24510.0,246739.9,-1
2021-07-05,10.0,10.14,10.0,10.0,-0.3,16350.0,164159.0,-1
2021-07-06,10.0,10.19,9.91,10.0,0.0,60477.0,607877.03,0
2021-07-07,10.0,10.19,9.89,10.0,0.0,43400.0,437524.47,0
2021-07-08,10.1,10.1,9.95,10.0,0.0,5050.0,50486.0,0
2021-07-11,10.0,10.2,10.0,10.04,0.4,22260.0,225569.0,1
2021-07-12,9.9,10.19,9.9,10.0,-0.4,41987.0,421195.4,-1
2021-07-13,9.89,10.5,9.89,10.13,1.3,21650.0,222137.5,1
2021-07-14,9.97,10.16,9.97,10.16,0.3,19950.0,200518.5,1
2021-07-15,10.0,10.16,10.0,10.16,0.0,69300.0,702932.0,0
2021-07-18,10.16,10.16,10.01,10.1,-0.59,15900.0,160223.1,-1
2021-07-19,10.0,10.12,10.0,10.12,0.2,8900.0,89734.0,1
2021-07-20,10.15,10.56,10.15,10.53,4.05,113347.0,1174427.05,1
2021-07-22,10.54,11.29,10.54,10.6,0.66,486620.0,5364332.0,1
2021-07-25,10.7,10.8,10.39,10.55,-0.47,137579.0,1456594.4,-1
2021-07-26,10.55,10.97,10.34,10.62,0.66,101561.0,1082404.88,1
2021-07-27,10.5,10.62,10.44,10.62,0.0,69300.0,729018.5,0
2021-07-28,10.41,10.5,10.41,10.42,-1.88,32940.0,343188.2,-1
2021-07-29,10.42,10.6,10.23,10.58,1.54,33545.0,349711.17,1
2021-08-01,10.5,10.79,10.29,10.29,-2.74,135850.0,1424039.6,-1
2021-08-02,10.25,10.7,10.25,10.48,1.85,23300.0,243913.0,1
2021-08-03,10.3,10.7,10.3,10.46,-0.19,20471.0,214998.15,-1
2021-08-04,10.46,10.7,10.36,10.44,-0.19,104979.0,1107475.3,-1
2021-08-05,10.3,10.6,10.3,10.42,-0.19,24565.0,256886.6,-1
