published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-29,510.00,510.00,491.00,491.00,0.00,311.00,156095.00,0
2011-03-30,491.00,510.00,500.00,505.00,0.00,532.00,267155.00,0
2011-03-31,505.00,530.00,505.00,530.00,0.00,318.00,164590.00,0
2011-04-04,530.00,539.00,529.00,530.00,0.00,872.00,463848.00,0
2011-04-05,530.00,534.00,530.00,530.00,0.00,207.00,109870.00,0
2011-04-06,530.00,531.00,520.00,520.00,0.00,876.00,457163.00,0
2011-04-07,520.00,531.00,521.00,531.00,0.00,20.00,10520.00,0
2011-04-10,531.00,535.00,535.00,535.00,0.00,66.00,35310.00,0
2011-04-11,535.00,531.00,526.00,527.00,0.00,500.00,263700.00,0
2011-04-13,527.00,525.00,525.00,525.00,0.00,267.00,140175.00,0
2011-04-17,525.00,540.00,530.00,535.00,0.00,156.00,83178.00,0
2011-04-18,535.00,535.00,535.00,535.00,0.00,153.00,81855.00,0
2011-04-19,535.00,536.00,535.00,535.00,0.00,73.00,39078.00,0
2011-04-20,535.00,535.00,525.00,530.00,0.00,766.00,405350.00,0
2011-04-21,530.00,525.00,505.00,509.00,0.00,981.00,502236.00,0
2011-04-25,509.00,500.00,485.00,485.00,0.00,581.00,285405.00,0
2011-04-27,485.00,499.00,490.00,499.00,0.00,255.00,125850.00,0
2011-04-28,499.00,501.00,482.00,485.00,0.00,840.00,409796.00,0
2011-05-02,485.00,480.00,478.00,478.00,0.00,134.00,64120.00,0
2011-05-03,478.00,495.00,475.00,486.00,0.00,613.00,297326.00,0
2011-05-04,486.00,495.00,486.00,495.00,0.00,211.00,104346.00,0
2011-05-05,495.00,502.00,488.00,488.00,0.00,838.00,413144.00,0
2011-05-08,488.00,490.00,480.00,480.00,0.00,1262.00,610884.00,0
2011-05-09,480.00,489.00,489.00,489.00,0.00,86.00,42054.00,0
2011-05-10,489.00,495.00,486.00,495.00,0.00,619.00,303203.00,0
2011-05-12,495.00,501.00,497.00,497.00,0.00,121.00,60365.00,0
2011-05-16,497.00,506.00,497.00,506.00,0.00,52.00,25934.00,0
2011-05-18,506.00,510.00,510.00,510.00,0.00,138.00,70380.00,0
2011-05-19,510.00,510.00,500.00,500.00,0.00,1365.00,685260.00,0
2011-05-22,500.00,495.00,491.00,492.00,0.00,117.00,57591.00,0
2011-05-23,492.00,501.00,491.00,491.00,0.00,496.00,246555.00,0
2011-05-24,491.00,500.00,500.00,500.00,0.00,156.00,78000.00,0
2011-05-25,500.00,507.00,475.00,507.00,0.00,4677.00,2240123.00,0
2011-05-30,507.00,500.00,497.00,500.00,0.00,252.00,125400.00,0
2011-05-31,500.00,500.00,475.00,475.00,0.00,3319.00,1588194.00,0
