published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-01-03,1000.0,1000.0,1000.0,1000.0,0.0,10.0,10000.0,0
2024-01-11,980.0,980.0,904.0,904.0,-9.6,285.0,275640.0,-1
2024-01-14,892.0,911.0,892.0,908.0,0.44,215.0,194780.0,1
2024-01-16,910.0,910.0,890.0,900.0,-0.88,39.0,35090.0,-1
2024-01-18,882.0,882.0,838.0,850.0,-5.56,160.0,135975.0,-1
2024-01-22,850.0,850.0,850.0,850.0,0.0,5.0,4508.1,0
2024-01-23,991.7,991.7,991.7,991.7,6.06,14.0,13847.4,1
2024-01-24,991.7,991.7,991.7,991.7,0.0,6.0,5830.9,0
2024-01-31,971.8,971.8,971.8,971.8,0.0,3.0,2894.7,0
2024-02-01,945.6,945.6,945.6,945.6,-2.7,15.0,14184.1,-1
2024-02-07,926.7,926.7,908.2,908.5,-3.92,1415.0,1308250.5,-1
2024-02-08,895.1,895.1,895.1,895.1,-1.47,25.0,22377.5,-1
2024-02-11,877.5,893.0,860.0,893.0,-0.23,155.0,136587.5,-1
2024-02-12,875.2,890.5,875.2,890.5,-0.28,115.0,102153.0,-1
2024-02-15,880.1,880.1,880.1,880.1,-1.17,25.0,22002.5,-1
2024-02-20,890.0,890.0,886.0,886.0,0.67,100.0,88700.0,1
2024-02-21,900.0,900.0,882.0,882.6,-0.38,75.0,66612.7,-1
2024-02-25,900.2,918.0,900.2,900.2,1.99,112.0,101770.0,1
2024-02-26,917.9,918.0,900.0,900.0,-0.02,65.0,59217.5,-1
2024-02-27,918.0,920.0,912.0,920.0,2.22,107.0,97860.0,1
2024-02-28,910.0,915.0,910.0,915.0,-0.54,125.0,114125.0,-1
2024-03-05,900.2,900.2,900.2,900.2,-1.62,40.0,36008.0,-1
2024-03-07,903.0,907.1,903.0,907.1,0.77,50.0,45252.5,1
2024-03-10,915.0,925.0,915.0,925.0,1.97,150.0,137750.0,1
2024-03-13,915.0,915.0,910.1,910.1,-1.61,50.0,45627.5,-1
