published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-02,1551.00,1586.00,1550.00,1557.00,0.00,1379.00,2143240.00,0
2011-06-05,1557.00,1560.00,1490.00,1560.00,0.00,3508.00,5284380.00,0
2011-06-06,1560.00,1541.00,1490.00,1541.00,0.00,1182.00,1772096.00,0
2011-06-07,1541.00,1511.00,1452.00,1474.00,0.00,420.00,619870.00,0
2011-06-08,1474.00,1475.00,1400.00,1400.00,0.00,1764.00,2504733.00,0
2011-06-09,1400.00,1428.00,1347.00,1351.00,0.00,2003.00,2730544.00,0
2011-06-12,1351.00,1368.00,1340.00,1368.00,0.00,1468.00,1975016.00,0
2011-06-13,1368.00,1356.00,1340.00,1355.00,0.00,1453.00,1956459.00,0
2011-06-14,1355.00,1340.00,1315.00,1334.00,0.00,1120.00,1483752.00,0
2011-06-15,1334.00,1315.00,1280.00,1300.00,0.00,1151.00,1488985.00,0
2011-06-16,1300.00,1430.00,1290.00,1430.00,0.00,1596.00,2116874.00,0
2011-06-19,1430.00,1573.00,1458.00,1573.00,0.00,2217.00,3342556.00,0
2011-06-20,1430.00,1573.00,1458.00,1573.00,0.00,2217.00,3342556.00,0
2011-06-21,1698.00,1750.00,1700.00,1750.00,0.00,4412.00,7590665.00,0
2011-06-23,1750.00,1801.00,1750.00,1801.00,0.00,6599.00,11685109.00,0
2011-06-26,1801.00,1836.00,1620.00,1620.00,0.00,4486.00,7872459.00,0
2011-06-27,1620.00,1588.00,1458.00,1458.00,0.00,1941.00,2883720.00,0
2011-06-29,1458.00,1576.00,1370.00,1570.00,0.00,506.00,729616.00,0
2011-06-30,1570.00,1561.00,1513.00,1560.00,0.00,1381.00,2117377.00,0
2011-07-03,1560.00,1559.00,1520.00,1559.00,0.00,573.00,875682.00,0
2011-07-04,1559.00,1570.00,1535.00,1550.00,0.00,1354.00,2100950.00,0
2011-07-05,1550.00,1590.00,1550.00,1580.00,0.00,3419.00,5322479.00,0
