published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-01-17,10.0,10.15,10.0,10.15,0.0,13200.0,133950.0,0
2018-01-21,10.15,10.15,10.1,10.14,0.0,32150.0,325265.0,0
2018-01-23,10.14,10.2,10.1,10.1,0.0,23500.0,238500.0,0
2018-01-24,10.1,10.1,10.0,10.0,0.0,13500.0,135210.0,0
2018-01-25,10.0,10.0,10.0,10.0,0.0,3000.0,30000.0,0
2018-01-28,10.0,10.0,10.0,10.0,0.0,3000.0,30000.0,0
2018-01-29,10.0,10.2,10.05,10.05,0.0,2100.0,21120.0,0
2018-01-31,10.05,10.09,9.97,10.09,0.0,51000.0,512470.0,0
2018-02-01,10.09,10.09,9.96,9.96,0.0,8300.0,83708.0,0
2018-02-04,9.96,9.9,9.9,9.9,0.0,4500.0,44550.0,0
2018-02-05,9.9,10.0,9.78,9.81,0.0,19500.0,191715.0,0
2018-02-06,9.81,9.9,9.71,9.9,0.0,19900.0,196630.0,0
2018-02-07,9.9,9.88,9.73,9.8,0.0,1700.0,16630.0,0
2018-02-08,9.8,9.7,9.69,9.7,0.0,7100.0,68849.0,0
2018-02-11,9.7,9.7,9.66,9.66,0.0,15200.0,147432.0,0
2018-02-12,9.66,9.8,9.61,9.75,0.0,8700.0,84820.0,0
2018-02-15,9.75,9.8,9.8,9.8,0.0,2000.0,19600.0,0
2018-02-18,9.6,9.6,9.6,9.6,-2.04,11500.0,110400.0,-1
2018-02-20,9.79,9.79,9.6,9.6,0.0,4800.0,46650.0,0
2018-02-21,9.6,9.6,9.6,9.6,0.0,12500.0,120000.0,0
2018-02-22,9.56,9.6,9.56,9.6,0.0,21100.0,202148.0,0
2018-02-25,9.46,9.46,9.46,9.46,-1.46,1000.0,9460.0,-1
2018-02-26,9.45,9.48,9.45,9.48,0.21,3500.0,33135.0,1
2018-02-28,9.67,9.67,9.45,9.47,-0.11,22400.0,212436.0,-1
2018-03-04,9.45,9.45,9.26,9.26,-2.22,5000.0,46775.0,-1
2018-03-05,9.26,9.3,9.16,9.2,-0.65,23100.0,212420.0,-1
2018-03-06,9.16,9.35,9.16,9.35,1.63,12100.0,111917.0,1
2018-03-07,9.41,9.41,9.2,9.4,0.53,55800.0,520580.0,1
2018-03-11,9.27,9.68,9.27,9.68,2.98,5500.0,51645.0,1
2018-03-13,9.75,9.75,9.75,9.75,0.72,10000.0,97500.0,1
2018-03-14,9.7,9.7,9.5,9.7,-0.51,44500.0,427570.0,-1
2018-03-15,9.7,9.75,9.65,9.75,0.52,16700.0,161515.0,1
2018-03-18,9.7,9.8,9.6,9.6,-1.54,15000.0,145900.0,-1
2018-03-19,9.69,9.7,9.69,9.7,1.04,22500.0,218050.0,1
2018-03-20,9.85,9.85,9.85,9.85,1.55,4300.0,42355.0,1
2018-03-22,9.75,9.75,9.57,9.57,-2.84,3500.0,33585.0,-1
2018-03-26,9.5,9.5,9.22,9.23,-3.55,15400.0,143603.0,-1
2018-03-27,9.1,9.2,9.1,9.2,-0.32,9000.0,82210.0,-1
2018-03-28,9.38,9.59,9.38,9.59,4.24,18500.0,176220.0,1
2018-03-29,9.4,9.79,9.36,9.65,0.63,10000.0,96310.0,1
2018-04-01,9.65,9.7,9.5,9.5,-1.55,49350.0,473252.0,-1
2018-04-02,9.35,9.5,9.3,9.31,-2.0,105500.0,986922.0,-1
2018-04-03,9.16,9.4,9.15,9.23,-0.86,8850.0,81520.0,-1
2018-04-05,9.41,10.0,9.41,10.0,8.34,20700.0,203301.0,1
2018-04-08,9.85,10.0,9.8,10.0,0.0,25800.0,257694.0,0
2018-04-09,9.85,9.99,9.85,9.88,-1.2,29500.0,290820.0,-1
2018-04-10,9.7,9.8,9.7,9.75,-1.32,25200.0,245040.0,-1
2018-04-11,9.85,9.94,9.85,9.94,1.95,27650.0,273740.0,1
2018-04-12,9.8,9.85,9.8,9.85,-0.91,8000.0,78650.0,-1
2018-04-15,9.65,9.65,9.65,9.65,-2.03,1000.0,9650.0,-1
2018-04-16,9.8,9.85,9.75,9.85,2.07,3100.0,30415.0,1
2018-04-17,9.85,10.0,9.8,10.0,1.52,2000.0,19725.0,1
2018-04-18,10.01,10.01,10.01,10.01,0.1,5000.0,50050.0,1
2018-04-19,9.81,10.0,9.75,9.9,-1.1,19780.0,195288.0,-1
2018-04-22,9.9,9.99,9.9,9.95,0.51,48800.0,485120.0,1
2018-04-23,9.8,9.9,9.75,9.9,-0.5,59000.0,578370.0,-1
2018-04-24,10.0,10.0,9.8,9.86,-0.4,9300.0,91620.0,-1
2018-04-25,9.66,9.85,9.66,9.7,-1.62,6700.0,64820.0,-1
2018-04-26,9.55,9.6,9.55,9.6,-1.03,3500.0,33575.0,-1
2018-04-29,9.41,9.5,9.35,9.35,-2.6,11500.0,108625.0,-1
2018-05-02,9.35,9.45,9.3,9.45,1.07,14700.0,138010.0,1
2018-05-03,9.32,9.32,9.32,9.32,-1.38,2000.0,18640.0,-1
2018-05-06,9.27,9.53,9.27,9.53,2.25,4100.0,38122.0,1
2018-05-07,9.72,9.72,9.6,9.6,0.73,6800.0,65460.0,1
2018-05-08,9.5,9.69,9.5,9.69,0.94,600.0,5795.0,1
2018-05-09,9.5,9.6,9.5,9.6,-0.93,11800.0,112600.0,-1
2018-05-10,9.6,9.6,9.41,9.6,0.0,2100.0,19970.0,0
2018-05-14,9.41,9.55,9.36,9.55,-0.52,3290.0,31052.0,-1
2018-05-16,9.45,9.6,9.45,9.6,0.52,3400.0,32415.0,1
2018-05-17,9.6,9.6,9.6,9.6,0.0,2500.0,24000.0,0
2018-05-20,9.45,9.64,9.45,9.6,0.0,4800.0,46042.0,0
2018-05-21,9.6,9.64,9.45,9.5,-1.04,7700.0,73738.0,-1
2018-05-22,9.6,9.65,9.6,9.65,1.58,8800.0,84630.0,1
2018-05-24,9.75,9.75,9.75,9.75,1.04,2000.0,19500.0,1
2018-05-28,9.56,9.56,9.56,9.56,-1.95,8000.0,76480.0,-1
2018-05-29,9.37,9.55,9.37,9.5,-0.63,8100.0,76902.0,-1
2018-05-31,9.5,9.5,9.38,9.38,-1.26,2000.0,18880.0,-1
2018-06-04,9.5,9.5,9.5,9.5,1.28,19000.0,180500.0,1
2018-06-06,9.36,9.36,9.36,9.36,-1.47,500.0,4680.0,-1
2018-06-07,9.36,9.36,9.32,9.32,-0.43,10700.0,99732.0,-1
2018-06-10,9.15,9.3,9.13,9.13,-2.04,5500.0,50905.0,-1
2018-06-11,9.0,9.2,9.0,9.2,0.77,9750.0,88257.0,1
2018-06-12,9.1,9.28,9.1,9.1,-1.09,2700.0,24930.0,-1
2018-06-14,9.1,9.1,9.03,9.03,-0.77,3000.0,27125.0,-1
2018-06-17,8.9,8.9,8.9,8.9,-1.44,400.0,3560.0,-1
2018-06-19,8.8,8.8,8.8,8.8,-1.12,2500.0,22000.0,-1
2018-06-24,8.8,8.98,8.8,8.98,2.05,1500.0,13380.0,1
2018-06-25,9.0,9.05,9.0,9.05,0.78,1200.0,10830.0,1
2018-06-27,9.05,9.2,9.05,9.2,1.66,3620.0,32929.0,1
2018-06-28,9.2,9.2,9.2,9.2,0.0,1100.0,10120.0,0
2018-07-01,9.1,9.1,8.92,8.92,-3.04,3200.0,28670.0,-1
2018-07-03,9.0,9.02,9.0,9.02,1.12,3000.0,27020.0,1
2018-07-04,9.02,9.1,9.02,9.1,0.89,3000.0,27260.0,1
2018-07-05,9.1,9.2,9.1,9.2,1.1,6000.0,55150.0,1
2018-07-08,9.1,9.1,8.9,8.91,-3.15,15100.0,135350.0,-1
2018-07-09,9.0,9.0,8.91,8.91,0.0,1500.0,13410.0,0
2018-07-11,8.91,8.91,8.91,8.91,0.0,200.0,1782.0,0
2018-07-12,8.92,8.92,8.82,8.82,-1.01,2000.0,17790.0,-1
2018-07-15,8.83,9.38,8.83,9.2,4.31,22750.0,210469.0,1
2018-07-16,9.2,9.56,9.2,9.56,3.91,700.0,6494.0,1
2018-07-17,9.56,9.56,9.56,9.56,0.0,9500.0,90820.0,0
2018-07-18,9.56,9.56,9.56,9.56,0.0,1500.0,14340.0,0
2018-07-19,9.75,9.75,9.75,9.75,1.99,1500.0,14625.0,1
2018-07-22,9.75,9.75,9.4,9.4,-3.59,9500.0,91210.0,-1
2018-07-23,9.21,9.21,9.0,9.0,-4.26,31000.0,283950.0,-1
2018-07-24,9.18,9.48,9.11,9.48,5.33,155000.0,1437700.0,1
2018-07-25,9.3,9.3,9.29,9.29,-2.0,1500.0,13940.0,-1
2018-07-26,9.3,9.3,9.0,9.0,-3.12,100800.0,920460.0,-1
2018-07-29,9.0,9.15,8.9,9.0,0.0,4600.0,41432.0,0
2018-07-30,8.82,9.18,8.66,9.18,2.0,52500.0,468080.0,1
2018-07-31,9.2,9.2,9.14,9.2,0.22,18000.0,164750.0,1
2018-08-01,9.15,9.15,9.1,9.1,-1.09,12000.0,109700.0,-1
2018-08-02,9.1,9.1,9.1,9.1,0.0,1000.0,9100.0,0
2018-08-05,9.14,9.14,9.01,9.01,-0.99,23000.0,209740.0,-1
2018-08-06,9.03,9.1,9.03,9.1,1.0,11000.0,99680.0,1
2018-08-07,9.1,9.1,9.0,9.0,-1.1,3500.0,31600.0,-1
2018-08-09,9.15,9.15,9.0,9.0,0.0,6100.0,55800.0,0
2018-08-12,9.15,9.18,9.06,9.18,2.0,24100.0,220746.0,1
2018-08-13,9.11,9.36,9.11,9.36,1.96,2550.0,23387.0,1
2018-08-14,9.2,9.35,9.2,9.35,-0.11,22500.0,208690.0,-1
2018-08-15,9.36,9.36,9.36,9.36,0.11,1500.0,14040.0,1
2018-08-16,9.45,9.45,9.45,9.45,0.96,3000.0,28350.0,1
2018-08-20,9.4,9.49,9.35,9.35,-1.06,900.0,8509.0,-1
