published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-17,269.0,295.9,269.0,295.9,10.0,562.0,162675.9,1
2022-08-18,301.8,325.4,301.8,325.4,9.97,5350.0,1740310.0,1
2022-08-21,331.9,357.0,331.9,337.0,3.56,78676.0,26831205.8,1
2022-08-22,343.7,349.0,320.1,323.0,-4.15,53198.0,17262964.8,-1
2022-08-23,318.0,323.5,315.0,320.0,-0.93,28437.0,9082151.2,-1
2022-08-24,318.0,344.5,318.0,332.0,3.75,30418.0,9879602.9,1
2022-08-25,332.0,334.0,322.6,323.0,-2.71,13083.0,4287002.6,-1
2022-08-26,318.0,320.0,313.1,319.0,-1.24,11130.0,3508977.5,-1
2022-08-28,312.9,315.0,300.0,301.0,-5.64,20529.0,6275687.2,-1
2022-08-29,295.0,307.0,295.0,305.0,1.33,9421.0,2822373.0,1
2022-08-30,311.1,311.1,298.0,299.9,-1.67,6385.0,1918764.6,-1
2022-08-31,299.0,303.0,283.6,286.0,-4.63,11413.0,3301243.8,-1
2022-09-01,280.3,291.7,276.2,284.0,-0.7,16566.0,4656190.1,-1
2022-09-02,279.0,297.0,279.0,279.1,-1.73,4222.0,1200953.5,-1
2022-09-04,274.0,297.0,274.0,295.0,5.7,18356.0,5345549.0,1
2022-09-05,295.0,300.0,290.1,290.1,-1.66,7987.0,2347770.4,-1
2022-09-06,287.0,290.0,283.0,284.1,-2.07,9180.0,2623327.0,-1
2022-09-07,278.8,293.0,278.8,283.2,-0.32,8490.0,2433713.0,-1
2022-09-08,280.0,296.0,277.8,287.0,1.34,9217.0,2665548.0,1
2022-09-11,282.0,292.7,282.0,284.0,-1.05,7985.0,2293237.0,-1
2022-09-12,279.2,285.0,279.2,281.0,-1.06,4077.0,1144579.5,-1
2022-09-13,276.0,291.7,276.0,284.0,1.07,7565.0,2150173.5,1
2022-09-14,284.0,293.9,281.0,288.3,1.51,13757.0,3980817.5,1
2022-09-15,288.3,290.0,267.7,268.0,-7.04,14365.0,4002798.0,-1
2022-09-16,262.7,264.0,255.1,260.1,-2.95,4250.0,1099898.5,-1
2022-09-18,256.0,258.0,247.5,248.1,-4.61,9285.0,2338990.5,-1
2022-09-20,243.2,243.2,227.1,240.0,-3.26,9268.0,2166757.3,-1
2022-09-21,235.2,244.8,235.2,242.0,0.83,2930.0,700186.0,1
2022-09-22,237.2,237.5,227.2,230.0,-4.96,9938.0,2288484.2,-1
2022-09-25,225.5,226.0,219.2,223.0,-3.04,3253.0,721777.0,-1
2022-09-27,223.0,228.5,217.2,224.0,0.45,2722.0,607763.0,1
2022-09-28,220.0,230.0,220.0,224.0,0.0,1154.0,256170.4,0
2022-09-29,219.8,225.0,219.8,224.0,0.0,1314.0,292165.4,0
2022-10-09,220.1,230.9,220.1,230.9,3.08,1409.0,317490.1,1
2022-10-10,235.0,235.0,217.4,223.0,-3.42,6291.0,1404382.2,-1
2022-10-11,219.0,232.0,215.0,232.0,4.04,3733.0,814127.3,1
2022-10-12,228.5,232.5,216.1,230.5,-0.65,5657.0,1279411.9,-1
2022-10-13,225.9,233.0,221.4,225.0,-2.39,3305.0,744858.0,-1
2022-10-16,221.0,225.0,215.1,219.0,-2.67,2550.0,556442.0,-1
2022-10-17,215.0,223.3,213.1,219.0,0.0,4480.0,975558.1,0
2022-10-19,215.0,216.0,209.0,210.0,-4.11,2680.0,567950.5,-1
2022-10-20,205.8,214.0,202.1,207.7,-1.1,2070.0,432252.0,-1
2022-10-23,207.0,220.3,207.0,208.1,0.19,1763.0,374327.0,1
2022-10-31,206.0,216.2,206.0,209.1,0.48,1200.0,253368.0,1
2022-11-01,206.0,221.0,206.0,218.0,4.26,10036.0,2164991.0,1
2022-11-02,222.2,227.4,215.0,223.0,2.29,4784.0,1070473.5,1
2022-11-03,218.6,221.0,214.4,216.4,-2.96,3892.0,848441.8,-1
2022-11-06,212.2,238.0,212.1,237.0,9.52,7544.0,1693130.6,1
2022-11-07,235.0,251.0,228.5,230.0,-2.95,19667.0,4698507.5,-1
2022-11-08,229.0,238.6,221.6,238.0,3.48,8702.0,1979690.1,1
2022-11-09,235.0,235.0,221.5,225.0,-5.46,16241.0,3721605.5,-1
2022-11-10,221.4,229.0,216.6,216.7,-3.69,6541.0,1434649.2,-1
2022-11-13,216.7,219.8,212.7,214.0,-1.25,3710.0,798887.0,-1
2022-11-14,210.0,225.4,210.0,221.0,3.27,3292.0,726253.5,1
2022-11-15,216.6,224.0,209.8,220.0,-0.45,6590.0,1410089.5,-1
2022-11-16,215.6,224.0,211.3,223.0,1.36,3970.0,871130.5,1
2022-11-17,224.0,233.0,223.8,231.9,3.99,6860.0,1560038.5,1
2022-11-22,227.3,232.5,223.6,227.0,-2.11,3598.0,813226.3,-1
2022-11-23,222.6,227.4,220.9,222.1,-2.16,3525.0,785658.0,-1
2022-11-24,219.0,226.4,214.9,220.0,-0.95,4508.0,996437.9,-1
2022-11-27,216.0,235.0,216.0,233.0,5.91,20338.0,4727398.6,1
2022-11-28,232.0,234.9,224.8,231.4,-0.69,7947.0,1828406.4,-1
