published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-07-05,398.0,410.0,398.0,404.0,-0.49,4652.0,1867603.0,-1
2021-07-06,397.0,413.0,396.0,399.0,-1.24,5470.0,2195355.0,-1
2021-07-07,393.0,405.0,392.0,394.0,-1.25,4523.0,1787768.0,-1
2021-07-08,375.0,404.0,375.0,397.0,0.76,9432.0,3749118.0,1
2021-07-11,397.0,405.0,397.0,404.0,1.76,7190.0,2883995.0,1
2021-07-12,405.0,406.0,395.0,397.0,-1.73,9515.0,3813550.0,-1
2021-07-13,390.0,404.0,390.0,400.0,0.76,4997.0,1998695.0,1
2021-07-14,393.0,426.0,393.0,418.0,4.5,12501.0,5126130.0,1
2021-07-15,425.0,435.0,399.0,433.0,3.59,26859.0,11431263.0,1
2021-07-18,441.0,476.3,441.0,476.3,10.0,98402.0,45941816.0,1
2021-07-19,485.8,523.8,468.5,471.0,-1.11,45751.0,22194010.6,-1
2021-07-20,471.0,497.2,461.0,488.0,3.61,45188.0,21640187.8,1
2021-07-22,488.0,488.0,476.0,485.0,-0.61,46306.0,22251943.0,-1
2021-07-25,482.0,504.0,482.0,501.0,3.3,73930.0,36798431.8,1
2021-07-26,505.0,551.1,494.0,539.0,7.58,130141.0,68390926.3,1
2021-07-27,539.0,575.0,522.0,562.0,4.27,79099.0,43120210.1,1
2021-07-28,560.0,562.0,532.0,534.0,-4.98,45672.0,24838175.5,-1
2021-07-29,535.0,537.0,513.0,531.0,-0.56,65651.0,34621907.5,-1
2021-08-01,521.0,551.0,521.0,540.0,1.69,73164.0,39652499.8,1
2021-08-02,536.0,556.0,529.5,529.6,-1.93,38670.0,20905337.3,-1
2021-08-03,525.0,550.8,520.4,537.0,1.4,44582.0,23958539.7,1
2021-08-04,547.7,566.0,538.0,548.0,2.05,82786.0,45684449.8,1
2021-08-05,558.0,581.0,535.0,536.7,-2.06,28131.0,15329308.9,-1
2021-08-08,530.0,566.0,525.0,545.0,1.55,57893.0,31923514.5,1
