published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-12-05,197.0,200.0,200.0,200.0,nan,290.0,58000.0,0
2013-12-08,200.0,204.0,204.0,204.0,2.00,53.0,10812.0,0
2013-12-10,204.0,208.0,208.0,208.0,1.96,12.0,2496.0,0
2013-12-11,208.0,212.0,208.0,208.0,0.0,28.0,5880.0,0
2013-12-12,208.0,208.0,204.0,208.0,0.0,84.0,17360.0,0
2013-12-16,208.0,216.0,212.0,216.0,3.85,853.0,183500.0,0
2013-12-18,216.0,220.0,220.0,220.0,1.85,13.0,2860.0,0
2013-12-19,220.0,224.0,224.0,224.0,1.82,232.0,51968.0,0
2013-12-22,224.0,246.0,228.0,246.0,9.82,531.0,127966.0,0
2013-12-23,246.0,250.0,250.0,250.0,1.63,181.0,45250.0,0
2013-12-24,250.0,260.0,250.0,260.0,4.00,695.0,179745.0,0
2013-12-26,260.0,275.0,265.0,275.0,5.77,221.0,60365.0,0
2013-12-29,275.0,285.0,275.0,285.0,3.64,487.0,136053.0,0
2013-12-31,285.0,296.0,290.0,296.0,3.86,405.0,118782.0,0
2014-01-01,296.0,292.0,292.0,292.0,-1.35,131.0,38252.0,0
2014-01-02,292.0,287.0,272.0,277.0,-5.14,983.0,272058.0,0
2014-01-05,277.0,282.0,277.0,278.0,0.36,1186.0,332881.0,0
2014-01-06,278.0,288.0,280.0,283.0,1.80,487.0,138027.0,0
2014-01-07,283.0,304.0,288.0,304.0,7.42,2291.0,675827.0,0
2014-01-08,304.0,316.0,310.0,316.0,3.95,400.0,125200.0,0
2014-01-09,316.0,334.0,316.0,331.0,4.75,1045.0,339740.0,0
2014-01-12,331.0,354.0,325.0,354.0,6.95,6751.0,2316654.0,0
2014-01-13,354.0,367.0,347.0,367.0,3.67,1193.0,429657.0,0
2014-01-14,367.0,368.0,340.0,368.0,0.27,1236.0,436866.0,0
2014-01-16,368.0,375.0,370.0,371.0,0.82,1235.0,460602.0,0
2014-01-19,371.0,378.0,371.0,371.0,0.0,605.0,226760.0,0
2014-01-20,371.0,387.0,373.0,380.0,2.43,3983.0,1502258.0,0
2014-01-21,380.0,397.0,378.0,397.0,4.47,1937.0,750036.0,0
2014-01-22,397.0,397.0,388.0,388.0,-2.27,889.0,350035.0,0
2014-01-23,388.0,396.0,382.0,382.0,-1.55,938.0,363496.0,0
2014-01-26,382.0,375.0,355.0,355.0,-7.07,2169.0,798579.0,0
2014-01-27,355.0,350.0,337.0,338.0,-4.79,1644.0,561980.0,0
2014-01-28,338.0,341.0,334.0,335.0,-0.89,684.0,230594.0,0
2014-01-29,335.0,336.0,331.0,336.0,0.30,513.0,171353.0,0
2014-02-02,336.0,330.0,310.0,330.0,-1.79,447.0,143220.0,0
2014-02-03,330.0,363.0,335.0,363.0,10.00,940.0,333389.0,0
2014-02-04,363.0,399.0,370.0,399.0,9.92,4270.0,1689285.0,0
2014-02-06,394.0,394.0,391.0,391.0,-2.01,168.0,65730.0,0
2014-02-09,391.0,390.0,377.0,377.0,-3.58,278.0,106794.0,0
2014-02-10,377.0,370.0,365.0,365.0,-3.18,130.0,47578.0,0
2014-02-11,365.0,372.0,358.0,372.0,1.92,412.0,151608.0,0
2014-02-12,372.0,365.0,362.0,362.0,-2.69,238.0,86254.0,0
2014-02-13,362.0,382.0,369.0,375.0,3.59,472.0,177577.0,0
2014-02-16,375.0,402.0,380.0,402.0,7.20,1114.0,437758.0,0
2014-02-17,402.0,394.0,387.0,387.0,-3.73,466.0,181406.0,0
2014-02-18,387.0,405.0,387.0,395.0,2.07,1512.0,598235.0,0
2014-02-20,395.0,418.0,395.0,410.0,3.80,1506.0,616814.0,0
2014-02-23,410.0,418.0,404.0,410.0,0.0,1166.0,480096.0,0
2014-02-24,410.0,433.0,418.0,425.0,3.66,2805.0,1200636.0,0
2014-02-25,425.0,439.0,412.0,439.0,3.29,1124.0,477332.0,0
2014-02-26,439.0,433.0,417.0,425.0,-3.19,726.0,310254.0,0
2014-03-03,425.0,418.0,418.0,418.0,-1.65,205.0,85690.0,0
2014-03-04,418.0,410.0,402.0,410.0,-1.91,501.0,203625.0,0
2014-03-05,410.0,423.0,410.0,423.0,3.17,282.0,118056.0,0
2014-03-06,423.0,415.0,400.0,405.0,-4.26,1699.0,692965.0,0
2014-03-09,405.0,421.0,413.0,421.0,3.95,487.0,202485.0,0
2014-03-10,421.0,418.0,418.0,418.0,-0.71,224.0,93632.0,0
2014-03-11,418.0,419.0,392.0,400.0,-4.31,1876.0,758246.0,0
2014-03-12,400.0,400.0,392.0,400.0,0.0,326.0,128436.0,0
2014-03-13,400.0,405.0,392.0,399.0,-0.25,967.0,385127.0,0
2014-03-19,399.0,392.0,386.0,386.0,-3.26,403.0,156182.0,0
2014-03-20,386.0,398.0,381.0,398.0,3.11,3108.0,1220128.0,0
2014-03-23,398.0,395.0,390.0,391.0,-1.76,161.0,63059.0,0
2014-03-24,391.0,398.0,384.0,398.0,1.79,1157.0,453920.0,0
2014-03-25,398.0,410.0,393.0,405.0,1.76,1181.0,477107.0,0
2014-03-26,405.0,410.0,400.0,400.0,-1.23,885.0,359145.0,0
2014-03-27,400.0,417.0,405.0,417.0,4.25,1980.0,816615.0,0
2014-03-31,417.0,433.0,409.0,433.0,3.84,2374.0,1008381.0,0
