published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-11,1000.0,1100.0,1000.0,1100.0,10.0,13610.0,14967125.0,1
2025-11-12,1101.0,1130.0,1101.0,1121.1,1.92,7988.0,8967975.5,1
2025-11-13,1101.0,1125.0,1101.0,1125.0,0.35,4060.0,4532265.0,1
2025-11-16,1130.0,1171.0,1110.0,1150.1,2.23,35619.0,41440156.0,1
2025-11-17,1168.0,1171.0,1150.0,1150.1,0.0,4720.0,5500496.0,0
2025-11-18,1128.0,1171.0,1128.0,1155.1,0.43,14343.0,16683046.0,1
2025-11-19,1170.9,1170.9,1151.1,1151.1,-0.35,9114.0,10659207.6,-1
2025-11-20,1151.1,1160.0,1150.2,1160.0,0.77,575.0,664897.5,1
2025-11-23,1150.2,1171.0,1150.2,1160.0,0.0,5740.0,6708982.5,0
2025-11-24,1160.0,1165.0,1150.2,1165.0,0.43,2116.0,2456725.0,1
2025-11-25,1165.0,1171.0,1150.2,1161.0,-0.34,1370.0,1599331.5,-1
2025-11-26,1152.0,1164.8,1152.0,1160.0,-0.09,5595.0,6464779.8,-1
2025-11-27,1159.9,1160.0,1159.0,1160.0,0.0,165.0,191371.0,0
2025-11-30,1171.0,1171.0,1151.1,1151.1,-0.77,9426.0,11029689.6,-1
2025-12-01,1151.1,1161.0,1151.1,1161.0,0.86,295.0,340601.5,1
2025-12-02,1151.1,1165.0,1151.1,1151.1,-0.85,1287.0,1496674.8,-1
2025-12-03,1151.1,1151.1,1151.1,1151.1,0.0,150.0,172665.0,0
2025-12-07,1151.1,1165.0,1148.0,1165.0,1.21,1839.0,2132776.6,1
2025-12-09,1174.0,1200.0,1153.2,1190.0,2.15,4043.0,4825490.0,1
2025-12-10,1189.9,1189.9,1160.0,1160.0,-2.52,96.0,111964.1,-1
2025-12-11,1160.0,1200.0,1155.1,1155.1,-0.42,2456.0,2934401.5,-1
2025-12-14,1140.0,1155.0,1140.0,1155.0,-0.01,200.0,230500.0,-1
2025-12-15,1151.0,1160.0,1151.0,1160.0,0.43,200.0,231325.0,1
2025-12-16,1150.0,1164.9,1150.0,1164.9,0.42,1070.0,1239823.0,1
2025-12-17,1149.0,1151.0,1149.0,1151.0,-1.19,325.0,373925.0,-1
2025-12-18,1151.0,1155.0,1151.0,1155.0,0.35,110.0,126950.0,1
2025-12-21,1151.0,1175.0,1151.0,1175.0,1.73,5060.0,5939520.5,1
2025-12-22,1175.0,1175.0,1155.0,1155.0,-1.7,51.0,58902.0,-1
2025-12-23,1165.5,1170.0,1165.5,1170.0,1.3,300.0,350780.0,1
2025-12-24,1170.0,1170.0,1169.0,1169.0,-0.09,215.0,251407.5,-1
2025-12-28,1168.0,1169.0,1168.0,1169.0,0.0,150.0,175325.0,0
2025-12-31,1156.3,1179.0,1156.0,1163.1,-0.5,1410.0,1656320.0,-1
2026-01-01,1140.0,1162.8,1140.0,1162.8,-0.03,50.0,57570.0,-1
2026-01-04,1142.0,1142.0,1142.0,1142.0,-1.79,25.0,28550.0,-1
2026-01-05,1140.0,1164.0,1140.0,1140.0,-0.18,86.0,98868.0,-1
2026-01-06,1131.0,1153.6,1131.0,1153.6,1.19,110.0,126670.0,1
2026-01-07,1131.0,1165.0,1131.0,1165.0,0.99,275.0,317672.5,1
2026-01-12,1165.0,1185.0,1161.3,1175.0,0.86,120.0,139990.0,1
2026-01-13,1190.0,1190.0,1182.0,1182.0,0.6,1115.0,1319530.0,1
2026-01-14,1158.4,1158.4,1155.0,1155.1,-2.28,260.0,300478.0,-1
2026-01-20,1132.0,1132.0,1132.0,1132.0,-2.0,25.0,28300.0,-1
2026-01-21,1121.0,1121.0,1121.0,1121.0,-0.97,35.0,39235.0,-1
2026-01-22,1115.0,1115.0,1113.2,1113.2,-0.7,75.0,83535.0,-1
2026-01-25,1113.2,1130.0,1113.2,1130.0,1.51,425.0,479830.0,1
2026-01-26,1120.0,1130.0,1110.0,1120.0,-0.88,250.0,280750.0,-1
2026-01-27,1135.0,1135.0,1115.0,1115.0,-0.45,175.0,196625.0,-1
2026-01-28,1137.0,1159.7,1137.0,1154.0,3.5,625.0,721147.5,1
2026-02-01,1131.0,1131.0,1125.0,1125.0,-2.51,435.0,489585.0,-1
2026-02-02,1146.0,1146.0,1146.0,1146.0,1.87,935.0,1071510.0,1
2026-02-03,1124.0,1130.0,1117.0,1117.0,-2.53,220.0,248190.0,-1
2026-02-04,1117.0,1117.0,1117.0,1117.0,0.0,150.0,167550.0,0
2026-02-05,1138.0,1139.3,1120.0,1120.0,0.27,130.0,147162.5,1
2026-02-08,1120.0,1147.0,1120.0,1142.4,2.0,1105.0,1266055.0,1
2026-02-09,1135.0,1157.7,1135.0,1116.0,-2.31,251.0,289581.0,-1
2026-02-11,1100.0,1100.0,1100.0,1100.0,-1.43,25.0,27500.0,-1
2026-02-12,1121.0,1143.4,1121.0,1143.4,3.95,440.0,498080.0,1
2026-02-16,1122.0,1140.0,1122.0,1126.1,-1.51,325.0,367270.0,-1
2026-02-17,1144.0,1148.6,1144.0,1148.6,2.0,1149.0,1319173.4,1
2026-02-22,1128.0,1128.0,1128.0,1128.0,-1.79,75.0,84600.0,-1
2026-02-23,1125.1,1135.0,1125.1,1135.0,0.62,625.0,705290.0,1
2026-02-24,1135.0,1140.0,1135.0,1140.0,0.44,1620.0,1846650.0,1
2026-03-01,1150.0,1151.0,1150.0,1151.0,0.96,2545.0,2929270.0,1
2026-03-10,1130.1,1130.1,1130.1,1130.1,-1.82,125.0,141262.5,-1
2026-03-11,1130.1,1140.0,1130.1,1132.5,0.21,510.0,580460.0,1
2026-03-12,1132.0,1132.0,1126.0,1126.0,-0.57,50.0,56450.0,-1
2026-03-15,1140.0,1140.0,1140.0,1140.0,1.24,181.0,206340.0,1
2026-03-16,1150.0,1155.0,1150.0,1151.5,1.01,1680.0,1937225.0,1
2026-03-17,1132.0,1154.0,1132.0,1150.0,-0.13,375.0,431550.0,-1
2026-03-19,1135.0,1136.0,1135.0,1136.0,-1.22,50.0,56775.0,-1
2026-03-22,1136.0,1136.0,1113.3,1116.1,-1.75,250.0,279854.3,-1
2026-03-24,1118.0,1118.0,1118.0,1118.0,0.17,90.0,100620.0,1
2026-03-25,1122.2,1122.2,1122.2,1122.2,0.38,60.0,67332.0,1
2026-03-26,1125.2,1130.0,1125.2,1126.0,0.34,50.0,56320.0,1
2026-03-31,1125.0,1125.0,1125.0,1125.0,-0.09,25.0,28125.0,-1
2026-04-01,1126.2,1140.0,1126.2,1140.0,1.33,175.0,198810.0,1
2026-04-02,1121.0,1130.0,1121.0,1130.0,-0.88,400.0,450200.0,-1
2026-04-05,1125.0,1130.0,1125.0,1130.0,0.0,125.0,141125.0,0
2026-04-06,1130.0,1150.0,1130.0,1130.0,0.0,200.0,229000.0,0
2026-04-07,1115.0,1120.0,1115.0,1120.0,-0.88,50.0,55875.0,-1
2026-04-08,1142.4,1142.4,1125.0,1125.0,0.45,190.0,214446.0,1
2026-04-13,1120.0,1120.0,1120.0,1120.0,-0.44,10.0,11200.0,-1
2026-04-15,1120.0,1120.0,1120.0,1120.0,0.0,15.0,16800.0,0
2026-04-16,1101.0,1140.0,1101.0,1140.0,1.79,1346.0,1533464.5,1
2026-04-17,1120.0,1120.0,1120.0,1120.0,-1.75,25.0,28000.0,-1
2026-04-20,1100.1,1110.0,1100.1,1110.0,-0.89,35.0,38602.5,-1
2026-04-22,1110.0,1115.0,1110.0,1115.0,0.45,150.0,167025.0,1
2026-04-23,1132.0,1140.0,1132.0,1140.0,2.24,200.0,227600.0,1
2026-04-24,1140.0,1140.0,1110.0,1140.0,0.0,165.0,186690.0,0
2026-04-27,1140.0,1105.8,1105.8,1105.8,-3.0,50.0,55290.0,-1
2026-04-28,1105.8,1143.4,1110.1,1143.4,3.4,375.0,427317.5,1
2026-04-29,1143.4,1141.0,1115.0,1141.0,-0.21,181.0,204696.0,-1
2026-04-30,1110.1,1110.1,1110.1,1110.1,-2.71,25.0,27752.5,-1
2026-05-06,1092.3,1092.3,1092.3,1092.3,-1.6,25.0,27307.5,-1
