published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-03-24,464.0,464.0,418.0,418.0,0.0,3920.0,1737870.0,0
2019-03-25,398.0,398.0,377.0,377.0,-9.81,90.0,34350.0,-1
2019-03-26,359.0,359.0,340.0,340.0,-9.81,500.0,173150.0,-1
2019-03-27,323.0,350.0,306.0,340.0,0.0,170472.0,55440896.0,0
2019-03-28,323.0,353.0,323.0,333.0,-2.06,78450.0,26284816.0,-1
2019-03-31,335.0,335.0,323.0,325.0,-2.4,32407.0,10604541.0,-1
2019-04-01,323.0,332.0,321.0,330.0,1.54,31990.0,10489900.0,1
2019-04-02,327.0,336.0,325.0,329.0,-0.3,38720.0,12774320.0,-1
2019-04-03,327.0,329.0,324.0,325.0,-1.22,18011.0,5866565.0,-1
2019-04-04,330.0,330.0,320.0,321.0,-1.23,33290.0,10775400.0,-1
2019-04-07,319.0,322.0,318.0,320.0,-0.31,14305.0,4577205.0,-1
2019-04-08,322.0,330.0,320.0,329.0,2.81,53402.0,17440224.0,1
2019-04-09,323.0,323.0,308.0,310.0,-5.78,14819.0,4621118.0,-1
2019-04-10,305.0,311.0,305.0,308.0,-0.65,14774.0,4560692.0,-1
2019-04-11,307.0,310.0,306.0,306.0,-0.65,16100.0,4957450.0,-1
2019-04-15,304.0,308.0,304.0,308.0,0.65,4335.0,1329135.0,1
2019-04-16,308.0,312.0,307.0,311.0,0.97,14905.0,4613575.0,1
2019-04-17,316.0,316.0,305.0,305.0,-1.93,19531.0,5994927.0,-1
2019-04-18,305.0,310.0,300.0,309.0,1.31,17750.0,5411860.0,1
2019-04-21,311.0,311.0,303.0,305.0,-1.29,18065.0,5510580.0,-1
2019-04-22,305.0,311.0,304.0,305.0,0.0,20035.0,6140385.0,0
2019-04-23,306.0,311.0,305.0,310.0,1.64,23310.0,7136660.0,1
2019-04-24,306.0,311.0,305.0,307.0,-0.97,22930.0,7033530.0,-1
2019-04-25,306.0,311.0,306.0,310.0,0.98,20838.0,6451663.0,1
2019-04-28,310.0,332.0,310.0,324.0,4.52,45502.0,14748598.0,1
2019-04-29,323.0,328.0,316.0,320.0,-1.23,28956.0,9281354.0,-1
2019-04-30,319.0,330.0,316.0,328.0,2.5,22059.0,7140259.0,1
2019-05-02,322.0,349.0,322.0,344.0,4.88,74542.0,25217282.0,1
2019-05-05,346.0,372.0,338.0,358.0,4.07,129045.0,46349732.0,1
2019-05-06,375.0,393.0,355.0,388.0,8.38,132126.0,49438432.0,1
2019-05-07,390.0,395.0,378.0,379.0,-2.32,127407.0,49075596.0,-1
2019-05-08,375.0,398.0,375.0,390.0,2.9,105925.0,41260320.0,1
2019-05-09,384.0,420.0,384.0,411.0,5.38,124569.0,50358652.0,1
2019-05-12,413.0,452.0,410.0,452.0,9.98,153906.0,67360176.0,1
2019-05-13,455.0,497.0,455.0,497.0,9.96,233289.0,114601648.0,1
2019-05-14,506.0,546.0,506.0,546.0,9.86,157535.0,84136704.0,1
2019-05-15,573.0,590.0,514.0,520.0,-4.76,237479.0,130907232.0,-1
2019-05-16,520.0,572.0,501.0,572.0,10.0,245337.0,134108416.0,1
2019-05-19,600.0,629.0,570.0,629.0,9.97,306224.0,187071088.0,1
2019-05-20,660.0,678.0,580.0,595.0,-5.41,399171.0,255012480.0,-1
2019-05-21,600.0,608.0,557.0,585.0,-1.68,118395.0,68834320.0,-1
2019-05-22,575.0,584.0,545.0,550.0,-5.98,110790.0,62108860.0,-1
2019-05-23,550.0,579.0,532.0,547.0,-0.55,73193.0,40130408.0,-1
2019-05-26,550.0,589.0,542.0,560.0,2.38,84403.0,47573272.0,1
2019-05-27,560.0,597.0,556.0,588.0,5.0,125412.0,73178240.0,1
2019-05-28,588.0,646.0,586.0,646.0,9.86,265038.0,164404080.0,1
2019-05-29,678.0,710.0,650.0,679.0,5.11,298013.0,204068464.0,1
2019-05-30,712.0,712.0,640.0,661.0,-2.65,255064.0,171965152.0,-1
2019-06-02,665.0,687.0,640.0,671.0,1.51,140252.0,93766128.0,1
2019-06-03,673.0,675.0,650.0,655.0,-2.38,92219.0,60726184.0,-1
2019-06-04,650.0,688.0,643.0,675.0,3.05,180829.0,121311888.0,1
2019-06-06,685.0,688.0,672.0,678.0,0.44,114304.0,77697288.0,1
2019-06-10,678.0,684.0,669.0,671.0,-1.03,57870.0,39050436.0,-1
2019-06-11,670.0,676.0,662.0,667.0,-0.6,56549.0,37824528.0,-1
2019-06-12,662.0,670.0,656.0,665.0,-0.3,64326.0,42543344.0,-1
