published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-01-11,10.0,10.6,10.0,10.45,0.0,45140.0,468374.1,0
2021-01-12,10.6,10.6,10.4,10.55,0.96,1506900.0,15812395.0,1
2021-01-13,10.6,10.96,10.6,10.8,2.37,535400.0,5794659.5,1
2021-01-17,10.59,11.22,10.59,11.22,3.89,1061110.0,11638226.4,1
2021-01-18,11.03,11.14,11.03,11.11,-0.98,1008900.0,11208709.0,-1
2021-01-19,11.13,11.3,11.1,11.27,1.44,1198160.0,13311313.8,1
2021-01-20,11.2,11.2,10.99,11.2,-0.62,128150.0,1434858.0,-1
2021-01-21,11.0,11.22,11.0,11.13,-0.62,2041210.0,22478397.0,-1
2021-01-24,11.06,11.3,11.06,11.3,1.53,27750.0,310449.0,1
2021-01-25,11.21,11.39,11.2,11.34,0.35,216020.0,2427119.0,1
2021-01-26,11.2,11.48,11.2,11.48,1.23,69800.0,788192.5,1
2021-01-27,11.35,11.47,11.32,11.47,-0.09,31350.0,355387.0,-1
2021-01-28,11.35,11.5,11.26,11.27,-1.74,2091500.0,24027078.5,-1
2021-01-31,11.2,11.2,11.01,11.01,-2.31,90200.0,1008516.0,-1
2021-02-01,11.01,11.06,11.01,11.06,0.45,18200.0,200960.0,1
2021-02-02,11.0,11.28,11.0,11.2,1.27,13350.0,148657.0,1
2021-02-03,11.0,11.3,11.0,11.14,-0.54,710100.0,7946448.0,-1
2021-02-04,11.0,11.18,11.0,11.18,0.36,115300.0,1282095.5,1
2021-02-07,11.1,11.43,11.05,11.05,-1.16,811150.0,8969477.5,-1
2021-02-08,11.05,11.27,11.05,11.22,1.54,218050.0,2451759.0,1
2021-02-09,11.06,11.16,11.06,11.1,-1.07,257500.0,2864550.0,-1
2021-02-10,11.05,11.27,11.05,11.27,1.53,67820.0,758357.0,1
2021-02-11,11.19,11.28,11.18,11.28,0.09,214200.0,2403200.0,1
2021-02-14,11.28,11.35,11.16,11.28,0.0,369200.0,4152257.0,0
2021-02-15,11.26,11.69,11.25,11.68,3.55,430000.0,4907367.5,1
2021-02-16,11.78,11.78,11.6,11.75,0.6,153650.0,1786460.0,1
2021-02-17,11.61,11.95,11.61,11.8,0.43,1549600.0,18108180.0,1
2021-02-18,11.77,12.0,11.7,12.0,1.69,642950.0,7635635.5,1
2021-02-21,12.0,12.39,11.87,12.38,3.17,1551200.0,18833690.0,1
2021-02-22,12.26,12.75,12.26,12.35,-0.24,688200.0,8581646.0,-1
2021-02-23,12.5,12.59,11.96,12.19,-1.3,388300.0,4717196.0,-1
2021-02-24,12.4,12.98,12.4,12.82,5.17,501000.0,6376813.0,1
2021-02-25,12.72,12.8,12.55,12.72,-0.78,375800.0,4778918.5,-1
2021-02-28,12.5,12.5,12.29,12.29,-3.38,155050.0,1919863.0,-1
2021-03-01,12.31,12.48,12.31,12.32,0.24,68300.0,850131.0,1
2021-03-02,12.1,12.34,12.1,12.21,-0.89,171300.0,2093984.0,-1
2021-03-03,12.01,12.39,12.0,12.22,0.08,65300.0,793291.0,1
2021-03-04,12.1,12.34,12.1,12.1,-0.98,46650.0,566627.5,-1
2021-03-07,11.9,12.4,11.67,11.67,-3.55,241400.0,2879539.0,-1
2021-03-09,11.9,12.0,11.61,11.61,-0.51,107800.0,1267480.0,-1
2021-03-10,11.7,11.93,11.5,11.5,-0.95,109800.0,1273751.85,-1
2021-03-14,11.5,11.83,11.0,11.0,-4.35,183050.0,2089724.25,-1
2021-03-15,11.22,11.89,10.8,10.81,-1.73,271200.0,3006460.0,-1
2021-03-16,11.0,11.67,10.9,11.57,7.03,1232800.0,13520139.0,1
2021-03-17,11.65,11.76,11.59,11.69,1.04,94650.0,1103248.5,1
2021-03-18,11.84,11.84,11.66,11.73,0.34,109700.0,1288798.4,1
2021-03-21,11.63,11.98,11.63,11.9,1.45,29300.0,349786.6,1
2021-03-22,11.67,11.93,11.67,11.75,-1.26,6000.0,70829.0,-1
2021-03-23,11.65,11.95,11.65,11.95,1.7,52050.0,618060.5,1
2021-03-24,11.72,12.09,11.72,12.09,1.17,554610.0,6632715.6,1
2021-03-25,12.1,12.1,11.94,11.97,-0.99,23050.0,276264.0,-1
2021-03-29,11.91,12.16,11.91,12.16,1.59,10500.0,125514.0,1
2021-03-30,12.12,12.31,12.05,12.05,-0.9,499400.0,6048683.0,-1
2021-03-31,12.15,12.25,12.15,12.25,1.66,108570.0,1326700.5,1
2021-04-01,12.06,12.3,12.06,12.28,0.24,2400.0,29225.0,1
2021-04-04,12.11,12.27,12.1,12.27,-0.08,195600.0,2382020.0,-1
2021-04-05,12.08,12.2,12.08,12.2,-0.57,49885.0,605316.5,-1
2021-04-06,12.06,12.44,12.06,12.2,0.0,120650.0,1479449.0,0
2021-04-07,12.21,12.41,12.21,12.35,1.23,13000.0,160486.0,1
2021-04-08,12.15,12.29,11.95,12.18,-1.38,280850.0,3402475.5,-1
2021-04-12,12.12,12.3,12.12,12.3,0.99,6500.0,79601.0,1
2021-04-13,12.45,12.5,12.22,12.3,0.0,112090.0,1387290.2,0
2021-04-15,12.28,12.49,12.28,12.49,1.54,41500.0,517956.0,1
2021-04-18,12.32,12.7,12.32,12.45,-0.32,97450.0,1217233.0,-1
2021-04-19,12.31,12.45,12.3,12.3,-1.2,152700.0,1884376.0,-1
2021-04-20,12.25,12.39,12.25,12.39,0.73,138100.0,1708703.9,1
2021-04-21,12.23,12.4,12.23,12.4,0.08,27700.0,341275.0,1
2021-04-22,12.19,12.35,12.19,12.35,-0.4,78500.0,969072.0,-1
2021-04-25,12.3,12.31,12.13,12.13,-1.78,11200.0,137776.0,-1
2021-04-26,12.33,12.33,12.09,12.15,0.16,98348.0,1195626.2,1
2021-04-27,12.16,12.45,12.16,12.33,1.48,56300.0,698117.0,1
2021-04-28,12.3,12.3,12.03,12.07,-2.11,51400.0,622678.0,-1
2021-04-29,12.1,12.31,12.1,12.2,1.08,111000.0,1351128.0,1
2021-05-02,12.03,12.6,12.03,12.21,0.08,79200.0,979890.0,1
2021-05-03,12.13,12.68,12.13,12.25,0.33,147120.0,1821639.4,1
2021-05-04,12.26,12.42,12.26,12.4,1.22,60500.0,749255.0,1
2021-05-05,12.35,12.43,11.91,12.1,-2.42,336900.0,4081832.0,-1
2021-05-06,12.1,12.34,11.18,12.28,1.49,1660911.0,19255417.98,1
2021-05-09,12.45,12.45,11.96,11.99,-2.36,101500.0,1223766.0,-1
2021-05-10,12.21,12.21,11.97,12.15,1.33,1100.0,13338.0,1
2021-05-11,11.92,12.1,11.92,12.1,-0.41,189600.0,2285840.0,-1
2021-05-12,11.99,12.2,11.97,12.2,0.83,462620.0,5584686.7,1
2021-05-13,12.2,12.41,12.13,12.31,0.9,413250.0,5102052.0,1
2021-05-16,12.31,12.43,12.31,12.43,0.97,155600.0,1926879.0,1
2021-05-17,12.36,12.46,12.34,12.45,0.16,130050.0,1615329.0,1
2021-05-18,12.31,12.55,12.31,12.55,0.8,284300.0,3552902.0,1
2021-05-19,12.8,12.8,12.55,12.67,0.96,93800.0,1182917.0,1
2021-05-20,12.48,12.66,12.48,12.59,-0.63,90600.0,1145826.0,-1
2021-05-23,12.34,12.74,12.34,12.65,0.48,117500.0,1488161.0,1
2021-05-24,12.9,12.94,12.66,12.94,2.29,188400.0,2423539.0,1
2021-05-25,12.97,13.01,12.88,12.97,0.23,132148.0,1713253.0,1
2021-05-27,12.8,12.97,12.8,12.95,-0.15,830700.0,10756108.0,-1
2021-05-30,13.2,13.4,13.1,13.4,3.47,391750.0,5213920.0,1
2021-05-31,13.43,13.79,13.43,13.59,1.42,509500.0,6916427.0,1
2021-06-01,13.7,13.7,13.17,13.6,0.07,318110.0,4236734.3,1
2021-06-02,13.34,13.6,13.34,13.39,-1.54,110800.0,1484835.0,-1
2021-06-03,13.4,13.6,13.4,13.55,1.19,2350.0,31588.5,1
