published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-11-15,350.5,364.6,315.5,321.0,-8.42,59590.0,19470722.0,-1
2022-11-16,327.4,353.1,327.4,353.1,10.0,23650.0,8310349.0,1
2022-11-17,360.1,388.4,360.1,388.4,10.0,3150.0,1221660.0,1
2022-11-22,396.1,396.1,355.1,371.0,-4.48,49629.0,18526392.3,-1
2022-11-23,365.0,371.0,365.0,369.0,-0.54,17258.0,6342255.6,-1
2022-11-24,364.0,370.0,357.1,369.0,0.0,17640.0,6426020.0,0
2022-11-27,369.0,372.0,362.1,368.7,-0.08,15542.0,5684490.7,-1
2022-11-28,365.0,376.4,365.0,365.0,-1.0,9213.0,3405085.1,-1
2022-11-29,362.6,366.8,362.6,365.0,0.0,7570.0,2757514.0,0
2022-11-30,362.6,369.0,358.0,360.0,-1.37,5590.0,2026370.0,-1
2022-12-01,360.0,360.3,354.0,360.3,0.08,6355.0,2270793.0,1
2022-12-04,361.0,382.0,361.0,373.3,3.61,14335.0,5380183.0,1
2022-12-05,366.0,382.0,366.0,370.1,-0.86,20311.0,7524640.2,-1
2022-12-06,364.0,372.0,361.3,365.0,-1.38,7995.0,2923689.0,-1
2022-12-07,360.1,372.3,359.0,365.0,0.0,12303.0,4468939.0,0
2022-12-11,359.1,370.9,358.0,364.0,-0.27,17457.0,6348353.2,-1
2022-12-12,357.0,373.0,357.0,373.0,2.47,12190.0,4471228.7,1
2022-12-13,370.0,379.9,370.0,378.0,1.34,12480.0,4662339.0,1
2022-12-14,370.5,380.0,370.5,379.0,0.26,16964.0,6392751.0,1
2022-12-15,375.0,382.0,373.4,374.3,-1.24,6711.0,2520092.4,-1
2022-12-18,367.0,370.2,359.8,370.0,-1.15,6700.0,2462241.0,-1
2022-12-19,364.0,370.0,360.1,370.0,0.0,5916.0,2154564.0,0
2022-12-20,363.0,375.0,363.0,371.9,0.51,5703.0,2117527.3,1
2022-12-21,364.5,369.0,364.5,366.0,-1.59,2070.0,756321.0,-1
2022-12-22,361.0,368.0,361.0,367.0,0.27,5740.0,2090017.0,1
2022-12-26,362.1,380.0,362.1,376.0,2.45,5965.0,2242297.0,1
2022-12-27,376.0,388.5,371.4,376.7,0.19,16396.0,6238980.0,1
2022-12-28,371.2,384.2,371.2,378.0,0.35,6903.0,2621414.8,1
2022-12-29,385.0,403.9,377.3,402.8,6.56,16547.0,6509954.0,1
2023-01-01,408.0,441.0,402.0,425.0,5.51,22426.0,9424720.8,1
2023-01-02,416.5,445.0,410.0,437.0,2.82,11666.0,5000563.4,1
2023-01-03,429.0,445.0,423.1,427.0,-2.29,13939.0,6012699.0,-1
2023-01-04,420.6,448.0,420.6,441.0,3.28,13464.0,5837090.6,1
2023-01-05,433.0,460.0,426.3,452.0,2.49,28337.0,12570871.4,1
2023-01-08,449.9,469.0,437.0,452.0,0.0,13318.0,5958321.5,0
2023-01-09,445.0,470.2,445.0,460.0,1.77,23073.0,10613260.0,1
2023-01-10,460.0,477.0,436.1,452.8,-1.57,42009.0,19234346.0,-1
2023-01-12,451.0,470.0,424.4,432.0,-4.59,24949.0,10911178.4,-1
2023-01-17,430.0,472.0,427.0,462.0,6.94,15610.0,7034880.5,1
2023-01-18,455.0,490.0,455.0,467.0,1.08,47699.0,22599006.0,1
2023-01-19,461.0,477.0,458.0,467.0,0.0,18355.0,8572910.0,0
2023-01-23,460.0,476.3,450.2,457.0,-2.14,21511.0,9815709.5,-1
2023-01-24,447.9,454.0,443.0,451.0,-1.31,8111.0,3639859.0,-1
2023-01-25,450.0,479.0,450.0,471.0,4.43,27636.0,12926880.4,1
2023-01-26,480.4,487.0,465.0,485.0,2.97,21385.0,10289429.0,1
2023-01-29,477.0,487.5,460.9,487.0,0.41,20670.0,9928210.0,1
2023-01-30,477.3,485.0,465.9,470.0,-3.49,17465.0,8241328.5,-1
2023-01-31,461.0,479.0,456.1,470.0,0.0,16515.0,7699636.0,0
2023-02-01,461.1,473.0,461.1,471.0,0.21,5070.0,2375564.1,1
2023-02-02,462.0,469.0,454.0,457.0,-2.97,11991.0,5509936.6,-1
