published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-02-24,124.00,130.00,126.00,130.00,0.00,2480.00,314000.00,0
2014-02-25,130.00,134.00,132.00,132.00,0.00,2500.00,330800.00,0
2014-02-26,132.00,130.00,128.00,130.00,0.00,1400.00,180000.00,0
2014-03-05,130.00,136.00,132.00,136.00,0.00,1330.00,177880.00,0
2014-03-06,136.00,136.00,136.00,136.00,0.00,1000.00,136000.00,0
2014-03-09,136.00,140.00,134.00,140.00,0.00,2580.00,352200.00,0
2014-03-10,140.00,148.00,142.00,148.00,0.00,2620.00,382740.00,0
2014-03-11,148.00,159.00,150.00,159.00,0.00,1800.00,274800.00,0
2014-03-12,159.00,163.00,159.00,159.00,0.00,720.00,116450.00,0
2014-03-13,159.00,158.00,158.00,158.00,0.00,1000.00,158000.00,0
2014-03-17,158.00,161.00,157.00,157.00,0.00,2380.00,380340.00,0
2014-03-19,157.00,154.00,151.00,151.00,0.00,750.00,114570.00,0
2014-03-20,151.00,148.00,140.00,140.00,0.00,3820.00,547640.00,0
2014-03-24,140.00,138.00,136.00,136.00,0.00,810.00,111160.00,0
2014-03-25,136.00,136.00,134.00,136.00,0.00,610.00,81960.00,0
2014-03-31,136.00,134.00,134.00,134.00,0.00,310.00,41540.00,0
2014-04-01,134.00,132.00,130.00,130.00,0.00,3910.00,510780.00,0
2014-04-03,130.00,128.00,128.00,128.00,0.00,500.00,64000.00,0
2014-04-09,128.00,126.00,122.00,122.00,0.00,930.00,116200.00,0
2014-04-13,122.00,124.00,124.00,124.00,0.00,70.00,8680.00,0
2014-04-15,124.00,126.00,126.00,126.00,0.00,250.00,31500.00,0
2014-04-16,126.00,130.00,128.00,130.00,0.00,700.00,90600.00,0
2014-04-17,130.00,128.00,124.00,124.00,0.00,900.00,113550.00,0
2014-04-21,124.00,122.00,122.00,122.00,0.00,1050.00,128100.00,0
2014-04-23,122.00,124.00,124.00,124.00,0.00,1200.00,148800.00,0
2014-04-28,124.00,126.00,126.00,126.00,0.00,1000.00,126000.00,0
2014-05-05,126.00,128.00,126.00,128.00,0.00,1110.00,141860.00,0
2014-05-08,128.00,126.00,126.00,126.00,0.00,210.00,26460.00,0
2014-05-18,126.00,128.00,128.00,128.00,0.00,350.00,44800.00,0
2014-05-19,128.00,126.00,126.00,126.00,0.00,200.00,25200.00,0
2014-05-22,126.00,128.00,128.00,128.00,0.00,750.00,96000.00,0
