published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-04-10,284.3,312.7,284.3,312.7,9.99,140.0,42647.0,1
2026-04-13,312.1,343.9,312.1,343.9,9.98,230.0,77502.0,1
2026-04-15,340.6,378.2,340.6,378.2,9.97,280.0,104683.0,1
2026-04-16,372.5,416.0,372.5,416.0,9.99,200.0,81729.0,1
2026-04-17,424.3,457.6,424.3,457.6,10.0,220.0,97854.0,1
2026-04-20,471.3,526.2,471.3,526.2,14.99,380.0,198622.0,1
2026-04-21,528.7,605.1,528.7,605.1,14.99,580.0,347240.0,1
2026-04-22,623.2,695.8,623.2,695.8,14.99,780.0,540960.0,1
2026-04-23,730.5,800.1,730.5,800.1,14.99,1640.0,1309327.0,1
2026-04-24,840.1,920.1,840.1,920.1,15.0,1800.0,1652921.0,1
2026-04-27,966.1,1058.1,966.1,1058.1,15.0,4380.0,4630728.0,1
2026-04-28,1111.0,1216.8,1000.1,1002.0,-5.3,128510.0,143329950.6,-1
2026-04-29,1002.0,1002.0,891.0,902.6,-9.92,126545.0,116346783.0,-1
2026-04-30,876.0,1028.0,854.0,974.0,7.91,62190.0,57453261.0,1
2026-05-04,974.0,1003.2,902.0,905.0,-7.08,37868.0,35053018.0,-1
2026-05-05,859.8,909.4,859.8,900.0,-0.55,43463.0,38644330.5,-1
2026-05-06,875.0,898.0,855.0,865.0,-3.89,24250.0,21107580.0,-1
2026-05-07,865.0,889.0,830.4,832.0,-3.82,20929.0,17539363.8,-1
2026-05-08,830.0,888.0,825.1,856.0,2.88,27199.0,23620884.0,1
2026-05-11,860.0,895.0,860.0,867.3,1.32,29500.0,26011924.6,1
2026-05-12,867.0,896.0,833.1,839.0,-3.26,28867.0,24673471.5,-1
2026-05-13,830.0,848.9,815.0,816.0,-2.74,23200.0,19027084.6,-1
2026-05-14,815.0,828.9,792.0,797.0,-2.33,20520.0,16542168.8,-1
2026-05-15,806.0,824.0,793.0,799.0,0.25,18488.0,14869196.2,1
2026-05-18,799.0,820.0,785.0,785.1,-1.74,14531.0,11525492.7,-1
2026-05-19,780.0,790.0,760.1,768.0,-2.18,23474.0,17995523.6,-1
2026-05-20,750.4,815.0,750.4,815.0,6.12,22701.0,17994617.5,1
2026-05-21,824.0,824.0,790.2,799.0,-1.96,15845.0,12742556.3,-1
2026-05-22,765.0,822.0,765.0,815.0,2.0,27362.0,22039483.8,1
2026-05-25,815.0,860.0,810.0,848.2,4.07,41090.0,34726547.6,1
2026-05-26,848.0,853.0,826.4,832.0,-1.91,15181.0,12648689.1,-1
2026-05-27,791.1,842.9,791.1,830.0,-0.24,22973.0,19124439.8,-1
2026-06-01,825.0,829.0,790.7,797.0,-3.98,26402.0,21270788.7,-1
2026-06-02,795.0,800.0,787.0,796.6,-0.05,18633.0,14794641.6,-1
2026-06-03,792.0,815.0,778.0,783.0,-1.71,17641.0,13959296.1,-1
2026-06-04,776.1,795.0,776.1,787.0,0.51,13445.0,10582055.3,1
2026-06-05,748.2,790.0,748.2,773.0,-1.78,13831.0,10674706.5,-1
2026-06-08,745.0,775.0,745.0,758.0,-1.94,17834.0,13601418.7,-1
2026-06-09,758.0,771.9,745.0,769.0,1.45,19013.0,14365026.2,1
2026-06-10,770.0,792.0,760.0,770.0,0.13,23656.0,18417147.2,1
2026-06-11,770.0,788.0,755.4,760.0,-1.3,12395.0,9548552.6,-1
2026-06-12,758.1,770.0,750.0,753.0,-0.92,9839.0,7421683.6,-1
