published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-08-12,233.00,233.00,227.00,228.00,-2.15,64760.00,14853070.00,-1
2019-08-13,226.00,230.00,225.00,225.00,-1.32,42565.00,9667375.00,-1
2019-08-14,224.00,227.00,222.00,222.00,-1.33,44230.00,9913750.00,-1
2019-08-15,220.00,226.00,220.00,222.00,0.00,23050.00,5135680.00,0
2019-08-18,223.00,225.00,217.00,217.00,-2.25,42847.00,9371116.00,-1
2019-08-19,217.00,228.00,213.00,222.00,2.30,37300.00,8152520.00,1
2019-08-20,222.00,222.00,216.00,217.00,-2.25,34270.00,7458280.00,-1
2019-08-21,218.00,222.00,216.00,217.00,0.00,20900.00,4520780.00,0
2019-08-22,216.00,219.00,216.00,217.00,0.00,19505.00,4223655.00,0
2019-08-25,217.00,217.00,210.00,214.00,-1.38,29840.00,6348040.00,-1
2019-08-26,211.00,213.00,206.00,206.00,-3.74,32565.00,6780320.00,-1
2019-08-27,206.00,214.00,201.00,209.00,1.46,18681.00,3891326.00,1
2019-08-28,208.00,211.00,205.00,206.00,-1.44,12359.00,2550695.00,-1
2019-08-29,206.00,208.00,203.00,203.00,-1.46,16538.00,3383848.00,-1
2019-09-01,203.00,203.00,189.00,190.00,-6.40,34280.00,6743910.00,-1
2019-09-02,188.00,192.00,185.00,188.00,-1.05,24421.00,4592165.00,-1
2019-09-03,190.00,194.00,180.00,191.00,1.60,31610.00,5893474.00,1
2019-09-04,194.00,194.00,187.00,192.00,0.52,22253.00,4256443.00,1
2019-09-05,192.00,196.00,188.00,190.00,-1.04,21245.00,4030325.00,-1
2019-09-08,190.00,191.00,184.00,184.00,-3.16,10870.00,2018260.00,-1
2019-09-09,186.00,189.00,180.00,181.00,-1.63,16670.00,3039030.00,-1
2019-09-10,181.00,182.00,173.00,177.00,-2.21,26971.00,4776875.00,-1
2019-09-11,177.00,180.00,175.00,177.00,0.00,11801.00,2081248.00,0
