published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-01-25,379.0,408.7,379.0,408.7,9.99,1965.0,800489.6,1
2023-01-26,416.8,449.5,416.8,449.5,9.98,1160.0,515974.0,1
2023-01-29,458.4,494.4,458.4,494.4,9.99,1815.0,894162.1,1
2023-01-30,504.2,543.8,504.2,519.8,5.14,332697.0,176540086.6,1
2023-01-31,525.0,525.0,502.0,509.1,-2.06,132067.0,67135356.6,-1
2023-02-01,503.5,512.9,500.2,505.0,-0.81,38506.0,19455974.1,-1
2023-02-02,512.0,512.0,490.2,495.0,-1.98,53653.0,26632738.3,-1
2023-02-05,500.0,503.0,490.0,490.3,-0.95,45585.0,22592256.7,-1
2023-02-06,490.0,491.9,481.2,483.0,-1.49,28038.0,13609416.7,-1
2023-02-07,480.0,509.4,480.0,507.0,4.97,50596.0,25216231.8,1
2023-02-08,517.1,519.0,503.8,503.8,-0.63,51613.0,26372943.1,-1
2023-02-09,500.0,509.0,500.0,506.0,0.44,27221.0,13696291.4,1
2023-02-12,495.9,504.0,487.0,491.3,-2.91,40248.0,19881638.0,-1
2023-02-14,490.0,495.0,487.0,488.1,-0.65,36181.0,17721487.8,-1
2023-02-15,494.9,494.9,486.0,487.0,-0.23,28795.0,14081006.6,-1
2023-02-16,485.0,489.8,480.4,481.2,-1.19,28057.0,13567725.8,-1
2023-02-20,480.0,487.9,480.0,486.0,1.0,23780.0,11480410.6,1
2023-02-22,493.0,503.8,485.1,496.2,2.1,33192.0,16416565.3,1
2023-02-23,491.1,494.9,483.0,485.1,-2.24,36749.0,17928977.2,-1
2023-02-26,477.0,490.0,462.0,489.0,0.8,49016.0,23522808.5,1
2023-02-27,493.0,493.0,477.6,491.0,0.41,27603.0,13371533.9,1
2023-02-28,493.0,493.0,481.3,485.0,-1.22,21115.0,10303848.5,-1
2023-03-01,484.0,487.0,477.2,477.2,-1.61,23740.0,11405793.2,-1
2023-03-02,471.0,476.0,467.0,467.0,-2.14,36071.0,16927049.2,-1
2023-03-05,471.0,475.7,461.3,462.0,-1.07,22983.0,10672185.2,-1
2023-03-07,462.0,472.0,460.0,467.0,1.08,17078.0,7979467.7,1
2023-03-09,474.0,479.9,470.1,478.8,2.53,16104.0,7639464.4,1
2023-03-12,486.5,487.0,471.0,471.0,-1.63,32283.0,15409199.2,-1
2023-03-13,465.1,479.0,461.6,463.0,-1.7,18443.0,8617762.0,-1
2023-03-14,462.0,469.0,457.0,464.0,0.22,24178.0,11154293.0,1
2023-03-15,464.0,468.0,450.0,452.1,-2.56,81950.0,37132630.5,-1
2023-03-16,443.1,456.0,443.1,451.0,-0.24,19060.0,8587511.2,-1
2023-03-19,452.1,452.1,444.0,444.1,-1.53,14015.0,6248483.6,-1
2023-03-20,444.2,455.0,444.2,448.1,0.9,17402.0,7805998.1,1
2023-03-22,457.0,457.0,442.0,442.1,-1.34,25796.0,11599001.1,-1
2023-03-23,445.0,448.0,440.1,441.3,-0.18,12334.0,5452913.3,-1
2023-03-26,445.0,445.0,433.0,434.0,-1.65,14276.0,6225203.4,-1
2023-03-27,427.0,448.0,427.0,443.8,2.26,15945.0,6962166.5,1
2023-03-28,443.1,450.9,443.0,448.0,0.95,17472.0,7820230.5,1
2023-03-29,441.1,446.9,434.0,434.0,-3.13,23434.0,10295781.2,-1
2023-03-30,440.0,447.9,434.0,436.0,0.46,16104.0,7071405.0,1
2023-04-02,444.0,452.0,432.7,436.9,0.21,15253.0,6663819.8,1
2023-04-03,430.1,436.0,429.0,431.5,-1.24,12510.0,5401206.1,-1
2023-04-04,438.5,438.5,426.1,427.0,-1.04,26860.0,11527622.7,-1
2023-04-05,425.1,432.0,425.0,429.5,0.59,10607.0,4544193.9,1
2023-04-06,435.0,435.0,428.7,429.0,-0.12,14437.0,6219858.7,-1
2023-04-09,422.0,430.4,416.1,420.0,-2.1,17906.0,7530628.3,-1
2023-04-10,422.0,424.9,418.1,421.0,0.24,19816.0,8354150.0,1
2023-04-11,429.3,429.3,419.1,420.0,-0.24,15180.0,6409323.6,-1
2023-04-12,425.0,442.0,425.0,442.0,5.24,26548.0,11606705.1,1
2023-04-13,445.0,449.0,430.0,434.0,-1.81,21156.0,9293264.3,-1
2023-04-16,434.0,440.0,431.2,437.0,0.69,9753.0,4239754.3,1
2023-04-17,440.0,440.0,427.0,430.0,-1.6,13087.0,5636052.1,-1
2023-04-18,433.0,433.0,424.3,426.0,-0.93,8893.0,3789184.1,-1
2023-04-19,425.1,435.0,425.1,435.0,2.11,8040.0,3472550.6,1
2023-04-20,431.0,435.0,427.0,429.0,-1.38,7451.0,3193190.2,-1
2023-04-23,424.0,432.0,421.0,426.6,-0.56,12449.0,5259790.3,-1
2023-04-24,427.0,429.9,421.0,426.0,-0.14,32052.0,13568523.2,-1
2023-04-25,421.1,430.0,420.0,428.3,0.54,25233.0,10694651.4,1
2023-04-26,425.1,432.4,425.0,425.1,-0.75,8705.0,3715375.1,-1
2023-04-27,425.1,427.9,420.0,422.0,-0.73,18761.0,7914831.4,-1
2023-04-30,422.0,424.5,415.0,420.8,-0.28,14085.0,5888746.5,-1
2023-05-02,423.9,424.9,416.1,420.0,-0.19,11669.0,4886571.6,-1
2023-05-03,414.0,419.0,414.0,417.9,-0.5,6099.0,2536214.7,-1
2023-05-04,423.0,434.7,417.1,420.2,0.55,13563.0,5766087.7,1
2023-05-07,415.0,422.8,415.0,418.0,-0.52,8140.0,3390427.0,-1
2023-05-08,415.2,417.0,412.4,415.5,-0.6,12442.0,5153755.4,-1
2023-05-09,411.2,423.0,411.2,417.0,0.36,13401.0,5594955.8,1
2023-05-10,415.0,418.0,414.1,414.1,-0.7,7875.0,3270781.1,-1
2023-05-11,408.1,418.0,408.0,414.9,0.19,7217.0,2988374.8,1
2023-05-14,419.0,424.0,410.0,414.0,-0.22,15570.0,6474892.9,-1
2023-05-15,412.0,414.9,409.1,414.0,0.0,15168.0,6243732.0,0
2023-05-16,412.0,421.7,407.1,411.0,-0.72,12355.0,5104505.8,-1
2023-05-17,418.9,424.8,413.0,423.0,2.92,16646.0,6991241.2,1
2023-05-18,423.0,435.9,423.0,434.0,2.6,27250.0,11734620.3,1
2023-05-21,435.0,445.9,430.3,433.0,-0.23,36575.0,15972215.2,-1
2023-05-22,430.0,446.0,426.4,445.8,2.96,56040.0,24425177.0,1
2023-05-23,449.9,468.0,445.0,464.5,4.19,111353.0,51085490.1,1
2023-05-24,466.0,474.7,455.5,471.0,1.4,26524.0,12408898.3,1
2023-05-28,479.8,480.3,460.0,460.9,-2.14,66673.0,31109827.9,-1
2023-05-30,452.0,455.0,438.0,444.0,-3.67,65840.0,29215612.7,-1
2023-05-31,437.0,446.0,422.4,425.0,-4.28,60660.0,26184152.0,-1
2023-06-01,433.5,440.0,417.0,434.6,2.26,33276.0,14383865.3,1
2023-06-04,443.0,460.0,443.0,454.0,4.46,28019.0,12713063.8,1
2023-06-05,455.0,460.0,445.1,447.0,-1.54,39404.0,17792738.5,-1
2023-06-06,444.0,465.0,441.0,461.0,3.13,53478.0,24411849.1,1
2023-06-07,468.8,469.0,456.8,464.0,0.65,52090.0,24134564.0,1
2023-06-08,455.2,485.0,455.2,483.0,4.09,74260.0,35216284.9,1
2023-06-11,485.0,501.0,485.0,497.0,2.9,78546.0,38862038.5,1
2023-06-12,500.0,500.0,483.0,490.0,-1.41,73031.0,35838680.6,-1
2023-06-13,483.1,511.0,483.1,500.0,2.04,114548.0,57568193.0,1
2023-06-14,510.0,533.4,504.0,514.0,2.8,131392.0,68329091.8,1
2023-06-15,510.0,559.1,506.0,545.0,6.03,116936.0,61732738.8,1
2023-06-18,544.0,589.0,542.0,588.9,8.06,171616.0,98479964.4,1
2023-06-19,600.6,600.6,565.0,567.0,-3.72,169985.0,98167450.0,-1
2023-06-20,567.0,580.0,543.0,551.0,-2.82,159808.0,89408610.3,-1
2023-06-21,551.0,573.0,545.0,565.1,2.56,138294.0,77613647.6,1
2023-06-22,576.0,586.5,558.0,580.0,2.64,163772.0,94729925.6,1
2023-06-25,591.6,630.0,590.0,626.0,7.93,280107.0,173489853.7,1
2023-06-26,635.0,646.0,612.0,617.8,-1.31,160253.0,99697572.0,-1
