published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-01-21,505.0,505.0,505.0,505.0,0.0,1010.0,510050.0,0
2019-01-27,515.0,515.0,515.0,515.0,1.98,10.0,5150.0,1
2019-01-28,540.0,540.0,540.0,540.0,4.85,10.0,5400.0,1
2019-01-29,567.0,567.0,567.0,567.0,5.0,10.0,5670.0,1
2019-01-30,595.0,606.0,595.0,606.0,6.88,20.0,12010.0,1
2019-01-31,636.0,648.0,636.0,648.0,6.93,20.0,12840.0,1
2019-02-05,680.0,712.0,680.0,712.0,9.88,200.0,141830.0,1
2019-02-06,747.0,783.0,747.0,783.0,9.97,620.0,484810.0,1
2019-02-07,822.0,861.0,768.0,852.0,8.81,20090.0,16702960.0,1
2019-02-10,854.0,854.0,808.0,809.0,-5.05,7266.0,5933592.0,-1
2019-02-11,800.0,824.0,787.0,806.0,-0.37,3340.0,2693460.0,-1
2019-02-12,810.0,812.0,802.0,804.0,-0.25,1391.0,1121267.0,-1
2019-02-13,800.0,802.0,795.0,800.0,-0.5,2310.0,1844080.0,-1
2019-02-14,800.0,800.0,780.0,790.0,-1.25,2470.0,1948530.0,-1
2019-02-17,804.0,805.0,781.0,783.0,-0.89,1760.0,1386650.0,-1
2019-02-18,781.0,781.0,773.0,780.0,-0.38,1460.0,1133090.0,-1
2019-02-19,780.0,832.0,770.0,832.0,6.67,1000.0,793440.0,1
2019-02-20,816.0,816.0,780.0,788.0,-5.29,800.0,636320.0,-1
2019-02-21,784.0,791.0,776.0,778.0,-1.27,1957.0,1526299.0,-1
2019-02-24,764.0,786.0,759.0,786.0,1.03,3120.0,2398240.0,1
2019-02-25,799.0,799.0,769.0,784.0,-0.25,890.0,696230.0,-1
2019-02-26,785.0,786.0,771.0,772.0,-1.53,980.0,761770.0,-1
2019-02-27,772.0,798.0,765.0,775.0,0.39,1280.0,997390.0,1
2019-03-03,765.0,778.0,765.0,771.0,-0.52,520.0,401520.0,-1
2019-03-05,780.0,780.0,765.0,770.0,-0.13,810.0,623110.0,-1
2019-03-06,784.0,784.0,757.0,768.0,-0.26,2035.0,1554045.0,-1
2019-03-07,780.0,783.0,761.0,777.0,1.17,810.0,624620.0,1
2019-03-10,765.0,769.0,760.0,761.0,-2.06,150.0,114510.0,-1
2019-03-11,770.0,776.0,762.0,765.0,0.53,430.0,329510.0,1
2019-03-12,760.0,770.0,757.0,765.0,0.0,1030.0,783670.0,0
2019-03-13,765.0,767.0,755.0,758.0,-0.92,490.0,371710.0,-1
2019-03-14,758.0,765.0,751.0,764.0,0.79,1134.0,860872.0,1
2019-03-17,775.0,775.0,745.0,750.0,-1.83,1115.0,837695.0,-1
2019-03-18,740.0,754.0,740.0,741.0,-1.2,1755.0,1305085.0,-1
2019-03-19,741.0,741.0,727.0,731.0,-1.35,720.0,527980.0,-1
2019-03-21,723.0,731.0,716.0,717.0,-1.92,640.0,461360.0,-1
2019-03-24,717.0,740.0,700.0,740.0,3.21,1560.0,1120390.0,1
2019-03-26,703.0,710.0,695.0,702.0,-5.14,820.0,577240.0,-1
2019-03-27,702.0,709.0,700.0,702.0,0.0,370.0,259770.0,0
2019-03-28,700.0,708.0,699.0,700.0,-0.28,1020.0,715140.0,-1
