published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-02-25,10.0,10.33,9.99,10.29,0.0,59241.0,607999.52,0
2021-02-28,10.1,10.1,10.0,10.01,-2.72,20750.0,208136.0,-1
2021-03-01,9.95,10.1,9.82,10.1,0.9,15590.0,154795.1,1
2021-03-02,10.0,10.0,9.9,9.92,-1.78,3400.0,33824.0,-1
2021-03-03,9.92,10.0,9.89,9.89,-0.3,5400.0,53445.0,-1
2021-03-04,9.81,10.08,9.81,10.0,1.11,13110.0,130925.7,1
2021-03-07,9.81,10.0,9.81,9.9,-1.0,6090.0,60009.4,-1
2021-03-09,9.9,10.09,9.82,9.88,-0.2,17010.0,169280.7,-1
2021-03-10,9.89,10.0,9.85,9.85,-0.3,24000.0,237845.0,-1
2021-03-14,9.85,10.0,9.85,9.85,0.0,14750.0,145958.5,0
2021-03-15,9.7,10.0,9.7,9.8,-0.51,9350.0,92141.0,-1
2021-03-16,9.7,9.89,9.7,9.8,0.0,15439.0,151061.6,0
2021-03-17,9.7,9.99,9.7,9.93,1.33,9050.0,89099.5,1
2021-03-18,9.8,9.93,9.8,9.89,-0.4,16940.0,167568.8,-1
2021-03-21,9.8,9.88,9.8,9.88,-0.1,16970.0,167057.1,-1
2021-03-22,9.75,9.94,9.75,9.81,-0.71,27500.0,270282.0,-1
2021-03-23,9.85,9.85,9.7,9.84,0.31,13140.0,129017.0,1
2021-03-24,9.65,9.9,9.65,9.89,0.51,14160.0,139709.6,1
2021-03-25,10.0,10.0,9.72,9.93,0.4,52860.0,525682.0,1
2021-03-29,9.81,10.1,9.81,9.93,0.0,20090.0,200010.0,0
2021-03-30,9.8,10.0,9.74,9.9,-0.3,17009.0,167077.29,-1
2021-03-31,9.74,9.97,9.74,9.97,0.71,5010.0,49670.2,1
2021-04-01,9.78,10.05,9.78,9.96,-0.1,27550.0,275444.5,-1
2021-04-04,9.8,10.01,9.61,9.98,0.2,49932.0,495773.67,1
2021-04-05,9.8,9.9,9.8,9.89,-0.9,24294.0,238616.3,-1
2021-04-06,9.7,10.04,9.7,10.04,1.52,32940.0,325427.8,1
2021-04-07,10.0,10.0,9.81,9.95,-0.9,2100.0,20876.0,-1
2021-04-08,9.79,10.0,9.79,9.95,0.0,5895.0,58279.25,0
2021-04-12,9.76,9.89,9.76,9.85,-1.01,6650.0,65256.0,-1
2021-04-13,9.7,9.99,9.7,9.99,1.42,14600.0,143459.0,1
2021-04-15,10.0,10.04,9.68,10.01,0.2,99430.0,995117.5,1
2021-04-18,9.98,10.07,9.87,9.99,-0.2,30945.0,309873.75,-1
2021-04-19,9.83,10.0,9.83,9.9,-0.9,7470.0,74041.2,-1
2021-04-20,9.8,10.0,9.8,9.84,-0.61,16500.0,162496.0,-1
