published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-09-20,688.5,701.7,616.0,618.0,-8.44,47368.0,30025350.5,-1
2021-09-21,618.0,630.0,580.0,618.0,0.0,39957.0,24309538.0,0
2021-09-22,625.0,645.0,608.0,630.0,1.94,27893.0,17446654.7,1
2021-09-23,642.0,642.0,610.0,612.0,-2.86,29409.0,18231243.0,-1
2021-09-26,612.0,615.0,590.0,592.0,-3.27,21174.0,12569677.7,-1
2021-09-27,592.0,600.0,563.5,564.0,-4.73,22185.0,12682941.0,-1
2021-09-28,564.0,564.0,534.0,535.0,-5.14,22765.0,12389938.5,-1
2021-09-29,540.0,552.0,522.0,548.0,2.43,14159.0,7573694.5,1
2021-09-30,540.0,555.0,535.0,535.0,-2.37,16819.0,9114803.0,-1
2021-10-03,525.0,533.0,515.0,515.0,-3.74,13889.0,7213754.5,-1
2021-10-04,505.0,522.0,498.0,507.0,-1.55,11806.0,6013918.0,-1
2021-10-05,500.0,525.0,500.0,507.0,0.0,10969.0,5625642.7,0
2021-10-06,505.0,529.9,498.0,519.0,2.37,10042.0,5163784.5,1
2021-10-10,510.0,530.0,510.0,513.0,-1.16,14570.0,7594265.1,-1
2021-10-11,518.0,555.0,510.0,553.4,7.88,13470.0,7235391.4,1
2021-10-17,545.0,550.0,536.0,548.0,-0.98,5022.0,2724310.0,-1
2021-10-18,540.0,550.0,530.0,537.0,-2.01,8684.0,4650993.5,-1
2021-10-19,526.3,526.3,510.0,516.0,-3.91,11334.0,5840882.5,-1
2021-10-20,510.0,538.5,510.0,520.0,0.78,12141.0,6311282.0,1
2021-10-21,530.0,530.1,511.0,514.0,-1.15,10829.0,5584919.0,-1
2021-10-24,510.0,515.0,510.0,510.0,-0.78,10055.0,5144677.5,-1
2021-10-25,510.0,528.0,510.0,528.0,3.53,11378.0,5941013.2,1
2021-10-26,528.0,554.8,528.0,551.0,4.36,14381.0,7820721.0,1
2021-10-27,540.0,602.0,540.0,570.0,3.45,24056.0,13576476.0,1
2021-10-28,570.0,570.0,550.0,559.0,-1.93,14170.0,7941178.0,-1
2021-10-31,555.0,575.5,554.0,575.0,2.86,14710.0,8283459.0,1
2021-11-01,580.0,584.0,562.0,568.0,-1.22,11316.0,6466918.0,-1
2021-11-02,560.0,579.0,557.0,571.0,0.53,13358.0,7580482.2,1
2021-11-03,577.4,585.0,570.0,575.0,0.7,14706.0,8493646.5,1
2021-11-08,575.0,576.0,566.0,570.0,-0.87,11528.0,6564844.0,-1
2021-11-09,558.6,565.0,537.1,543.1,-4.72,17574.0,9658255.9,-1
2021-11-11,543.0,543.0,520.1,529.5,-2.5,10660.0,5619624.0,-1
2021-11-14,520.0,530.0,512.0,522.0,-1.42,14682.0,7635208.9,-1
2021-11-15,511.7,530.0,511.7,528.0,1.15,16665.0,8742282.5,1
2021-11-16,538.5,560.0,522.1,555.0,5.11,25677.0,14046768.0,1
2021-11-17,545.0,565.0,545.0,546.1,-1.6,18903.0,10468773.0,-1
2021-11-18,545.0,555.0,534.9,543.0,-0.57,15448.0,8330200.1,-1
2021-11-21,535.0,538.0,527.0,528.1,-2.74,12375.0,6571597.0,-1
2021-11-22,521.0,535.0,520.0,529.0,0.17,13136.0,6941127.6,1
2021-11-23,521.0,529.0,518.2,520.0,-1.7,11153.0,5816655.0,-1
2021-11-24,511.0,523.0,506.2,520.0,0.0,15039.0,7766996.9,0
2021-11-25,510.0,520.0,510.0,519.0,-0.19,9434.0,4872292.0,-1
2021-11-28,508.7,520.0,495.0,507.0,-2.31,16345.0,8237416.0,-1
2021-11-29,497.0,510.0,497.0,500.0,-1.38,12780.0,6413871.0,-1
2021-11-30,490.2,505.0,490.2,500.1,0.02,8776.0,4377601.0,1
2021-12-01,500.1,510.0,498.0,503.0,0.58,6502.0,3259279.0,1
2021-12-02,510.0,510.0,495.0,495.1,-1.57,7894.0,3928085.5,-1
2021-12-05,496.0,500.0,472.0,475.0,-4.06,13407.0,6435181.0,-1
2021-12-06,475.0,481.0,460.0,478.0,0.63,12284.0,5757192.5,1
2021-12-07,470.0,494.0,470.0,480.0,0.42,10016.0,4850337.4,1
2021-12-08,485.0,485.0,468.0,471.0,-1.88,5877.0,2778124.3,-1
2021-12-09,463.0,470.0,457.0,464.9,-1.3,7180.0,3311904.0,-1
2021-12-12,460.0,460.0,441.0,441.0,-5.14,9765.0,4387903.0,-1
2021-12-13,433.1,434.5,424.4,428.0,-2.95,10004.0,4308069.0,-1
2021-12-14,430.0,453.9,430.0,453.0,5.84,4255.0,1896407.0,1
2021-12-15,462.0,480.0,448.1,448.5,-0.99,13047.0,6003567.5,-1
2021-12-16,441.0,442.0,433.0,441.0,-1.67,7646.0,3358501.4,-1
2021-12-20,435.0,441.0,430.7,435.0,-1.36,6260.0,2718942.3,-1
2021-12-21,427.0,444.0,427.0,443.0,1.84,7755.0,3406484.0,1
2021-12-22,441.0,468.0,441.0,465.0,4.97,14021.0,6441155.8,1
2021-12-23,460.3,493.0,456.1,487.0,4.73,18998.0,9121089.5,1
2021-12-26,486.0,535.7,484.0,535.7,10.0,53959.0,28166311.8,1
2021-12-27,546.4,575.0,516.1,518.1,-3.29,57000.0,31293124.3,-1
2021-12-28,507.8,518.5,500.0,513.0,-0.98,11579.0,5929142.0,-1
2021-12-29,513.0,520.0,506.0,515.0,0.39,9993.0,5137808.3,1
2022-01-02,510.0,528.3,504.7,525.0,1.94,16952.0,8798683.0,1
2022-01-03,515.0,540.0,515.0,529.0,0.76,19641.0,10395879.5,1
2022-01-04,539.0,539.0,519.0,531.1,0.4,15704.0,8338253.2,1
2022-01-05,531.0,537.9,525.1,528.0,-0.58,17620.0,9334137.7,-1
2022-01-06,520.1,530.0,516.2,528.0,0.0,18240.0,9548304.5,0
2022-01-09,525.0,541.4,525.0,540.0,2.27,29322.0,15715559.4,1
2022-01-10,549.8,549.9,532.0,541.0,0.19,20822.0,11248713.8,1
2022-01-11,535.0,581.0,535.0,569.0,5.18,71630.0,40736534.7,1
2022-01-12,557.7,572.0,550.1,557.0,-2.11,26093.0,14629579.7,-1
2022-01-13,568.0,568.0,550.0,566.0,1.62,26846.0,15053533.0,1
2022-01-16,565.0,587.0,565.0,572.3,1.11,33327.0,19209957.3,1
2022-01-17,563.0,575.0,563.0,568.1,-0.73,22447.0,12778465.4,-1
2022-01-18,557.1,575.0,550.0,555.0,-2.31,30639.0,17049119.5,-1
2022-01-19,561.0,566.0,545.0,545.9,-1.64,23626.0,12978734.5,-1
2022-01-20,535.0,566.0,535.0,559.9,2.56,28580.0,15797642.0,1
2022-01-23,560.0,603.0,560.0,596.0,6.45,134927.0,79724973.3,1
2022-01-24,599.0,605.0,574.2,577.0,-3.19,83702.0,49118263.3,-1
2022-01-25,577.0,590.0,566.0,575.0,-0.35,31687.0,18339395.2,-1
2022-01-26,564.2,575.0,558.0,562.0,-2.26,25277.0,14230802.0,-1
