published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-14,113.00,115.00,113.00,113.00,0.00,170.00,19350.00,0
2011-06-15,113.00,112.00,111.00,112.00,0.00,370.00,41410.00,0
2011-06-16,112.00,123.00,113.00,123.00,0.00,310.00,36110.00,0
2011-06-19,123.00,129.00,125.00,129.00,0.00,180.00,23040.00,0
2011-06-20,123.00,129.00,125.00,129.00,0.00,180.00,23040.00,0
2011-06-21,135.00,133.00,133.00,133.00,0.00,30.00,3990.00,0
2011-06-23,133.00,140.00,134.00,140.00,0.00,790.00,107960.00,0
2011-06-29,140.00,133.00,129.00,129.00,0.00,590.00,77250.00,0
2011-07-04,129.00,131.00,129.00,131.00,0.00,1070.00,140090.00,0
2011-07-11,131.00,129.00,129.00,129.00,0.00,30.00,3870.00,0
2011-07-12,129.00,129.00,127.00,127.00,0.00,210.00,26870.00,0
2011-07-13,127.00,130.00,128.00,128.00,0.00,620.00,79540.00,0
2011-07-14,128.00,130.00,126.00,127.00,0.00,490.00,62740.00,0
2011-07-19,127.00,125.00,121.00,123.00,0.00,400.00,49660.00,0
2011-07-20,123.00,127.00,125.00,127.00,0.00,120.00,15060.00,0
2011-07-21,127.00,127.00,123.00,127.00,0.00,390.00,49050.00,0
2011-07-24,127.00,126.00,124.00,126.00,0.00,670.00,83940.00,0
2011-07-26,126.00,125.00,125.00,125.00,0.00,30.00,3750.00,0
2011-07-27,125.00,126.00,125.00,125.00,0.00,670.00,83850.00,0
2011-07-28,125.00,125.00,125.00,125.00,0.00,520.00,65000.00,0
2011-07-31,125.00,125.00,124.00,124.00,0.00,270.00,33540.00,0
2011-08-01,124.00,125.00,123.00,124.00,0.00,330.00,41080.00,0
2011-08-02,124.00,123.00,121.00,123.00,0.00,330.00,40530.00,0
2011-08-03,123.00,122.00,122.00,122.00,0.00,90.00,10980.00,0
2011-08-04,122.00,120.00,120.00,120.00,0.00,390.00,46800.00,0
2011-08-07,120.00,120.00,117.00,120.00,0.00,1050.00,124680.00,0
2011-08-08,120.00,120.00,116.00,118.00,0.00,340.00,39900.00,0
2011-08-09,118.00,120.00,117.00,120.00,0.00,760.00,90790.00,0
2011-08-10,120.00,124.00,121.00,124.00,0.00,190.00,23250.00,0
2011-08-11,124.00,123.00,122.00,122.00,0.00,380.00,46560.00,0
2011-08-15,122.00,125.00,121.00,125.00,0.00,260.00,32320.00,0
2011-08-16,125.00,123.00,123.00,123.00,0.00,160.00,19680.00,0
2011-08-17,123.00,123.00,123.00,123.00,0.00,410.00,50430.00,0
2011-08-22,123.00,121.00,121.00,121.00,0.00,640.00,77440.00,0
2011-08-23,121.00,120.00,120.00,120.00,0.00,550.00,66000.00,0
2011-08-25,120.00,120.00,116.00,120.00,0.00,1110.00,131190.00,0
2011-08-28,120.00,120.00,116.00,116.00,0.00,3710.00,438160.00,0
2011-09-01,116.00,114.00,114.00,114.00,0.00,70.00,7980.00,0
2011-09-04,114.00,116.00,114.00,114.00,0.00,820.00,94250.00,0
2011-09-05,114.00,116.00,115.00,115.00,0.00,700.00,80650.00,0
2011-09-06,115.00,118.00,115.00,118.00,0.00,1050.00,123090.00,0
2011-09-07,118.00,117.00,116.00,117.00,0.00,540.00,62970.00,0
2011-09-08,117.00,117.00,116.00,117.00,0.00,1000.00,116360.00,0
2011-09-12,117.00,117.00,115.00,117.00,0.00,240.00,28020.00,0
2011-09-14,117.00,117.00,117.00,117.00,0.00,160.00,18720.00,0
2011-09-15,117.00,115.00,115.00,115.00,0.00,180.00,20700.00,0
2011-09-18,115.00,115.00,114.00,114.00,0.00,180.00,20640.00,0
2011-09-19,114.00,113.00,112.00,113.00,0.00,170.00,19150.00,0
2011-09-20,113.00,115.00,112.00,112.00,0.00,390.00,44340.00,0
2011-09-21,112.00,112.00,111.00,112.00,0.00,170.00,18960.00,0
2011-09-22,112.00,114.00,112.00,114.00,0.00,60.00,6780.00,0
2011-09-25,114.00,115.00,115.00,115.00,0.00,210.00,24150.00,0
2011-09-26,115.00,118.00,116.00,118.00,0.00,300.00,35070.00,0
2011-09-27,118.00,117.00,117.00,117.00,0.00,90.00,10530.00,0
2011-09-29,117.00,117.00,117.00,117.00,0.00,150.00,17550.00,0
2011-10-09,117.00,115.00,115.00,115.00,0.00,30.00,3450.00,0
2011-10-10,115.00,118.00,116.00,118.00,0.00,60.00,7020.00,0
2011-10-12,118.00,118.00,118.00,118.00,0.00,150.00,17700.00,0
2011-10-13,118.00,118.00,116.00,116.00,0.00,140.00,16400.00,0
2011-10-17,116.00,116.00,116.00,116.00,0.00,60.00,6960.00,0
2011-10-18,116.00,118.00,116.00,116.00,0.00,120.00,14040.00,0
2011-10-19,116.00,117.00,115.00,117.00,0.00,450.00,52140.00,0
2011-10-20,117.00,116.00,114.00,114.00,0.00,180.00,20820.00,0
2011-10-23,114.00,115.00,113.00,113.00,0.00,390.00,44550.00,0
2011-10-24,113.00,114.00,111.00,112.00,0.00,440.00,49580.00,0
2011-10-25,112.00,114.00,112.00,114.00,0.00,540.00,61140.00,0
2011-10-30,114.00,116.00,112.00,112.00,0.00,1420.00,164510.00,0
2011-10-31,112.00,119.00,114.00,119.00,0.00,560.00,65280.00,0
2011-11-02,119.00,129.00,121.00,129.00,0.00,170.00,21170.00,0
2011-11-03,129.00,127.00,125.00,125.00,0.00,80.00,10100.00,0
2011-11-06,125.00,123.00,123.00,123.00,0.00,270.00,33210.00,0
2011-11-08,123.00,121.00,121.00,121.00,0.00,150.00,18150.00,0
2011-11-09,121.00,120.00,117.00,120.00,0.00,290.00,34510.00,0
2011-11-13,120.00,118.00,115.00,115.00,0.00,720.00,83580.00,0
2011-11-14,115.00,114.00,114.00,114.00,0.00,60.00,6840.00,0
2011-11-15,114.00,114.00,112.00,114.00,0.00,630.00,71280.00,0
2011-11-17,114.00,114.00,114.00,114.00,0.00,80.00,9120.00,0
2011-11-20,114.00,114.00,110.00,110.00,0.00,730.00,81750.00,0
2011-11-21,110.00,111.00,109.00,111.00,0.00,360.00,39420.00,0
2011-11-23,111.00,114.00,112.00,114.00,0.00,720.00,80980.00,0
2011-11-24,114.00,115.00,113.00,115.00,0.00,1160.00,132620.00,0
2011-11-27,115.00,113.00,113.00,113.00,0.00,40.00,4520.00,0
2011-12-01,114.00,115.00,115.00,115.00,0.00,340.00,39100.00,0
2011-12-05,115.00,113.00,113.00,113.00,0.00,60.00,6780.00,0
2011-12-06,113.00,111.00,109.00,109.00,0.00,130.00,14270.00,0
2011-12-11,109.00,111.00,111.00,111.00,0.00,30.00,3330.00,0
2011-12-12,111.00,112.00,110.00,110.00,0.00,210.00,23280.00,0
2011-12-13,110.00,110.00,107.00,107.00,0.00,430.00,46820.00,0
2011-12-14,107.00,110.00,109.00,110.00,0.00,60.00,6570.00,0
2011-12-15,110.00,111.00,108.00,109.00,0.00,840.00,91940.00,0
2011-12-18,109.00,110.00,108.00,108.00,0.00,230.00,25020.00,0
2011-12-19,108.00,107.00,107.00,107.00,0.00,60.00,6420.00,0
2011-12-20,107.00,108.00,106.00,108.00,0.00,80.00,8540.00,0
2011-12-21,108.00,109.00,108.00,108.00,0.00,190.00,20550.00,0
2011-12-22,108.00,111.00,110.00,111.00,0.00,210.00,23280.00,0
2012-01-02,111.00,109.00,108.00,108.00,0.00,210.00,22830.00,0
2012-01-03,108.00,112.00,109.00,112.00,0.00,380.00,41950.00,0
2012-01-05,112.00,110.00,108.00,108.00,0.00,510.00,55590.00,0
2012-01-09,108.00,106.00,106.00,106.00,0.00,30.00,3180.00,0
2012-01-10,108.00,109.00,104.00,109.00,0.00,1440.00,153970.00,0
2012-01-12,109.00,110.00,109.00,110.00,0.00,300.00,32970.00,0
2012-01-16,110.00,110.00,107.00,109.00,0.00,1060.00,115040.00,0
2012-01-19,109.00,110.00,110.00,110.00,0.00,30.00,3300.00,0
2012-01-22,110.00,110.00,108.00,108.00,0.00,430.00,47240.00,0
2012-01-23,108.00,107.00,102.00,105.00,0.00,210.00,21930.00,0
2012-01-25,105.00,107.00,106.00,107.00,0.00,350.00,37370.00,0
2012-01-26,107.00,109.00,106.00,107.00,0.00,1100.00,118390.00,0
2012-01-29,107.00,107.00,106.00,106.00,0.00,760.00,80600.00,0
2012-01-31,106.00,106.00,106.00,106.00,0.00,130.00,13780.00,0
2012-02-01,106.00,108.00,106.00,106.00,0.00,390.00,41400.00,0
2012-02-02,106.00,106.00,105.00,106.00,0.00,270.00,28560.00,0
2012-02-05,106.00,108.00,106.00,106.00,0.00,270.00,28680.00,0
2012-02-06,106.00,106.00,106.00,106.00,0.00,1390.00,147340.00,0
2012-02-07,106.00,108.00,108.00,108.00,0.00,140.00,15120.00,0
2012-02-08,108.00,116.00,110.00,111.00,0.00,1000.00,111480.00,0
2012-02-09,111.00,112.00,111.00,112.00,0.00,340.00,37770.00,0
2012-02-12,112.00,116.00,114.00,116.00,0.00,60.00,6900.00,0
2012-02-13,116.00,118.00,105.00,107.00,0.00,2070.00,228710.00,0
2012-02-14,107.00,110.00,108.00,110.00,0.00,330.00,36210.00,0
2012-02-15,110.00,112.00,110.00,110.00,0.00,180.00,19980.00,0
2012-02-16,110.00,109.00,108.00,108.00,0.00,490.00,53320.00,0
2012-02-21,108.00,112.00,108.00,112.00,0.00,1430.00,159920.00,0
2012-02-23,112.00,110.00,109.00,110.00,0.00,450.00,49170.00,0
2012-02-26,110.00,110.00,108.00,110.00,0.00,360.00,39360.00,0
2012-02-27,110.00,110.00,108.00,110.00,0.00,280.00,30710.00,0
2012-02-28,110.00,111.00,111.00,111.00,0.00,1240.00,137640.00,0
2012-02-29,111.00,111.00,110.00,110.00,0.00,600.00,66030.00,0
2012-03-01,110.00,110.00,110.00,110.00,0.00,540.00,59400.00,0
2012-03-05,110.00,112.00,110.00,110.00,0.00,90.00,9960.00,0
2012-03-06,110.00,110.00,110.00,110.00,0.00,90.00,9900.00,0
2012-03-11,110.00,110.00,110.00,110.00,0.00,220.00,24200.00,0
2012-03-12,110.00,111.00,110.00,110.00,0.00,180.00,19860.00,0
2012-03-13,110.00,109.00,108.00,109.00,0.00,250.00,27040.00,0
2012-03-14,109.00,109.00,109.00,109.00,0.00,600.00,65400.00,0
2012-03-15,109.00,111.00,109.00,111.00,0.00,160.00,17680.00,0
2012-03-18,111.00,112.00,109.00,110.00,0.00,2770.00,308040.00,0
2012-03-19,110.00,110.00,110.00,110.00,0.00,200.00,22000.00,0
2012-03-20,110.00,110.00,109.00,110.00,0.00,310.00,33960.00,0
2012-03-21,110.00,112.00,110.00,112.00,0.00,1510.00,168060.00,0
2012-03-25,112.00,113.00,112.00,113.00,0.00,1150.00,129000.00,0
2012-03-26,113.00,111.00,111.00,111.00,0.00,120.00,13320.00,0
2012-03-27,111.00,111.00,111.00,111.00,0.00,70.00,7770.00,0
2012-03-28,111.00,114.00,110.00,110.00,0.00,360.00,39900.00,0
2012-03-29,110.00,114.00,106.00,110.00,0.00,1660.00,185080.00,0
2012-04-01,110.00,112.00,110.00,110.00,0.00,390.00,43200.00,0
2012-04-02,110.00,112.00,112.00,112.00,0.00,30.00,3360.00,0
2012-04-03,112.00,112.00,112.00,112.00,0.00,520.00,58240.00,0
2012-04-04,112.00,112.00,112.00,112.00,0.00,490.00,54880.00,0
2012-04-05,112.00,113.00,112.00,112.00,0.00,400.00,44830.00,0
2012-04-08,112.00,112.00,112.00,112.00,0.00,60.00,6720.00,0
2012-04-09,112.00,112.00,112.00,112.00,0.00,170.00,19040.00,0
2012-04-11,112.00,114.00,114.00,114.00,0.00,80.00,9120.00,0
2012-04-12,114.00,115.00,112.00,112.00,0.00,1300.00,149350.00,0
2012-04-18,112.00,114.00,114.00,114.00,0.00,30.00,3420.00,0
2012-04-19,114.00,112.00,112.00,112.00,0.00,80.00,8960.00,0
2012-04-22,112.00,118.00,114.00,118.00,0.00,260.00,30000.00,0
2012-04-24,118.00,120.00,120.00,120.00,0.00,60.00,7200.00,0
2012-04-25,120.00,122.00,122.00,122.00,0.00,30.00,3660.00,0
2012-04-26,122.00,134.00,128.00,134.00,0.00,260.00,33520.00,0
