published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-07-26,403.0,411.0,411.0,411.0,0.0,9.0,3699.0,0
2017-07-27,403.0,411.0,411.0,411.0,0.0,1.0,411.0,0
2017-08-15,403.0,411.0,411.0,411.0,0.0,10.0,4110.0,0
2017-08-20,411.0,419.0,419.0,419.0,0.0,1000.0,419000.0,0
2017-08-28,419.0,427.0,427.0,427.0,0.0,10.0,4270.0,0
2017-09-10,427.0,448.0,448.0,448.0,0.0,10.0,4480.0,0
2017-09-20,448.0,456.0,456.0,456.0,0.0,10.0,4560.0,0
2017-11-05,456.0,501.0,465.0,501.0,0.0,130.0,64230.0,0
2017-11-09,501.0,551.0,511.0,551.0,0.0,130.0,70630.0,0
2017-11-13,551.0,562.0,562.0,562.0,0.0,10.0,5620.0,0
2017-11-15,551.0,573.0,562.0,573.0,0.0,60.0,33830.0,0
2017-11-27,478.0,487.0,487.0,487.0,0.0,10.0,4870.0,0
2017-12-18,487.0,511.0,511.0,511.0,0.0,10.0,5110.0,0
2017-12-19,511.0,536.0,536.0,536.0,0.0,10.0,5360.0,0
2018-01-01,536.0,562.0,562.0,562.0,0.0,10.0,5620.0,0
2018-02-04,562.0,590.0,590.0,590.0,0.0,10.0,5900.0,0
2018-03-18,0.0,0.0,0.0,0.0,0.0,20.0,12020.0,0
2018-03-29,494.56,505.8,494.56,590.0,0.0,201.0,100160.0,0
2018-04-03,619.0,619.0,619.0,619.0,4.92,10.0,6190.0,1
2018-05-02,631.0,655.0,631.0,655.0,5.82,30.0,19290.0,1
2018-05-03,668.0,694.0,668.0,694.0,5.95,30.0,20430.0,1
2018-05-06,707.0,721.0,707.0,721.0,3.89,20.0,14280.0,1
2018-05-07,735.0,749.0,735.0,749.0,3.88,20.0,14840.0,1
2018-05-08,763.0,793.0,763.0,793.0,5.87,30.0,23340.0,1
2018-05-09,808.0,824.0,808.0,824.0,3.91,20.0,16320.0,1
2018-05-10,840.0,873.0,840.0,873.0,5.95,30.0,25690.0,1
2018-05-14,890.0,890.0,890.0,890.0,1.95,10.0,8900.0,1
2018-05-16,907.0,907.0,907.0,907.0,1.91,10.0,9070.0,1
2018-05-17,952.0,952.0,952.0,952.0,4.96,10.0,9520.0,1
2018-05-20,971.0,990.0,971.0,990.0,3.99,34.0,33470.0,1
2018-05-21,1009.0,1009.0,1009.0,1009.0,1.92,10.0,10090.0,1
2018-05-23,1029.0,1029.0,1029.0,1029.0,1.98,79.0,124238.0,1
2018-05-27,1049.0,1049.0,1049.0,1049.0,1.94,12.0,12588.0,1
2018-05-28,1069.0,1111.0,1069.0,1111.0,5.91,32.0,34838.0,1
2018-05-29,1166.0,1189.0,1166.0,1189.0,7.02,24.0,28260.0,1
2018-06-04,1212.0,1212.0,1212.0,1212.0,1.93,14.0,16968.0,1
2018-06-07,1236.0,1260.0,1236.0,1260.0,3.96,24.0,29952.0,1
2018-06-10,1285.0,1336.0,1285.0,1336.0,6.03,46.0,60946.0,1
2018-06-11,1362.0,1416.0,1362.0,1416.0,5.99,44.0,61514.0,1
2018-06-12,1444.0,1444.0,1444.0,1444.0,1.98,316.0,503728.0,1
2018-06-13,1472.0,1501.0,1472.0,1501.0,3.95,24.0,35736.0,1
