published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-04-05,313.0,313.0,313.0,313.0,1.95,10.0,3130.0,1
2018-04-08,319.0,325.0,319.0,325.0,3.83,20.0,6440.0,1
2018-04-09,331.0,337.0,331.0,337.0,3.69,20.0,6680.0,1
2018-04-10,343.0,349.0,343.0,349.0,3.56,20.0,6920.0,1
2018-04-11,355.0,362.0,355.0,362.0,3.72,20.0,7170.0,1
2018-04-12,369.0,376.0,369.0,376.0,3.87,20.0,7450.0,1
2018-04-15,383.0,390.0,383.0,390.0,3.72,20.0,7730.0,1
2018-04-23,397.0,412.0,397.0,412.0,5.64,30.0,12130.0,1
2018-05-06,432.0,432.0,432.0,432.0,4.85,20.0,8720.0,1
2018-05-09,440.0,448.0,440.0,448.0,3.7,20.0,8880.0,1
2018-05-10,456.0,474.0,456.0,474.0,5.8,40.0,18780.0,1
2018-05-14,483.0,483.0,483.0,483.0,-1.89,20.0,9660.0,-1
2018-05-20,497.0,521.0,497.0,521.0,9.92,50.0,25610.0,1
2018-05-21,531.0,531.0,531.0,531.0,1.92,10.0,5310.0,1
2018-05-24,557.0,557.0,557.0,557.0,4.9,10.0,5570.0,1
2018-06-10,568.0,601.0,568.0,601.0,7.9,40.0,23380.0,1
2018-06-11,613.0,613.0,613.0,613.0,1.99,10.0,6130.0,1
2018-06-12,369.0,376.0,369.0,376.0,3.86,20.0,7450.0,1
2018-06-13,613.0,613.0,613.0,613.0,2.0,10.0,6130.0,1
2018-06-17,625.0,649.0,625.0,649.0,5.87,30.0,19110.0,1
2018-06-20,661.0,661.0,661.0,661.0,1.84,10.0,6610.0,1
2018-06-24,661.0,661.0,661.0,661.0,1.84,10.0,6610.0,1
2018-06-27,661.0,661.0,661.0,661.0,1.85,10.0,6610.0,1
2018-06-28,674.0,674.0,674.0,674.0,1.97,10.0,6740.0,1
2018-07-03,687.0,687.0,687.0,687.0,1.93,10.0,6870.0,1
2018-07-05,700.0,700.0,700.0,700.0,1.89,10.0,7000.0,1
2018-07-08,714.0,714.0,714.0,714.0,2.0,10.0,7140.0,1
2018-07-10,728.0,728.0,727.0,727.0,1.82,10.0,7279.0,1
2018-07-12,749.0,763.0,749.0,763.0,6.86,20.0,15120.0,1
2018-07-15,801.0,817.0,801.0,817.0,7.08,20.0,16180.0,1
2018-07-22,833.0,833.0,833.0,833.0,1.96,10.0,8330.0,1
2018-07-23,849.0,849.0,849.0,849.0,1.92,10.0,8490.0,1
2018-07-25,874.0,916.0,874.0,916.0,9.96,70.0,62110.0,1
2018-07-26,934.0,934.0,934.0,934.0,1.97,10.0,9340.0,1
2018-08-06,980.0,1027.0,980.0,1027.0,9.96,70.0,71050.0,1
2018-08-07,1078.0,1129.0,1078.0,1129.0,9.93,110.0,122780.0,1
2018-08-08,1185.0,1241.0,1185.0,1241.0,9.92,360.0,445780.0,1
2018-08-09,1303.0,1365.0,1140.0,1143.0,-7.9,8017.0,9953165.0,-1
2018-08-12,1121.0,1121.0,1029.0,1029.0,-9.97,80.0,85770.0,-1
2018-08-13,1009.0,1009.0,927.0,927.0,-9.91,120.0,113400.0,-1
2018-08-14,909.0,927.0,835.0,910.0,-1.83,2210.0,1988720.0,-1
2018-08-15,892.0,909.0,875.0,903.0,-0.77,1090.0,965330.0,-1
2018-08-16,905.0,925.0,890.0,896.0,-0.78,1330.0,1208250.0,-1
2018-08-19,880.0,880.0,864.0,864.0,-3.57,570.0,494560.0,-1
2018-08-20,850.0,850.0,815.0,823.0,-4.75,750.0,620610.0,-1
2018-08-21,815.0,817.0,791.0,812.0,-1.34,430.0,348680.0,-1
2018-08-22,800.0,815.0,800.0,804.0,-0.99,430.0,346830.0,-1
2018-08-23,820.0,820.0,792.0,792.0,-1.49,240.0,192020.0,-1
2018-08-26,779.0,794.0,777.0,790.0,-0.25,665.0,524060.0,-1
2018-08-28,780.0,788.0,769.0,788.0,-0.25,1087.0,855156.0,-1
2018-08-29,773.0,800.0,772.0,800.0,1.52,910.0,708380.0,1
2018-08-30,800.0,820.0,800.0,806.0,0.75,344.0,279750.0,1
2018-09-02,815.0,815.0,784.0,802.0,-0.5,479.0,385848.0,-1
2018-09-03,818.0,845.0,802.0,820.0,2.24,950.0,781220.0,1
2018-09-04,836.0,836.0,805.0,810.0,-1.22,100.0,81770.0,-1
2018-09-05,815.0,839.0,814.0,814.0,0.49,830.0,679150.0,1
2018-09-06,820.0,850.0,820.0,822.0,0.98,1540.0,1287930.0,1
2018-09-09,807.0,822.0,807.0,810.0,-1.46,130.0,105470.0,-1
2018-09-10,810.0,888.0,810.0,888.0,9.63,1717.0,1451305.0,1
2018-09-11,902.0,920.0,882.0,899.0,1.24,1590.0,1431720.0,1
2018-09-12,915.0,915.0,883.0,905.0,0.67,560.0,503530.0,1
2018-09-13,887.0,905.0,887.0,890.0,-1.66,80.0,71540.0,-1
2018-09-16,890.0,900.0,873.0,900.0,1.12,200.0,177660.0,1
2018-09-17,883.0,883.0,882.0,882.0,-2.0,40.0,35310.0,-1
2018-09-18,899.0,899.0,866.0,875.0,-0.79,214.0,189000.0,-1
2018-09-20,875.0,875.0,861.0,865.0,-1.14,80.0,69390.0,-1
2018-09-23,863.0,888.0,855.0,872.0,0.81,320.0,280340.0,1
2018-09-25,889.0,889.0,888.0,889.0,1.95,40.0,35550.0,1
2018-09-26,872.0,872.0,855.0,861.0,-3.15,70.0,60490.0,-1
2018-09-27,861.0,879.0,860.0,860.0,-0.12,175.0,151700.0,-1
2018-09-30,852.0,852.0,824.0,842.0,-2.09,200.0,167850.0,-1
2018-10-01,858.0,858.0,827.0,827.0,-1.78,160.0,134560.0,-1
2018-10-02,827.0,839.0,817.0,817.0,-1.21,110.0,90650.0,-1
2018-10-03,802.0,830.0,802.0,816.0,-0.12,170.0,138070.0,-1
2018-10-04,801.0,836.0,801.0,821.0,0.61,1000.0,820210.0,1
2018-10-07,837.0,837.0,806.0,837.0,1.95,870.0,724550.0,1
2018-10-08,821.0,837.0,808.0,820.0,-2.03,300.0,246050.0,-1
2018-10-09,805.0,814.0,802.0,802.0,-2.2,210.0,168890.0,-1
2018-10-10,800.0,801.0,791.0,801.0,-0.12,130.0,103750.0,-1
2018-10-11,800.0,810.0,790.0,810.0,1.12,190.0,151700.0,1
2018-10-14,801.0,826.0,801.0,807.0,-0.37,330.0,267480.0,-1
2018-10-15,795.0,803.0,795.0,803.0,-0.5,70.0,56110.0,-1
2018-10-29,803.0,803.0,762.0,763.0,-4.98,150.0,116980.0,-1
2018-10-30,752.0,767.0,752.0,755.0,-1.05,160.0,120770.0,-1
2018-10-31,741.0,745.0,724.0,729.0,-3.44,813.0,595373.0,-1
2018-11-01,729.0,755.0,729.0,755.0,3.57,1067.0,787962.0,1
2018-11-04,740.0,748.0,734.0,735.0,-2.65,90.0,66620.0,-1
2018-11-05,735.0,763.0,735.0,751.0,2.18,183.0,137533.0,1
2018-11-06,751.0,735.0,735.0,730.0,-2.8,10.0,7300.0,-1
2018-11-11,730.0,744.0,730.0,744.0,1.92,10.0,7440.0,1
2018-11-12,750.0,758.0,743.0,743.0,-0.13,260.0,196500.0,-1
2018-11-13,743.0,743.0,743.0,743.0,0.0,40.0,29720.0,0
2018-11-14,729.0,757.0,729.0,757.0,1.88,80.0,59000.0,1
2018-11-15,750.0,750.0,742.0,742.0,-1.98,150.0,111380.0,-1
2018-11-18,743.0,750.0,699.0,699.0,-5.8,150.0,109180.0,-1
2018-11-19,688.0,700.0,688.0,691.0,-1.14,80.0,55410.0,-1
2018-11-20,691.0,691.0,685.0,690.0,-0.14,110.0,75860.0,-1
2018-11-21,690.0,703.0,682.0,686.0,-0.58,80.0,55460.0,-1
2018-11-22,673.0,690.0,665.0,677.0,-1.31,130.0,87450.0,-1
2018-11-25,664.0,665.0,645.0,650.0,-3.99,90.0,59000.0,-1
2018-11-26,640.0,642.0,637.0,637.0,-2.0,100.0,63930.0,-1
2018-11-27,635.0,635.0,630.0,631.0,-0.94,620.0,393550.0,-1
2018-11-28,635.0,640.0,633.0,633.0,0.32,90.0,57210.0,1
2018-11-29,633.0,640.0,621.0,630.0,-0.47,260.0,162910.0,-1
2018-12-02,630.0,630.0,618.0,630.0,0.0,640.0,402420.0,0
2018-12-03,639.0,651.0,626.0,626.0,-0.63,220.0,142310.0,-1
2018-12-04,626.0,626.0,596.0,596.0,-4.79,100.0,60850.0,-1
2018-12-05,596.0,596.0,561.0,562.0,-5.7,120.0,69730.0,-1
2018-12-06,551.0,551.0,541.0,551.0,-1.96,70.0,38470.0,-1
2018-12-09,555.0,573.0,555.0,573.0,3.99,180.0,102740.0,1
2018-12-10,575.0,575.0,575.0,575.0,0.35,30.0,17250.0,1
2018-12-11,580.0,585.0,575.0,585.0,1.74,140.0,81100.0,1
2018-12-12,580.0,580.0,580.0,580.0,-0.85,40.0,23200.0,-1
2018-12-13,590.0,590.0,590.0,590.0,1.72,10.0,5900.0,1
2018-12-16,600.0,612.0,588.0,612.0,3.73,70.0,41870.0,1
2018-12-17,623.0,660.0,600.0,660.0,7.84,130.0,83630.0,1
2018-12-18,655.0,681.0,655.0,670.0,1.52,430.0,285910.0,1
2018-12-19,657.0,663.0,657.0,661.0,-1.34,50.0,33030.0,-1
2018-12-20,651.0,656.0,648.0,648.0,-1.97,290.0,189830.0,-1
2018-12-23,640.0,680.0,630.0,680.0,4.94,200.0,132700.0,1
2018-12-24,680.0,680.0,670.0,678.0,-0.29,200.0,135300.0,-1
2018-12-26,665.0,690.0,656.0,665.0,-1.92,260.0,176060.0,-1
2018-12-27,678.0,680.0,665.0,665.0,0.0,150.0,100650.0,0
2018-12-30,653.0,656.0,652.0,655.0,-1.5,490.0,319590.0,-1
2018-12-31,660.0,660.0,659.0,660.0,0.76,50.0,32980.0,1
2019-01-01,660.0,660.0,640.0,650.0,-1.52,130.0,84520.0,-1
2019-01-02,637.0,637.0,637.0,637.0,-2.0,10.0,6370.0,-1
2019-01-03,625.0,625.0,620.0,620.0,-2.67,250.0,155400.0,-1
2019-01-06,632.0,632.0,620.0,620.0,0.0,110.0,68320.0,0
2019-01-07,608.0,608.0,600.0,605.0,-2.42,40.0,24130.0,-1
2019-01-08,617.0,620.0,616.0,616.0,1.82,80.0,49410.0,1
2019-01-09,610.0,628.0,610.0,628.0,1.95,50.0,30880.0,1
2019-01-10,628.0,665.0,628.0,665.0,5.89,120.0,77530.0,1
2019-01-13,652.0,652.0,630.0,630.0,-5.26,70.0,44770.0,-1
2019-01-14,618.0,642.0,618.0,642.0,1.9,170.0,107170.0,1
2019-01-15,642.0,665.0,632.0,665.0,3.58,180.0,117670.0,1
2019-01-16,665.0,679.0,665.0,666.0,0.15,370.0,248090.0,1
2019-01-17,653.0,655.0,640.0,643.0,-3.45,340.0,221710.0,-1
2019-01-20,631.0,640.0,631.0,635.0,-1.24,70.0,44420.0,-1
2019-01-21,640.0,653.0,630.0,640.0,0.79,240.0,153860.0,1
2019-01-22,652.0,652.0,639.0,651.0,1.72,60.0,38760.0,1
2019-01-23,640.0,647.0,617.0,647.0,-0.61,60.0,37960.0,-1
2019-01-24,658.0,658.0,635.0,641.0,-0.93,120.0,77100.0,-1
