published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-06-17,276.0,281.0,276.0,281.0,0.0,20.0,5570.0,0
2019-06-24,295.0,295.0,295.0,295.0,4.98,10.0,2950.0,1
2019-06-26,309.0,309.0,309.0,309.0,4.75,10.0,3090.0,1
2019-06-30,324.0,339.0,324.0,339.0,9.71,70.0,23460.0,1
2019-07-01,355.0,355.0,355.0,355.0,4.72,10.0,3550.0,1
2019-07-03,372.0,379.0,372.0,379.0,6.76,20.0,7510.0,1
2019-07-04,397.0,416.0,397.0,416.0,9.76,50.0,20450.0,1
2019-07-07,436.0,457.0,436.0,457.0,9.86,4077.0,1847973.0,1
2019-07-08,479.0,490.0,450.0,465.0,1.75,9483.0,4508220.0,1
2019-07-09,464.0,479.0,461.0,478.0,2.8,3110.0,1462510.0,1
2019-07-10,470.0,475.0,464.0,465.0,-2.72,1230.0,575690.0,-1
2019-07-11,459.0,469.0,459.0,466.0,0.22,1800.0,839360.0,1
2019-07-14,466.0,470.0,462.0,465.0,-0.21,1400.0,651340.0,-1
2019-07-15,470.0,475.0,465.0,472.0,1.51,850.0,400070.0,1
2019-07-16,472.0,480.0,465.0,471.0,-0.21,550.0,258580.0,-1
2019-07-17,464.0,479.0,464.0,475.0,0.85,770.0,364360.0,1
2019-07-18,475.0,484.0,473.0,473.0,-0.42,360.0,171140.0,-1
2019-07-21,465.0,499.0,465.0,499.0,5.5,1668.0,803538.0,1
2019-07-22,493.0,520.0,484.0,493.0,-1.2,895.0,440810.0,-1
2019-07-23,517.0,517.0,481.0,494.0,0.2,1340.0,654710.0,1
2019-07-24,487.0,519.0,487.0,519.0,5.06,3478.0,1764600.0,1
2019-07-25,510.0,531.0,494.0,516.0,-0.58,8690.0,4497410.0,-1
2019-07-28,523.0,523.0,497.0,503.0,-2.52,1200.0,607850.0,-1
2019-07-29,510.0,550.0,510.0,550.0,9.34,2730.0,1454200.0,1
2019-07-30,561.0,597.0,544.0,597.0,8.55,2292.0,1290213.0,1
2019-07-31,597.0,656.0,590.0,656.0,9.88,3250.0,2059485.0,1
2019-08-01,669.0,721.0,664.0,721.0,9.91,3670.0,2618540.0,1
2019-08-04,757.0,793.0,756.0,793.0,9.99,1770.0,1369470.0,1
2019-08-05,808.0,872.0,780.0,825.0,4.04,10582.0,8880384.0,1
2019-08-06,815.0,815.0,743.0,749.0,-9.21,3869.0,2958205.0,-1
2019-08-07,735.0,810.0,690.0,805.0,7.48,2070.0,1585625.0,1
2019-08-08,789.0,793.0,750.0,793.0,-1.49,530.0,408670.0,-1
2019-08-11,808.0,872.0,808.0,837.0,5.55,3870.0,3241805.0,1
2019-08-12,825.0,848.0,817.0,829.0,-0.96,1060.0,876010.0,-1
2019-08-13,815.0,844.0,814.0,824.0,-0.6,825.0,680625.0,-1
2019-08-14,808.0,824.0,808.0,824.0,0.0,1060.0,866340.0,0
2019-08-15,809.0,829.0,809.0,829.0,0.61,510.0,417910.0,1
2019-08-18,816.0,830.0,801.0,825.0,-0.48,1400.0,1139030.0,-1
2019-08-19,810.0,847.0,810.0,834.0,1.09,940.0,775110.0,1
2019-08-20,820.0,835.0,818.0,835.0,0.12,470.0,386290.0,1
2019-08-21,820.0,820.0,806.0,811.0,-2.87,670.0,544470.0,-1
2019-08-22,811.0,820.0,804.0,811.0,0.0,360.0,291900.0,0
2019-08-25,811.0,820.0,793.0,820.0,1.11,840.0,672540.0,1
2019-08-26,810.0,820.0,800.0,812.0,-0.98,1340.0,1079760.0,-1
2019-08-27,800.0,821.0,800.0,818.0,0.74,510.0,414410.0,1
2019-08-28,818.0,818.0,800.0,814.0,-0.49,790.0,634200.0,-1
2019-08-29,810.0,817.0,802.0,817.0,0.37,90.0,72720.0,1
2019-09-01,802.0,812.0,802.0,812.0,-0.61,210.0,168760.0,-1
2019-09-02,800.0,808.0,797.0,808.0,-0.49,1190.0,952310.0,-1
2019-09-03,792.0,840.0,792.0,840.0,3.96,451.0,363906.0,1
2019-09-04,833.0,833.0,801.0,813.0,-3.21,370.0,299120.0,-1
2019-09-05,800.0,815.0,800.0,815.0,0.25,580.0,470450.0,1
2019-09-08,807.0,810.0,800.0,809.0,-0.74,170.0,136930.0,-1
2019-09-09,795.0,805.0,794.0,805.0,-0.49,320.0,255440.0,-1
2019-09-10,805.0,812.0,792.0,810.0,0.62,320.0,256620.0,1
2019-09-11,810.0,810.0,798.0,805.0,-0.62,190.0,152200.0,-1
2019-09-12,800.0,800.0,791.0,798.0,-0.87,249.0,197338.0,-1
2019-09-15,813.0,813.0,785.0,800.0,0.25,690.0,547130.0,1
2019-09-16,786.0,805.0,786.0,805.0,0.63,210.0,166540.0,1
2019-09-17,815.0,825.0,795.0,807.0,0.25,170.0,138660.0,1
2019-09-18,807.0,823.0,800.0,821.0,1.73,440.0,357540.0,1
2019-09-19,805.0,820.0,805.0,820.0,-0.12,60.0,48590.0,-1
2019-09-22,790.0,790.0,771.0,790.0,-3.66,80.0,62360.0,-1
2019-09-23,776.0,796.0,776.0,796.0,0.76,120.0,94060.0,1
