published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-27,391.0,430.1,391.0,430.1,10.0,1220.0,521679.5,1
2023-03-28,438.7,473.1,438.7,473.1,10.0,1120.0,529026.0,1
2023-03-29,480.0,520.4,480.0,520.4,10.0,2500.0,1299954.0,1
2023-03-30,530.8,572.4,530.8,572.4,9.99,5950.0,3403512.0,1
2023-04-02,580.0,629.6,579.0,585.0,2.2,37769.0,23284501.0,1
2023-04-03,575.0,576.0,550.2,560.1,-4.26,26213.0,14664131.2,-1
2023-04-04,549.0,611.0,548.9,577.0,3.02,8930.0,5087702.0,1
2023-04-05,572.0,601.5,570.0,598.9,3.8,8391.0,4956748.8,1
2023-04-06,590.1,599.0,583.0,586.9,-2.0,5259.0,3096594.0,-1
2023-04-09,578.0,580.0,560.0,560.0,-4.58,11750.0,6703907.0,-1
2023-04-10,560.0,577.0,560.0,570.0,1.79,3660.0,2077840.0,1
2023-04-11,560.2,580.0,560.2,579.9,1.74,2983.0,1708036.0,1
2023-04-12,570.1,599.0,570.1,588.0,1.4,4623.0,2721195.0,1
2023-04-13,588.0,588.5,570.1,570.1,-3.04,5773.0,3351953.3,-1
2023-04-16,570.1,587.5,569.9,574.0,0.68,5025.0,2883801.5,1
2023-04-17,563.1,580.0,563.1,575.0,0.17,8530.0,4897826.0,1
2023-04-18,585.0,586.5,560.0,569.8,-0.9,6700.0,3780847.0,-1
2023-04-19,568.0,570.9,560.0,563.0,-1.19,1830.0,1034255.0,-1
2023-04-20,552.1,571.0,552.1,569.9,1.23,8395.0,4718324.9,1
2023-04-23,559.1,568.9,550.1,568.9,-0.18,7820.0,4354383.0,-1
2023-04-24,557.6,566.0,550.2,560.1,-1.55,2552.0,1422976.2,-1
2023-04-25,552.0,569.8,542.3,569.8,1.73,4498.0,2480087.8,1
2023-04-26,578.5,578.5,555.0,560.1,-1.7,6570.0,3701788.0,-1
2023-04-27,549.2,563.0,549.2,563.0,0.52,2935.0,1636027.0,1
2023-04-30,555.0,558.0,545.2,545.2,-3.16,3883.0,2133924.1,-1
2023-05-02,540.1,548.3,540.1,548.3,0.57,810.0,441643.0,1
2023-05-03,538.0,545.0,538.0,538.4,-1.81,670.0,361421.0,-1
2023-05-04,528.1,549.0,528.1,549.0,1.97,1195.0,642776.0,1
2023-05-07,538.1,550.0,510.0,550.0,0.18,2250.0,1188207.0,1
2023-05-08,539.0,539.5,520.0,539.5,-1.91,1560.0,821616.0,-1
2023-05-09,545.0,545.0,530.0,533.3,-1.15,1620.0,866484.0,-1
2023-05-10,532.0,550.0,527.0,550.0,3.13,4170.0,2250743.0,1
2023-05-11,539.0,554.0,530.2,554.0,0.73,3180.0,1743926.0,1
2023-05-14,554.0,559.8,536.0,545.0,-1.62,6839.0,3714603.0,-1
2023-05-15,535.0,540.6,527.1,540.6,-0.81,910.0,487389.0,-1
2023-05-16,532.0,540.0,530.0,540.0,-0.11,1030.0,550319.0,-1
2023-05-17,535.0,548.0,535.0,548.0,1.48,5148.0,2782146.0,1
2023-05-18,537.1,554.9,537.1,552.0,0.73,2710.0,1479033.0,1
2023-05-21,542.0,560.0,541.0,550.0,-0.36,5816.0,3182639.0,-1
2023-05-22,541.0,547.0,538.1,543.3,-1.22,1250.0,680872.0,-1
2023-05-23,540.1,561.2,540.1,558.1,2.72,4290.0,2374431.0,1
2023-05-24,547.0,564.8,547.0,557.0,-0.2,2520.0,1394123.0,-1
2023-05-28,550.0,558.9,547.3,552.0,-0.9,3481.0,1921125.3,-1
2023-05-30,542.0,550.0,528.0,529.0,-4.17,5280.0,2843099.0,-1
2023-05-31,529.0,530.0,495.4,510.0,-3.59,5126.0,2633778.0,-1
2023-06-01,501.2,514.8,500.0,511.0,0.2,3598.0,1826366.5,1
2023-06-04,521.2,530.0,511.0,529.5,3.62,3305.0,1731137.5,1
2023-06-05,530.0,530.0,510.3,519.9,-1.81,3968.0,2060582.6,-1
2023-06-06,511.0,529.3,511.0,529.3,1.81,3585.0,1849433.0,1
2023-06-07,534.9,540.0,523.1,527.1,-0.42,7176.0,3827760.5,-1
2023-06-08,530.2,550.0,530.0,549.0,4.15,5379.0,2908535.0,1
2023-06-11,538.1,566.0,538.1,566.0,3.1,5797.0,3246545.0,1
2023-06-12,577.0,577.0,545.0,558.0,-1.41,5035.0,2773800.5,-1
2023-06-13,546.9,574.0,546.9,565.9,1.42,4985.0,2810774.1,1
2023-06-14,577.0,577.0,555.0,568.0,0.37,6380.0,3627220.0,1
2023-06-15,579.0,579.0,553.6,560.1,-1.39,4776.0,2668447.6,-1
2023-06-18,569.0,574.0,555.7,568.0,1.41,1650.0,931232.0,1
2023-06-19,579.3,579.3,559.0,565.0,-0.53,3537.0,1984807.0,-1
2023-06-20,553.9,601.0,553.9,567.1,0.37,8620.0,4917946.0,1
2023-06-21,567.1,575.0,555.0,557.0,-1.78,5015.0,2832672.5,-1
2023-06-22,550.1,570.0,550.1,568.0,1.97,1620.0,904634.0,1
2023-06-25,556.8,568.0,552.1,568.0,0.0,3624.0,2022870.0,0
2023-06-26,579.0,579.0,552.1,562.0,-1.06,2990.0,1672751.0,-1
2023-06-27,555.0,572.0,555.0,560.0,-0.36,5461.0,3068225.0,-1
2023-06-28,555.0,559.9,550.0,556.0,-0.71,4356.0,2414333.0,-1
2023-07-02,545.1,566.0,545.1,558.9,0.52,7455.0,4115901.9,1
2023-07-03,547.9,552.0,540.0,550.9,-1.43,2929.0,1593612.0,-1
2023-07-04,541.0,553.0,541.0,553.0,0.38,3507.0,1923021.3,1
2023-07-05,542.0,546.8,535.6,546.8,-1.12,2920.0,1580043.0,-1
2023-07-06,536.0,541.0,515.6,541.0,-1.06,2667.0,1401792.0,-1
2023-07-09,530.2,550.8,520.1,550.8,1.81,1905.0,1018656.0,1
2023-07-10,540.0,558.5,530.1,530.8,-3.63,760.0,412914.0,-1
2023-07-11,530.0,541.4,520.1,530.0,-0.15,2930.0,1536862.0,-1
2023-07-12,520.5,560.0,520.5,549.0,3.58,4064.0,2169061.6,1
2023-07-13,550.0,561.0,540.0,549.0,0.0,5883.0,3237594.5,0
2023-07-16,545.0,564.8,540.0,564.8,2.88,4768.0,2632309.8,1
2023-07-17,554.0,570.0,550.0,570.0,0.92,1545.0,867739.0,1
2023-07-18,579.5,579.5,562.0,577.0,1.23,2785.0,1590751.0,1
