published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-05,299.0,328.9,299.0,328.9,10.0,6650.0,2182579.0,1
2023-03-07,335.4,361.7,335.4,361.7,9.97,14850.0,5365374.1,1
2023-03-09,368.9,391.0,355.0,381.0,5.34,68817.0,25676086.0,1
2023-03-12,381.0,382.0,363.1,364.2,-4.41,63702.0,23500715.0,-1
2023-03-13,364.0,364.0,345.0,354.0,-2.8,29842.0,10586706.3,-1
2023-03-14,349.0,389.4,349.0,387.0,9.32,45140.0,17056519.1,1
2023-03-15,379.3,388.1,375.7,387.2,0.05,33952.0,12963109.0,1
2023-03-16,379.5,406.8,379.5,401.0,3.56,46216.0,18444246.0,1
2023-03-19,403.0,406.5,389.0,399.0,-0.5,31720.0,12580589.4,-1
2023-03-20,395.0,405.2,392.1,401.0,0.5,26018.0,10381215.5,1
2023-03-22,409.0,425.4,403.0,403.1,0.52,39330.0,16162128.1,1
2023-03-23,411.0,411.0,391.0,391.5,-2.88,25112.0,9877271.8,-1
2023-03-26,399.3,400.0,384.0,390.0,-0.38,22001.0,8542755.4,-1
2023-03-27,397.0,397.0,377.0,392.2,0.56,17065.0,6634436.5,1
2023-03-28,400.0,403.0,387.1,392.0,-0.05,26098.0,10350080.1,-1
2023-03-29,399.0,399.0,383.3,394.8,0.71,28707.0,11189829.0,1
2023-03-30,394.9,398.0,387.3,395.0,0.05,16967.0,6628409.0,1
2023-04-02,395.0,395.0,379.9,385.0,-2.53,20541.0,7856366.5,-1
2023-04-03,377.3,383.0,370.0,374.1,-2.83,15636.0,5878455.0,-1
2023-04-04,367.0,398.0,367.0,380.0,1.58,14200.0,5414360.5,1
2023-04-05,375.0,383.0,370.2,380.0,0.0,12324.0,4641569.5,0
2023-04-06,372.7,383.0,372.7,380.0,0.0,7990.0,3011055.0,0
2023-04-09,372.5,374.0,367.3,372.0,-2.11,8500.0,3146816.2,-1
2023-04-10,365.0,374.0,365.0,374.0,0.54,9000.0,3326056.8,1
2023-04-11,368.0,389.0,368.0,381.5,2.01,5901.0,2216027.5,1
2023-04-12,380.0,407.0,378.0,399.0,4.59,18844.0,7407534.0,1
2023-04-13,391.2,420.0,385.1,390.0,-2.26,23436.0,9305570.7,-1
2023-04-16,383.0,399.0,375.4,385.1,-1.26,7015.0,2720439.5,-1
2023-04-17,377.5,385.0,376.1,382.0,-0.8,8880.0,3379066.0,-1
2023-04-18,375.0,386.9,375.0,386.9,1.28,6982.0,2657510.0,1
2023-04-19,379.2,418.0,373.0,399.9,3.36,6363.0,2482013.5,1
2023-04-20,395.0,408.0,390.0,395.0,-1.23,19178.0,7648136.0,-1
2023-04-23,402.0,410.9,383.3,385.4,-2.43,6750.0,2619474.0,-1
2023-04-24,380.0,392.0,380.0,386.0,0.16,5580.0,2154540.0,1
2023-04-25,378.3,397.0,378.3,390.1,1.06,8116.0,3163363.0,1
2023-04-26,383.6,398.1,383.2,383.2,-1.77,7257.0,2841236.6,-1
2023-04-27,381.0,398.9,381.0,398.9,4.1,13885.0,5446926.2,1
2023-04-30,391.0,397.5,386.7,390.9,-2.01,5170.0,2018109.0,-1
2023-05-02,383.5,386.0,380.0,385.0,-1.51,4990.0,1913806.5,-1
2023-05-03,385.0,385.0,373.3,381.0,-1.04,6413.0,2413616.0,-1
2023-05-04,373.4,390.0,373.0,390.0,2.36,6909.0,2644994.0,1
2023-05-07,383.0,390.0,377.0,382.0,-2.05,3090.0,1181378.0,-1
2023-05-08,375.1,385.0,375.1,382.9,0.24,9604.0,3651980.9,1
2023-05-09,375.5,403.9,375.5,385.0,0.55,10698.0,4158285.0,1
2023-05-10,390.0,390.0,380.0,389.0,1.04,9321.0,3555708.3,1
2023-05-11,381.3,390.0,374.0,386.9,-0.54,2010.0,766996.0,-1
2023-05-14,394.0,394.0,368.1,380.0,-1.78,4027.0,1518297.0,-1
2023-05-15,372.4,382.0,366.3,378.0,-0.53,2990.0,1114420.0,-1
2023-05-16,378.0,384.0,368.0,381.0,0.79,8090.0,3055620.7,1
2023-05-17,373.6,388.6,373.6,383.0,0.52,12538.0,4739750.2,1
2023-05-18,390.0,398.8,375.1,398.8,4.13,13750.0,5368332.8,1
2023-05-21,390.9,412.0,386.0,410.0,2.81,20687.0,8161810.7,1
2023-05-22,410.0,415.0,388.1,400.9,-2.22,13701.0,5387855.0,-1
2023-05-23,400.9,423.0,387.1,420.0,4.76,17798.0,7325888.0,1
2023-05-24,428.0,428.0,400.6,405.7,-3.4,12552.0,5152052.0,-1
2023-05-28,408.0,422.0,397.0,409.0,0.81,32173.0,13052302.3,1
2023-05-30,400.9,425.0,386.4,416.5,1.83,20239.0,8031724.8,1
2023-05-31,422.0,422.0,386.3,393.0,-5.64,21835.0,8627857.1,-1
2023-06-01,385.3,399.8,381.0,395.0,0.51,17637.0,6890807.0,1
2023-06-04,400.0,424.0,393.0,415.0,5.06,22813.0,9454986.1,1
2023-06-05,420.0,420.0,408.1,414.0,-0.24,29996.0,12331903.0,-1
2023-06-06,405.8,432.4,401.5,432.4,4.44,27546.0,11582965.4,1
2023-06-07,433.0,462.0,425.4,444.0,2.68,24563.0,10826973.3,1
2023-06-08,449.0,463.0,427.1,453.9,2.23,15135.0,6761640.1,1
2023-06-11,460.0,469.0,445.0,460.0,1.34,34598.0,15805678.0,1
2023-06-12,450.8,460.0,436.0,442.7,-3.76,30141.0,13360702.8,-1
2023-06-13,435.0,469.4,426.3,442.0,-0.16,29174.0,13071001.5,-1
2023-06-14,435.0,461.0,435.0,445.0,0.68,45410.0,20261281.5,1
2023-06-15,450.0,460.9,441.0,460.0,3.37,36005.0,16322515.0,1
2023-06-18,460.0,506.0,450.9,506.0,10.0,28766.0,13398678.0,1
2023-06-19,495.9,495.9,466.8,483.0,-4.55,20197.0,9667709.3,-1
2023-06-20,490.0,490.0,455.0,463.0,-4.14,17933.0,8433072.5,-1
2023-06-21,454.0,470.0,441.0,445.0,-3.89,20231.0,9084403.0,-1
2023-06-22,440.0,470.0,435.0,454.6,2.16,26027.0,11791433.3,1
2023-06-25,463.6,472.8,428.0,472.8,4.0,35861.0,15724635.3,1
2023-06-26,463.4,463.4,434.0,440.0,-6.94,29943.0,13266804.7,-1
2023-06-27,440.0,445.0,430.4,435.0,-1.14,28113.0,12307035.2,-1
2023-06-28,440.0,461.5,420.0,420.0,-3.45,19920.0,8579151.0,-1
2023-07-02,415.0,428.4,415.0,419.0,-0.24,14396.0,6049034.2,-1
2023-07-03,427.3,427.3,400.1,423.0,0.95,15987.0,6596106.6,1
2023-07-04,423.0,429.0,408.9,426.0,0.71,6311.0,2632913.8,1
2023-07-05,417.5,417.5,403.6,406.9,-4.48,10659.0,4355424.0,-1
2023-07-06,399.0,418.0,399.0,418.0,2.73,8502.0,3436490.4,1
