published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-13,334.0,367.4,330.0,340.0,1.8,92899.0,32907560.2,1
2023-04-16,345.0,346.0,313.6,317.0,-6.76,84870.0,27233165.9,-1
2023-04-17,320.0,332.9,305.0,308.2,-2.78,35248.0,10878675.6,-1
2023-04-18,305.0,311.0,299.0,307.2,-0.32,45046.0,13749289.5,-1
2023-04-19,306.0,314.0,303.1,311.0,1.24,28467.0,8819532.0,1
2023-04-20,317.2,317.2,305.0,305.0,-1.93,23322.0,7185060.4,-1
2023-04-23,300.0,302.8,292.3,294.9,-3.31,32757.0,9733101.7,-1
2023-04-24,291.0,297.0,286.1,286.5,-2.85,30945.0,8962716.8,-1
2023-04-25,280.8,297.9,274.7,296.8,3.6,47220.0,13413954.8,1
2023-04-26,291.0,295.5,285.0,287.8,-3.03,20429.0,5885550.2,-1
2023-04-27,287.0,290.0,278.6,283.8,-1.39,21190.0,6002280.2,-1
2023-04-30,282.0,283.0,274.1,274.1,-3.42,27513.0,7658187.7,-1
2023-05-02,279.5,281.0,264.0,266.9,-2.63,16688.0,4479530.0,-1
2023-05-03,262.1,267.0,256.1,257.1,-3.67,28671.0,7416302.7,-1
2023-05-04,253.0,264.8,253.0,263.0,2.29,21956.0,5693706.0,1
2023-05-07,258.0,263.0,251.0,252.0,-4.18,24149.0,6150181.4,-1
2023-05-08,249.9,253.0,241.0,244.9,-2.82,20007.0,4897135.0,-1
2023-05-09,240.3,254.0,238.2,251.0,2.49,18494.0,4580272.4,1
2023-05-10,250.9,251.9,243.2,245.5,-2.19,16126.0,3978480.0,-1
2023-05-11,245.0,251.0,242.3,245.0,-0.2,12747.0,3138907.0,-1
2023-05-14,245.0,248.0,240.3,240.3,-1.92,15690.0,3842857.0,-1
2023-05-15,237.1,245.8,233.2,240.0,-0.12,19225.0,4586239.9,-1
2023-05-16,235.6,244.9,235.6,244.9,2.04,18675.0,4488718.7,1
2023-05-17,241.0,253.0,241.0,253.0,3.31,22184.0,5505180.8,1
