published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-26,298.7,343.5,298.7,343.5,15.0,70.0,22276.0,1
2026-06-29,353.8,395.0,353.8,395.0,14.99,60.0,22700.0,1
2026-06-30,411.9,454.2,411.9,454.2,14.99,90.0,39940.0,1
2026-07-01,467.8,522.3,467.8,522.3,14.99,130.0,66575.0,1
2026-07-02,537.9,600.6,537.9,600.6,14.99,180.0,106586.0,1
2026-07-03,618.6,690.6,618.6,690.6,14.99,920.0,633605.0,1
2026-07-06,725.1,794.1,725.1,794.1,14.99,12640.0,10035993.0,1
2026-07-07,833.8,833.8,700.0,753.4,-5.13,81130.0,61965678.0,-1
2026-07-08,750.0,810.0,727.4,786.5,4.39,31280.0,24215171.0,1
2026-07-09,770.0,904.4,770.0,879.0,11.76,29352.0,24260216.3,1
2026-07-10,881.0,881.0,810.0,820.0,-6.71,38755.0,32216467.7,-1
2026-07-13,810.0,815.0,777.0,780.0,-4.88,28359.0,22528401.8,-1
2026-07-14,770.0,794.9,745.0,769.0,-1.41,26377.0,20202737.7,-1
2026-07-15,769.0,790.0,763.0,771.0,0.26,12249.0,9534059.7,1
2026-07-16,771.0,784.9,769.0,779.0,1.04,16511.0,12822973.0,1
2026-07-17,779.1,815.0,779.1,803.0,3.08,25341.0,20374792.6,1
