published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-29,350.0,350.0,315.0,315.0,-10.0,6459.0,2048915.3,-1
2023-10-30,308.7,308.7,283.5,283.5,-10.0,11557.0,3279301.5,-1
2023-10-31,277.9,277.9,255.2,255.2,-9.98,25109.0,6411443.8,-1
2023-11-01,250.1,250.1,230.0,234.8,-7.99,616775.0,146002225.1,-1
2023-11-02,230.2,244.0,230.2,244.0,3.92,189303.0,44968907.9,1
2023-11-05,244.0,244.0,230.0,237.0,-2.87,119248.0,28198394.6,-1
2023-11-06,232.3,255.0,232.3,244.1,3.0,231101.0,56203116.8,1
2023-11-07,248.4,260.0,244.0,257.0,5.28,232895.0,59283991.5,1
2023-11-08,258.0,275.4,252.2,273.0,6.23,210017.0,56141984.0,1
2023-11-09,273.0,273.0,258.9,259.0,-5.13,290692.0,77086673.4,-1
2023-11-20,253.9,268.0,253.9,263.9,1.89,224086.0,58878560.7,1
2023-11-21,259.0,265.6,255.5,260.5,-1.29,167730.0,43925924.4,-1
2023-11-22,260.0,285.0,257.4,283.0,8.64,392703.0,107603983.0,1
2023-11-23,279.0,294.2,274.0,287.9,1.73,332905.0,95800169.4,1
2023-11-26,287.9,299.0,280.0,293.3,1.88,402121.0,116667260.0,1
2023-11-27,290.0,298.0,285.1,288.0,-1.81,268335.0,77763585.5,-1
2023-11-28,288.0,306.0,285.1,301.2,4.58,283941.0,84998864.1,1
2023-11-29,301.0,312.1,295.1,295.5,-1.89,257788.0,77686776.7,-1
2023-11-30,295.0,302.5,291.1,293.0,-0.85,270044.0,80049401.8,-1
2023-12-03,297.0,300.0,288.0,295.0,0.68,236788.0,69529270.3,1
2023-12-04,293.0,304.5,290.3,300.2,1.76,248193.0,74631723.4,1
2023-12-05,302.0,305.0,292.5,293.5,-2.23,182682.0,54168743.4,-1
2023-12-06,287.7,296.1,287.7,291.0,-0.85,106939.0,31206829.7,-1
2023-12-07,288.1,304.0,288.1,297.0,2.06,310907.0,92761368.7,1
2023-12-10,302.9,320.0,302.9,318.0,7.07,113600.0,35809952.8,1
2023-12-11,320.0,339.9,310.0,328.0,3.14,784650.0,251560607.4,1
2023-12-12,328.0,360.8,328.0,360.8,10.0,429827.0,151029184.8,1
2023-12-13,368.0,381.9,353.0,359.0,-0.5,398398.0,146793156.3,-1
2023-12-14,359.0,373.3,347.0,361.8,0.78,444033.0,160478431.0,1
2023-12-17,354.6,386.0,348.0,383.0,5.86,449066.0,166556737.2,1
2023-12-18,390.6,407.0,377.2,394.0,2.87,521417.0,202846214.4,1
2023-12-19,390.0,433.4,390.0,433.4,10.0,398818.0,167142755.4,1
2023-12-20,440.0,476.7,440.0,476.7,9.99,431356.0,201524391.8,1
2023-12-21,486.2,493.1,451.4,461.0,-3.29,539018.0,254769524.0,-1
2023-12-24,470.2,479.0,430.0,433.0,-6.07,618652.0,281945700.0,-1
2023-12-27,435.0,450.0,399.0,415.1,-4.13,467990.0,196664793.1,-1
2023-12-28,415.1,455.9,409.0,454.1,9.4,328829.0,143837365.4,1
2024-01-01,463.1,470.0,443.0,456.0,0.42,437027.0,201223136.0,1
2024-01-02,456.0,458.0,437.1,439.0,-3.73,288959.0,128937605.6,-1
2024-01-03,439.0,482.9,438.0,482.9,10.0,570717.0,266391416.3,1
2024-01-04,492.0,529.5,490.0,508.0,5.2,653648.0,334515645.5,1
2024-01-07,518.1,518.1,496.0,498.8,-1.81,557159.0,280056404.1,-1
2024-01-08,496.1,519.0,496.0,506.0,1.44,429578.0,218482880.8,1
2024-01-09,507.0,516.3,490.1,493.0,-2.57,427624.0,214945893.9,-1
2024-01-10,502.0,530.0,496.0,527.3,6.9,634593.0,327891613.3,1
2024-01-11,527.3,540.0,523.0,527.0,-0.06,315907.0,168020994.9,-1
2024-01-14,527.0,545.0,522.3,539.0,2.28,451820.0,240312256.2,1
2024-01-16,545.0,575.0,536.0,554.0,2.78,506592.0,283155802.4,1
2024-01-17,555.0,565.0,529.2,532.0,-3.97,548790.0,298210092.9,-1
2024-01-18,521.4,521.4,485.0,506.8,-4.74,597489.0,301880434.3,-1
2024-01-21,507.0,507.7,480.0,482.0,-4.89,402920.0,198866544.0,-1
2024-01-22,473.0,493.0,465.0,466.0,-3.32,278908.0,133081404.7,-1
2024-01-23,457.0,494.7,457.0,485.0,4.08,220387.0,106750634.6,1
2024-01-24,478.0,498.0,469.1,469.2,-3.26,171707.0,82686673.5,-1
2024-01-25,460.0,480.0,460.0,468.9,-0.06,147646.0,69614000.3,-1
2024-01-28,468.0,498.0,461.0,483.0,3.01,163270.0,77756230.5,1
2024-01-29,483.0,494.0,479.1,480.0,-0.62,172313.0,83984367.6,-1
2024-01-30,480.0,494.0,475.1,483.1,0.65,189909.0,92816592.0,1
2024-01-31,485.0,489.5,467.8,472.0,-2.3,141737.0,67562957.4,-1
2024-02-01,472.0,473.0,460.8,462.5,-2.01,163831.0,76207892.0,-1
2024-02-04,462.0,467.9,453.6,456.0,-1.41,153335.0,70405416.1,-1
2024-02-05,460.0,466.0,455.9,458.0,0.44,100414.0,46174001.9,1
2024-02-06,458.0,474.3,457.0,472.3,3.12,115612.0,54185771.4,1
2024-02-07,472.3,485.0,471.0,478.0,1.21,122278.0,58665097.1,1
2024-02-08,478.0,482.5,471.4,475.0,-0.63,100767.0,48122928.9,-1
2024-02-11,467.2,482.0,464.0,465.0,-2.11,133334.0,63006503.2,-1
2024-02-12,455.7,465.0,448.9,456.5,-1.83,224063.0,102711728.9,-1
2024-02-13,456.5,460.0,438.6,440.2,-3.57,267921.0,119295585.0,-1
2024-02-14,436.0,449.5,434.0,442.0,0.41,115190.0,51045499.5,1
2024-02-15,442.0,455.0,436.7,442.0,0.0,126919.0,56708663.5,0
2024-02-18,440.0,442.0,427.0,427.1,-3.37,133937.0,58002260.5,-1
2024-02-20,420.0,437.5,420.0,430.2,0.73,105552.0,45520700.5,1
2024-02-21,430.0,438.0,424.0,424.1,-1.42,65581.0,28097972.0,-1
2024-02-22,432.5,432.9,416.5,418.5,-1.32,117543.0,49673348.1,-1
2024-02-25,422.0,424.8,407.0,408.0,-2.51,109305.0,45160457.2,-1
2024-02-26,408.0,440.0,406.1,438.0,7.35,228016.0,97180229.6,1
2024-02-27,446.7,463.0,439.0,451.5,3.08,313295.0,141962690.7,1
2024-02-28,450.0,469.0,444.1,458.5,1.55,277220.0,126965554.3,1
2024-02-29,458.0,465.5,440.0,440.0,-4.03,246724.0,111310346.1,-1
2024-03-03,435.1,460.0,435.1,452.0,2.73,292326.0,132049540.4,1
2024-03-04,461.0,493.0,461.0,490.0,8.41,93087.0,45033239.9,1
