published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-06-04,298.00,299.00,286.00,297.00,0.00,4147.00,1214799.00,0
2017-06-05,297.00,302.00,288.00,291.00,0.00,6799.00,2018150.00,0
2017-06-06,291.00,296.00,280.00,292.00,0.00,18296.00,5249692.00,0
2017-06-07,292.00,291.00,278.00,280.00,0.00,18642.00,5284180.00,0
2017-06-08,280.00,285.00,272.00,282.00,0.00,7726.00,2142789.00,0
2017-06-11,282.00,287.00,269.00,272.00,0.00,3025.00,823224.00,0
2017-06-12,272.00,277.00,264.00,270.00,0.00,3103.00,833091.00,0
2017-06-13,270.00,272.00,258.00,261.00,0.00,5396.00,1424284.00,0
2017-06-14,261.00,275.00,253.00,275.00,0.00,5417.00,1409440.00,0
2017-06-15,275.00,275.00,266.00,266.00,0.00,5306.00,1430538.00,0
2017-06-18,266.00,265.00,256.00,260.00,0.00,2859.00,744786.00,0
2017-06-19,260.00,267.00,247.00,255.00,0.00,6232.00,1592150.00,0
2017-06-20,255.00,260.00,245.00,260.00,0.00,2615.00,656916.00,0
2017-06-21,260.00,265.00,249.00,265.00,0.00,2045.00,528066.00,0
2017-06-22,265.00,270.00,255.00,267.00,0.00,1747.00,450632.00,0
2017-06-25,267.00,270.00,253.00,258.00,0.00,3245.00,840225.00,0
2017-06-27,258.00,260.00,249.00,255.00,0.00,2025.00,520610.00,0
2017-06-28,255.00,256.00,250.00,253.00,0.00,1953.00,496857.00,0
2017-07-02,253.00,250.00,242.00,246.00,0.00,3408.00,838798.00,0
2017-07-03,246.00,250.00,241.00,241.00,0.00,4484.00,1106694.00,0
2017-07-04,241.00,245.00,238.00,238.00,0.00,1526.00,368918.00,0
2017-07-05,238.00,246.00,236.00,242.00,0.00,1250.00,299846.00,0
2017-07-06,242.00,255.00,238.00,255.00,0.00,1462.00,355244.00,0
2017-07-09,255.00,260.00,250.00,260.00,0.00,4474.00,1132740.00,0
2017-07-10,260.00,260.00,248.00,250.00,0.00,7216.00,1858792.00,0
2017-07-11,250.00,255.00,246.00,250.00,0.00,2555.00,636446.00,0
2017-07-12,250.00,250.00,245.00,250.00,0.00,1985.00,492111.00,0
2017-07-13,250.00,250.00,238.00,243.00,0.00,3924.00,952642.00,0
2017-07-16,243.00,244.00,239.00,241.00,0.00,359.00,86326.00,0
2017-07-17,241.00,257.00,238.00,257.00,0.00,3747.00,904611.00,0
2017-07-18,257.00,272.00,241.00,272.00,0.00,2191.00,544996.00,0
2017-07-20,272.00,267.00,248.00,254.00,0.00,7991.00,2026387.00,0
2017-07-23,254.00,249.00,243.00,246.00,0.00,1556.00,381117.00,0
2017-07-24,246.00,250.00,242.00,250.00,0.00,5596.00,1359019.00,0
2017-07-25,250.00,245.00,233.00,240.00,0.00,8800.00,2098155.00,0
2017-07-26,240.00,252.00,240.00,240.00,0.00,2062.00,501514.00,0
2017-07-27,240.00,244.00,234.00,240.00,0.00,1427.00,341203.00,0
2017-07-30,240.00,247.00,232.00,243.00,0.00,3011.00,703988.00,0
2017-07-31,243.00,239.00,231.00,234.00,0.00,767.00,179767.00,0
2017-08-01,234.00,241.00,231.00,237.00,0.00,1307.00,305419.00,0
2017-08-02,237.00,245.00,231.00,245.00,0.00,2560.00,612031.00,0
2017-08-03,245.00,245.00,231.00,245.00,0.00,3579.00,836294.00,0
2017-08-06,245.00,241.00,229.00,229.00,0.00,5604.00,1296588.00,0
2017-08-07,229.00,227.00,221.00,224.00,0.00,5932.00,1329014.00,0
2017-08-09,224.00,223.00,213.00,214.00,0.00,4429.00,954823.00,0
2017-08-10,214.00,213.00,209.00,212.00,0.00,4095.00,863372.00,0
2017-08-13,212.00,210.00,202.00,207.00,0.00,720.00,148357.00,0
2017-08-15,207.00,207.00,199.00,199.00,0.00,4253.00,852172.00,0
2017-08-16,199.00,204.00,199.00,203.00,0.00,5058.00,1017198.00,0
2017-08-17,203.00,200.00,193.00,193.00,0.00,3813.00,740843.00,0
2017-08-20,193.00,195.00,190.00,193.00,0.00,3083.00,594231.00,0
2017-08-21,193.00,196.00,191.00,193.00,0.00,1275.00,246371.00,0
2017-08-22,193.00,200.00,185.00,195.00,0.00,3573.00,693020.00,0
2017-08-23,195.00,198.00,191.00,198.00,0.00,7952.00,1522825.00,0
2017-08-24,198.00,195.00,190.00,190.00,0.00,1818.00,346675.00,0
2017-08-27,190.00,199.00,187.00,199.00,0.00,2071.00,390754.00,0
2017-08-28,199.00,196.00,187.00,190.00,0.00,1846.00,350774.00,0
2017-08-30,190.00,195.00,186.00,187.00,0.00,906.00,171941.00,0
2017-08-31,187.00,187.00,177.00,178.00,0.00,1179.00,213650.00,0
2017-09-04,178.00,178.00,164.00,168.00,0.00,2177.00,369562.00,0
2017-09-06,168.00,173.00,164.00,167.00,0.00,2252.00,380467.00,0
2017-09-07,167.00,170.00,163.00,165.00,0.00,1202.00,197977.00,0
2017-09-10,165.00,162.00,150.00,156.00,0.00,10680.00,1651139.00,0
2017-09-11,156.00,160.00,154.00,158.00,0.00,1232.00,194834.00,0
2017-09-12,158.00,165.00,157.00,165.00,0.00,1873.00,300540.00,0
2017-09-13,165.00,171.00,161.00,168.00,0.00,479.00,78530.00,0
