published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-04,638.0,638.0,573.9,573.9,-8.03,49679.0,28692878.1,-1
2023-04-05,573.9,573.9,551.0,559.0,-2.6,23219.0,12904339.1,-1
2023-04-06,559.0,568.9,550.9,566.0,1.25,14847.0,8287706.2,1
2023-04-09,554.8,555.0,546.0,550.0,-2.83,46237.0,25349241.2,-1
2023-04-10,560.0,561.0,542.0,542.0,-1.45,7321.0,4007605.0,-1
2023-04-11,542.0,549.9,534.0,548.0,1.11,20424.0,11039179.4,1
2023-04-12,555.0,575.0,555.0,575.0,4.93,43629.0,24616557.0,1
2023-04-13,585.0,587.0,560.0,569.0,-1.04,12096.0,6938361.6,-1
2023-04-16,577.5,577.5,550.1,557.0,-2.11,19345.0,10864569.7,-1
2023-04-17,552.4,558.0,552.1,553.0,-0.72,9853.0,5461587.8,-1
2023-04-18,554.0,561.9,550.1,558.8,1.05,15736.0,8715550.9,1
2023-04-19,560.0,571.0,555.0,571.0,2.18,14649.0,8264714.5,1
2023-04-20,577.9,585.0,571.0,579.0,1.4,28677.0,16622133.4,1
2023-04-23,570.0,579.0,570.0,572.1,-1.19,5153.0,2952696.1,-1
2023-04-24,570.0,577.0,563.0,576.0,0.68,4437.0,2536954.5,1
2023-04-25,566.8,606.0,566.8,602.0,4.51,35842.0,20744455.5,1
2023-04-26,612.9,612.9,590.0,590.0,-1.99,20075.0,11964524.3,-1
2023-04-27,587.3,613.8,578.5,594.0,0.68,11143.0,6528905.6,1
2023-04-30,585.0,594.0,575.0,594.0,0.0,12512.0,7274570.5,0
2023-05-02,582.2,585.0,575.1,580.0,-2.36,2154.0,1248798.5,-1
2023-05-03,580.0,580.0,568.5,570.0,-1.72,10962.0,6244039.4,-1
2023-05-04,570.1,579.0,565.0,573.0,0.53,5359.0,3070595.5,1
2023-05-07,565.1,571.0,565.1,568.5,-0.79,4228.0,2405555.1,-1
2023-05-08,568.0,570.0,562.2,569.0,0.09,13706.0,7751230.1,1
2023-05-09,558.1,580.3,558.1,569.0,0.0,3353.0,1898378.3,0
2023-05-10,579.9,579.9,564.0,577.8,1.55,13874.0,7925370.6,1
2023-05-11,589.0,589.0,568.0,575.0,-0.48,14119.0,8116471.6,-1
2023-05-14,586.0,586.0,564.0,567.6,-1.29,5990.0,3419723.6,-1
2023-05-15,570.0,570.0,561.0,563.0,-0.81,13421.0,7573062.7,-1
2023-05-16,563.0,570.0,552.1,569.0,1.07,7381.0,4157414.4,1
2023-05-17,569.0,604.0,565.0,603.9,6.13,14951.0,8662478.2,1
2023-05-18,614.0,615.0,587.0,603.1,-0.13,13730.0,8275036.5,-1
2023-05-21,602.0,614.9,597.0,614.0,1.81,26530.0,16054464.3,1
2023-05-22,619.0,630.0,598.0,622.0,1.3,17368.0,10631609.3,1
2023-05-23,633.0,644.0,621.5,644.0,3.54,21920.0,13893611.0,1
2023-05-24,644.0,669.0,637.0,668.0,3.73,37717.0,24766300.6,1
2023-05-28,668.0,672.0,641.0,653.0,-2.25,23891.0,15647931.8,-1
2023-05-30,640.0,643.0,621.0,622.9,-4.61,33440.0,20929434.8,-1
2023-05-31,610.5,634.0,598.3,606.0,-2.71,22279.0,13560400.2,-1
2023-06-01,609.0,620.0,597.2,614.9,1.47,24326.0,14778108.7,1
