published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-05-21,399.7,414.0,399.7,404.8,3.3,43573.0,17758873.5,1
2023-05-22,397.0,412.5,396.9,412.0,1.78,20116.0,8149873.2,1
2023-05-23,404.0,431.9,404.0,430.0,4.37,24766.0,10516708.2,1
2023-05-24,430.0,438.6,422.0,432.0,0.47,26171.0,11251072.0,1
2023-05-28,432.0,440.0,415.0,415.0,-3.94,30792.0,13100101.6,-1
2023-05-30,415.0,415.9,402.0,402.1,-3.11,26241.0,10673452.2,-1
2023-05-31,400.0,410.0,389.0,390.1,-2.98,15572.0,6208803.9,-1
2023-06-01,390.1,404.9,390.0,397.7,1.95,17526.0,6962964.9,1
2023-06-04,395.0,421.9,395.0,414.0,4.1,20073.0,8316558.1,1
2023-06-05,410.0,423.4,407.8,423.4,2.27,34941.0,14457402.4,1
2023-06-06,415.0,438.0,410.1,433.0,2.27,37275.0,15936414.2,1
2023-06-07,433.0,445.0,427.0,435.0,0.46,40748.0,17845098.1,1
2023-06-08,435.0,472.0,430.0,451.0,3.68,82220.0,37174569.4,1
2023-06-11,460.0,496.0,453.0,483.0,7.1,99353.0,47230785.8,1
2023-06-12,485.0,492.0,476.5,485.0,0.41,46221.0,22283832.1,1
2023-06-13,475.3,511.8,475.1,495.0,2.06,88821.0,44062062.0,1
2023-06-14,494.0,512.0,488.0,500.0,1.01,105570.0,52930954.6,1
2023-06-15,490.0,532.6,490.0,529.0,5.8,81479.0,41778901.0,1
2023-06-18,529.0,560.6,527.0,560.0,5.86,111573.0,61371848.4,1
2023-06-19,571.2,571.2,534.3,551.0,-1.61,120933.0,66143138.2,-1
2023-06-20,550.0,560.0,530.0,531.0,-3.63,58249.0,31557547.5,-1
2023-06-21,520.5,549.0,520.5,535.0,0.75,61832.0,33276175.8,1
2023-06-22,540.0,555.0,530.0,550.0,2.8,97740.0,53314221.3,1
2023-06-25,555.0,598.2,555.0,598.2,8.76,169906.0,100027792.1,1
2023-06-26,610.1,619.9,581.0,581.1,-2.86,97279.0,58069152.0,-1
2023-06-27,581.0,603.0,570.0,575.0,-1.05,73392.0,42408989.9,-1
2023-06-28,575.0,602.0,566.0,588.0,2.26,106697.0,62075721.0,1
2023-07-02,588.0,608.0,577.1,590.0,0.34,129138.0,77055214.7,1
2023-07-03,578.3,598.0,574.0,579.0,-1.86,63654.0,37228443.7,-1
2023-07-04,580.0,585.0,563.0,575.9,-0.54,47284.0,27023641.5,-1
2023-07-05,565.0,580.0,548.0,554.0,-3.8,63390.0,35416677.7,-1
2023-07-06,550.0,560.0,538.0,547.9,-1.1,47513.0,26024080.6,-1
2023-07-09,540.0,568.0,540.0,568.0,3.67,50579.0,28344593.6,1
2023-07-10,568.0,584.0,560.0,570.0,0.35,47162.0,26942050.8,1
2023-07-11,560.0,570.5,558.0,570.0,0.0,28262.0,15926283.9,0
2023-07-12,560.1,570.0,560.1,567.9,-0.37,40013.0,22618074.5,-1
2023-07-13,568.0,578.0,552.3,552.5,-2.71,39668.0,22310289.2,-1
2023-07-16,548.0,563.0,548.0,556.0,0.63,21147.0,11697834.8,1
2023-07-17,550.0,575.0,548.0,570.2,2.55,35502.0,20135864.8,1
2023-07-18,570.0,593.0,570.0,577.0,1.19,62290.0,36151612.7,1
2023-07-19,578.0,582.0,565.0,565.0,-2.08,50842.0,29165608.5,-1
2023-07-20,560.0,571.2,560.0,562.0,-0.53,25126.0,14223692.3,-1
2023-07-23,553.0,575.0,553.0,565.0,0.53,44357.0,25167171.5,1
2023-07-24,556.0,574.0,556.0,568.0,0.53,46718.0,26585817.3,1
2023-07-25,568.0,575.0,558.6,558.6,-1.65,34218.0,19318048.8,-1
2023-07-26,557.0,563.0,552.2,556.0,-0.47,27486.0,15289755.2,-1
2023-07-27,552.1,566.0,546.0,550.0,-1.08,26802.0,14732897.1,-1
2023-07-30,550.0,555.0,534.0,536.9,-2.38,44307.0,23928987.9,-1
2023-07-31,536.9,546.0,531.0,537.6,0.13,19685.0,10658121.3,1
2023-08-01,539.4,556.0,523.4,524.0,-2.53,16508.0,8745398.9,-1
2023-08-02,513.7,534.0,513.7,525.0,0.19,10816.0,5618065.9,1
2023-08-03,535.5,544.0,525.0,531.1,1.16,24985.0,13376130.2,1
2023-08-06,521.1,540.0,515.1,520.0,-2.09,19435.0,10146696.5,-1
2023-08-07,525.0,541.0,510.0,520.0,0.0,14717.0,7629830.7,0
2023-08-08,530.0,540.0,510.0,512.0,-1.54,27931.0,14495235.2,-1
2023-08-09,507.1,530.0,507.0,522.3,2.01,16159.0,8301232.7,1
2023-08-10,522.0,540.6,512.2,535.0,2.43,18179.0,9573440.7,1
2023-08-13,535.0,535.0,520.2,534.0,-0.19,20243.0,10711027.6,-1
2023-08-14,525.0,545.0,525.0,531.1,-0.54,36089.0,19387461.7,-1
2023-08-15,530.0,532.0,517.2,520.0,-2.09,20593.0,10798381.6,-1
2023-08-16,520.0,520.0,511.1,514.0,-1.15,19839.0,10192992.9,-1
2023-08-17,523.0,541.0,515.0,532.0,3.5,36757.0,19517932.8,1
2023-08-20,522.0,528.0,519.3,524.0,-1.5,15949.0,8339888.0,-1
2023-08-21,524.0,530.1,514.0,518.0,-1.15,16624.0,8671970.5,-1
2023-08-22,520.0,526.4,514.0,525.9,1.53,9119.0,4743272.2,1
2023-08-23,529.8,545.0,524.0,545.0,3.63,67742.0,36461576.5,1
2023-08-24,542.0,547.5,529.5,530.0,-2.75,40419.0,21708930.7,-1
2023-08-27,532.0,532.0,518.3,523.9,-1.15,19842.0,10344693.3,-1
2023-08-28,514.0,532.0,514.0,523.5,-0.08,13348.0,6990099.9,-1
2023-08-29,533.9,533.9,515.1,516.8,-1.28,11860.0,6158615.0,-1
2023-08-30,516.8,519.0,514.0,514.3,-0.48,14379.0,7421599.4,-1
2023-09-03,510.0,513.0,499.0,504.8,-1.85,31970.0,16093439.4,-1
2023-09-04,495.0,512.0,494.5,502.0,-0.55,15005.0,7481594.1,-1
2023-09-05,493.0,505.0,492.1,492.8,-1.83,11033.0,5454589.7,-1
2023-09-07,490.0,495.0,480.2,482.0,-2.19,11882.0,5764420.0,-1
2023-09-10,475.0,484.0,475.0,477.6,-0.91,20640.0,9881252.1,-1
2023-09-11,471.0,508.9,471.0,499.0,4.48,20984.0,10415991.0,1
2023-09-12,490.1,502.0,486.5,496.0,-0.6,14257.0,7047888.7,-1
2023-09-13,490.0,518.4,490.0,516.0,4.03,28300.0,14403635.3,1
2023-09-17,506.0,509.9,493.0,496.0,-3.88,29262.0,14596805.3,-1
2023-09-18,488.0,505.0,486.1,501.0,1.01,9326.0,4617926.0,1
2023-09-19,492.5,509.0,492.5,505.0,0.8,13940.0,6969503.2,1
2023-09-21,510.0,524.0,507.1,516.0,2.18,49608.0,25678750.0,1
2023-09-24,510.0,516.0,500.0,503.0,-2.52,20934.0,10611879.0,-1
2023-09-25,502.0,510.0,496.0,499.9,-0.62,11230.0,5630534.3,-1
2023-09-26,499.0,510.0,499.0,505.0,1.02,19877.0,9995794.7,1
2023-09-27,495.1,504.0,495.1,501.0,-0.79,15635.0,7785773.8,-1
2023-10-01,493.0,497.0,484.2,489.0,-2.4,17644.0,8597443.7,-1
2023-10-02,481.0,498.7,480.0,491.0,0.41,16311.0,7941988.4,1
2023-10-03,481.5,487.0,481.2,481.2,-2.0,6083.0,2942564.4,-1
2023-10-04,474.1,507.0,474.1,485.0,0.79,9881.0,4778452.0,1
2023-10-05,478.1,484.0,477.6,482.5,-0.52,17806.0,8539288.8,-1
2023-10-08,479.0,480.0,458.0,460.0,-4.66,19069.0,8879025.8,-1
2023-10-09,452.0,463.0,450.0,455.0,-1.09,12611.0,5725068.6,-1
2023-10-10,446.0,463.0,445.9,446.9,-1.78,15537.0,6964408.8,-1
2023-10-11,441.0,466.1,441.0,466.1,4.3,11339.0,5098937.6,1
2023-10-12,456.8,456.8,440.1,446.5,-4.21,10748.0,4823162.1,-1
2023-10-16,440.0,440.0,417.9,428.0,-4.14,26607.0,11297469.0,-1
2023-10-17,422.0,435.9,422.0,423.0,-1.17,6101.0,2607399.3,-1
2023-10-18,420.0,440.0,419.0,432.0,2.13,9997.0,4329715.1,1
2023-10-19,426.0,440.0,425.2,434.8,0.65,13771.0,5981363.0,1
2023-10-29,427.3,427.3,420.0,422.2,-2.9,5377.0,2269472.1,-1
2023-10-30,430.6,436.0,415.0,436.0,3.27,10932.0,4587744.2,1
2023-10-31,429.0,430.0,418.0,430.0,-1.38,4122.0,1741158.0,-1
2023-11-01,430.0,430.0,416.0,421.0,-2.09,5346.0,2252477.3,-1
2023-11-02,416.0,437.9,413.3,418.9,-0.5,9506.0,3960065.1,-1
2023-11-05,411.2,412.0,401.5,409.8,-2.17,13314.0,5405635.0,-1
2023-11-06,401.7,419.0,401.7,419.0,2.24,11991.0,4953742.0,1
2023-11-07,419.0,424.0,412.4,421.5,0.6,6213.0,2606669.3,1
2023-11-08,419.0,428.4,415.0,425.0,0.83,5674.0,2400152.0,1
2023-11-09,420.0,433.0,414.1,418.0,-1.65,9178.0,3840249.8,-1
2023-11-20,420.0,430.0,416.6,424.0,1.44,12309.0,5230849.4,1
2023-11-21,416.3,420.0,411.1,413.3,-2.52,4793.0,1991972.8,-1
2023-11-22,413.0,424.0,407.7,424.0,2.59,8975.0,3749391.2,1
2023-11-23,416.0,459.0,416.0,459.0,8.25,30831.0,13539880.4,1
2023-11-26,454.0,483.4,450.0,478.0,4.14,28515.0,13417656.7,1
2023-11-27,469.0,480.0,462.0,468.0,-2.09,36942.0,17236838.5,-1
2023-11-28,460.1,471.0,460.1,466.0,-0.43,6085.0,2841183.5,-1
2023-11-29,461.0,472.0,454.2,460.0,-1.29,13253.0,6110107.2,-1
