published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-11-26,171.00,182.00,163.00,165.00,-2.94,176095.00,30188044.00,-1
2020-11-29,167.00,170.00,160.00,164.00,-0.61,72630.00,11918630.00,-1
2020-11-30,164.00,171.00,159.00,169.00,3.05,85580.00,14080840.00,1
2020-12-01,167.00,171.00,160.00,163.00,-3.55,69010.00,11297270.00,-1
2020-12-02,161.00,170.00,158.00,161.00,-1.23,57005.00,9175181.00,-1
2020-12-03,164.00,165.00,159.00,159.00,-1.24,71987.00,11535653.00,-1
2020-12-06,156.00,171.00,152.00,152.00,-4.40,49295.00,7604955.00,-1
2020-12-07,155.00,158.00,152.00,157.00,3.29,31125.00,4828475.00,1
2020-12-08,160.00,163.00,156.00,159.00,1.27,47902.00,7646481.00,1
2020-12-09,166.00,168.00,159.00,162.00,1.89,104746.00,17117124.00,1
2020-12-10,160.00,165.00,157.00,162.00,0.00,36137.00,5815996.00,0
2020-12-13,165.00,165.00,156.00,160.00,-1.23,62850.00,10031063.00,-1
2020-12-14,162.00,166.00,157.00,157.00,-1.88,34291.00,5439940.00,-1
2020-12-15,160.00,160.00,155.00,158.00,0.64,36110.00,5648811.00,1
2020-12-16,155.00,159.00,153.00,155.00,-1.90,12840.00,1991430.00,-1
2020-12-17,153.00,155.00,148.00,153.00,-1.29,69225.00,10472885.00,-1
2020-12-20,150.00,155.00,140.00,142.00,-7.19,20990.00,3060890.00,-1
2020-12-21,140.00,148.00,129.00,139.00,-2.11,23675.00,3307080.00,-1
2020-12-22,145.00,152.00,143.00,147.00,5.76,22635.00,3301390.00,1
2020-12-23,147.00,149.00,140.00,140.00,-4.76,20196.00,2889230.00,-1
2020-12-24,142.00,147.00,141.00,141.00,0.71,10750.00,1549580.00,1
2020-12-27,141.00,145.00,141.00,142.00,0.71,10252.00,1464524.00,1
2020-12-28,143.00,146.00,141.00,141.00,-0.70,5155.00,739130.00,-1
2020-12-29,141.00,147.00,141.00,143.00,1.42,23640.00,3386680.00,1
2020-12-30,145.00,150.00,141.00,146.00,2.10,34885.00,5108995.00,1
2020-12-31,148.00,154.00,146.00,152.00,4.11,62785.00,9495985.00,1
2021-01-03,152.00,155.00,147.00,147.00,-3.29,28170.00,4251065.00,-1
