published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-12,1346.0,1346.0,1236.1,1236.1,-10.0,1339.0,1682504.1,-1
2022-05-17,1212.0,1212.0,1112.5,1112.5,-10.0,1298.0,1452498.0,-1
2022-05-18,1090.3,1090.3,1001.3,1001.3,-10.0,1371.0,1389833.3,-1
2022-05-19,982.0,985.0,925.2,950.0,-5.12,16061.0,15486469.2,-1
2022-05-20,960.0,985.0,930.0,930.0,-2.11,4580.0,4338707.0,-1
2022-05-23,911.4,911.4,885.0,895.0,-3.76,3626.0,3240491.2,-1
2022-05-24,912.5,915.0,841.1,857.0,-4.25,10440.0,9131820.7,-1
2022-05-25,874.1,889.0,842.8,878.0,2.45,6856.0,5902604.6,1
2022-05-26,878.0,884.9,860.0,870.0,-0.91,3286.0,2848771.7,-1
2022-05-27,879.0,879.0,850.1,868.0,-0.23,3085.0,2654684.8,-1
2022-05-30,868.0,868.0,830.0,835.0,-3.8,5166.0,4380894.5,-1
2022-05-31,835.0,835.0,804.0,809.0,-3.11,3811.0,3108193.0,-1
2022-06-01,825.0,841.5,794.0,794.0,-1.85,6105.0,4930016.7,-1
2022-06-02,794.0,809.0,785.0,785.1,-1.12,5935.0,4694964.4,-1
2022-06-03,775.0,784.0,755.0,757.0,-3.58,10284.0,7904095.7,-1
2022-06-06,772.1,772.1,751.0,758.0,0.13,4105.0,3103803.2,1
2022-06-07,768.9,769.0,743.0,754.0,-0.53,4257.0,3220312.2,-1
2022-06-08,763.0,801.0,750.0,790.0,4.77,4832.0,3764788.6,1
2022-06-09,805.8,820.0,760.0,778.0,-1.52,3424.0,2666699.7,-1
2022-06-10,765.0,784.0,755.0,770.0,-1.03,879.0,675710.7,-1
2022-06-13,770.0,770.0,750.0,750.0,-2.6,1772.0,1339170.5,-1
2022-06-14,755.0,755.0,722.0,722.0,-3.73,3264.0,2395151.2,-1
2022-06-15,722.0,750.0,710.0,730.0,1.11,2240.0,1639319.6,1
2022-06-16,720.1,755.0,720.1,738.9,1.22,1819.0,1354576.3,1
2022-06-17,750.0,750.0,740.0,747.4,1.15,565.0,420648.0,1
2022-06-19,746.0,746.0,713.0,715.1,-4.32,3746.0,2701055.7,-1
2022-06-20,702.0,702.0,675.0,678.0,-5.19,5036.0,3443415.5,-1
2022-06-21,691.5,711.0,686.1,700.0,3.24,3718.0,2599759.2,1
2022-06-22,692.0,705.0,690.0,701.0,0.14,2221.0,1548222.0,1
2022-06-23,690.0,699.0,666.0,698.0,-0.43,3285.0,2225833.8,-1
2022-06-24,684.1,708.8,671.3,708.0,1.43,1356.0,942109.9,1
2022-06-26,710.0,754.0,709.0,750.0,5.93,3242.0,2384725.1,1
2022-06-27,765.0,765.0,718.4,734.0,-2.13,4031.0,2962026.6,-1
2022-06-28,719.4,736.4,711.0,716.0,-2.45,1939.0,1405139.7,-1
2022-06-29,726.0,773.0,713.0,748.9,4.59,8927.0,6621211.0,1
2022-06-30,755.0,823.7,751.0,823.7,9.99,15537.0,12546700.0,1
2022-07-01,840.0,841.0,810.0,830.0,0.76,4590.0,3796930.9,1
2022-07-03,830.0,847.8,814.0,845.0,1.81,5632.0,4688347.0,1
2022-07-04,831.5,870.0,812.0,812.0,-3.91,17988.0,15233198.2,-1
2022-07-05,797.0,831.0,786.0,800.0,-1.48,6610.0,5273521.7,-1
2022-07-06,786.0,805.0,780.0,797.0,-0.38,4085.0,3224885.8,-1
2022-07-07,812.9,815.0,778.0,778.0,-2.38,3003.0,2391663.9,-1
2022-07-08,767.0,775.0,752.0,775.0,-0.39,3732.0,2850634.7,-1
