published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-10,319.8,351.7,319.8,351.7,9.97,300.0,102647.0,1
2025-12-11,358.7,386.8,358.7,386.8,9.98,320.0,122242.0,1
2025-12-14,379.5,425.4,379.5,425.4,9.98,500.0,210646.0,1
2025-12-15,433.9,467.9,433.9,467.9,9.99,460.0,214398.0,1
2025-12-16,461.8,514.6,461.8,514.6,9.98,560.0,286427.0,1
2025-12-17,524.8,566.0,524.8,566.0,9.99,640.0,360815.0,1
2025-12-18,577.2,622.6,577.2,622.6,10.0,1070.0,664611.0,1
2025-12-21,635.0,684.8,635.0,684.8,9.99,1840.0,1258313.0,1
2025-12-22,676.7,753.2,676.7,753.2,9.99,64350.0,48465144.0,1
2025-12-23,768.2,816.0,766.0,806.0,7.01,391371.0,309817308.5,1
2025-12-24,806.0,840.0,791.1,815.0,1.12,179261.0,144935383.2,1
2025-12-28,798.7,805.0,781.7,800.0,-1.84,238510.0,189260777.9,-1
2025-12-29,800.0,880.0,800.0,880.0,10.0,271908.0,230241936.9,1
2025-12-31,870.0,968.0,870.0,968.0,10.0,96982.0,92354539.9,1
2026-01-01,987.0,1064.8,973.0,1056.0,9.09,226280.0,234111465.5,1
2026-01-04,1034.9,1144.0,995.0,1121.0,6.16,290504.0,306585076.9,1
2026-01-05,1098.6,1233.1,1098.6,1233.1,10.0,146092.0,175140756.1,1
2026-01-06,1257.7,1356.4,1255.0,1300.0,5.43,188305.0,248836986.7,1
2026-01-07,1326.0,1326.0,1190.0,1190.1,-8.45,217502.0,269497282.7,-1
2026-01-08,1190.0,1295.0,1169.0,1258.0,5.71,161155.0,200632769.5,1
2026-01-12,1232.9,1383.8,1209.0,1383.8,10.0,318411.0,422248843.7,1
2026-01-13,1411.4,1502.0,1377.9,1410.1,1.9,242010.0,348154526.1,1
2026-01-14,1410.1,1439.9,1365.0,1383.0,-1.92,157437.0,220185276.1,-1
2026-01-18,1385.0,1500.0,1370.0,1480.0,6.86,258416.0,373962149.6,1
2026-01-20,1509.5,1588.0,1509.5,1560.0,5.41,172385.0,268728600.7,1
2026-01-21,1565.0,1588.0,1525.0,1555.0,-0.32,151540.0,235428594.7,-1
2026-01-22,1550.0,1710.5,1540.0,1710.5,10.0,202436.0,329578570.7,1
2026-01-25,1744.7,1881.5,1744.7,1881.5,10.0,128089.0,237396362.7,1
2026-01-26,1919.1,2069.6,1881.5,2069.6,10.0,251200.0,501708813.6,1
2026-01-27,2110.0,2255.9,1881.0,2015.0,-2.64,274221.0,576838791.9,-1
2026-01-28,2055.3,2159.9,2022.7,2132.0,5.81,237756.0,498804873.3,1
2026-01-29,2174.6,2210.0,1940.0,1940.0,-9.01,254144.0,522954989.0,-1
2026-02-01,1920.0,2010.0,1822.1,1846.1,-4.84,284858.0,536486965.5,-1
2026-02-02,1855.0,2030.7,1855.0,2030.7,10.0,194676.0,385003033.7,1
2026-02-03,2071.3,2233.0,2071.3,2128.9,4.84,273987.0,592908411.5,1
2026-02-04,2171.4,2171.4,2045.0,2075.0,-2.53,286844.0,603059715.6,-1
2026-02-05,2075.0,2150.0,2075.0,2115.0,1.93,255450.0,537410767.7,1
2026-02-08,2115.0,2155.0,2019.1,2019.1,-4.53,202578.0,424156406.5,-1
2026-02-09,2020.0,2050.0,1900.0,1939.0,-3.97,273774.0,540474871.0,-1
2026-02-10,1939.0,2014.9,1918.0,1933.0,-0.31,162032.0,318325898.0,-1
2026-02-11,1933.0,2011.0,1896.0,1910.0,-1.19,143236.0,274991976.1,-1
2026-02-12,1948.0,1974.0,1852.0,1892.0,-0.94,229050.0,434236761.5,-1
2026-02-16,1892.0,1979.9,1892.0,1960.0,3.59,177335.0,344211045.6,1
2026-02-17,1965.0,1980.0,1901.0,1906.0,-2.76,145770.0,283268419.6,-1
2026-02-22,1870.0,1938.0,1818.0,1822.0,-4.41,170423.0,317780938.7,-1
2026-02-23,1788.0,1887.0,1762.0,1770.0,-2.85,159678.0,287886070.0,-1
2026-02-24,1780.0,1875.0,1780.0,1871.1,5.71,207908.0,377291320.3,1
2026-02-25,1845.0,1950.0,1845.0,1898.9,1.49,122755.0,234713682.6,1
2026-02-26,1895.0,1916.0,1830.0,1855.0,-2.31,83064.0,155195443.1,-1
2026-03-01,1835.0,1860.0,1807.0,1840.4,-0.79,120554.0,221071633.3,-1
2026-03-03,1840.4,1895.0,1815.0,1885.0,2.42,132134.0,246753378.0,1
2026-03-09,1922.7,2040.0,1922.7,2030.0,7.69,14261.0,28682723.0,1
2026-03-10,2060.0,2060.0,1930.6,1940.0,-4.43,206056.0,407594908.4,-1
2026-03-11,1902.0,1978.0,1883.0,1891.1,-2.52,142698.0,273212607.8,-1
2026-03-12,1891.1,1917.9,1840.0,1850.0,-2.17,158269.0,297495043.9,-1
2026-03-15,1850.0,1887.0,1825.0,1833.0,-0.92,82835.0,152440958.9,-1
2026-03-16,1833.0,1897.0,1812.0,1866.0,1.8,200933.0,372330968.0,1
2026-03-17,1878.0,1889.9,1830.0,1838.1,-1.5,100790.0,186183957.9,-1
2026-03-19,1838.0,1912.0,1802.0,1855.0,0.92,184387.0,341768539.9,1
2026-03-22,1855.0,1897.0,1845.0,1865.0,0.54,193835.0,361755390.0,1
2026-03-23,1827.7,1870.0,1827.7,1855.0,-0.54,120648.0,224207800.8,-1
2026-03-24,1855.0,1920.0,1840.0,1875.0,1.08,147624.0,274745570.5,1
2026-03-25,1838.0,2031.0,1838.0,1940.0,3.47,231213.0,442892436.0,1
2026-03-26,1940.0,2065.0,1940.0,2019.9,4.12,357168.0,719250790.4,1
2026-03-29,2010.0,2020.0,1925.1,1926.1,-4.64,199954.0,393569206.4,-1
2026-03-30,1920.0,1960.0,1887.6,1893.0,-1.72,172198.0,330727730.4,-1
2026-03-31,1893.0,1916.0,1847.0,1899.9,0.36,199349.0,374603222.9,1
2026-04-01,1871.0,1899.0,1830.0,1843.0,-2.99,144439.0,268779194.5,-1
2026-04-02,1806.2,1880.0,1806.2,1845.0,0.11,194397.0,357012589.3,1
2026-04-05,1808.1,1830.0,1717.2,1759.0,-4.66,172225.0,307154751.1,-1
2026-04-06,1750.0,1845.0,1740.0,1820.0,3.47,148598.0,266700354.0,1
2026-04-07,1820.0,1893.0,1810.0,1839.0,1.04,127619.0,234885300.2,1
2026-04-08,1840.0,1903.0,1815.0,1901.0,3.37,251874.0,468182727.6,1
2026-04-09,1864.0,1960.0,1864.0,1885.0,-0.84,181302.0,346844798.2,-1
2026-04-10,1885.0,1922.0,1830.0,1849.0,-1.91,131213.0,244429989.8,-1
2026-04-13,1849.0,1860.0,1820.0,1841.0,-0.43,174910.0,320898520.5,-1
2026-04-15,1841.0,1865.0,1825.0,1844.0,0.16,111290.0,205249567.4,1
2026-04-16,1830.0,1835.0,1765.0,1771.0,-3.96,287358.0,516017105.8,-1
2026-04-17,1775.0,1775.0,1721.0,1750.0,-1.19,132703.0,231870608.3,-1
2026-04-20,1750.0,1770.0,1715.4,1715.4,-1.98,75166.0,129961619.3,-1
2026-04-21,1715.4,1730.0,1670.0,1680.0,-2.06,105818.0,180822981.4,-1
2026-04-22,1680.0,1700.0,1589.0,1645.0,-2.08,165694.0,268908280.1,-1
2026-04-23,1700.0,1700.0,1590.0,1600.0,-2.74,66822.0,107724448.0,-1
2026-04-24,1600.0,1600.0,1552.1,1579.0,-1.31,92456.0,145145112.4,-1
2026-04-27,1655.0,1655.0,1580.0,1588.0,0.57,37498.0,59890251.0,1
2026-04-28,1585.0,1620.0,1515.0,1520.0,-4.28,87894.0,136182634.0,-1
2026-04-29,1520.0,1520.0,1435.0,1445.0,-4.93,102090.0,150109828.1,-1
2026-04-30,1462.0,1544.0,1378.0,1497.0,3.6,87391.0,127600382.2,1
2026-05-04,1550.0,1550.0,1401.0,1408.0,-5.95,45235.0,65347974.1,-1
2026-05-05,1478.4,1478.4,1381.1,1411.1,0.22,34777.0,49402520.3,1
