published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-08,515.10,518.00,499.00,509.00,-3.03,4730.00,2395931.50,-1
2021-12-09,500.00,527.00,500.00,507.00,-0.39,3765.00,1898855.00,-1
2021-12-12,497.00,497.00,461.30,489.90,-3.37,5500.00,2627234.00,-1
2021-12-13,480.20,489.80,445.00,445.00,-9.17,3131.00,1419992.50,-1
2021-12-14,445.00,489.50,437.00,489.50,10.00,2824.00,1354829.90,1
2021-12-15,499.20,510.00,451.50,480.50,-1.84,6477.00,3123590.00,-1
2021-12-16,480.00,490.00,453.90,454.10,-5.49,3080.00,1420685.00,-1
2021-12-20,453.90,453.90,420.00,430.00,-5.31,3160.00,1377966.00,-1
2021-12-21,430.00,438.60,415.10,416.00,-3.26,7301.00,3096587.60,-1
2021-12-22,424.00,452.00,424.00,443.00,6.49,6721.00,2910865.90,1
2021-12-23,440.00,459.00,425.40,430.00,-2.93,4101.00,1794864.70,-1
2021-12-26,430.00,445.00,425.10,434.40,1.02,2611.00,1124244.10,1
2021-12-27,426.00,434.00,414.00,415.00,-4.47,3090.00,1301527.00,-1
2021-12-28,407.00,431.00,404.00,419.00,0.96,3243.00,1351425.20,1
2021-12-29,410.70,422.00,405.00,415.00,-0.95,2891.00,1187995.00,-1
2022-01-02,408.00,428.90,408.00,428.00,3.13,2170.00,909541.00,1
2022-01-03,420.00,430.00,415.50,427.30,-0.16,2585.00,1091430.50,-1
2022-01-04,425.00,430.00,408.10,426.00,-0.30,1800.00,755491.00,-1
2022-01-05,431.00,460.00,425.00,449.00,5.40,11440.00,5125003.00,1
2022-01-06,449.00,493.90,432.00,493.90,10.00,15247.00,7350514.20,1
2022-01-09,494.00,530.00,487.10,522.00,5.69,15407.00,7826020.00,1
2022-01-10,512.00,550.80,501.00,517.00,-0.96,7729.00,4037607.00,-1
2022-01-11,517.00,525.00,505.00,519.00,0.39,6316.00,3257915.00,1
2022-01-12,515.00,518.00,495.00,496.00,-4.43,15279.00,7722370.00,-1
2022-01-13,505.00,515.00,486.10,513.00,3.43,3810.00,1905556.90,1
2022-01-16,513.00,543.00,502.80,537.00,4.68,24382.00,12936090.40,1
2022-01-17,547.70,547.70,519.40,547.00,1.86,16720.00,8819934.60,1
2022-01-18,540.00,572.30,531.30,569.00,4.02,16461.00,9150812.60,1
2022-01-19,558.00,585.00,542.00,578.00,1.58,11092.00,6169083.00,1
2022-01-20,578.00,635.80,557.00,635.80,10.00,39442.00,24227909.10,1
2022-01-23,635.80,652.00,615.00,635.00,-0.13,24095.00,15177206.30,-1
2022-01-24,635.00,645.00,573.30,599.00,-5.67,25768.00,15329076.10,-1
2022-01-25,587.10,610.90,570.00,589.90,-1.52,11375.00,6738175.10,-1
2022-01-26,585.00,600.00,550.00,582.00,-1.34,10531.00,5955045.50,-1
2022-01-27,575.00,598.00,566.50,598.00,2.75,6338.00,3688129.60,1
2022-01-30,609.90,617.00,595.20,609.10,1.86,15837.00,9621629.60,1
2022-01-31,600.10,627.00,588.00,607.00,-0.34,11061.00,6730080.20,-1
2022-02-01,605.00,620.00,596.00,611.00,0.66,10548.00,6455138.00,1
2022-02-03,613.00,663.00,613.00,635.00,3.93,26223.00,16538315.70,1
2022-02-06,630.00,635.00,605.00,607.00,-4.41,13698.00,8464703.00,-1
2022-02-07,594.90,637.60,594.90,612.00,0.82,7990.00,4872429.00,1
2022-02-08,624.20,636.00,589.00,592.10,-3.25,10431.00,6360125.50,-1
2022-02-09,592.10,603.20,576.20,594.00,0.32,3959.00,2308706.00,1
2022-02-10,584.00,591.60,570.00,584.60,-1.58,7840.00,4533021.50,-1
2022-02-13,573.00,573.00,546.00,547.00,-6.43,8366.00,4650119.50,-1
2022-02-14,536.10,560.00,536.10,552.00,0.91,2717.00,1495213.90,1
2022-02-15,541.10,600.00,541.10,600.00,8.70,5415.00,3152916.20,1
2022-02-16,600.00,600.00,570.00,587.00,-2.17,7512.00,4375624.00,-1
2022-02-17,598.00,642.60,576.30,625.00,6.47,32814.00,20446951.10,1
2022-02-20,637.50,687.50,590.00,679.00,8.64,49835.00,33049189.70,1
2022-02-21,675.0,728.0,670.0,710.0,4.57,27533.0,19303037.6,1
2022-02-22,710.0,780.3,696.0,758.0,6.76,24134.0,17807026.3,1
2022-02-23,773.1,825.0,742.9,825.0,8.84,39640.0,31135437.9,1
2022-02-24,809.0,824.0,763.0,821.0,-0.48,26523.0,21239913.2,1
2022-02-27,805.0,812.0,785.0,788.0,-4.02,26449.0,21081675.7,-1
2022-02-28,800.0,800.0,709.2,709.2,-10.0,25503.0,18489681.8,-1
2022-03-02,695.1,700.0,641.3,670.0,-5.53,17737.0,11708771.6,-1
