published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-22,300.0,345.0,300.0,345.0,15.0,260.0,87924.0,1
2026-06-23,346.1,396.7,346.1,396.7,14.99,220.0,85807.0,1
2026-06-24,408.6,456.2,408.6,456.2,15.0,240.0,108332.0,1
2026-06-25,456.6,524.6,456.6,524.6,14.99,338.0,175050.8,1
2026-06-26,540.3,603.2,540.3,603.2,14.98,630.0,378489.0,1
2026-06-29,633.3,693.6,633.3,693.6,14.99,3620.0,2506563.0,1
2026-06-30,728.2,772.5,591.1,596.3,-14.03,179731.0,113278711.0,-1
2026-07-01,596.0,655.0,550.0,618.2,3.67,75170.0,45805100.0,1
2026-07-02,618.0,640.0,590.0,596.6,-3.49,41840.0,25099760.0,-1
2026-07-03,566.8,602.0,566.8,584.0,-2.11,44285.0,26140019.9,1
2026-07-06,554.8,583.0,554.2,555.0,-4.97,51401.0,28888180.4,1
2026-07-07,540.0,560.0,530.1,530.5,-4.41,57686.0,31084234.0,-1
2026-07-08,530.0,530.0,500.0,510.0,-3.86,38135.0,19505078.9,-1
2026-07-09,500.1,505.0,490.1,496.0,-2.75,27489.0,13661085.5,-1
2026-07-10,496.0,539.6,485.0,525.8,6.01,31763.0,16351167.5,1
2026-07-13,520.0,520.0,493.0,493.0,-6.24,25046.0,12627679.2,-1
2026-07-14,500.0,504.9,480.2,496.0,0.61,31104.0,15344898.4,-1
2026-07-15,494.0,506.0,492.0,494.0,-0.4,17167.0,8554860.4,0
2026-07-16,496.0,506.8,477.0,494.8,0.16,29596.0,14518554.3,-1
2026-07-17,494.0,524.0,494.0,516.0,4.28,44421.0,22733296.8,1
2026-07-20,516.0,546.5,504.0,536.1,3.9,44722.0,23694974.1,1
