published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-08-29,93.00,94.00,92.00,94.00,0.00,9298.00,858426.00,0
2011-08-30,94.00,93.00,93.00,93.00,0.00,30.00,2790.00,0
2011-09-04,93.00,92.00,92.00,92.00,0.00,230.00,21160.00,0
2011-09-05,92.00,91.00,91.00,91.00,0.00,20.00,1820.00,0
2011-09-12,91.00,91.00,90.00,91.00,0.00,490.00,44210.00,0
2011-09-18,91.00,90.00,88.00,88.00,0.00,170.00,15150.00,0
2011-09-25,88.00,88.00,86.00,86.00,0.00,250.00,21960.00,0
2011-09-29,86.00,85.00,85.00,85.00,0.00,90.00,7650.00,0
2011-11-09,85.00,86.00,85.00,86.00,0.00,80.00,6820.00,0
2011-11-10,86.00,86.00,86.00,86.00,0.00,70.00,6020.00,0
2011-11-17,86.00,85.00,84.00,84.00,0.00,180.00,15220.00,0
2011-11-20,84.00,84.00,84.00,84.00,0.00,30.00,2520.00,0
2011-11-21,84.00,85.00,85.00,85.00,0.00,146631.00,12463635.00,0
2011-11-22,85.00,84.00,84.00,84.00,0.00,70.00,5880.00,0
2011-12-12,84.00,83.00,82.00,82.00,0.00,240.00,19840.00,0
2011-12-21,82.00,83.00,83.00,83.00,0.00,80.00,6640.00,0
2011-12-27,83.00,84.00,84.00,84.00,0.00,50.00,4200.00,0
2012-01-08,84.00,83.00,83.00,83.00,0.00,70.00,5810.00,0
2012-01-31,83.00,82.00,81.00,82.00,0.00,380.00,31080.00,0
2012-02-07,82.00,82.00,81.00,82.00,0.00,1410.00,115610.00,0
2012-02-21,82.00,81.00,81.00,81.00,0.00,160.00,12960.00,0
2012-02-23,81.00,80.00,79.00,79.00,0.00,120.00,9590.00,0
2012-02-27,79.00,80.00,80.00,80.00,0.00,30.00,2400.00,0
2012-02-29,80.00,79.00,79.00,79.00,0.00,40.00,3160.00,0
2012-03-05,79.00,80.00,80.00,80.00,0.00,40.00,3200.00,0
2012-03-12,80.00,81.00,81.00,81.00,0.00,200.00,16200.00,0
2012-03-15,81.00,81.00,81.00,81.00,0.00,140.00,11340.00,0
2012-03-19,81.00,80.00,80.00,80.00,0.00,50.00,4000.00,0
2012-03-20,80.00,81.00,81.00,81.00,0.00,60.00,4860.00,0
2012-03-25,81.00,81.00,81.00,81.00,0.00,190.00,15390.00,0
2012-03-27,81.00,80.00,78.00,78.00,0.00,190.00,15090.00,0
2012-03-28,78.00,78.00,77.00,78.00,0.00,80.00,6200.00,0
2012-04-01,78.00,77.00,76.00,76.00,0.00,140.00,10760.00,0
2012-04-09,76.00,75.00,74.00,74.00,0.00,400.00,29700.00,0
2012-05-22,74.00,75.00,75.00,75.00,0.00,10.00,750.00,0
2012-05-23,75.00,76.00,76.00,76.00,0.00,30.00,2280.00,0
2012-05-24,76.00,77.00,77.00,77.00,0.00,20.00,1540.00,0
2012-05-29,77.00,81.00,78.00,81.00,0.00,330.00,26250.00,0
2012-05-30,81.00,84.00,82.00,84.00,0.00,830.00,69220.00,0
2012-06-03,84.00,85.00,85.00,85.00,0.00,120.00,10200.00,0
2012-06-04,85.00,84.00,84.00,84.00,0.00,390.00,32760.00,0
2012-06-05,84.00,84.00,83.00,83.00,0.00,40.00,3330.00,0
2012-06-07,83.00,83.00,82.00,82.00,0.00,210.00,17280.00,0
2012-06-11,82.00,82.00,82.00,82.00,0.00,170.00,13940.00,0
2012-06-12,82.00,81.00,81.00,81.00,0.00,30.00,2430.00,0
2012-06-14,81.00,82.00,81.00,82.00,0.00,240.00,19610.00,0
2012-06-19,82.00,81.00,81.00,81.00,0.00,40.00,3240.00,0
2012-06-20,81.00,82.00,82.00,82.00,0.00,20.00,1640.00,0
2012-06-25,82.00,83.00,83.00,83.00,0.00,110.00,9130.00,0
2012-08-07,83.00,82.00,82.00,82.00,0.00,50.00,4100.00,0
2012-08-22,82.00,83.00,82.00,82.00,0.00,330.00,27280.00,0
2012-08-23,82.00,83.00,82.00,83.00,0.00,160.00,13220.00,0
2012-08-26,83.00,84.00,83.00,83.00,0.00,360.00,30160.00,0
2012-08-28,83.00,83.00,83.00,83.00,0.00,30.00,2490.00,0
2012-08-29,83.00,86.00,83.00,86.00,0.00,480.00,40770.00,0
2012-09-03,86.00,85.00,85.00,85.00,0.00,3070.00,260950.00,0
2012-09-04,85.00,84.00,84.00,84.00,0.00,10.00,840.00,0
2012-09-05,84.00,85.00,85.00,85.00,0.00,60.00,5100.00,0
2012-09-06,85.00,84.00,84.00,84.00,0.00,290.00,24360.00,0
2012-09-09,84.00,85.00,84.00,84.00,0.00,40.00,3380.00,0
2012-09-11,84.00,83.00,83.00,83.00,0.00,20.00,1660.00,0
2012-09-16,83.00,82.00,82.00,82.00,0.00,200.00,16400.00,0
2012-09-17,82.00,81.00,81.00,81.00,0.00,190.00,15390.00,0
2012-09-19,81.00,82.00,82.00,82.00,0.00,490.00,40180.00,0
2012-09-20,82.00,83.00,83.00,83.00,0.00,160.00,13280.00,0
2012-09-30,83.00,82.00,82.00,82.00,0.00,40.00,3280.00,0
2012-10-01,82.00,84.00,83.00,84.00,0.00,170.00,14240.00,0
2012-10-01,82.00,84.00,83.00,84.00,0.00,170.00,14240.00,0
2012-10-07,84.00,84.00,84.00,84.00,0.00,30.00,2520.00,0
2012-10-08,84.00,85.00,84.00,84.00,0.00,170.00,14350.00,0
2012-10-10,84.00,85.00,85.00,85.00,0.00,10.00,850.00,0
2012-10-11,85.00,85.00,85.00,85.00,0.00,20.00,1700.00,0
2012-10-14,85.00,85.00,85.00,85.00,0.00,20.00,1700.00,0
2012-10-17,85.00,85.00,85.00,85.00,0.00,190.00,16150.00,0
2012-11-11,85.00,85.00,85.00,85.00,0.00,40.00,3400.00,0
2012-11-27,85.00,84.00,84.00,84.00,0.00,40.00,3360.00,0
2012-11-28,84.00,84.00,84.00,84.00,0.00,20.00,1680.00,0
2012-12-11,84.00,85.00,85.00,85.00,0.00,20.00,1700.00,0
2012-12-13,85.00,85.00,85.00,85.00,0.00,10.00,850.00,0
2012-12-19,85.00,84.00,84.00,84.00,0.00,10.00,840.00,0
2012-12-20,84.00,84.00,84.00,84.00,0.00,220.00,18480.00,0
2012-12-26,84.00,85.00,85.00,85.00,0.00,120.00,10200.00,0
2012-12-27,85.00,87.00,85.00,87.00,0.00,770.00,66150.00,0
2012-12-31,87.00,86.00,86.00,86.00,0.00,30.00,2580.00,0
2013-01-01,86.00,86.00,86.00,86.00,0.00,10.00,860.00,0
2013-01-02,86.00,85.00,85.00,85.00,0.00,220.00,18700.00,0
2013-01-06,85.00,86.00,86.00,86.00,0.00,40.00,3440.00,0
2013-01-07,86.00,85.00,85.00,85.00,0.00,10.00,850.00,0
2013-01-17,85.00,86.00,86.00,86.00,0.00,10.00,860.00,0
2013-01-20,86.00,86.00,86.00,86.00,0.00,20.00,1720.00,0
2013-01-23,86.00,87.00,86.00,86.00,0.00,60.00,5180.00,0
2013-01-27,86.00,87.00,87.00,87.00,0.00,130.00,11310.00,0
2013-01-28,87.00,89.00,88.00,89.00,0.00,20.00,1770.00,0
2013-01-30,89.00,94.00,90.00,94.00,0.00,50.00,4600.00,0
2013-01-31,94.00,97.00,95.00,97.00,0.00,90.00,8660.00,0
2013-02-03,97.00,100.00,98.00,100.00,0.00,180.00,17830.00,0
2013-02-04,100.00,102.00,98.00,98.00,0.00,170.00,16810.00,0
2013-02-05,98.00,99.00,98.00,98.00,0.00,60.00,5920.00,0
2013-02-06,98.00,99.00,99.00,99.00,0.00,50.00,4950.00,0
2013-02-07,99.00,100.00,100.00,100.00,0.00,190.00,19000.00,0
2013-02-10,100.00,100.00,99.00,100.00,0.00,60.00,5960.00,0
2013-02-12,100.00,100.00,100.00,100.00,0.00,30.00,3000.00,0
2013-02-13,100.00,100.00,99.00,100.00,0.00,180.00,17850.00,0
2013-02-14,100.00,100.00,100.00,100.00,0.00,10.00,1000.00,0
2013-02-19,100.00,100.00,100.00,100.00,0.00,90.00,9000.00,0
2013-02-20,100.00,99.00,98.00,99.00,0.00,30.00,2950.00,0
2013-02-21,99.00,100.00,100.00,100.00,0.00,120.00,12000.00,0
2013-02-25,100.00,102.00,102.00,102.00,0.00,310.00,31620.00,0
2013-02-27,102.00,101.00,100.00,101.00,0.00,150.00,15120.00,0
2013-02-28,101.00,100.00,100.00,100.00,0.00,110.00,11000.00,0
2013-03-03,100.00,100.00,100.00,100.00,0.00,310.00,31000.00,0
2013-03-04,100.00,100.00,100.00,100.00,0.00,40.00,4000.00,0
2013-03-05,100.00,101.00,101.00,101.00,0.00,270.00,27270.00,0
2013-03-07,101.00,101.00,100.00,101.00,0.00,90.00,9050.00,0
2013-03-11,101.00,101.00,101.00,101.00,0.00,500.00,50500.00,0
2013-03-13,101.00,102.00,101.00,102.00,0.00,190.00,19360.00,0
2013-03-17,102.00,100.00,100.00,100.00,0.00,30.00,3000.00,0
2013-03-18,100.00,100.00,100.00,100.00,0.00,40.00,4000.00,0
2013-03-19,100.00,100.00,100.00,100.00,0.00,10.00,1000.00,0
2013-03-20,100.00,101.00,101.00,101.00,0.00,10.00,1010.00,0
2013-03-21,101.00,101.00,101.00,101.00,0.00,70.00,7070.00,0
2013-03-27,101.00,101.00,99.00,99.00,0.00,40.00,4000.00,0
2013-03-28,99.00,98.00,98.00,98.00,0.00,30.00,2940.00,0
2013-03-31,98.00,97.00,97.00,97.00,0.00,70.00,6790.00,0
2013-04-01,97.00,101.00,98.00,101.00,0.00,1010.00,101590.00,0
2013-04-03,101.00,101.00,101.00,101.00,0.00,260.00,26260.00,0
2013-04-04,101.00,101.00,100.00,100.00,0.00,910.00,91680.00,0
2013-04-07,100.00,101.00,100.00,101.00,0.00,1580.00,159510.00,0
2013-04-09,101.00,102.00,102.00,102.00,0.00,10.00,1020.00,0
2013-04-11,102.00,103.00,102.00,103.00,0.00,40.00,4100.00,0
2013-04-17,103.00,105.00,105.00,105.00,0.00,600.00,63000.00,0
2013-04-18,105.00,103.00,103.00,103.00,0.00,1410.00,145230.00,0
2013-04-22,103.00,104.00,102.00,104.00,0.00,150.00,15520.00,0
2013-04-23,104.00,107.00,106.00,106.00,0.00,270.00,28660.00,0
2013-04-25,106.00,108.00,108.00,108.00,0.00,20.00,2160.00,0
2013-04-30,108.00,110.00,110.00,110.00,0.00,1450.00,159500.00,0
2013-05-02,110.00,110.00,108.00,110.00,0.00,80.00,8740.00,0
2013-05-09,110.00,115.00,113.00,115.00,0.00,580.00,66080.00,0
2013-05-13,115.00,115.00,115.00,115.00,0.00,390.00,44850.00,0
2013-05-22,115.00,117.00,117.00,117.00,0.00,20.00,2340.00,0
2013-05-26,117.00,119.00,115.00,119.00,0.00,770.00,90030.00,0
2013-05-27,119.00,117.00,117.00,117.00,0.00,40.00,4680.00,0
2013-05-28,117.00,122.00,118.00,120.00,0.00,100.00,11940.00,0
2013-05-30,120.00,120.00,118.00,118.00,0.00,310.00,36870.00,0
2013-06-02,118.00,118.00,116.00,117.00,0.00,720.00,84230.00,0
2013-06-03,117.00,123.00,119.00,123.00,0.00,100.00,12040.00,0
2013-06-04,123.00,123.00,121.00,123.00,0.00,490.00,59910.00,0
2013-06-05,123.00,127.00,125.00,127.00,0.00,1320.00,167580.00,0
2013-06-06,127.00,127.00,125.00,127.00,0.00,280.00,35180.00,0
2013-06-09,127.00,125.00,123.00,124.00,0.00,990.00,123690.00,0
2013-06-10,124.00,125.00,123.00,123.00,0.00,220.00,27300.00,0
2013-06-11,123.00,125.00,121.00,125.00,0.00,350.00,42570.00,0
2013-06-12,125.00,127.00,125.00,125.00,0.00,30.00,3790.00,0
2013-06-13,125.00,126.00,125.00,126.00,0.00,40.00,5020.00,0
2013-06-16,126.00,126.00,123.00,123.00,0.00,90.00,11140.00,0
2013-06-18,123.00,122.00,122.00,122.00,0.00,680.00,82960.00,0
2013-06-19,122.00,124.00,122.00,124.00,0.00,40.00,4920.00,0
2013-06-20,124.00,122.00,122.00,122.00,0.00,330.00,40260.00,0
2013-06-25,122.00,122.00,120.00,121.00,0.00,250.00,30210.00,0
2013-06-26,121.00,119.00,119.00,119.00,0.00,20.00,2380.00,0
2013-07-01,119.00,117.00,115.00,115.00,0.00,50.00,5830.00,0
2013-07-04,115.00,113.00,113.00,113.00,0.00,250.00,28250.00,0
2013-07-07,113.00,113.00,102.00,102.00,0.00,1050.00,112610.00,0
2013-07-08,102.00,100.00,100.00,100.00,0.00,80.00,8000.00,0
2013-07-10,100.00,100.00,100.00,100.00,0.00,10.00,1000.00,0
2013-07-16,100.00,100.00,99.00,99.00,0.00,390.00,38690.00,0
2013-08-13,99.00,98.00,98.00,98.00,0.00,10.00,980.00,0
2013-08-14,98.00,98.00,98.00,98.00,0.00,70.00,6860.00,0
2013-08-25,98.00,99.00,98.00,98.00,0.00,60.00,5910.00,0
2013-08-26,98.00,98.00,98.00,98.00,0.00,10.00,980.00,0
2013-08-29,98.00,99.00,99.00,99.00,0.00,50.00,4950.00,0
2013-09-01,99.00,104.00,100.00,102.00,0.00,140.00,14320.00,0
2013-09-02,102.00,102.00,100.00,100.00,0.00,160.00,16080.00,0
2013-09-03,100.00,101.00,100.00,101.00,0.00,130.00,13020.00,0
2013-09-05,101.00,101.00,101.00,101.00,0.00,20.00,2020.00,0
2013-09-09,101.00,103.00,101.00,103.00,0.00,80.00,8160.00,0
2013-09-16,103.00,103.00,103.00,103.00,0.00,40.00,4120.00,0
2013-09-17,103.00,103.00,103.00,103.00,0.00,150.00,15450.00,0
2013-09-19,103.00,111.00,105.00,111.00,0.00,170.00,18030.00,0
2013-09-24,111.00,110.00,110.00,110.00,0.00,20.00,2200.00,0
2013-09-29,110.00,108.00,106.00,106.00,0.00,180.00,19420.00,0
2013-09-30,106.00,104.00,104.00,104.00,0.00,40.00,4160.00,0
2013-10-01,104.00,108.00,106.00,108.00,0.00,110.00,11860.00,0
2013-10-02,108.00,110.00,110.00,110.00,0.00,10.00,1100.00,0
2013-10-03,110.00,113.00,111.00,113.00,0.00,460.00,51360.00,0
2013-10-07,113.00,113.00,113.00,113.00,0.00,20.00,2260.00,0
2013-10-08,113.00,111.00,111.00,111.00,0.00,100.00,11100.00,0
2013-10-28,111.00,110.00,110.00,110.00,0.00,80.00,8800.00,0
2013-10-29,110.00,111.00,110.00,110.00,0.00,570.00,63120.00,0
2013-10-30,110.00,112.00,112.00,112.00,0.00,210.00,23520.00,0
2013-10-31,112.00,112.00,110.00,111.00,0.00,2030.00,223420.00,0
2013-11-11,111.00,113.00,113.00,113.00,0.00,80.00,9040.00,0
2013-11-13,113.00,113.00,113.00,113.00,0.00,100.00,11300.00,0
2013-11-25,113.00,113.00,113.00,113.00,0.00,80.00,9040.00,0
2013-12-02,113.00,117.00,115.00,117.00,0.00,430.00,49530.00,0
2013-12-03,117.00,119.00,117.00,119.00,0.00,30.00,3530.00,0
2013-12-05,119.00,119.00,117.00,117.00,0.00,80.00,9440.00,0
2013-12-08,117.00,115.00,115.00,115.00,0.00,60.00,6900.00,0
2013-12-09,115.00,113.00,113.00,113.00,0.00,20.00,2260.00,0
2013-12-10,113.00,120.00,115.00,120.00,0.00,550.00,64600.00,0
2013-12-11,120.00,130.00,122.00,130.00,0.00,460.00,57660.00,0
2013-12-12,130.00,128.00,128.00,128.00,0.00,80.00,10240.00,0
2013-12-15,128.00,130.00,130.00,130.00,0.00,30.00,3900.00,0
2013-12-22,130.00,132.00,130.00,132.00,0.00,40.00,5260.00,0
2013-12-23,132.00,134.00,134.00,134.00,0.00,130.00,17420.00,0
2013-12-26,134.00,132.00,132.00,132.00,0.00,60.00,7920.00,0
2013-12-29,132.00,134.00,130.00,132.00,0.00,240.00,31740.00,0
2013-12-31,132.00,136.00,132.00,135.00,0.00,230.00,31020.00,0
2014-01-01,135.00,137.00,137.00,137.00,0.00,10.00,1370.00,0
2014-01-02,137.00,145.00,139.00,145.00,0.00,380.00,54380.00,0
2014-01-05,145.00,159.00,147.00,159.00,0.00,820.00,126570.00,0
2014-01-06,159.00,174.00,162.00,174.00,0.00,400.00,66600.00,0
2014-01-07,174.00,191.00,177.00,191.00,0.00,300.00,56240.00,0
2014-01-08,191.00,210.00,194.00,210.00,0.00,560.00,114420.00,0
2014-01-09,210.00,219.00,210.00,219.00,0.00,3500.00,761230.00,0
2014-01-12,219.00,215.00,212.00,212.00,0.00,150.00,32000.00,0
2014-01-13,212.00,218.00,210.00,210.00,0.00,900.00,191260.00,0
2014-01-14,210.00,210.00,210.00,210.00,0.00,140.00,29400.00,0
2014-01-16,210.00,206.00,206.00,206.00,0.00,60.00,12360.00,0
2014-01-19,206.00,202.00,202.00,202.00,0.00,200.00,40400.00,0
2014-01-20,202.00,198.00,198.00,198.00,0.00,370.00,73260.00,0
2014-01-26,198.00,195.00,195.00,195.00,0.00,580.00,113100.00,0
2014-01-27,195.00,192.00,189.00,189.00,0.00,600.00,114120.00,0
2014-01-28,189.00,186.00,183.00,183.00,0.00,130.00,23850.00,0
2014-01-29,183.00,186.00,185.00,186.00,0.00,410.00,76100.00,0
