published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-13,255.0,280.5,255.0,280.5,0.0,3951.0,1107132.1,0
2023-08-14,286.1,308.5,286.1,308.5,9.98,8672.0,2674381.4,1
2023-08-15,314.6,339.3,277.7,287.1,-6.94,56896.0,16763567.0,-1
2023-08-16,281.4,303.0,264.9,294.0,2.4,16159.0,4428101.4,1
2023-08-17,288.2,291.3,271.5,287.0,-2.38,10938.0,3097843.8,-1
2023-08-20,282.0,285.9,267.1,272.6,-5.02,11601.0,3154169.0,-1
2023-08-21,269.0,272.0,261.0,261.0,-4.26,6816.0,1814623.4,-1
2023-08-22,260.0,264.9,253.0,257.0,-1.53,5900.0,1512930.2,-1
2023-08-23,257.0,269.2,253.0,266.0,3.5,14937.0,3901181.5,1
2023-08-24,261.0,263.0,254.3,257.0,-3.38,6972.0,1798541.0,-1
2023-08-27,251.9,253.0,245.1,247.0,-3.89,6217.0,1545899.7,-1
2023-08-28,243.0,256.0,240.0,241.0,-2.43,4331.0,1048832.0,-1
2023-08-29,240.0,255.0,230.6,237.0,-1.66,8770.0,2070844.0,-1
2023-08-30,232.3,235.7,227.7,231.0,-2.53,10631.0,2465814.7,-1
2023-09-03,231.1,254.1,231.1,254.1,10.0,17722.0,4311325.5,1
2023-09-04,250.0,279.5,245.0,279.5,10.0,25428.0,6906827.7,1
2023-09-05,274.0,307.4,274.0,295.0,5.55,30903.0,9263211.3,1
2023-09-07,289.1,317.0,284.0,317.0,7.46,26341.0,7672766.3,1
2023-09-10,310.7,343.7,294.0,343.7,8.42,32028.0,9940369.0,1
2023-09-11,336.9,378.0,310.9,378.0,9.98,36763.0,11884785.1,1
2023-09-12,370.5,370.5,340.2,340.2,-10.0,13382.0,4559858.3,-1
2023-09-13,333.4,333.4,308.0,313.0,-8.0,31300.0,9954421.0,-1
2023-09-17,307.0,344.3,307.0,337.7,7.89,60120.0,19743840.1,1
2023-09-18,331.0,371.4,331.0,371.4,9.98,31462.0,11420670.1,1
2023-09-19,364.0,408.5,364.0,408.5,9.99,30301.0,11718097.5,1
2023-09-21,400.4,449.3,395.0,449.3,9.99,63479.0,26219770.1,1
2023-09-24,440.4,493.0,404.4,493.0,9.73,67281.0,27623441.1,1
2023-09-25,483.2,483.2,443.7,443.7,-10.0,16499.0,7321640.3,-1
2023-09-26,434.9,434.9,399.4,419.0,-5.57,43195.0,17548537.5,-1
2023-09-27,410.7,414.2,395.0,402.1,-4.03,23671.0,9506298.8,-1
2023-10-01,394.1,399.0,367.6,370.0,-7.98,23847.0,8987770.2,-1
2023-10-02,362.7,399.0,350.0,394.9,6.73,17718.0,6834952.9,1
2023-10-03,387.1,402.0,381.0,395.0,0.03,11415.0,4439349.5,1
2023-10-04,398.0,410.0,372.0,388.1,-1.75,13416.0,5313621.6,-1
2023-10-05,395.0,395.0,377.1,380.0,-2.09,4117.0,1564598.3,-1
2023-10-08,380.0,387.0,357.0,359.0,-5.53,14992.0,5493442.4,-1
2023-10-09,352.0,392.6,352.0,375.0,4.46,13904.0,5190708.5,1
