published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-07-17,366.1,402.7,366.1,402.7,10.0,590.0,235056.6,1
2025-07-20,401.5,442.9,401.5,442.9,9.98,562.0,246813.9,1
2025-07-21,451.7,487.1,451.7,487.1,9.98,510.0,247527.0,1
2025-07-22,496.8,535.8,496.8,535.8,10.0,690.0,368744.0,1
2025-07-23,529.3,589.3,529.3,589.3,9.99,730.0,428210.0,1
2025-07-24,595.3,648.2,595.3,648.2,9.99,1070.0,691074.2,1
2025-07-27,661.1,713.0,661.1,713.0,10.0,1400.0,995368.0,1
2025-07-28,715.0,784.3,715.0,784.3,10.0,1223.0,955108.9,1
2025-07-29,799.9,862.7,799.9,862.7,10.0,1730.0,1488416.0,1
2025-07-30,862.0,948.9,862.0,948.9,9.99,2381.0,2256738.0,1
2025-07-31,967.8,1043.7,967.8,1043.7,9.99,15747.0,16431760.4,1
2025-08-03,1064.5,1148.0,1064.5,1148.0,9.99,40112.0,46025652.0,1
2025-08-04,1170.9,1262.8,1033.2,1033.2,-10.0,285335.0,300937303.8,-1
2025-08-05,1012.6,1025.0,930.0,957.27,-7.35,385673.0,370020402.4,-1
2025-08-06,940.0,1052.9,940.0,1052.9,9.99,104497.0,105775538.8,1
2025-08-07,1073.9,1140.0,1010.0,1052.64,-0.02,126126.0,135583091.4,-1
2025-08-11,1031.6,1031.6,975.0,979.04,-6.99,165689.0,164943217.0,-1
2025-08-12,960.0,987.0,959.5,967.78,-1.15,67340.0,65346554.3,-1
2025-08-13,950.0,997.0,950.0,962.35,-0.56,44822.0,43384554.7,-1
2025-08-14,955.0,971.0,937.0,938.61,-2.47,70398.0,66729576.1,-1
2025-08-17,920.0,930.0,880.1,883.45,-5.88,111100.0,99830222.9,-1
2025-08-18,883.0,905.0,870.0,877.67,-0.65,48779.0,43091657.2,-1
2025-08-19,870.0,902.7,870.0,891.12,1.53,33059.0,29474422.6,1
2025-08-20,873.3,899.0,873.3,884.04,-0.79,27254.0,24186923.5,-1
2025-08-21,895.0,895.0,871.4,874.34,-1.1,33646.0,29529519.8,-1
2025-08-24,870.5,885.0,860.0,861.5,-1.47,41048.0,35722006.2,-1
2025-08-25,852.1,862.0,846.2,853.32,-0.95,32775.0,27952318.1,-1
2025-08-26,850.0,915.0,850.0,881.91,3.35,31136.0,27416950.8,1
2025-08-27,880.0,897.5,879.0,889.2,0.83,29108.0,25901092.2,1
2025-08-28,879.0,896.0,868.0,869.92,-2.17,30314.0,26603472.0,-1
2025-08-31,865.0,870.0,850.0,853.49,-1.89,37754.0,32297580.7,-1
2025-09-01,850.0,850.0,840.1,846.72,-0.79,24147.0,20406206.7,-1
2025-09-02,846.0,856.0,830.0,830.92,-1.87,27148.0,22757275.6,-1
2025-09-03,825.1,830.0,811.0,811.48,-2.34,33488.0,27358513.3,-1
2025-09-04,800.0,820.0,792.1,796.88,-1.8,30509.0,24399036.0,-1
2025-09-07,800.0,813.0,788.2,791.07,-0.73,20864.0,16656101.1,-1
2025-09-08,791.2,796.0,766.5,769.31,-2.75,28827.0,22405251.4,-1
2025-09-18,754.0,754.0,692.4,692.4,-10.0,4581.0,3207317.7,-1
2025-09-21,678.6,760.0,678.6,745.42,7.66,36725.0,26748907.2,1
2025-09-23,730.6,772.0,730.6,768.0,3.03,24224.0,18543679.9,1
2025-09-24,768.0,778.0,751.0,753.0,-1.95,18540.0,14064544.1,-1
2025-09-25,754.0,760.0,747.2,751.0,-0.27,12833.0,9657820.2,-1
2025-09-28,751.0,770.0,751.0,757.0,0.8,10058.0,7625518.6,1
2025-10-07,750.0,755.0,736.0,736.0,-2.77,15930.0,11847144.4,-1
2025-10-08,731.0,735.5,714.0,716.0,-2.72,18666.0,13465685.2,-1
2025-10-09,716.0,758.0,716.0,725.0,1.26,17592.0,12936631.9,1
2025-10-12,725.0,725.0,702.0,706.1,-2.61,16797.0,11890660.4,-1
2025-10-13,706.0,739.0,697.0,735.0,4.09,19186.0,13793719.0,1
2025-10-14,725.0,738.9,712.5,716.2,-2.56,14200.0,10275974.8,-1
2025-10-15,717.0,719.9,701.0,701.0,-2.12,15631.0,11091864.7,-1
2025-10-16,700.0,714.0,690.0,695.0,-0.86,15523.0,10866193.6,-1
2025-10-19,700.0,705.0,692.0,703.9,1.28,9001.0,6310290.9,1
2025-10-26,692.1,700.0,685.0,700.0,-0.55,12407.0,8565613.1,-1
2025-10-28,712.9,724.3,692.0,718.9,2.7,15316.0,10929420.8,1
2025-10-29,733.2,735.0,710.0,710.0,-1.24,15907.0,11453456.6,-1
2025-10-30,720.0,731.0,703.3,727.9,2.52,19207.0,13855850.5,1
2025-11-02,729.0,754.0,725.0,754.0,3.59,33363.0,24876059.9,1
2025-11-03,754.0,765.0,736.3,743.0,-1.46,19959.0,14930132.0,-1
2025-11-04,743.0,750.0,723.0,728.0,-2.02,14038.0,10298974.3,-1
2025-11-05,728.0,734.0,718.0,732.9,0.67,9539.0,6921505.0,1
2025-11-06,724.1,740.0,724.1,735.0,0.29,9791.0,7145593.9,1
2025-11-09,737.0,738.0,709.7,714.0,-2.86,19087.0,13710099.5,-1
2025-11-10,714.0,727.9,705.0,714.0,0.0,12486.0,8867864.0,0
2025-11-11,706.0,719.4,706.0,719.0,0.7,11273.0,8023487.8,1
2025-11-12,707.1,719.9,707.0,707.1,-1.66,13812.0,9811795.2,-1
2025-11-13,706.0,716.0,705.0,707.0,-0.01,9737.0,6882508.3,-1
2025-11-16,706.0,708.0,701.7,707.0,0.0,11627.0,8193395.7,0
2025-11-17,707.0,714.9,701.0,708.0,0.14,11386.0,8059594.2,1
2025-11-18,709.1,720.0,709.1,711.0,0.42,21163.0,15153031.4,1
2025-11-19,712.0,756.2,712.0,754.0,6.05,62943.0,46516096.3,1
2025-11-20,754.0,795.6,743.0,763.0,1.19,57996.0,44794403.2,1
2025-11-23,763.0,785.0,755.0,769.9,0.9,46384.0,35646035.5,1
2025-11-24,760.1,778.6,755.1,767.0,-0.38,28904.0,22092753.9,-1
2025-11-25,782.3,782.3,754.1,762.0,-0.65,31801.0,24142864.4,-1
2025-11-26,751.2,774.9,751.2,758.0,-0.52,23552.0,17992629.6,-1
2025-11-27,758.0,776.9,757.0,773.0,1.98,28745.0,22036068.4,1
2025-11-30,775.0,827.0,770.1,799.0,3.36,92831.0,74655174.8,1
2025-12-01,804.0,809.0,786.1,799.0,0.0,34810.0,27670686.6,0
2025-12-02,799.0,800.0,787.3,789.0,-1.25,23170.0,18326191.7,-1
2025-12-03,773.3,848.0,773.3,827.0,4.82,126477.0,104773284.5,1
2025-12-07,827.0,851.0,815.2,824.0,-0.36,64722.0,54045105.3,-1
2025-12-08,820.0,837.5,801.1,807.0,-2.06,59698.0,48766667.1,-1
2025-12-09,807.0,822.0,801.3,805.8,-0.15,31557.0,25597728.5,-1
2025-12-10,804.0,816.0,775.0,782.0,-2.95,41636.0,33037819.6,-1
2025-12-11,772.0,788.0,766.6,770.0,-1.53,27138.0,21041893.0,-1
2025-12-14,760.2,783.0,749.0,753.0,-2.21,58849.0,44683380.3,-1
2025-12-15,755.0,773.0,750.0,764.5,1.53,26542.0,20230779.1,1
2025-12-16,755.0,777.0,755.0,767.0,0.33,37477.0,28717414.2,1
2025-12-17,763.1,791.0,752.1,778.0,1.43,67708.0,52625513.7,1
2025-12-18,775.0,779.0,766.0,767.0,-1.41,42367.0,32710087.7,-1
2025-12-21,758.0,764.8,740.0,748.0,-2.48,60277.0,45233093.5,-1
2025-12-22,744.9,745.0,725.3,727.0,-2.81,34226.0,25069428.4,-1
2025-12-23,720.0,743.5,720.0,738.3,1.55,24501.0,17960996.7,1
2025-12-24,729.1,750.0,729.1,732.0,-0.85,14815.0,10915225.4,-1
2025-12-28,732.0,753.0,732.0,749.0,2.32,33927.0,25274516.5,1
2025-12-29,749.0,767.0,745.3,750.0,0.13,43334.0,32691261.4,1
2025-12-31,750.0,784.0,749.0,777.0,3.6,58453.0,45218822.0,1
2026-01-01,789.0,810.0,767.0,787.8,1.39,84688.0,67272837.0,1
2026-01-04,772.2,830.0,772.2,825.0,4.72,106627.0,85643736.9,1
2026-01-05,808.5,900.0,808.5,895.0,8.48,135938.0,116605626.7,1
2026-01-06,900.0,904.0,836.0,839.0,-6.26,100281.0,86757800.3,-1
2026-01-07,830.0,841.8,800.0,800.1,-4.64,116330.0,95453875.4,-1
2026-01-08,785.6,833.0,785.6,826.0,3.24,82825.0,68034729.9,1
2026-01-12,824.1,893.0,824.1,869.8,5.3,164917.0,142582638.8,1
2026-01-13,870.0,889.0,840.0,847.0,-2.62,106035.0,91239240.4,-1
2026-01-14,847.0,855.0,825.0,835.2,-1.39,48797.0,40893729.4,-1
2026-01-18,840.0,872.9,835.6,860.0,2.97,93813.0,80722944.7,1
2026-01-20,873.1,917.0,873.1,894.0,3.95,172099.0,154407774.4,1
2026-01-21,910.0,910.0,867.3,876.5,-1.96,76951.0,67960880.7,-1
2026-01-22,877.0,957.0,866.1,942.3,7.51,153601.0,140278293.0,1
2026-01-25,942.3,1025.0,942.3,1016.0,7.82,207697.0,208083695.5,1
2026-01-26,1016.0,1115.0,980.0,1110.0,9.25,277486.0,289789950.1,1
2026-01-27,1120.0,1173.0,1032.0,1036.1,-6.66,232871.0,257889518.3,-1
2026-01-28,1056.8,1110.0,1021.0,1095.0,5.68,210891.0,223270515.4,1
2026-01-29,1100.0,1127.0,1003.1,1004.0,-8.31,167219.0,176549451.8,-1
2026-02-01,1004.0,1010.0,930.0,940.0,-6.37,144459.0,139618091.2,-1
2026-02-02,940.0,1030.0,940.0,1024.0,8.94,150411.0,150839084.3,1
2026-02-03,1030.0,1056.0,980.0,990.0,-3.32,104983.0,106018116.8,-1
2026-02-04,993.0,1005.0,964.0,970.0,-2.02,72320.0,70930533.0,-1
2026-02-05,970.0,989.0,951.1,959.1,-1.12,96422.0,93063537.9,-1
2026-02-08,978.2,989.0,946.0,946.0,-1.37,72351.0,70064861.5,-1
2026-02-09,940.0,960.0,906.5,913.0,-3.49,93002.0,85979551.1,-1
2026-02-10,915.0,948.0,900.0,918.1,0.56,57531.0,53088609.9,1
2026-02-11,936.4,946.0,896.7,899.0,-2.08,50508.0,45948732.1,-1
2026-02-12,916.0,925.0,878.1,899.0,0.0,72151.0,64615113.0,0
2026-02-16,905.0,925.0,881.3,910.0,1.22,56209.0,50804175.8,1
2026-02-17,915.0,920.0,888.0,890.2,-2.18,51240.0,46145944.6,-1
2026-02-22,890.0,895.0,850.0,858.0,-3.62,50905.0,44135928.4,-1
2026-02-23,857.1,869.9,846.0,846.2,-1.38,33099.0,28359564.7,-1
2026-02-24,860.0,895.0,850.0,887.0,4.82,39728.0,34479927.6,1
2026-02-25,904.7,918.0,885.1,889.0,0.23,53522.0,48288605.8,1
2026-02-26,890.4,895.0,880.0,882.0,-0.79,28625.0,25364249.6,-1
2026-03-01,870.0,900.0,860.1,896.0,1.59,41881.0,36949745.1,1
2026-03-03,900.0,926.6,886.1,917.0,2.34,50192.0,45875156.4,1
2026-03-09,935.3,1008.7,935.3,999.0,8.94,2717.0,2707406.0,1
2026-03-10,1018.0,1018.0,963.0,979.8,-1.92,115728.0,113943480.2,-1
2026-03-11,976.0,989.9,936.0,936.0,-4.47,66328.0,63205564.8,-1
2026-03-12,947.5,955.0,929.0,935.0,-0.11,48338.0,45424224.0,-1
2026-03-15,935.0,940.0,918.0,923.1,-1.27,39409.0,36546110.5,-1
2026-03-16,941.5,941.5,904.3,911.0,-1.31,38360.0,35065887.5,-1
2026-03-17,900.1,913.0,900.1,906.0,-0.55,32022.0,29007753.0,-1
2026-03-19,920.0,930.0,905.0,915.1,1.0,43361.0,39755408.4,1
2026-03-22,915.1,940.0,915.1,928.2,1.43,38236.0,35522453.5,1
2026-03-23,940.0,944.0,915.2,928.0,-0.02,44494.0,41192219.8,-1
2026-03-24,928.0,942.0,925.0,933.0,0.54,32568.0,30343172.2,1
2026-03-25,930.0,973.0,925.0,954.0,2.25,71281.0,67654340.8,1
2026-03-26,954.0,985.0,945.0,975.0,2.2,60186.0,58520292.8,1
