published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-07,268.0,294.8,268.0,294.8,10.0,19904.0,5865241.2,1
2023-12-10,294.8,324.2,294.8,324.2,9.97,2670.0,862858.0,1
2023-12-11,330.6,343.9,294.0,308.9,-4.72,59194.0,18439771.3,-1
2023-12-12,303.1,339.7,303.0,339.7,9.97,38412.0,12505782.8,1
2023-12-13,339.0,369.2,337.2,359.0,5.68,22084.0,7859310.0,1
2023-12-14,351.9,360.0,332.2,356.0,-0.84,34457.0,12010142.6,-1
2023-12-17,348.9,357.0,340.0,349.0,-1.97,29427.0,10314237.3,-1
2023-12-18,355.0,368.0,335.0,338.0,-3.15,37148.0,12984040.8,-1
2023-12-19,333.1,344.0,332.0,337.0,-0.3,20458.0,6892134.0,-1
2023-12-20,337.0,349.8,332.0,342.7,1.69,25207.0,8574939.4,1
2023-12-21,342.2,351.9,334.0,349.0,1.84,28146.0,9614558.8,1
2023-12-24,355.9,373.0,336.2,373.0,6.88,76297.0,27586591.0,1
2023-12-27,380.4,410.3,380.4,410.0,9.92,56574.0,22858305.6,1
2023-12-28,418.0,434.0,395.0,399.0,-2.68,39496.0,15917106.2,-1
2024-01-01,406.0,409.0,376.0,376.0,-5.76,55904.0,21946217.6,-1
2024-01-02,383.0,383.0,361.8,375.0,-0.27,28737.0,10626331.4,-1
2024-01-03,370.0,396.9,370.0,391.0,4.27,24240.0,9338406.3,1
2024-01-04,396.8,406.0,382.5,385.0,-1.53,37543.0,14759287.3,-1
2024-01-07,377.3,392.7,371.0,381.0,-1.04,20472.0,7893351.4,-1
2024-01-08,378.0,419.1,378.0,419.1,10.0,59806.0,24420753.0,1
2024-01-09,427.4,461.0,427.0,461.0,10.0,81869.0,37219947.7,1
2024-01-10,470.2,490.0,462.7,474.0,2.82,65683.0,31078133.9,1
2024-01-11,474.0,521.4,460.0,521.4,10.0,65095.0,32737398.6,1
2024-01-14,531.8,573.5,530.0,573.5,9.99,24670.0,13971554.0,1
2024-01-16,584.9,630.8,565.0,610.0,6.36,76520.0,45006648.4,1
2024-01-17,622.0,623.0,562.0,579.0,-5.08,63889.0,37977847.1,-1
2024-01-18,567.5,589.0,560.0,576.1,-0.5,37208.0,21456755.9,-1
2024-01-21,565.0,621.0,565.0,580.0,0.68,24577.0,14243137.6,1
2024-01-22,568.6,580.0,546.0,548.0,-5.52,20803.0,11662526.7,-1
2024-01-23,550.0,559.0,520.0,527.4,-3.76,17540.0,9576574.0,-1
2024-01-24,537.9,548.6,511.0,523.1,-0.82,17935.0,9462960.0,-1
2024-01-25,517.0,544.1,517.0,537.0,2.66,15807.0,8352568.1,1
2024-01-28,526.3,540.0,522.0,540.0,0.56,19972.0,10601043.0,1
2024-01-29,530.0,593.0,530.0,565.0,4.63,44215.0,25374022.0,1
2024-01-30,570.0,587.5,560.0,582.0,3.01,36448.0,20947870.0,1
2024-01-31,572.1,590.0,559.0,570.0,-2.06,25736.0,14555145.0,-1
2024-02-01,559.0,562.0,545.0,545.1,-4.37,16874.0,9318594.7,-1
2024-02-04,535.0,542.0,527.1,535.0,-1.85,7215.0,3857836.3,-1
2024-02-05,545.7,545.7,530.0,531.5,-0.65,8095.0,4323924.0,-1
